Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions
Newfoundland and Labrador,   Low Wage,Barry Group Inc,"Witless Bay, NL A0A 4K0",9463-Fish and seafood plant workers,Corporation,1,17
Newfoundland and Labrador,   Low Wage,Barry Group Inc.,"Corner Brook, NL A2H 3E9",9463-Fish and seafood plant workers,Unknown,2,65
Newfoundland and Labrador,   Low Wage,Barry Group Inc.,"Corner Brook, NL A2H 3E9",9618-Labourers in fish and seafood processing,Unknown,2,15
Newfoundland and Labrador,   Low Wage,CBS FOODS LTD,"CONCEPTION BAY, NL A1W 3A6",6322-Cooks,Unknown,1,2
Newfoundland and Labrador,   Low Wage,DaMarcus RestoBar Corp,"corner brook, NL A2H 4B5",6311-Food service supervisors,Unknown,1,1
Newfoundland and Labrador,   Low Wage,DaMarcus RestoBar Corp,"corner brook, NL A2H 4B5",6322-Cooks,Unknown,1,1
Newfoundland and Labrador,   Low Wage,Deer Lake Holdings Limited,"Deer Lake, NL A8A 2E8",6525-Hotel front desk clerks,Unknown,1,1
Newfoundland and Labrador,   Low Wage,Dr Chandrasegaram Labrador Prof Dental Corp,"Happy Valley Goose Bay, NL A0P 1C0",3411-Dental assistants,Unknown,1,1
Newfoundland and Labrador,   Low Wage,Fogo Island Co-operative Society Limited,"Seldom, Fogo Isalnd, NL A0G 3Z0",9618-Labourers in fish and seafood processing,Unknown,1,25
Newfoundland and Labrador,   Low Wage,Hebert's Recycling Inc.,"Mount Pearl, NL A1N 4S7","9619-Other labourers in processing, manufacturing and utilities",Unknown,1,6
Newfoundland and Labrador,   Low Wage,I.C. Pizza House Inc.,"PARADISE, NL A1L 1S6",6322-Cooks,Unknown,1,2
Newfoundland and Labrador,   Low Wage,K. & S. Holdings Ltd.,"LABRADOR CITY, NL A2V 2W7",6322-Cooks,Unknown,1,1
Newfoundland and Labrador,   Low Wage,Nl Spice Box inc,"ST.JOHNS, NL A1E 2E3",6322-Cooks,Unknown,1,1
Newfoundland and Labrador,   Low Wage,Ocean Choice International,"St. John's, NL A1B 3N4",9463-Fish and seafood plant workers,Unknown,3,65
Newfoundland and Labrador,   Low Wage,P.J. 's Groceteria Limited,"Torbay, NL A1K 1K7",6211-Retail sales supervisors,Unknown,1,3
Newfoundland and Labrador,   Low Wage,Quin-Sea Fisheries,"St. John's, NL A1B 4B4",9618-Labourers in fish and seafood processing,Unknown,1,80
Newfoundland and Labrador,   Low Wage,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL A0B 3B0",9463-Fish and seafood plant workers,Unknown,1,118
Newfoundland and Labrador,   Low Wage,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL A0B 3B0",9618-Labourers in fish and seafood processing,Unknown,1,22
Newfoundland and Labrador,   Low Wage,Topsail Foods Enterprise Inc,"St. John's, NL A1E 2E2",6311-Food service supervisors,Unknown,1,3
Newfoundland and Labrador,   Low Wage,Topsail Foods Enterprise Inc,"St. John's, NL A1E 2E2","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,4
Newfoundland and Labrador,  Primary Agriculture,Kent Fudge,"Grand Falls-Windsor, NL A2A 2J7",8431-General farm workers,Unknown,1,4
Newfoundland and Labrador,  Primary Agriculture,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,4
Newfoundland and Labrador,  Primary Agriculture,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",8431-General farm workers,Unknown,1,4
Newfoundland and Labrador,  Primary Agriculture,Lester's Farm Market,"St. John's, NL A1E 6J4",8431-General farm workers,Unknown,2,6
Newfoundland and Labrador,  Primary Agriculture,Lone Pine Farm,"Bishop's Falls, NL A0H 1C0",8431-General farm workers,Unknown,1,4
Newfoundland and Labrador,  Primary Agriculture,M&P Dairy Farm Ltd.,"Goulds, NL A1S 1G7",8431-General farm workers,Unknown,1,2
Newfoundland and Labrador,  Primary Agriculture,N&N Farm Limited,"Cormack, NL A8A 2R6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,5
Newfoundland and Labrador,  Primary Agriculture,nemori farms ltd,"Deer Lake, NL A8A 3H9",8431-General farm workers,Unknown,1,1
Newfoundland and Labrador,  Primary Agriculture,New World Dairy Inc,"St. David's, NL A0N 1X0",8431-General farm workers,Unknown,1,10
Newfoundland and Labrador,  Primary Agriculture,Pinedale Farms Ltd.,"Terra Nova, NL A0C 1L0",8431-General farm workers,Unknown,1,2
Newfoundland and Labrador,  Primary Agriculture,Rolling Acres Farm,"Bishop's Falls, NL A0H 1C0",8431-General farm workers,Unknown,1,4
Newfoundland and Labrador, Global Talent Stream,Duxion Motors Inc.,"St. John's, NL A1B 2C7","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Prince Edward Island,    High Wage,ALIASGHAR FORGHANI CONSTRUCTION INC.,"Charlottetown, PE C1A 1N3",2253-Drafting technologists and technicians,Unknown,1,1
Prince Edward Island,    High Wage,BEACH POINT PROCESSING COMPANY,"Beach Point, PE C0A 1V0",0911-Manufacturing managers,Unknown,1,1
Prince Edward Island,    High Wage,Charlottetown Fresh Casual Restaurants Inc.,"Charlottetown, PE C1A 4M9",0631-Restaurant and food service managers,Unknown,1,2
Prince Edward Island,    High Wage,Linkletter's Welding Ltd.,"Summerside, PE C1N 4J9",7237-Welders and related machine operators,Unknown,1,1
Prince Edward Island,   Low Wage,101775 PEI Inc.,"Charlottetown, PE C1A 4B1",6322-Cooks,Unknown,1,1
Prince Edward Island,   Low Wage,Atlantic Aqua Farms Ltd,"Orwell Cove, PE C0A 2E0",8613-Aquaculture and marine harvest labourers,Unknown,1,35
Prince Edward Island,   Low Wage,Atlantic Aqua Farms Ltd,"Orwell Cove, PE C0A 2E0",9463-Fish and seafood plant workers,Unknown,1,10
Prince Edward Island,   Low Wage,Business Porters Inc.,"Charlottetown, PE C1E 0E4",1241-Administrative assistants,Unknown,1,1
Prince Edward Island,   Low Wage,By the Water Shellfish (2012) Inc,"Borden Carleton, PE C0B 1X0",9618-Labourers in fish and seafood processing,Unknown,1,25
Prince Edward Island,   Low Wage,Captain Cooke's Seafood Inc,"Borden Carleton, PE C0B 1X0",9463-Fish and seafood plant workers,Unknown,1,60
Prince Edward Island,   Low Wage,DW Restaurants Moncton  Inc,"Charlottetown, PE C1A 4B5",6311-Food service supervisors,Unknown,2,4
Prince Edward Island,   Low Wage,EAST CAPE OYSTER COMPANY,"Charlottetown, PE C1E 2A1",9618-Labourers in fish and seafood processing,Unknown,2,4
Prince Edward Island,   Low Wage,East Point Potato 2009 Inc.,"Souris, PE C0A 2B0",7452-Material handlers,Unknown,1,3
Prince Edward Island,   Low Wage,Empire Bagels Inc,"Charlottetown, PE C1A 8K3",6311-Food service supervisors,Unknown,1,1
Prince Edward Island,   Low Wage,Garland Construction Inc.,"Milton Station, PE C1E 0M6",7611-Construction trades helpers and labourers,Unknown,1,1
Prince Edward Island,   Low Wage,L&C Fisheries Inc,"French River, PE C0B 1M0",9463-Fish and seafood plant workers,Unknown,1,5
Prince Edward Island,   Low Wage,Maritime Select Lobster Inc.,"Alberton, PE C0B 1B0",9618-Labourers in fish and seafood processing,Unknown,1,10
Prince Edward Island,   Low Wage,Murphy Investments Ltd.,"Charlottetown, PE, PE C1E 2A1",6322-Cooks,Unknown,4,6
Prince Edward Island,   Low Wage,NORTH ATLANTIC ORGANICS LTD,"Tignish RR#4, PE C0B 2B0","9619-Other labourers in processing, manufacturing and utilities",Unknown,1,2
Prince Edward Island,   Low Wage,Perrys Construction Ltd.,"Tignish, PE C0B 2B0",7611-Construction trades helpers and labourers,Unknown,1,20
Prince Edward Island,   Low Wage,PIZZA DELIGHT,"Montague, PE C0A 1R0","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Prince Edward Island,   Low Wage,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Fish and seafood plant workers,Unknown,3,148
Prince Edward Island,   Low Wage,Steerman's Quality Meats Inc.,"Vernon Bridge, PE C0A 2E0","9617-Labourers in food, beverage and associated products processing",Unknown,1,1
Prince Edward Island,   Low Wage,VALLEY HOLDINGS LTD,"CHARLOTTETOWN, PE C1A 1P2",1311-Accounting technicians and bookkeepers,Unknown,1,1
Prince Edward Island,   Low Wage,VALLEY HOLDINGS LTD,"CHARLOTTETOWN, PE C1A 1P2","3413-Nurse aides, orderlies and patient service associates",Unknown,1,7
Prince Edward Island,  Primary Agriculture,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0",8431-General farm workers,Unknown,1,6
Prince Edward Island,  Primary Agriculture,101497 PEI Inc,"Cherry Valley, PE C0A 2E0",8431-General farm workers,Unknown,1,15
Prince Edward Island,  Primary Agriculture,14188977 Canada Inc.,"Murray River, PE C0A  1W",8611-Harvesting labourers,Corporation,1,5
Prince Edward Island,  Primary Agriculture,6219128 Canada Inc,"Montague, PE C0A 1R0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,1
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",8431-General farm workers,Unknown,1,2
Prince Edward Island,  Primary Agriculture,Birch Farms Ltd.,"Summerside, PE C1N 4J9",8431-General farm workers,Unknown,1,8
Prince Edward Island,  Primary Agriculture,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",8431-General farm workers,Unknown,1,2
Prince Edward Island,  Primary Agriculture,BUNNY BURROW VEGETABLE CO. LTD,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,2,2
Prince Edward Island,  Primary Agriculture,Cedar Grove Farms,"RichmondRR1, PE C0B 1Y0",8431-General farm workers,Unknown,1,2
Prince Edward Island,  Primary Agriculture,Dalmeny Farms,"Montague, PE C0A 1R0",8431-General farm workers,Unknown,1,2
Prince Edward Island,  Primary Agriculture,Eastern Exporters Limited,"Souris, PE C0A 2B0",8431-General farm workers,Unknown,1,1
Prince Edward Island,  Primary Agriculture,Eastern Farms Ltd.,"Pownal, PE C1B 3S5",8431-General farm workers,Unknown,1,4
Prince Edward Island,  Primary Agriculture,Frizzells Valleyville Farm Inc,"Hunter River, PE C0A 1N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,2
Prince Edward Island,  Primary Agriculture,HILLTOP PRODUCE LTD,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,1,4
Prince Edward Island,  Primary Agriculture,Hy-Croft Farms Inc.,"Summerside, PE C1N 4V4",8431-General farm workers,Unknown,2,14
Prince Edward Island,  Primary Agriculture,Island Acres Produce Ltd.,"North Tryon, PE C0B 1A0",8611-Harvesting labourers,Unknown,1,4
Prince Edward Island,  Primary Agriculture,Island Seed Farm Inc.,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,1,1
Prince Edward Island,  Primary Agriculture,KINKORA HOLDINGS INC,"Kinkora, PE C0B 1N0",8611-Harvesting labourers,Unknown,1,8
Prince Edward Island,  Primary Agriculture,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,3
Prince Edward Island,  Primary Agriculture,Kyle Murray Farms,"Albany, PE C0B 1A0",8431-General farm workers,Sole Proprietorship,1,2
Prince Edward Island,  Primary Agriculture,Matos Winery Inc.,"St. Catherines, PE C0A 1H1",8431-General farm workers,Unknown,1,1
Prince Edward Island,  Primary Agriculture,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",8431-General farm workers,Unknown,4,63
Prince Edward Island,  Primary Agriculture,Middleton Farms Ltd,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,1,4
Prince Edward Island,  Primary Agriculture,Mol Farms Inc.,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,1,4
Prince Edward Island,  Primary Agriculture,Newland Farms Inc.,"Hunter River, PE C0A 1N0",8431-General farm workers,Unknown,1,2
Prince Edward Island,  Primary Agriculture,Port Hill Milking Company,"Tyne Valley, PE C0B 2C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,2,2
Prince Edward Island,  Primary Agriculture,Smith Farms Ltd.,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,1,1
Prince Edward Island,  Primary Agriculture,Valley Grove Enterprises Ltd,"Kensington, PE C0B 1M0",8431-General farm workers,Unknown,1,3
Prince Edward Island,  Primary Agriculture,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-General farm workers,Unknown,4,104
Prince Edward Island,  Primary Agriculture,Verdant LLC,"Cardigan, PE C0A 1G0",8431-General farm workers,Unknown,2,47
Prince Edward Island,  Primary Agriculture,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",8431-General farm workers,Unknown,1,6
Nova Scotia,    High Wage,2453196 ONTARIO LTD.,"Glace Bay, NS B1A 2E8",1522-Storekeepers and partspersons,Unknown,1,1
Nova Scotia,    High Wage,3312739 Nova Scotia Limited,"Halifax, NS B3M 3B4",7291-Roofers and shinglers,Unknown,1,3
Nova Scotia,    High Wage,3324671 Nova Scotia Limited,"Bedford, NS B4A 0C9",1241-Administrative assistants,Unknown,1,1
Nova Scotia,    High Wage,3335649 Nova Scotia Limited,"Halifax, NS B3M 2K6",4163-Business development officers and marketing researchers and consultants,Unknown,1,1
Nova Scotia,    High Wage,3341342 NS LTD,"PICTOU, NS B0K 1H0",6211-Retail sales supervisors,Unknown,1,2
Nova Scotia,    High Wage,4044155 NOVA SCOTIA LIMITED,"FALL RIVER, NS B2T 1E6",6316-Other services supervisors,Unknown,1,1
Nova Scotia,    High Wage,Acadian Seaplants Limited,"Dartmouth, NS B3B 1X8",2221-Biological technologists and technicians,Unknown,1,1
Nova Scotia,    High Wage,Aculocus Health and Beauty,"Halifax, NS B3M 0J9","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Nova Scotia,    High Wage,Anumandla Accounting Limited,"HALIFAX, NS B3J 3L8",1111-Financial auditors and accountants,Unknown,1,1
Nova Scotia,    High Wage,Cameron Seafoods Company,"Centreville, NS B0P 1J0","9213-Supervisors, food, beverage and associated products processing",Unknown,1,1
Nova Scotia,    High Wage,Craigs Lobster Ltd,"Shelburne County, NS B0W 3B0",9618-Labourers in fish and seafood processing,Unknown,1,3
Nova Scotia,    High Wage,Dalhousie University,"Halifax, NS B3H 4H2",4011-University professors and lecturers,Unknown,2,2
Nova Scotia,    High Wage,Dexter Construction Company Ltd.,"Bedford, NS B4A 3Z2",7521-Heavy equipment operators (except crane),Unknown,1,5
Nova Scotia,    High Wage,Dragon Ebikes Ltd.,"Halifax, NS B3K 3B4",1311-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia,    High Wage,DRIFT RESTAURANT GROUP LIMITED PARTNERSHIP,"Halifax, NS B3J 1S5",6332-Bakers,Unknown,1,1
Nova Scotia,    High Wage,Eastwater Professional Roofing Services Ltd,"Yarmouth, NS B5A 5H8",7271-Carpenters,Unknown,1,3
Nova Scotia,    High Wage,Elmsdale Landscaping Limited,"Elmsdale, NS B2S 1K7",7611-Construction trades helpers and labourers,Unknown,1,6
Nova Scotia,    High Wage,Elmsdale Landscaping Limited,"Elmsdale, NS B2S 1K7",7612-Other trades helpers and labourers,Unknown,1,2
Nova Scotia,    High Wage,Emigrance Consulting & Immigration Inc.,"Lakeside, NS B3T 1A2",1241-Administrative assistants,Unknown,1,1
Nova Scotia,    High Wage,Harvest-Bedford Incorporated,"Bedford, NS B4A 3P1",1311-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0113-Purchasing managers,Unknown,1,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0114-Other administrative services managers,Unknown,1,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",1122-Professional occupations in business management consulting,Unknown,4,4
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",2171-Information systems analysts and consultants,Unknown,1,1
Nova Scotia,    High Wage,J. Mason Contracting Limited,"FALL RIVER, NS B2T 1E6",7282-Concrete finishers,Unknown,1,3
Nova Scotia,    High Wage,Jack Lee Construction Inc.,"Fall River, NS B2T 1H7",7271-Carpenters,Unknown,1,1
Nova Scotia,    High Wage,Jack Lee Construction Inc.,"Fall River, NS B2T 1H7",7611-Construction trades helpers and labourers,Unknown,1,1
Nova Scotia,    High Wage,Kingsport Studios Limited,"Kingsport, NS B0P 1H0",3232-Practitioners of natural healing,Unknown,1,1
Nova Scotia,    High Wage,MacDonell’s Small Jobs Ltd,"Barrington Passage, NS B0W 1G0",7271-Carpenters,Unknown,1,1
Nova Scotia,    High Wage,North End Community Day Care Center,"Halifax, NS B3K 1X2",4214-Early childhood educators and assistants,Unknown,1,1
Nova Scotia,    High Wage,North's Auto Body Ltd.,"Kentville, NS B4N 3V7",7322-Motor vehicle body repairers,Unknown,1,2
Nova Scotia,    High Wage,Paraza Technologies Inc.,"Halifax, NS B3J 3K8",2112-Chemists,Unknown,1,1
Nova Scotia,    High Wage,Rainbow Nails Incorporated,"Halifax, NS B3L 4N9","6562-Estheticians, electrologists and related occupations",Unknown,1,5
Nova Scotia,    High Wage,Road Riders Express Inc,"halifax, NS B3S 0B9",1241-Administrative assistants,Unknown,1,1
Nova Scotia,    High Wage,SANDHYAJI HOTELS NOVA INC.,"Sydney, NS B1S 1A1","6313-Accommodation, travel, tourism and related services supervisors",Unknown,1,1
Nova Scotia,    High Wage,Springfield Hotels (Halifax) Incorporated,"Enfield, NS B2T 0A2","1212-Supervisors, finance and insurance office workers",Unknown,1,1
Nova Scotia,    High Wage,The Orb Factory Limited,"Halifax, NS B3P 1L3",1122-Professional occupations in business management consulting,Unknown,1,1
Nova Scotia,    High Wage,THOR   RENOVATION,"Bedford, NS B4A 1P3",7271-Carpenters,Unknown,1,1
Nova Scotia,    High Wage,TOPAZ TRANSPORT INC.,"BEAVER BANK, NS B4E 3J4",1525-Dispatchers,Unknown,1,1
Nova Scotia,    High Wage,Urbanowski Holdings Limited,"Bedford, NS B4A 2X9","3223-Dental technologists, technicians and laboratory assistants",Unknown,1,1
Nova Scotia,    High Wage,Valley Flaxflour Limited,"Middleton,, NS B0S 1P0","9213-Supervisors, food, beverage and associated products processing",Unknown,1,2
Nova Scotia,   Low Wage,12914158 Canada,"Dartmouth, NS B3B 1E5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1
Nova Scotia,   Low Wage,12914158 Canada,"Dartmouth, NS B3B 1E5",7511-Transport truck drivers,Unknown,1,1
Nova Scotia,   Low Wage,3056092 Nova Scotia Ltd.,"Upper Tantallon, NS B3Z 1H3",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,3094037 Nova Scotia Limited,"BEDFORD, NS B4A 3Y4",6322-Cooks,Unknown,1,2
Nova Scotia,   Low Wage,3099794 Nova Scotia Ltd.,"Enfield, NS B2T 1C8",6731-Light duty cleaners,Unknown,1,2
Nova Scotia,   Low Wage,3261813 Nova Scotia Limited,"Dartmouth, NS B3K 4X7",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,3271160 NS Limited,"Halifax, NS B3J 2C3",6322-Cooks,Unknown,1,4
Nova Scotia,   Low Wage,3272946 NOVA SCOTIA LIMITED,"Lower Sackville, NS B4C 2S2",6513-Food and beverage servers,Unknown,1,1
Nova Scotia,   Low Wage,3272946 NOVA SCOTIA LIMITED,"Lower Sackville, NS B4C 2S2","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia,   Low Wage,3274876 Nova Scotia Ltd,"Clarks Harbour, NS B0W 1P0",9463-Fish and seafood plant workers,Unknown,1,36
Nova Scotia,   Low Wage,3277374 Nova Scotia Limited,"Halifax, NS B3J 2B5",6322-Cooks,Unknown,1,4
Nova Scotia,   Low Wage,3290188 NS limited,"Halifax, NS B3M 3Y7",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,3293656 Nova Scotia Limited,"Halifax, NS B3L 1A5",6322-Cooks,Unknown,2,3
Nova Scotia,   Low Wage,3300590 Nova Scotia Limited,"Halifax, NS B3J 1Y2",6322-Cooks,Unknown,2,2
Nova Scotia,   Low Wage,3311032 Nova Scotia Limited,"Bedford, NS B4A 0C9",6311-Food service supervisors,Unknown,1,1
Nova Scotia,   Low Wage,3311051 Nova Scotia Ltd.,"HALIFAX, NS B3J 2G7",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,3316696 NS Ltd.,"Kentville, NS B4N 2N1",6322-Cooks,Unknown,1,4
Nova Scotia,   Low Wage,3322016 NOVA SCOTIA LIMITED,"HALIFAX, NS B3K 1K5",6322-Cooks,Unknown,1,2
Nova Scotia,   Low Wage,3323091 Nova Scotia Ltd.,"Truro, NS B2N 4Z6",6321-Chefs,Unknown,1,4
Nova Scotia,   Low Wage,3324608 novascotia limited,"halifax, NS B3K 1Z7","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia,   Low Wage,3327191 Nova Scotia Limited,"Upper Tantallon, NS B3Z 1E2",6311-Food service supervisors,Unknown,1,1
Nova Scotia,   Low Wage,3327191 Nova Scotia Limited,"Upper Tantallon, NS B3Z 1E2",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,3334892 NOVA SCOTIA LIMITED,"BEDFORD, NS B4B 2E6","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia,   Low Wage,3343574 Nova Scotia Limited,"Halifax, NS B3K 4C1",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,4025837 NOVA SCOTIA LIMITED,"Halifax, NS B3J 2C3",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,4198244 NOVA SCOTIA LTD,"Dartmouth, NS B2X 3J7",6322-Cooks,Unknown,1,2
Nova Scotia,   Low Wage,4347646 Nova Scotia Limited,"Dartmouth, NS B3A 1J7",6731-Light duty cleaners,Unknown,1,1
Nova Scotia,   Low Wage,Adcor Marketing Limited,"yarmouth, NS B5A 2T6",6311-Food service supervisors,Unknown,3,3
Nova Scotia,   Low Wage,Adcor Marketing Limited,"yarmouth, NS B5A 2T6","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,3,12
Nova Scotia,   Low Wage,Advanced Hotels Inc,"Dartmouth, NS B3B 0J3","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,3
Nova Scotia,   Low Wage,Advanced Hotels Inc,"Dartmouth, NS B3B 0J3",6731-Light duty cleaners,Unknown,1,5
Nova Scotia,   Low Wage,Apple Valley Foods Inc,"Kentville, NS B4N 3V7","9617-Labourers in food, beverage and associated products processing",Unknown,2,78
Nova Scotia,   Low Wage,Atlantic Oriental Wholesale (AOW) Incorporated.,"Upper Port la Tour, NS B0W 3N0",9463-Fish and seafood plant workers,Unknown,2,7
Nova Scotia,   Low Wage,Bakeco Management Inc,"Eastern Passage, NS B3G 1M6",6311-Food service supervisors,Unknown,1,1
Nova Scotia,   Low Wage,BLUEMOUNT GROUP LIMITED,"Dartmouth, NS B3A 1M9","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia,   Low Wage,Brycon Construction Limited,"Dartmouth, NS B2Y 4P4",7611-Construction trades helpers and labourers,Unknown,1,10
Nova Scotia,   Low Wage,Brycon Construction Limited,"Dartmouth, NS B2Y 4P4",7612-Other trades helpers and labourers,Unknown,1,1
Nova Scotia,   Low Wage,Buta Ramen Inc.,"Halifax, NS B3J 1B3",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,Caissieco Enterprises,"Cole Harbour, NS B2W 6E4",6211-Retail sales supervisors,Unknown,2,6
Nova Scotia,   Low Wage,Christopher Robin's Learning Centre Inc,"Dartmouth, NS B3B 1W4",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,CRS TRADING LTD,"Greenwood, NS B0P 1N0",0631-Restaurant and food service managers,Unknown,1,1
Nova Scotia,   Low Wage,d`Eon Boatbuilding Ltd,"Yarmouth, NS B0W 2M0",7611-Construction trades helpers and labourers,Unknown,1,2
Nova Scotia,   Low Wage,daddy green's pizza & sea food,"Lantz, NS B2S 1P5",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,DANJI RESTAURANT,"Wolfville, NS B4P 1Z9",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,Dartmouth Crossing Hotel Operating Limited Partnership o/a Hampton Inn and Suites by Hilton,"Dartmouth, NS B3B 0G2",6731-Light duty cleaners,Unknown,1,5
