",,,,,
Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Postes Approuvés"
Nouvelle-Écosse,"  Agriculture primaire","Elmridge Farm Ltd","RR2 Centreville, NS B0P 1J0","8431-Ouvriers agricoles",3
Nouvelle-Écosse,"  Agriculture primaire","Evangeline Orchards Limited","Port Williams, NS B0P 1T0","8431-Ouvriers agricoles",2
Nouvelle-Écosse,"  Agriculture primaire","Fuller Brothers Farms Inc.","Avonport, NS B0P 1B0","8431-Ouvriers agricoles",12
Nouvelle-Écosse,"  Agriculture primaire","G.A.R. Tree Farms Ltd","Barss Corner, NS B0R 1A0","8432-Ouvriers de pépinières et de serres",30
Nouvelle-Écosse,"  Agriculture primaire","Hilly Acres Farm Ltd.","Millville, NS B1Y 2E1","8431-Ouvriers agricoles",2
Nouvelle-Écosse,"  Agriculture primaire","Kilany Farms Ltd.","Port Williams, NS B0P 1T0","8431-Ouvriers agricoles",4
Nouvelle-Écosse,"  Agriculture primaire","LUTZ FAMILY FARM LTD","Berwick, NS B0P 1E0","8431-Ouvriers agricoles",6
Nouvelle-Écosse,"  Agriculture primaire","McConnell-Gordon Estates Ltd.","Wolfville, NS B4P 2R1","8431-Ouvriers agricoles",5
Nouvelle-Écosse,"  Agriculture primaire","Perfect Berries Ltd.","Berwick, NS B0P 1E0","8431-Ouvriers agricoles",3
Nouvelle-Écosse,"  Agriculture primaire","Power Farms Inc.","Canning, NS B0P 1H0","8431-Ouvriers agricoles",14
Nouvelle-Écosse,"  Agriculture primaire","Reimer Gardens Inc.","Waterville, NS B0P 1V0","8431-Ouvriers agricoles",3
Nouvelle-Écosse,"  Agriculture primaire","Sanhaven Farms Ltd","Antigonish, NS B2G 2K9","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouvelle-Écosse,"  Agriculture primaire","Sarsfield Farms Incorporated","Kentville, NS B4N 3V7","8431-Ouvriers agricoles",12
Nouvelle-Écosse,"  Agriculture primaire","Spurr Brothers Farms Ltd","Melvern Square, NS B0P 1R0","8431-Ouvriers agricoles",12
Nouvelle-Écosse,"  Agriculture primaire","T.K. Palmer & Sons Contracting Inc.","Kentville, NS B0P 1C0","8431-Ouvriers agricoles",3
Nouvelle-Écosse,"  Agriculture primaire","Traditional Evergreen Tree Farms Ltd.","Wileville, NS B4V 5J3","8432-Ouvriers de pépinières et de serres",3
Nouvelle-Écosse,"  Agriculture primaire","Van Meekeren Farms Ltd.","Lakeville, NS B4N 3V7","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Nouvelle-Écosse,"  Agriculture primaire","Van Meekeren Farms Ltd.","Lakeville, NS B4N 3V7","8611-Manoeuvres à la récolte",2
Nouvelle-Écosse,"  Agriculture primaire","Vermeuland Farms Ltd.","Milford Station, NS B0N 1Y0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouvelle-Écosse,"  Agriculture primaire","Walsh Farms Inc.","Rockland, NS B0P 1E0","8611-Manoeuvres à la récolte",7
Nouvelle-Écosse,"  Agriculture primaire","Webster Farms Limited","Cambridge, NS B0P 1G0","8611-Manoeuvres à la récolte",6
Nouvelle-Écosse,"  Talent mondial","3343114 Nova Scotia Limited","Yarmouth, NS B5A 1E9","2173-Ingénieurs et concepteurs en logiciel",2
Nouvelle-Écosse,"  Talent mondial","Axis Specialty Canada Services ULC","Halifax, NS B3J 0E8","2283-Évaluateurs de systèmes informatiques",1
Nouvelle-Écosse,"  Talent mondial","Eden Valley Poultry Inc","Berwick, NS B0P 1E0","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Nouvelle-Écosse,"  Talent mondial","Jonas Software Solutions Inc.","Halifax, NS B3J  1X","2173-Ingénieurs et concepteurs en logiciel",1
Nouvelle-Écosse,"  Talent mondial","Proposify Inc.","Halifax, NS B3J 1W5","2173-Ingénieurs et concepteurs en logiciel",6
Nouvelle-Écosse,"  Talent mondial","Salient Energy Inc","Dartmouth, NS B3B 1C4","2211-Technologues et techniciens en chimie",1
Nouvelle-Écosse,"  Talent mondial","Ubisoft Entertainment Inc.","Halifax, NS B3J 3R5","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Nouveau-Brunswick,"     Haut salaire","3R EDUCATION CONSULTING INC.","Saint John, NB E2K 2C3","1221-Agents d'administration",1
Nouveau-Brunswick,"     Haut salaire","662524 N.B. LTD.","Aldouane, NB E4W 5J8","1241-Adjoints administratifs",1
Nouveau-Brunswick,"     Haut salaire","672199 N.B. LTD.","Miramichi, NB E1N 4B8",3114-Vétérinaires,2
Nouveau-Brunswick,"     Haut salaire","Atlantic Pacific Transport Ltd","Clairville, NB E4T 2L7","7511-Conducteurs de camions de transport",8
Nouveau-Brunswick,"     Haut salaire","AYR Motor Express Inc","Woodstock, NB E7M 4G2","7511-Conducteurs de camions de transport",10
Nouveau-Brunswick,"     Haut salaire","C & H EUROLEVEL TRANSPORTATION INC","WOODSTOCK, NB E7M 2T5","7511-Conducteurs de camions de transport",3
Nouveau-Brunswick,"     Haut salaire","COUNTY LINE TRUCKING LTD","WILMOT, NB E7P 2V4","7511-Conducteurs de camions de transport",5
Nouveau-Brunswick,"     Haut salaire","DanGreen Express Inc","Fredericton, NB E3A 5R4","7511-Conducteurs de camions de transport",1
Nouveau-Brunswick,"     Haut salaire","DJ Marine Supplies Ltee","Pointe-Sapin, NB E9A 1T4","9531-Monteurs de bateaux et contrôleurs de montage de bateaux",5
Nouveau-Brunswick,"     Haut salaire","FMI Atlantic Inc.","Woodstock, NB E7M 5G5","0631-Directeurs de la restauration et des services alimentaires",2
Nouveau-Brunswick,"     Haut salaire","FMI Atlantic Inc.","Woodstock, NB E7M 5G5","6311-Superviseurs des services alimentaires",1
Nouveau-Brunswick,"     Haut salaire","J.D. Irving, Limited - Woodlands Division","Saint John, NB E2L 4Z2","8241-Conducteurs de machines d'abattage d'arbres",14
Nouveau-Brunswick,"     Haut salaire","Jolly Farmer Transport, Inc.","Northampton, NB E7N 1R6","7511-Conducteurs de camions de transport",1
Nouveau-Brunswick,"     Haut salaire","McConchie Trucking Ltd","Norton, NB E5T 1E8","7511-Conducteurs de camions de transport",3
Nouveau-Brunswick,"     Haut salaire","Midland Transport Limited","Dieppe, NB E1A 6X4","7511-Conducteurs de camions de transport",10
Nouveau-Brunswick,"     Haut salaire","Millfield Management Ltd.","Rothesay, NB E2E 2H3","0714-Directeurs de l'exploitation et de l'entretien d'immeubles",1
Nouveau-Brunswick,"     Haut salaire","Modular Fabrication Inc","Miramichi, NB E1N 6K6","7235-Assembleurs et ajusteurs de plaques et de charpentes métalliques",12
Nouveau-Brunswick,"     Haut salaire","Modular Fabrication Inc","Miramichi, NB E1N 6K6","7237-Soudeurs et opérateurs de machines à souder et à braser",12
Nouveau-Brunswick,"     Haut salaire","Moosehorn trucking Ltd.","Norton, NB E5T 1W4","7511-Conducteurs de camions de transport",2
Nouveau-Brunswick,"     Haut salaire","POINT QUEEN FISHERIES LTD.","L'Etete, NB E5C 2R6","1225-Agents aux achats",1
Nouveau-Brunswick,"     Haut salaire","Regional Health Authority B","Moncton, NB E1C 6Z8","3111-Médecins spécialistes",2
Nouveau-Brunswick,"     Haut salaire","Rossignol Transport Ltd.","Saint - Jacques, NB E7B 0B1","7511-Conducteurs de camions de transport",1
Nouveau-Brunswick,"     Haut salaire","Stewart Transfer Ltd","PERTH-ANDOVER, NB E7H 5G3","7511-Conducteurs de camions de transport",4
Nouveau-Brunswick,"     Haut salaire","Warren Transportation Ltd","Rexton, NB E4W 1W8","7511-Conducteurs de camions de transport",8
Nouveau-Brunswick,"   Bas salaire","057033 NB Inc","Shediac, NB E4P 2K9","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",2
Nouveau-Brunswick,"   Bas salaire","11656520 Canada Inc.","Pointe-Sapin, NB E9A 1V1","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",49
Nouveau-Brunswick,"   Bas salaire","658711 NB LTD.","Miramichi, NB E1V 1X4","6312-Gouvernants principaux",1
Nouveau-Brunswick,"   Bas salaire","671348 N.B. INC.","MONCTON, NB E1C 1E3",6322-Cuisiniers,1
Nouveau-Brunswick,"   Bas salaire","697131 NB INC.","MONCTON, NB E1G 2H9",6322-Cuisiniers,2
Nouveau-Brunswick,"   Bas salaire","711326 NB Ltd.","Moncton, NB E1C 5C4",6322-Cuisiniers,1
Nouveau-Brunswick,"   Bas salaire","Adrice Cormier Ltd.","Cap-Pele, NB E4N 1J2","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",3
Nouveau-Brunswick,"   Bas salaire","Allen's Enterprises Inc.","TIMBER RIVER, NB E4M 3A1","6211-Superviseurs des ventes - commerce de détail",1
Nouveau-Brunswick,"   Bas salaire","Amco Fisheries Ltd","Cap-Pelé, NB E4N 3B3","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",4
Nouveau-Brunswick,"   Bas salaire","Baie Ste Anne Seafoods (2014) Inc.","Escuminac, NB E9A 1V6","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",28
Nouveau-Brunswick,"   Bas salaire","Beacon Light Motel Limited","Moncton, NB E1C 2T1","6312-Gouvernants principaux",1
Nouveau-Brunswick,"   Bas salaire","BOLERO Shellfish Processing Inc.","St.-Simon, NB E8P 2B2","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",25
Nouveau-Brunswick,"   Bas salaire","Cap Pele Bait Inc","Cap-Pele, NB E4N 1Z7","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",40
Nouveau-Brunswick,"   Bas salaire","Car-rizma Motorsports Limited","SAINT JOHN, NB E2H 1X8","7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles",1
Nouveau-Brunswick,"   Bas salaire","Connors Bros. Division of Clover Leaf Seafoods Corp","Blacks Harbour, NB E5H 1G6","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",16
Nouveau-Brunswick,"   Bas salaire","Connors Bros. Division of Clover Leaf Seafoods Corp","Blacks Harbour, NB E5H 1G6","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",4
Nouveau-Brunswick,"   Bas salaire","DJM Nutrition Ltd.","Saint John, NB E2L 4Z6","6211-Superviseurs des ventes - commerce de détail",1
Nouveau-Brunswick,"   Bas salaire","Duguay Fish Packers Ltd","cap-pele, NB E4N 1K9","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",8
Nouveau-Brunswick,"   Bas salaire","Fenety Convenience Store Ltd","Waasis, NB E3B 9E1",6322-Cuisiniers,3
Nouveau-Brunswick,"   Bas salaire","KCCS Restaurants Inc.","St. Stephen, NB E3L 2C7","6311-Superviseurs des services alimentaires",2
Nouveau-Brunswick,"   Bas salaire","Leslie Leger & Sons Ltd","Cap Pele, NB E4N 3B3","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",110
Nouveau-Brunswick,"   Bas salaire","M&M Cormier Fisheries Ltd.","Petit-Cap, NB E4N 2E1","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",4
Nouveau-Brunswick,"   Bas salaire","Meca Holdings inc","Rothesay, NB E2S 1A6",6322-Cuisiniers,1
Nouveau-Brunswick,"   Bas salaire","Murphy Foodservice Ltd","Saint John, NB E2L 1G4","6311-Superviseurs des services alimentaires",1
Nouveau-Brunswick,"   Bas salaire","Murphy Restaurants Ltd.","Saint John, NB E2L 1G4","6311-Superviseurs des services alimentaires",1
Nouveau-Brunswick,"   Bas salaire","Roem enterprises inc.","Saintjohn, NB E2L 2E5","6211-Superviseurs des ventes - commerce de détail",1
Nouveau-Brunswick,"   Bas salaire","SHERE PUNJAB KITCHEN (HARPREET KAUR)","FREDERICTON, NB E3B 3P5",6322-Cuisiniers,1
Nouveau-Brunswick,"   Bas salaire","Signature Landscape Ltd","Moncton, NB E1A 3M2","1411-Employés de soutien de bureau généraux",1
Nouveau-Brunswick,"   Bas salaire","SLBG QUISPAM HOLDINGS INC.","Quispamsis, NB E2E 4Y7",6322-Cuisiniers,5
Nouveau-Brunswick,"   Bas salaire","Tomotachi Sushi Inc","Fredericton, NB E3B 5H5",6322-Cuisiniers,1
Nouveau-Brunswick,"   Bas salaire","W. J. Allen & Sons Inc.","Aulac, NB E4L 2X2",6322-Cuisiniers,2
Nouveau-Brunswick,"  Agriculture primaire","690487NB Inc.","Prince William, NB E6K 3T3","8431-Ouvriers agricoles",6
Nouveau-Brunswick,"  Agriculture primaire","B. McGrath & Son's Ltd","LWR KNOXFORD, NB E7K 2R2","8431-Ouvriers agricoles",3
Nouveau-Brunswick,"  Agriculture primaire","Ferme Bancourt ltée","St-Quentin, NB E8A 2L3","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouveau-Brunswick,"  Agriculture primaire","Jolly Farmer Products, Inc.","Northampton, NB E7N 1R6","8432-Ouvriers de pépinières et de serres",10
Nouveau-Brunswick,"  Agriculture primaire","La Ferme Michaud Ltée / Michaud Farm Ltd.","Baie de Bouctouche, NB E4S 4N9","8431-Ouvriers agricoles",6
Nouveau-Brunswick,"  Agriculture primaire","Les Fermes PL Levesque Ltee","SAINT-ANDRE, NB E3Y 2W6","8611-Manoeuvres à la récolte",2
Nouveau-Brunswick,"  Agriculture primaire","M&S Wild Blueberry Farms Ltd.","Kouchibouguac, NB E4X 1L7","8431-Ouvriers agricoles",19
Nouveau-Brunswick,"  Agriculture primaire","Orchard Shade Farms Ltd.","NORTHAMPTON, NB E7N 1E2","8431-Ouvriers agricoles",6
Nouveau-Brunswick,"  Agriculture primaire","Schenkels Farms Inc","Whitney, NB E1V 4K4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Nouveau-Brunswick,"  Agriculture primaire","Shadowave Holsteins Inc","Second North River, NB E4J 2V9","8431-Ouvriers agricoles",5
Nouveau-Brunswick,"  Agriculture primaire","Tuddenham Farms Ltd","St. Stephen, NB E3L 2X1","8431-Ouvriers agricoles",10
Nouveau-Brunswick,"  Agriculture primaire","W.I.Goddard & Sons Ltd.","Petitcodiac East, NB E4Z 3L4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Nouveau-Brunswick,"  Agriculture primaire","Willie A. LeBlanc & Sons Ltd.","Memramcook, NB E4K 1L9","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouveau-Brunswick,"  Talent mondial","ARC Clean Energy Canada Inc.","Saint John, NB E2L  4V","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Nouveau-Brunswick,"  Talent mondial","J.D. Irving, Limited","St. John, NB E2L 4Z2","2173-Ingénieurs et concepteurs en logiciel",1
Nouveau-Brunswick,"  Talent mondial","Pinterest Canada Limited","Saint John, NB E2L  2A","2173-Ingénieurs et concepteurs en logiciel",1
Québec,"     Haut salaire"," École Al Farabi","Québec, QC G1S 1P1","4214-Éducateurs et aides-éducateurs de la petite enfance",1
Québec,"     Haut salaire","10573906 Canada Inc.","Montreal, QC H4R 1B7","7305-Surveillants du transport routier et du transport en commun",1
