",,,,,,,
Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT demandes","Postes demandes"
Ontario,"     Haut salaire","Kintel General Contractors Inc.","Vaughan, ON L4K 1K8",7281-Briqueteurs-maçons,Inconnu,1,1
Ontario,"     Haut salaire","Limen Masonry 2013 Ltd.","Toronto, ON M3J 1Z9",7281-Briqueteurs-maçons,Inconnu,1,1
Ontario,"     Haut salaire","McBurl Corp","Burlington, ON L7T 2E8","0631-Directeurs de la restauration et des services alimentaires",Inconnu,1,1
Ontario,"     Haut salaire","MEERAB FREIGHTLINES INC.","Etobicoke, ON M9W 2Z7","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"     Haut salaire","Millennium Landscape Design & Construction","Waterloo, ON N2V 2J3","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",Corporation,1,1
Ontario,"     Haut salaire","New Gobind Transport Inc.","Cambridge, ON N1T 2G3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",Inconnu,1,1
Ontario,"     Haut salaire","OMEGA SOFTWARE SERVICES LTD.","SCARBOROUGH, ON M1G 2R1","2173-Ingénieurs et concepteurs en logiciel",Inconnu,1,1
Ontario,"     Haut salaire","Optical Vision Group Inc.","St Catharines, ON L2R 2R2","1122-Professionnels des services-conseils en gestion aux entreprises",Corporation,1,1
Ontario,"     Haut salaire","Petro v plus LTD","Toronto, ON M9W 4J9","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Ontario,"     Haut salaire","Pizza Hut","Sault Ste Marie, ON P6B 4Y9","0631-Directeurs de la restauration et des services alimentaires",Inconnu,1,1
Ontario,"     Haut salaire","Planetrucks & Trailer Repairs Inc","Brampton, ON L6W 1W2","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"     Haut salaire","QTDS CONSTRUCTION CORP","Brampton, ON L7A 5B4","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",Inconnu,1,1
Ontario,"     Haut salaire","REAL TIME SYSTEMS INC","TORONTO, ON M9W 5N6","2174-Programmeurs et développeurs en médias interactifs",Inconnu,1,1
Ontario,"     Haut salaire","RJ TRUCK DRIVING SCHOOL LTD.","Mississauga, ON L5S 1V9","7511-Conducteurs de camions de transport",Inconnu,1,1
Ontario,"     Haut salaire","RONI EXCAVATING LIMITED","Concord, ON L4K 4P3","7511-Conducteurs de camions de transport",Inconnu,1,1
Ontario,"     Haut salaire","Service Plus Aquatics Inc.","Mississauga, ON L5L 5X9","7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation",Inconnu,1,1
Ontario,"     Haut salaire","Sherbrooke Heights Animal Hospital","Peterborough, ON K9K  0E",3114-Vétérinaires,"Entreprise à propriétaire unique",1,1
Ontario,"     Haut salaire","Silk Road Group General Trading Inc.","North York, ON M3H 5T5","0621-Directeurs - commerce de détail et de gros",Corporation,1,1
Ontario,"     Haut salaire","Skin and Bones Film Company","TORONTO, ON M6J 1H6","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,3,3
Ontario,"     Haut salaire","SOFT CITIZEN, INC","TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,2,2
Ontario,"     Haut salaire","Sparks Productions Incorporated","TORONTO, ON M6K 3J1","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,1,1
Ontario,"     Haut salaire","Steam Films Inc.","TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Partenariat,2,2
Ontario,"     Haut salaire","Suneeva Ltd.","TORONTO, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,2,2
Ontario,"     Haut salaire","University of Waterloo","Waterloo, ON N2L 3G1","4011-Professeurs et chargés de cours au niveau universitaire",Inconnu,1,1
Ontario,"     Haut salaire","V. Food Group Inc.","Halton Hills, ON L7G 0C6","2281-Techniciens de réseau informatique",Inconnu,1,1
Ontario,"     Haut salaire","Vision Entertainment Inc","TORONTO, ON M6A 2A4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,1,1
Ontario,"     Haut salaire","ZEAL EXPRESS LOGISTICS INC.","Caledon, ON L7C 3Z9","1221-Agents d'administration",Inconnu,1,1
Ontario,"     Haut salaire","ZEAL EXPRESS LOGISTICS INC.","Caledon, ON L7C 3Z9","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Ontario,"   Bas salaire","1453502 Ontario Ltd","Toronto, ON M1R 2Y4","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",Inconnu,1,2
Ontario,"   Bas salaire","2321335 Ontario Inc","Fergus, ON N1M 2R2",6322-Cuisiniers,Inconnu,1,2
Ontario,"   Bas salaire","2334872 Ontario Inc.","Toronto, ON M6A 2C1","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,1
Ontario,"   Bas salaire","2373790 Ontario Inc.","North York, ON M3J 2H8","2233-Technologues et techniciens en génie industriel et en génie de fabrication",Inconnu,1,1
Ontario,"   Bas salaire","2644278 ONTARIO INC.","Milton, ON L9T 0C7","6311-Superviseurs des services alimentaires",Inconnu,1,2
Ontario,"   Bas salaire","2679981 Ontario Inc.","Mono, ON L9W 5X7",6321-Chefs,Inconnu,1,1
Ontario,"   Bas salaire","2679981 Ontario Inc.","Mono, ON L9W 5X7",6322-Cuisiniers,Inconnu,1,3
Ontario,"   Bas salaire","2679981 Ontario Inc.","Mono, ON L9W 5X7","6513-Serveurs d'aliments et de boissons",Inconnu,1,2
Ontario,"   Bas salaire","2779900 Ontario Inc","Etobicoke, ON M8V  2V","6211-Superviseurs des ventes - commerce de détail",Corporation,1,1
Ontario,"   Bas salaire","BRAMCITY LOGISTIC INC.","Amaranth, ON L9W 2Z3","7511-Conducteurs de camions de transport",Inconnu,1,1
Ontario,"   Bas salaire","CAN-Truck 2009 Inc.","Brampton, ON L6T 2H5","7511-Conducteurs de camions de transport",Inconnu,1,1
Ontario,"   Bas salaire","CARIBBEAN ICE CREAM COMPANY LTD","NORTH YORK, ON M4A 1X5","6221-Spécialistes des ventes techniques - commerce de gros",Inconnu,1,2
Ontario,"   Bas salaire","Carnevale Supermarkets Inc","Toronto, ON M4K 1R2","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",Inconnu,1,2
Ontario,"   Bas salaire","Carp Ridge EcoWellness Centre","Carp, ON K0A 1L0","6733-Concierges et surintendants d'immeubles",Inconnu,1,2
Ontario,"   Bas salaire","Chinguacousy Physio and Foot Clinic","Brampton, ON L6X 5K7","3237-Autre personnel technique en thérapie et en diagnostic",Inconnu,1,1
Ontario,"   Bas salaire","CREN Enterprises Inc.","Brampton, ON L6S 0E7",6322-Cuisiniers,Inconnu,1,2
Ontario,"   Bas salaire","Demo For Your Reno Inc.","Toronto, ON M9A 1B2","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,1
Ontario,"   Bas salaire","DESI BAR & GRILL LTD.","MISSISSAUGA, ON L4W 4C3","6311-Superviseurs des services alimentaires",Inconnu,1,1
Ontario,"   Bas salaire","Eli Logistics Solutions Inc","Mississauga, ON L4T 1G3","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,2
Ontario,"   Bas salaire","Global Plas Inc.","Concord, ON L4K 2P6","9422-Opérateurs de machines de traitement des matières plastiques",Inconnu,1,5
Ontario,"   Bas salaire","HARVEE LOGISTICS INC","WATERLOO, ON N2L 0C7","1221-Agents d'administration",Inconnu,1,1
Ontario,"   Bas salaire","HAVEN INTERNATIONAL SCHOOL INC","BRANTFORD, ON N3S 3N3","4413-Aides-enseignants aux niveaux primaire et secondaire",Inconnu,1,1
Ontario,"   Bas salaire","HT INTERNATIONAL INC","Toronto, ON M2H 3B4","6311-Superviseurs des services alimentaires",Inconnu,1,1
Ontario,"   Bas salaire","iRefer Inc.","Toronto, ON M2R 0A7","1242-Adjoints administratifs juridiques",Inconnu,1,1
Ontario,"   Bas salaire","New Canadian Drain and Plumber Ltd.","Toronto, ON M6H 4A1","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,1
Ontario,"   Bas salaire","Newfoundlandscape Inc.","Ottawa, ON K2G 6Y1","8612-Manoeuvres en aménagement paysager et en entretien des terrains",Inconnu,1,1
Ontario,"   Bas salaire","Rainbow Internatinal of Mississauga & Halton","Burlington, ON L7M 2Z9","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",Corporation,1,1
Ontario,"   Bas salaire","Rainbow Internatinal of Mississauga & Halton","Burlington, ON L7M 2Z9","7295-Poseurs de revêtements d'intérieur",Corporation,1,1
Ontario,"   Bas salaire","Saisethsons Realty Inc","Woodbridge, ON L4H 1B5","6311-Superviseurs des services alimentaires",Inconnu,1,6
Ontario,"   Bas salaire","SAKUNTHALA CATERING INC.","TIMMINS, ON P4R 1A1",6322-Cuisiniers,Inconnu,1,1
Ontario,"   Bas salaire","SANO HEATING LTD.","VAUGHAN, ON L6A 3Y5","7511-Conducteurs de camions de transport",Inconnu,1,1
Ontario,"   Bas salaire","Spring Garden Market Ltd.","North York, ON M2N 3G1","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",Inconnu,1,1
Ontario,"   Bas salaire","TINY-SHINY CHILDCARE INC.","STAYNER, ON L0M 1S0","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,1
Ontario,"   Bas salaire","VJP Pallets Inc.","Mississauga, ON L4T 3V4","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",Inconnu,1,1
Ontario,"  Agriculture primaire","1811814 Ont. Inc","Watford, ON N0M 2S0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",Inconnu,1,1
Ontario,"  Talent mondial","Career Hunterz Inc.","Mississauga, ON L5N  1W","2171-Analystes et consultants en informatique",Corporation,1,1
Ontario,"  Talent mondial","Global Outsourcing Team (Canada) Inc.","Toronto, ON M5H 3R3","2171-Analystes et consultants en informatique",Corporation,1,1
Manitoba,"     Haut salaire","10065510 MANITOBA LTD RENNIE RIVER LEISURE","Rennie, MB R0E 1R0","0621-Directeurs - commerce de détail et de gros",Inconnu,1,2
Manitoba,"     Haut salaire","Eascan Automation Inc.","Winnipeg, MB R3G 2T9","7311-Mécaniciens de chantier et mécaniciens industriels",Inconnu,1,1
Manitoba,"     Haut salaire","EL Metalmaster Inc.","LaBroquerie, MB R0A 0W0","7322-Débosseleurs et réparateurs de carrosserie",Inconnu,1,3
Manitoba,"     Haut salaire","Outdoor Elements La Ronge Inc","Sandylake, MB R0J 1X0","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Manitoba,"     Haut salaire","Road Pulse Trucking Ltd.","Winnipeg, MB R2P 0H2","1221-Agents d'administration",Inconnu,1,1
Manitoba,"     Haut salaire","Rocket Logistics Ltd","Winnipeg, MB R3W 0J9","7511-Conducteurs de camions de transport",Inconnu,1,4
Manitoba,"   Bas salaire","Powertec Electric Inc","Winnipeg, MB R3E 2S9","1241-Adjoints administratifs",Inconnu,1,1
Saskatchewan,"     Haut salaire","Adewumi Adanlawo Medical Professional Corporation","Regina, SK S4N 0P3","3216-Technologues en échographie",Inconnu,1,1
Saskatchewan,"   Bas salaire","Concorde Food Services (1996) Ltd.","Saskatoon, SK S7H 0S3","0631-Directeurs de la restauration et des services alimentaires",Inconnu,1,1
Saskatchewan,"   Bas salaire","Princey Salon LTD","Regina, SK S4X 4P1","6341-Coiffeurs et barbiers",Inconnu,1,1
Saskatchewan,"   Bas salaire","SUNRISE INN LTD.","Cabri, SK S0N 0J0","6312-Gouvernants principaux",Inconnu,1,1
Alberta,"     Haut salaire","1688130 Alberta Ltd.","Edmonton, AB T6L 6M1","7511-Conducteurs de camions de transport",Inconnu,1,1
Alberta,"     Haut salaire","2080836 Alberta Ltd","Calgary, AB T2B 3R8","1241-Adjoints administratifs",Inconnu,1,1
Alberta,"     Haut salaire","2151996 Alberta Ltd o/a Jusbubble","Calgary, AB T2G 0A3","1123-Professionnels en publicité, en marketing et en relations publiques",Inconnu,1,1
Alberta,"     Haut salaire","2232454 ALBERTA LTD","Calgary, AB T2E 6M6","0114-Directeurs d'autres services administratifs",Inconnu,1,1
Alberta,"     Haut salaire","7220961 Canada Inc.","Edmonton, AB T6X 1Y1","7305-Surveillants du transport routier et du transport en commun",Inconnu,1,1
Alberta,"     Haut salaire","Adventure Physiotherapy Inc","Grande Prairie, AB T8V 7S4",3142-Physiothérapeutes,Inconnu,1,1
Alberta,"     Haut salaire","Amayra enterprises ltd","calgary, AB T3J 2E7","1241-Adjoints administratifs",Inconnu,1,2
Alberta,"     Haut salaire","Calgary Tractorland Ltd.","Rocky View  County, AB T4A 0E2","1221-Agents d'administration",Inconnu,1,1
Alberta,"     Haut salaire","Canada Book Distributors Ltd","Edmonton, AB T6E  5B","2171-Analystes et consultants en informatique",Corporation,1,1
Alberta,"     Haut salaire","Caramex Logistics Inc","Sylvan Lake, AB T4S 0K5",1525-Répartiteurs,Inconnu,1,1
Alberta,"     Haut salaire","Caramex Logistics Inc","Sylvan Lake, AB T4S 0K5","7511-Conducteurs de camions de transport",Inconnu,2,2
Alberta,"     Haut salaire","Grand Realty and Management Ltd","Calgary, AB T2E 8T6","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",Inconnu,1,1
Alberta,"     Haut salaire","J&K Electrical Services Ltd.","edmonton, AB T6X 1S2","7241-Électriciens (sauf électriciens industriels et de réseaux électriques)",Inconnu,1,1
Alberta,"     Haut salaire","Pabyal construction Inc.","Chestermere, AB T1X 0R8","7204-Entrepreneurs et contremaîtres en charpenterie",Inconnu,1,1
Alberta,"   Bas salaire","1119239 ALBERTA LTD. o/a EDO JAPAN (Medicine Hat)","Medicine Hat, AB T1B 2R4","6311-Superviseurs des services alimentaires",Inconnu,1,1
Alberta,"   Bas salaire","1122751 Alberta Ltd","Morinville, AB T8R 1P9","6311-Superviseurs des services alimentaires",Inconnu,1,1
Alberta,"   Bas salaire","1307208 AB LTD.","EDMONTON, AB T5L 4Y8","6311-Superviseurs des services alimentaires",Inconnu,1,2
Alberta,"   Bas salaire","1307208 AB LTD.","EDMONTON, AB T5L 4Y8",6322-Cuisiniers,Inconnu,1,3
Alberta,"   Bas salaire","1624032 ALBERTA LTD","Fort SASKATCHEWAN, AB T8L 4P7",6322-Cuisiniers,Inconnu,1,1
Alberta,"   Bas salaire","1724220 Alberta Ltd.","Canmore, AB T1W 2X3","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",Inconnu,1,1
Alberta,"   Bas salaire","1867499 Alberta Limited","Calgary, AB T2R 0C5","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,1
Alberta,"   Bas salaire","1911522 Alberta Ltd. o/a Ramen Ramen Noodle House","Ft. McMurray, AB T9K 0T6","6311-Superviseurs des services alimentaires",Inconnu,1,1
Alberta,"   Bas salaire","1914349 Alberta Ltd","Edmonton, AB T6T 1A7",6322-Cuisiniers,Inconnu,1,2
Alberta,"   Bas salaire","2054101 Alberta Ltd.","Edmonton, AB T6T 0M1","7511-Conducteurs de camions de transport",Inconnu,1,4
Alberta,"   Bas salaire","2104509 Alberta Ltd","FORT SASKATCHEWAN, AB T8L 4P4","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Alberta,"   Bas salaire","2165784 Alberta Ltd","Camrose, AB T4V 0K5","1241-Adjoints administratifs",Inconnu,1,1
Alberta,"   Bas salaire","4Word Inc.","Grande Prairie, AB T8V 2M9","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Alberta,"   Bas salaire","Amazing Nails & Spa","Grande Prairie, AB T8V 2N4","6316-Surveillants des autres services",Inconnu,1,1
Alberta,"   Bas salaire","BEIJING HOUSE CUISINE LTD","EDMONTON, AB T5L 5E7",6322-Cuisiniers,Inconnu,1,1
Alberta,"   Bas salaire","C&L Cabinets Ltd.","Calgary, AB T2H 2L9","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Alberta,"   Bas salaire","Canada Book Distributors Ltd","Edmonton, AB T6E  5B","1221-Agents d'administration",Corporation,1,1
Alberta,"   Bas salaire","Dos Kalbos Ltd.","Slave Lake, AB T0G 2A0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,1
Alberta,"   Bas salaire","Fast-Lane Pizza Pasta and More","CALGARY, AB T2J 2Y1","6311-Superviseurs des services alimentaires",Inconnu,1,1
Alberta,"   Bas salaire","Kyoto Sushi Japanese Restaurant","Edmonton, AB T6G 0G6",6322-Cuisiniers,Inconnu,1,1
Alberta,"   Bas salaire","Pasifika Security Services Inc","Grande Prairie, AB T8V 2V4","6316-Surveillants des autres services",Inconnu,1,1
Alberta,"   Bas salaire","Petrojaffer116 Ltd.","Edmonton, AB T5V 1A1","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Alberta,"   Bas salaire","Pinoy Fiesta Ltd","Red Deer, AB T4P 2A5","6311-Superviseurs des services alimentaires",Inconnu,1,2
Alberta,"   Bas salaire","Pinoy Fiesta Ltd","Red Deer, AB T4P 2A5",6322-Cuisiniers,Inconnu,1,2
Alberta,"   Bas salaire","Red Star Chinese Restaurant","RED DEER, AB T4N 3Y2",6322-Cuisiniers,Inconnu,1,1
Alberta,"   Bas salaire","Westlock Inn Ltd.","Westlock, AB T7P 2G7",6322-Cuisiniers,Inconnu,2,2
Alberta,"  Talent mondial","Optimum Truck Lines Ltd","EDMONTON, AB T6T 0C6","2171-Analystes et consultants en informatique",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","1074502 B.C. Ltd.","Richmond, BC V6X 2C3","1123-Professionnels en publicité, en marketing et en relations publiques",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","1146956 B.C. LTD","Coquitlam, BC V3K 3P4",6322-Cuisiniers,Inconnu,1,1
Colombie-Britannique,"     Haut salaire","1199405 BC Ltd","North Vancouver, BC V7P 1B7","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","1220069 B.C. LTD.","NORTH VANCOUVER, BC V7P 2R4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","32 Street Holdings Ltd","Surrey, BC V4P 1A2","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","4S Scaffolding Ltd.","Burnaby, BC V5C 5M8","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Audacia Ventures Inc.","Vancouver, BC V6B 2K4","0125-Directeurs d'autres services aux entreprises",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Baran Steel Placing Rebar Inc","Vancouver, BC V5S 4R6","7236-Monteurs de charpentes métalliques",Inconnu,1,5
