Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés
,,Melvin Tan Sushi Company,"Antigonish, NS B2G 1C6",6322-Cuisiniers,1
,,Nova Scotia Health Authority,"North Sydney, NS B2A 3M4",3112-Omnipraticiens et médecins en médecine familiale,1
,,,,3216-Technologues en échographie,3
,,,,4151-Psychologues,1
,,Precision Concrete Services Ltd,"Halifax, NS B3K 5M4",7282-Finisseurs de béton,1
,,SBM Nova Scotia Contractors Inc.,"Dartmouth, NS B2W 6L4",8222-Entrepreneurs et surveillants du forage et des services reliés à l'extraction de pétrole et de gaz,1
,,"SHIL Technologies, Inc.","Halifax, NS B3J 3N2",2174-Programmeurs et développeurs en médias interactifs,1
,,Spectrum Hospitality Canada Co,"Halifax, NS B3J 2V1",6321-Chefs,5
,,The Classic Therapy Group Inc.,"Halifax, NS B3L 1A8",3142-Physiothérapeutes,1
,,Waterford Energy Services Inc.,"Halifax, NS B3J 1Z4",8222-Entrepreneurs et surveillants du forage et des services reliés à l'extraction de pétrole et de gaz,1
,,Wohlgemuth Farms Ltd,"Aylesford, NS B0P 1C0",7511-Conducteurs de camions de transport,4
,   Bas salaire,Aedos Marketing Concepts Inc.,"Halifax, NS B3J 3K3",6211-Superviseurs des ventes - commerce de détail,2
,,Blue Elephant Thai Restaurant Limited,"Halifax, NS B3S 1E5",6322-Cuisiniers,2
,,Bluemont Group Ltd.,"Dartmouth, NS B3A 1M9",6322-Cuisiniers,1
,,Elmer's and Casablanca Restaurant Ltd,"Wolfville, NS B4P 2N5",6322-Cuisiniers,3
,,John Ross & Sons Limited,"Halifax, NS B3S 1B3",7452-Manutentionnaires,10
,,Les Enterprises Samson Enterprises Ltee,"Arichat, NS B0E 1A0",9531-Monteurs de bateaux et contrôleurs de montage de bateaux,2
,,Lismore Seafoods Inc.,"Merigomish, NS B0K 1G0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,10
,,Mirchi Tandoor Inc.,"Halifax, NS B3J 1J7",6322-Cuisiniers,3
,,Moncton Fresh Casual Restaurants Inc o/a Swiss Chalet,"Amherst, NS B4H 4L2",6322-Cuisiniers,2
,,Naru Japanese Restaurant (NS) Ltd.,"Sydney, NS B1P 1G8",6321-Chefs,1
,,North End Community Day Care Centre,"Halifax, NS B3K 1X2",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,One-For-One Limited,"Halifax, NS B3M 2R1",6322-Cuisiniers,1
,,Pêcherie Cheticamp Fisheries Intl. (2016) Ltd,"Cheticamp, NS B0E 1H0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,16
,,Peter Green Hall Children's Centre,"Halifax, NS B3H 2Z9",4214-Éducateurs et aides-éducateurs de la petite enfance,2
,,Tawa Grill,"Halifax, NS B3J 1R9",6322-Cuisiniers,2
,,Trullo Ristorante Italiano Limited,"Dartmouth, NS B2Y 0C6",6322-Cuisiniers,1
,,Victoria Co-operative Fisheries Ltd.,"Neil's Harbour, NS B0C 1N0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,11
,  Agriculture primaire,3115695 Nova Scotia Ltd.,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,5
,,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,5
,,Barteaux Farms,"Annapolis Royal, NS B0S 1A0",8431-Ouvriers agricoles,1
,,Bidalosy Farms Limited,"Beaver Brook, NS B6L 1H4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,8
,,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8432-Ouvriers de pépinières et de serres,9
,,den Haan Enterprises Ltd,"Lawrencetown, NS B0S 1M0",8432-Ouvriers de pépinières et de serres,18
,,Elite Balsam Products Inc,"St Andrews, NS B0H 1X0",8432-Ouvriers de pépinières et de serres,6
,,Ellslea Farms Ltd.,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,3
,,Elmridge Farm (2003) Ltd,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,24
,,Eyking Brothers Farm,"Millville, NS B1Y 2E2",8431-Ouvriers agricoles,18
,,J W Mason & Sons (2013) Limited,"Windsor, NS B0N 2T0",8431-Ouvriers agricoles,20
,,J&L Oostvogels Farms Inc.,"Antigonish, NS B2G 2J1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,Lindenright Farm,"Antigonish, NS B2G 2K9","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,Mahoney's Evergreens,"East Dalhousie, NS B0R 1H0",8432-Ouvriers de pépinières et de serres,8
,,Sarsfield Farms Inc,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,12
,,Spurr Brothers Farms Ltd,"Melvern Square, NS B0P 1R0",8431-Ouvriers agricoles,6
,,Stokdijk Greenhouses Ltd,"Beaver Brook, NS B6L 1H3",8432-Ouvriers de pépinières et de serres,14
,,TapRoot Farms Inc.,"Port Williams, NS B0P 1T0",8431-Ouvriers agricoles,14
,,Town Plot Orchards Ltd,"Port Williams, NS B0P 1T0",8431-Ouvriers agricoles,4
,,Traditional Evergreen Tree Farms Ltd,"Bridgewater, NS B4V 2W6",8432-Ouvriers de pépinières et de serres,4
,,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,22
,,Wohlgemuth Farms Ltd,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,10
, Talent mondial,MOBIA Technology Innovations,"Dartmouth, NS B3B 0B3",2173-Ingénieurs et concepteurs en logiciel,1
,,Sona Nanotech Limited,"Halifax, NS B3J 3R7","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Workiva Canada ULC,"Halifax, NS B3J 2X2",2173-Ingénieurs et concepteurs en logiciel,1
Nouveau-Brunswick,    Haut salaire,658711 NB Ltd.,"Miramichi, NB E1V 1X4",6322-Cuisiniers,1
,,Alexandru & Camelia Trucking,"Woodstock, NB E7M 2L3",7511-Conducteurs de camions de transport,2
,,Colbr Consulting Inc.,"Fredricton, NB E3A 4L5","4169-Autres professionnels des sciences sociales, n.c.a.",1
,,County Line Trucking Ltd,"Wilmot, NB E7P 2V4",7511-Conducteurs de camions de transport,5
,,D-U-C Trucking Inc.,"Woodstock, NB E7M 1Y7",7511-Conducteurs de camions de transport,1
,,"Jolly Farmer Transport, Inc.","Northhampton, NB E7N 1R6",7511-Conducteurs de camions de transport,2
,,McConnell Transport Ltd.,"Woodstock, NB E7M 6B5",7511-Conducteurs de camions de transport,20
,,Murray Enterprises Ltd,"Sussex Corner, NB E4E 2Y5",7511-Conducteurs de camions de transport,2
,,Regional Health Authority B,"Saint John, NB E2L 4L2",3111-Médecins spécialistes,1
,,Safonov's International Business Corportation,"Moncton, NB E1G 0P8",7511-Conducteurs de camions de transport,2
,,Sunbury Transport Limited,"Saint John, NB E2L 4H8",7511-Conducteurs de camions de transport,22
,   Bas salaire,658579 NB Ltd,"Fredericton, NB E3C 1A2",6322-Cuisiniers,2
,,665606 NB Inc,"Moncton, NB E1A 5L1",6311-Superviseurs des services alimentaires,1
,,,,6322-Cuisiniers,1
,,666727 NB. Ltd,"Moncton, NB E1A 3R4",6322-Cuisiniers,1
,,7726848 Canada Ltd.,"Moncton, NB E1C 2T9",6311-Superviseurs des services alimentaires,1
,,,,6322-Cuisiniers,3
,,Bouctouche Bay Inn Inc.,"Bouctouche, NB E4S 2T5",6322-Cuisiniers,2
,,Brun Fisheries Ltd.,"Petit-Cap, NB E4N 2G8",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,2
,,Cape Bald Packers Ltd,"Cap-Pelé, NB E4N 1E3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,156
,,Captain Dan's Inc.,"Richibouctou-Village, NB E4W 1C9",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,44
,,Caraquet Pizza Inc.,"Caraquet, NB E1W 1B8",6322-Cuisiniers,1
,,Jack's Pizza & Donairs,"Fredericton, NB E3B 1E4",6322-Cuisiniers,2
,,Kuro Sushi,"Shediac, NB E4P 2B3",6322-Cuisiniers,1
,,La Residence Castel Des Flots Bleus Ltee,"Cap-Pele, NB E4N 0B5",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,3
,,NAM & RIM Inc.,"St. George, NB E5C 1A9",6322-Cuisiniers,1
,,Ocean Pier Inc.,"Scoudouc, NB E4P 3R4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,1
,,R & L Convenience Inc.,"Rothesay, NB E2E 5X4",6322-Cuisiniers,2
,,Shediac Lobster Shop Ltd.,"Shediac, NB E4P 2A6",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,60
,,Spoon Sushi Express Ltd.,"Moncton, NB E1G 2H9",6322-Cuisiniers,2
,,Thai Manao Inc,"Frederiction, NB E3C 0B8",6322-Cuisiniers,1
,,Westmorland Fisheries Ltd.,"Cap-Pelé, NB E4N 1V3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,78
,  Agriculture primaire,BTN Atlantic (615317 NB Inc),"Berwick, NB E5P 3H5",8432-Ouvriers de pépinières et de serres,10
,,Jolly Farmer Products Inc,"Northampton, NB E7N 1R6",8432-Ouvriers de pépinières et de serres,23
,,Marlene Moffett Ltd,"Penobquis, NB E4G 2Z4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Québec,    Haut salaire,149942 CANADA INC,"Laval, QC H7L 3T6",6321-Chefs,1
,,2164-8431 QUÉBEC INC.,"Québec, QC G1N 3E7",1241-Adjoints administratifs,1
,,3094561 CANADA INC.,"Montreal, QC H4N 1G5",6222-Acheteurs des commerces de détail et de gros,1
,,6179631 Canada Inc,"Montréal, QC H2T 1Y1",5241-Designers graphiques et illustrateurs,1
,,7106106 CANADA INC.,"Gatineau, QC J8Y 3Y7",6322-Cuisiniers,1
,,7270356 Canada inc.,"Ville Saint-Laurent, QC H4M 2Z2",2175-Concepteurs et développeurs Web,2
,,8326312 Canada Inc,"Montréal, QC H3B 1A6",2174-Programmeurs et développeurs en médias interactifs,1
,,,,5241-Designers graphiques et illustrateurs,1
,,8769788 Canada Inc,"Montreal, QC H1R 2Y9",5241-Designers graphiques et illustrateurs,1
,,8884625 Canada Inc.,"Gatineau, QC J9J 2V5",6322-Cuisiniers,1
,,9013-1806 Québec inc,"Mont-Royal, QC H3P 2B6",6321-Chefs,1
,,9018-6560 Québec Inc.,"Montreal, QC H2Y 2E1","5232-Autres artistes de spectacle, n.c.a.",2
,,9021-1889 QUEBEC INC,"LaSalle, QC H8N 2W9",1311-Techniciens en comptabilité et teneurs de livres,1
,,9066-2479 Québec Inc.,"Candiac, QC J5R 6G9",2171-Analystes et consultants en informatique,1
,,9093-0280 Québec Inc.,"Montréal, QC H2R 2B1",6321-Chefs,1
,,9095-5451 Québec Inc.,"Lachine, QC H8S 4H2","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,9096-6029 Quebec Inc.,"St-Jean-Sur-Richelieu, QC J2X 5N5",2232-Technologues et techniciens en génie mécanique,1
,,9108-7817 Quebec Inc,"Montreal, QC H2S 2Z2",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
,,9136665 Canada Inc.,"Montréal, QC H4P 1V6",2171-Analystes et consultants en informatique,1
,,9179-6565 Québec Inc.,"Montréal, QC H1W 1G2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,9182-9481 Qc Inc.,"St-Hyacinthe, QC J2S 3W1",2232-Technologues et techniciens en génie mécanique,1
,,9208-5489 Québec Inc. (Pizzeria Bottega Laval),"Laval, QC H7S 1N3",6321-Chefs,1
,,9219-1568 Québec Inc.,"Montreal, QC H4P 2H2",2175-Concepteurs et développeurs Web,2
,,9226-3268 Québec Inc,"Montréal, QC H2L 2A5",6321-Chefs,1
,,9252-0618 Québec Inc.,"Montréal, QC H4P 1P5",6321-Chefs,1
,,9256-5332 Québec inc.,"Montreal, QC H3N 1W7",1223-Agents des ressources humaines et de recrutement,1
,,9257-4607 Quebec Inc.,"Laval, QC H7L 3J4",6421-Vendeurs - commerce de détail,1
,,9257-4680 Québec Inc.,"Montréal, QC H4A 1V5",6322-Cuisiniers,1
,,9258-6429 Québec Inc,"Montréal, QC H8R 3W8","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",2
,,9273-0829 Québec Inc.,"Montreal, QC H2Y 2V3",6332-Boulangers-pâtissiers,1
,,9275-1171 Québec Inc.,"Montréal, QC H3H 1M1",6321-Chefs,1
,,9287-1847 Québec inc.,"Québec, QC G1R 2S6",6322-Cuisiniers,1
,,9287-2159 Québec Inc,"Montréal, QC H4Z 1H1",6321-Chefs,1
,,9291-5651 Québec Inc,"Magog, QC J1X 7Y1",7322-Débosseleurs et réparateurs de carrosserie,1
,,9298-5266 Québec Inc.,"Montréal, QC H2J 3B4",2241-Technologues et techniciens en génie électronique et électrique,1
,,9301-0031 Québec Inc,"Montreal, QC H2Y 2W8",0632-Directeurs des services d'hébergement,1
,,9312-6167 Québec Inc.,"Montreal, QC H3A 0A2",3232-Praticiens des médecines douces,1
,,9323-6933 Québec Inc.,"St-Laurent, QC H4R 0G4",2175-Concepteurs et développeurs Web,1
,,9324-1743 Québec Inc.,"Lasalle, QC H8R 3H6",6322-Cuisiniers,1
,,9327-7358 Québec Inc.,"Montréal, QC H3K 1G6","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,9330-4236 Quebec Inc.,"L'Anse-à-Beaufils, QC G0C 1G0",0631-Directeurs de la restauration et des services alimentaires,1
,,9331-3450 Québec Inc.,"Coaticook, QC J1A 2S5",0632-Directeurs des services d'hébergement,1
,,9342-6484 Québec Inc,"Montréal, QC H2Y 2P4",6322-Cuisiniers,1
,,9363-5746 Québec Inc.,"St-André-d'Argenteuil, QC J0V 1X0","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,,,1311-Techniciens en comptabilité et teneurs de livres,1
,,À CHACUN SON PAIN INC.,"Baie-Saint-Paul, QC G3Z 2W2",6332-Boulangers-pâtissiers,1
,,A.A. Juices Canada Inc.,"Montreal, QC H4R 1W8",0601-Directeurs des ventes corporatives,1
,,Advantech sans fil Inc./Advantech Wireless Inc.,"Dorval, QC H9P 1G1",2253-Technologues et techniciens en dessin,1
,,Agence Évidence inc.,"Montréal, QC H3G 2E3",2175-Concepteurs et développeurs Web,1
,,"AGT Clic Foods, Inc.","Laval, QC H7S 1N5","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,Air Canada,"Ville Saint-Laurent, QC H4S 1Z3",1122-Professionnels des services-conseils en gestion aux entreprises,1
,,,,2171-Analystes et consultants en informatique,1
,,Akka Groupe Amérique du Nord Inc.,"Montréal, QC H3A 2W5",2146-Ingénieurs en aérospatiale,2
,,ALTITUDE AEROSPACE INC.,"Montréal, QC H4S 1T2",2146-Ingénieurs en aérospatiale,1
,,,,2232-Technologues et techniciens en génie mécanique,1
,,Aurel Harvey & Fils Inc.,"La Malbaie, QC G5A 1C5","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,,Autodesk Canada Co.,"Montreal, QC H2Y 2E1",2173-Ingénieurs et concepteurs en logiciel,1
,,Aux Petits Délices G.T.inc,"Québec, QC G1N 4L5",6322-Cuisiniers,1
,,Ballistiq Digital Inc.,"Montreal, QC H3C 2M7",2175-Concepteurs et développeurs Web,2
,,Beauchemin Trépanier CPA inc.,"Montréal, QC H2X 1X2",1111-Vérificateurs et comptables,1
,,Beenox inc.,"Québec, QC G1K 3H3",5241-Designers graphiques et illustrateurs,1
,,Behaviour Interactive Inc.,"Montréal, QC H2S 3H1","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Beland & Nadeau Inc,"Mascouche, QC J7K 3E6",3231-Opticiens d'ordonnances,1
,,Bell Mobilité inc.,"Verdun, QC H3E 3B3",2171-Analystes et consultants en informatique,1
,,Beyond Technologies Consulting Inc./Solutions Beyond Technologies Inc.,"Montréal, QC H3C 2M1",2171-Analystes et consultants en informatique,1
,,Big Bang ERP Inc.,"Montreal, QC H2N 1A3",2171-Analystes et consultants en informatique,1
,,BNP Paribas Solutions TI Canada Inc.,"Montréal, QC H3A 2W8",2171-Analystes et consultants en informatique,3
,,,,2174-Programmeurs et développeurs en médias interactifs,1
,,BOA-FRANC S.E.N.C.,"Saint-Georges, QC G5Y 8J5",2174-Programmeurs et développeurs en médias interactifs,1
,,,,2281-Techniciens de réseau informatique,1
,,,,7333-Électromécaniciens,2
,,Boccard Life Sciences Inc.,"Montreal, QC H2Y 1T4",0211-Directeurs des services de génie,1
,,Bombardier Inc.,"Montréal, QC H3B 1Y8",2132-Ingénieurs mécaniciens,1
,,,,2146-Ingénieurs en aérospatiale,1
,,Boutique Tristan & Iseut Inc.,"Montreal, QC H3K 3K3",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,,BRP inc.,"Valcourt, QC J0E 2L0",2253-Technologues et techniciens en dessin,1
,,Bulle Chaussures inc.,"Quebec, QC G1N 4N5",5241-Designers graphiques et illustrateurs,1
,,Busbud Inc.,"Montréal, QC H2T 1X6",2175-Concepteurs et développeurs Web,1
,,C.N.C. TRACY INC.,"Sorel-Tracy, QC J3R 2B9",7231-Machinistes et vérificateurs d'usinage et d'outillage,3
,,C5 Knowledge,"Montréal, QC H3A 1X6",2173-Ingénieurs et concepteurs en logiciel,2
,,Caisse de Dépôt et Placements du Québec,"Montréal, QC H2Z 2B3",1112-Analystes financiers et analystes en placements,1
,,Caméléon Vert Plantes Tropicales Inc,"Beaconsfield, QC H9W 4W2",5241-Designers graphiques et illustrateurs,1
,,Canadian National Railway Company,"Montréal, QC H3B 2M9",0731-Directeurs des transports,1
,,Cargomar Inc.,"Montréal, QC H2Y 1T9","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,Cascades Centre des Technologies,"Brossard, QC J4Y 3B7",1112-Analystes financiers et analystes en placements,1
,,Centre de Santé et de Services Sociaux de Laval,"Laval, QC H7V 3Y7",3112-Omnipraticiens et médecins en médecine familiale,1
,,Centre d'évaluation neuropsychologie CENOP,"Montreal, QC H3L 1S8",4151-Psychologues,1
,,Centre hospitalier de l'Université de Montréal,"Montréal, QC H2X 0A9",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,2
,,CEP Forensique inc.,"Laval, QC H7L 5X6",2171-Analystes et consultants en informatique,1
,,Chawarma chicco 1,"Gatineau, QC J8M 2C1",6322-Cuisiniers,1
,,ChronoMétriq Inc.,"Montréal, QC J4H 2X7",2175-Concepteurs et développeurs Web,1
,,CHU de Québec - Université Laval,"Québec, QC G1R 2J6",3111-Médecins spécialistes,1
,,Cinesite Inc.,"Montréal, QC H2Y 0A3",2174-Programmeurs et développeurs en médias interactifs,1
,,,,5241-Designers graphiques et illustrateurs,13
,,CISSS de la Montérégie-Est (Pierre-de Saurel),"St-Hyancynthe, QC J2S 4Y8",3111-Médecins spécialistes,1
,,CISSS de l'Abitibi-Témiscamingue,"Val d'or, QC J9P 3Y2",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,5
,,,,3112-Omnipraticiens et médecins en médecine familiale,1
,,CISSS de l'Outaouais,"Gatineau, QC J8P 7H2",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,1
,,CIUSSS de la Mauricie-et-du-Centre-du-Quebec,"Trois-Rivières, QC G9A 5C5",3111-Médecins spécialistes,1
,,CIUSSS du Nord-de-l'Ile-de-Montreal,"Montréal, QC H4J 1C5",3111-Médecins spécialistes,1
,,Cleargoals Company,"Montréal, QC H2X 2T6",2173-Ingénieurs et concepteurs en logiciel,1
,,Coco Pazzo Inc. (Restaurant),"Mont-Tremblant, QC J8E 1B1",6321-Chefs,1
,,Cofomo Développement Inc.,"Montréal, QC H3B 4W5",2174-Programmeurs et développeurs en médias interactifs,3
,,Collège des médecins du Québec,"Montréal, QC H3B 0G2",3111-Médecins spécialistes,7
,,,,3112-Omnipraticiens et médecins en médecine familiale,4
,,Communication Visuelle,"Laval, QC H7K 3N1","5232-Autres artistes de spectacle, n.c.a.",2
,,Concordia University,"Montréal, QC H3G 1M8",4011-Professeurs et chargés de cours au niveau universitaire,2
,,CONSEILLERS EN GESTION ET INFORMATIQUE CGI INC,"Montreal, QC H3G 1T4",2171-Analystes et consultants en informatique,17
,,,,2173-Ingénieurs et concepteurs en logiciel,1
,,,,2174-Programmeurs et développeurs en médias interactifs,19
,,,,2282-Agents de soutien aux utilisateurs,2
,,Construction Minisini inc.,"Ste Sophie, QC J5J 2K6",7291-Couvreurs et poseurs de bardeaux,1
,,Consulair Inc.,"Québec, QC G1N 4L5",2241-Technologues et techniciens en génie électronique et électrique,1
,,Consulting Information HN Inc.,"Brossard, QC J4Z 0E5",2174-Programmeurs et développeurs en médias interactifs,1
,,Corporation Fiera Capital,"Montreal, QC H3A 3M8",1112-Analystes financiers et analystes en placements,1
,,Corporation Interactive EIDOS,"Montréal, QC H3A 1G1",5241-Designers graphiques et illustrateurs,1
,,"Corporation MacDonald, Dettwiler et associés","Ste-Anne-de-Bellevue, QC H9X 3R2",2146-Ingénieurs en aérospatiale,1
,,Creation 4u2c inc,"Montréal, QC H2S 3H1",5241-Designers graphiques et illustrateurs,1
,,Croisières AML inc,"Québec, QC G1K 4A7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Dempton Groupe Conseil,"Montréal, QC H3B 3B6",2171-Analystes et consultants en informatique,2
,,Diana Food Canada Inc.,"Champlain, QC G0X 1C0",0911-Directeurs de la fabrication,1
,,Digitech 3D Inc.,"Verchères, QC J0L 2R0","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Divertissements Gameloft Inc.,"Montréal, QC H2R 2Z5",2174-Programmeurs et développeurs en médias interactifs,2
,,,,2283-Évaluateurs de systèmes informatiques,1
,,,,"5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
