Province/Territory,"Program Stream",Employer,Address,Occupation,"Incorporate Status","Requested LMIAs","Requested Positions"
Quebec,"High Wage","ITI PLACEMENT DE RESSOURCES INC","Québec, QC G2E 5G5","2281-Computer network technicians",Corporation,1,1
Quebec,"High Wage","SELEKKTUS Solutions d'embauche inc.","Montreal, QC H3C 1L9","1523-Production logistics co-ordinators",Unknown,1,1
Quebec,"Low Wage","13813312 CANADA INC.","montreal, QC H2P 2H3","1223-Human resources and recruitment officers",Unknown,1,1
Quebec,"Low Wage","9200-4050 quebec inc","Boisbriand, QC J7G 2A8","3413-Nurse aides, orderlies and patient service associates",Corporation,3,3
Quebec,"Low Wage","9388-7347 Québec Inc.","Shawinigan, QC G9P 1N6",6322-Cooks,Unknown,1,1
Quebec,"Low Wage","9410-4924 Québec inc.","Montréal, QC H1N  1C","7514-Delivery and courier service drivers",Corporation,1,1
Quebec,"Low Wage","Eco Intermodal inc.","SAINTE MARTINE, QC J0S 1V0","7511-Transport truck drivers",Unknown,1,1
Quebec,"Low Wage","Energy Door Company","L'ASSOMPTION, QC, QC J5W 4P5","7313-Refrigeration and air conditioning mechanics",Unknown,1,4
Quebec,"Low Wage","Fourgons Leclair inc","Terrebonne, QC J6Y 0J8","9522-Motor vehicle assemblers, inspectors and testers",Unknown,1,4
Quebec,"Low Wage","Groupe Montech Inc.","Montreal, QC H1P 1A2","9235-Pulping, papermaking and coating control operators",Unknown,1,1
Quebec,"Low Wage","MEJ service plus","Longueuil, QC J4K 4K2",6322-Cooks,Unknown,1,3
Quebec,"Low Wage","MFBB INC.","Montreal, QC H2K 3T1","7303-Supervisors, printing and related occupations",Unknown,1,1
Quebec,"Low Wage","SOINS ET CONFORT INC","Montréal, QC H8Y  2M","3413-Nurse aides, orderlies and patient service associates",Corporation,2,3
Quebec,"Low Wage","Sushi Samiyo Inc","VAL-D'OR, QC J9P 1T2",6321-Chefs,Unknown,1,1
Quebec,"Primary Agriculture","L'arche de Megan et Francois inc.","Richelieu, QC J3L 6N8","8431-General farm workers",Unknown,1,1
Ontario,"Global Talent Stream","Akhny Solutions Inc.","Milton, ON L9T 8P6","2174-Computer programmers and interactive media developers",Unknown,1,2
Ontario,"Global Talent Stream","DSR CANADA CORP.","Toronto, ON M5H  1J","0213-Computer and information systems managers",Corporation,1,1
Ontario,"High Wage","1000240301 Ontario Inc","Brampton, ON L6R 3J6",6322-Cooks,Unknown,1,1
Ontario,"High Wage","1000352629 ONTARIO INC","Port Elgin, ON N0H 2C3","0014-Senior managers - health, education, social and community services and membership organizations",Unknown,1,1
Ontario,"High Wage","1000352629 ONTARIO INC","Port Elgin, ON N0H 2C3","1221-Administrative officers",Unknown,2,2
Ontario,"High Wage","1000352629 ONTARIO INC","Port Elgin, ON N0H 2C3","4163-Business development officers and marketing researchers and consultants",Unknown,1,1
Ontario,"High Wage","1000639770 ONTARIO INC.","OTTAWA, ON K1N 8S7","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"High Wage","10049859 Canada Ltd","Scarborough, ON M1S 4E4","0601-Corporate sales managers",Unknown,1,1
Ontario,"High Wage","10078590 Canada Inc.","TORONTO, ON M4H 1C3","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Ontario,"High Wage","10755389 Canada Inc.","MISSISSAUGA, ON L5T 1B6","7511-Transport truck drivers",Unknown,1,2
Ontario,"High Wage","10949795 Canada Ltd","Etobicoke, ON M9W 0A2","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage","11020633 Canada Inc.","Mississauga, ON L5H 3A1","0731-Managers in transportation",Unknown,1,1
Ontario,"High Wage","11382179 Canada INC.","BARRIE, ON L9J 0J8","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage","11609092 canada inc","brampton, ON L6V 1C2","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","12016699 Canada Inc.","Grimsby, ON L3M 4M8","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","12282305 Canda Inc.","MISSISSAUGA, ON L5E 2X9","5131-Producers, directors, choreographers and related occupations",Unknown,1,1
Ontario,"High Wage","12624320 Canada Inc.","North York, ON M3N 1V7","0311-Managers in health care",Unknown,1,1
Ontario,"High Wage","12624320 Canada Inc.","North York, ON M3N 1V7","1221-Administrative officers",Unknown,3,5
Ontario,"High Wage","12624320 Canada Inc.","North York, ON M3N 1V7","1223-Human resources and recruitment officers",Unknown,1,1
Ontario,"High Wage","12624320 Canada Inc.","North York, ON M3N 1V7","1411-General office support workers",Unknown,1,1
Ontario,"High Wage","12793792 CANADA INC.","MISSISSAUGA, ON L5T 1Y1","7245-Telecommunications line and cable workers",Unknown,1,2
Ontario,"High Wage","13054748 Canada Inc","Mississauga, ON L4T 0A7","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage","13054748 Canada Inc","Mississauga, ON L4T 0A7","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"High Wage","14142331 Canada Inc.","Niagra Falls, ON L2H 1H3","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","14303369 Canada Inc","Mississauga, ON L5N 5V3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
Ontario,"High Wage","14407121 Canada Inc","Toronto, ON M1H 3C3","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","14928491 Canada Inc.","EAST TORONTO, ON M5A 1S9","6211-Retail sales supervisors",Unknown,2,4
Ontario,"High Wage","15057493 canada  Inc.","Oakville, ON L6M 2Y3","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"High Wage","1795996 Ontario Inc","Scarborough, ON M1S 3R6","0016-Senior managers - construction, transportation, production and utilities",Unknown,1,1
Ontario,"High Wage","1843130 Ontario Inc.","PICKERING, ON L1W 3X4","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Ontario,"High Wage","1847729 Ontario Inc.","St. Catharines, ON L2W 1A3","0014-Senior managers - health, education, social and community services and membership organizations",Unknown,1,1
Ontario,"High Wage","1973986 Ontario Inc.","MISSISSAUGA, ON L5R 2Z1","7334-Motorcycle, all-terrain vehicle and other related mechanics",Unknown,1,1
Ontario,"High Wage","2 8 4 0 9 0 9  O N T A R I O  I N C .","Brampton, ON L6W 3M2","3413-Nurse aides, orderlies and patient service associates",Unknown,1,10
Ontario,"High Wage","2111160 ONTARIO INC.","CALEDON, ON L7C 4G5","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","2145462 Ontario Inc.","Toronto, ON L6P 0X4","0016-Senior managers - construction, transportation, production and utilities",Unknown,1,1
Ontario,"High Wage","2212904 Ontario Inc.","Georgetown, ON L7G 4S7","0016-Senior managers - construction, transportation, production and utilities",Unknown,1,1
Ontario,"High Wage","2213695 Ontario Inc.","Brampton, ON L6P 2P1",7271-Carpenters,Unknown,1,2
Ontario,"High Wage","2215177 ONTARIO INC","Mississauga, ON L4W 2P3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1
Ontario,"High Wage","2226896 Ontario Inc","Brampton, ON L6T 5K1","7511-Transport truck drivers",Unknown,1,3
Ontario,"High Wage","2294242 Ontario Ltd.","Richmond Hill, ON L4C 0M5","6211-Retail sales supervisors",Unknown,1,2
Ontario,"High Wage","2379384 Ontario Ltd.","Woodbridge, ON L4L 8G8","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage","2554686 ONTARIO INC.","OAKVILLE, ON L6H 4E4","7511-Transport truck drivers",Unknown,1,1
Ontario,"High Wage","2557801 Ontario Inc","Brampton, ON L6R 0Y7","6211-Retail sales supervisors",Unknown,1,1
Ontario,"High Wage","2562105 ONTARIO INC.","BRAMPTON, ON L6Y 3M1","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","2684368 Ontario Inc","Toronto, ON M4S 1X8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
Ontario,"High Wage","2742754 Ontario Inc.","Oakville, ON L6J 7W5","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"High Wage","2745198 Ontario Inc.","Oakville, ON L6H 7S8","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"High Wage","2755060 Ontario Inc.","Brampton, ON L6R 2R2","0014-Senior managers - health, education, social and community services and membership organizations",Unknown,1,1
Ontario,"High Wage","2777038 ONTARIO INC.","Etobicoke, ON M9W 3E4","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","2781113 Ontario Inc","Oakville, ON L6M 1M1",6322-Cooks,Unknown,1,2
Ontario,"High Wage","2819854 Ontario Corp","Brampton, ON L6Y 6G2","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"High Wage","2825180 ONTARIO INC.","KLEINBURG, ON L4H 4G6","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","2841350 ONTARIO INC","Brampton, ON L6P 4G8","6731-Light duty cleaners",Unknown,1,2
Ontario,"High Wage","2868113 ONTARIO LTD.","Brampton, ON L6T 4Y3",7271-Carpenters,Unknown,1,1
Ontario,"High Wage","2868113 ONTARIO LTD.","Brampton, ON L6T 4Y3",7283-Tilesetters,Unknown,1,1
Ontario,"High Wage","5048692 ONTARIO INC.","Prescott, ON K0E 1T0","0621-Retail and wholesale trade managers",Unknown,1,1
Ontario,"High Wage","5048692 ONTARIO INC.","Prescott, ON K0E 1T0","6211-Retail sales supervisors",Unknown,1,1
Ontario,"High Wage","5Rivers Media Inc.","Mississauga, ON L4Z 1V9","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage","5Rivers Media Inc.","Mississauga, ON L4Z 1V9","5131-Producers, directors, choreographers and related occupations",Unknown,1,2
Ontario,"High Wage","651093 Ontario Limited","Scarborough, ON M1B 2W3","7511-Transport truck drivers",Unknown,1,1
Ontario,"High Wage","7704798 Canada Ltd","Brighton, ON K0K 1H0","6211-Retail sales supervisors",Unknown,1,2
Ontario,"High Wage","9291369 CANADA INC","mississauga, ON L4W 0E6","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage","9350870 CANADA INC.","Stoney Creek, ON L8E 2T1","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"High Wage","ACE LASER & SKIN SPA INC.","BRAMPTON, ON L7A 4B1","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","Adecco Employment Services Limited","London, ON N6A 3N7","1225-Purchasing agents and officers",Unknown,1,1
Ontario,"High Wage","ADVANCED PRECAST INC.","BOLTON, ON L7E 1K3","7511-Transport truck drivers",Unknown,1,1
Ontario,"High Wage","AGENCY 21 CANADA INC","MILTON, ON L9T 4Z9","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage","Airway Interline Services Inc.","Mississauga, ON L4V 1W1","0125-Other business services managers",Unknown,1,1
Ontario,"High Wage","AKAAL DESIGN AND BUILD LTD.","BRAMPTON, ON L6P 4G7","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"High Wage","ALEX AND Y Transportation","London, ON N6P 1V4","1431-Accounting and related clerks",Unknown,1,1
Ontario,"High Wage","ALLPRO TRUCK TRAINING ACADEMY INC.","Bolton, ON L7E 3B6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1
Ontario,"High Wage","ALLY'S HELPING HAND LTD.","Mississauga, ON L4W 4L9","7511-Transport truck drivers",Unknown,2,3
Ontario,"High Wage","Alpha North Group Ltd.","Toronto, ON M3J 2S4","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","AM AIR Inc.","Mississauga, ON L5N 8B8","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"High Wage","ANIMALS INC.","TORONTO, ON M6J 2R9","5131-Producers, directors, choreographers and related occupations",Corporation,2,2
Ontario,"High Wage","Apna farm halal meat & Grocery LTD","Brampton, ON L6Y 6G9","6331-Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1,3
Ontario,"High Wage","ARG PLANNING INC.","BRAMPTON, ON L6X 2Y8","7204-Contractors and supervisors, carpentry trades",Unknown,1,1
Ontario,"High Wage","ARKA EXPERTS LTD.","Scarborough, ON M1H 2S8","0014-Senior managers - health, education, social and community services and membership organizations",Unknown,1,1
Ontario,"High Wage","Armstrong healthcare limited","Hamilton, ON L8M 1C6","1223-Human resources and recruitment officers",Unknown,1,1
Ontario,"High Wage","Asurtec Solutions Inc.","LONDON, ON N6J 4X2","2282-User support technicians",Unknown,1,1
Ontario,"High Wage","Bache Group Inc.","Toronto, ON M4N 1B9","7611-Construction trades helpers and labourers",Unknown,1,1
Ontario,"High Wage","Baklawa King","HANNON, ON L0R 1P0","0114-Other administrative services managers",Unknown,1,1
Ontario,"High Wage","Bay Workforce Inc.","Etobicoke, ON M9V 3Y6","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","Best Builders & Renovations Inc.","North York, ON M3N 1V7","0711-Construction managers",Unknown,1,2
Ontario,"High Wage","Best Builders & Renovations Inc.","North York, ON M3N 1V7","1111-Financial auditors and accountants",Unknown,2,4
Ontario,"High Wage","Best Builders & Renovations Inc.","North York, ON M3N 1V7","1121-Human resources professionals",Unknown,1,1
Ontario,"High Wage","Best Builders & Renovations Inc.","North York, ON M3N 1V7","1122-Professional occupations in business management consulting",Unknown,1,2
Ontario,"High Wage","Best Builders & Renovations Inc.","North York, ON M3N 1V7","1241-Administrative assistants",Unknown,1,2
Ontario,"High Wage","Best Builders & Renovations Inc.","North York, ON M3N 1V7","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"High Wage","Best Builders & Renovations Inc.","North York, ON M3N 1V7","4163-Business development officers and marketing researchers and consultants",Unknown,1,1
Ontario,"High Wage","Birla Financial & Business Management Ltd.","Toronto, ON M8V 3Y3","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"High Wage","Bkz Reno’s Inc.","Sarnia, ON N7T 2K5","7294-Painters and decorators (except interior decorators)",Unknown,1,3
Ontario,"High Wage","Bosco Roofing Company Corp.","Fonthill, ON L0S 1E3","7441-Residential and commercial installers and servicers",Unknown,1,2
Ontario,"High Wage","Brain Consulting Tech Corp.","Brampton, ON L6P 1M2","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage","Brain Consulting Tech Corp.","Brampton, ON L6P 1M2","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"High Wage","BRAND PRO CONSULTANTS INC.","Toronto, ON M5R 3K4","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage","Brimich Logistics & Packaging Inc.","Brantford, ON N3V 0A6","2171-Information systems analysts and consultants",Unknown,1,1
Ontario,"High Wage","Brimich Logistics & Packaging Inc.","Brantford, ON N3V 0A6","2173-Software engineers and designers",Unknown,1,1
Ontario,"High Wage","Brizzo Inc.","Bradford, ON L3Z 3G9","2175-Web designers and developers",Unknown,1,1
Ontario,"High Wage","C- Voice Media Co., LTD.","Oakville, ON L6M 1V7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
Ontario,"High Wage","canadian classic touch home improvement inc","barrie, ON L4N 6C1","0711-Construction managers",Unknown,1,1
Ontario,"High Wage","Catalyse Research Inc.","Oakville, ON L6K 0J1","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"High Wage","CATTERMOLE & ASSOCIATES INC","MISSISSAUGA, ON L5T 1S1","0016-Senior managers - construction, transportation, production and utilities",Unknown,1,1
Ontario,"High Wage","Cedar Global Logistics","niagara falls, ON L2G 0Y3","0124-Advertising, marketing and public relations managers",Unknown,1,1
Ontario,"High Wage","Celadon Imports Inc.","Burlington, ON L7N 3G2","1122-Professional occupations in business management consulting",Unknown,1,1
Ontario,"High Wage","Circle Productions","TORONTO, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations",Corporation,4,4
Ontario,"High Wage","Circle Productions Ltd.","TORONTO, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations","Sole Proprietorship",1,1
Ontario,"High Wage","CloudBook Accounting Inc.","Brampton, ON L6W 0E5","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage",Coreio,"Woodbridge, ON L4L 4S5","2171-Information systems analysts and consultants",Unknown,1,1
Ontario,"High Wage","D&V Group Ltd.","Thornhill, ON L4J 0G1","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","D&V Group Ltd.","Thornhill, ON L4J 0G1","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"High Wage","D&V Group Ltd.","Thornhill, ON L4J 0G1","6314-Customer and information services supervisors",Unknown,1,1
Ontario,"High Wage","DAL'S FUEL INJECTION & TURBOS LTD.,","MISSISSAUGA, ON L5T 2J9","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","Drywall Solutions Corp.","Toronto, ON M9W 5R6","7284-Plasterers, drywall installers and finishers and lathers",Unknown,1,1
Ontario,"High Wage","EMERSONGROW TECHNOLOGY INC","Markham, ON L3R 4S1","0014-Senior managers - health, education, social and community services and membership organizations",Unknown,1,1
Ontario,"High Wage","Escarpment Biosphere Conservancy, Inc.","Toronto, ON M5T 2C2","0111-Financial managers",Unknown,1,1
Ontario,"High Wage","ESTATEWISE MANAGEMENT INC.","Belleville, ON K8N 5N9","1224-Property administrators",Unknown,1,1
Ontario,"High Wage","Fantilli Carpentry Limited","Toronto, ON M6J 2Z8",7272-Cabinetmakers,Unknown,1,1
Ontario,"High Wage","FICUS EDUCATION INC.","North York, ON M2M 1C8","0014-Senior managers - health, education, social and community services and membership organizations",Unknown,1,1
Ontario,"High Wage","FISCAL FINANCIAL ADVISORS INC.","BRAMPTON, ON L6P 3N4","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"High Wage","Fleetex Transport Ltd.","Bolton, ON L7E 4E8","1212-Supervisors, finance and insurance office workers",Unknown,1,1
Ontario,"High Wage","FROZENMAN INC","Scarborough, ON M1N 4B5","5131-Producers, directors, choreographers and related occupations",Unknown,2,2
Ontario,"High Wage","GG Max Brokers Inc.","Vaughan, ON L4K 2L7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1
Ontario,"High Wage","GG Max Brokers Inc.","Vaughan, ON L4K 2L7","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","GHS Consulting Inc","Toronto, ON M6S 1P1","5241-Graphic designers and illustrators",Unknown,1,1
Ontario,"High Wage","GLOBAL BUSINESS INC.","Toronto, ON M5C 1S2","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"High Wage","HARMONY MOTORS INC","Rockland, ON K4K 1J8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
Ontario,"High Wage","HARVEE LOGISTICS INC","WATERLOO, ON N2L 0C7","0016-Senior managers - construction, transportation, production and utilities",Unknown,1,1
Ontario,"High Wage","Hex IT Solutions Inc.","Mississauga, ON L5N 2X7","2281-Computer network technicians",Unknown,1,1
Ontario,"High Wage","HIGH IMPACT DRYWALL INC.","Toronto, ON M9L 2A9","7284-Plasterers, drywall installers and finishers and lathers",Unknown,1,1
Ontario,"High Wage","Highpark Builders Ltd.","Toronto, ON M6H 2T2","0711-Construction managers",Unknown,1,1
Ontario,"High Wage","iPartner Consulting Inc","Brampton, ON L6R 0W3","2174-Computer programmers and interactive media developers",Unknown,1,2
Ontario,"High Wage","Janmay Consulting Inc.","Mississauga, ON L5V 2A6","2175-Web designers and developers",Unknown,1,1
Ontario,"High Wage","JOBAN TRANSPORT LTD.","BRAMPTON, ON L6S 6H6","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","Joeonto Corporation","Kirkland Lake, ON P2N 2E9","6211-Retail sales supervisors",Unknown,1,1
Ontario,"High Wage","Kartar Services Corporation","Brampton, ON L6X 4M5","0711-Construction managers",Unknown,1,1
Ontario,"High Wage","KHYBER FINANCIAL SERVICES INC","BRAMPTON, ON L5T 0B3","1241-Administrative assistants",Unknown,1,2
Ontario,"High Wage","KHYBER FINANCIAL SERVICES INC","BRAMPTON, ON L5T 0B3","1311-Accounting technicians and bookkeepers",Unknown,1,2
Ontario,"High Wage","KPM Immigration Consultancy Inc","Brampton, ON L6X 4K9","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"High Wage","Kuroz Consulting Inc.","Ottawa, ON K1R 0E2","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"High Wage","Laureate College","Burlington, ON L7P 4Y2","4163-Business development officers and marketing researchers and consultants",Unknown,1,1
Ontario,"High Wage","LITTLE SPILLS INC","Brampton, ON L6W 3K7","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","M&P Healthcare Services Inc.","Scarborough, ON M1E 4S6","4412-Home support workers, housekeepers and related occupations",Unknown,1,8
Ontario,"High Wage","Malvi Systems Canada Incorporated","TORONTO, ON M9W 5Z8","2173-Software engineers and designers",Corporation,1,1
Ontario,"High Wage","Master's Trust Realty Inc.","Markham, ON L3R 1G9","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage",Merchant,"Toronto, ON M6K  1Y","5131-Producers, directors, choreographers and related occupations",Corporation,2,2
Ontario,"High Wage","Mkerspace Inc.","TORONTO, ON M5V 2Y1","1223-Human resources and recruitment officers",Unknown,1,1
Ontario,"High Wage","Momentum Construction & Restoration Inc","Burlington, ON L7L 6A3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1
Ontario,"High Wage","MuFaMo Enterprises Ltd.","Milton, ON L9E 0E9","7302-Contractors and supervisors, heavy equipment operator crews",Unknown,1,1
Ontario,"High Wage","North America Construction (1993) Ltd.","Morriston, ON N0B 2C0","7282-Concrete finishers",Unknown,1,7
Ontario,"High Wage","NOT SPICY LTD.","North York, ON M6A 1S1",6322-Cooks,Unknown,1,1
Ontario,"High Wage","Novodvorets Inc.","Mississauga, ON L5T 2E1","5121-Authors and writers",Unknown,1,1
Ontario,"High Wage","Ontario Energy Care Services","Mississauga, ON L5R 3J6","0124-Advertising, marketing and public relations managers",Unknown,1,1
Ontario,"High Wage","OPC.TV INC","Toronto, ON M6J 1C3","5131-Producers, directors, choreographers and related occupations",Unknown,1,1
Ontario,"High Wage","OUTSIDER EDITORIAL INC.","Toronto, ON M6K 1Y7","5131-Producers, directors, choreographers and related occupations",Unknown,1,1
Ontario,"High Wage","Panorama CPA Professional Corporation","Mississauga, ON L5V 1T2","0125-Other business services managers",Unknown,1,1
Ontario,"High Wage","PRAVYA SUPPLEMENTS INC.","BRAMPTON, ON L6W 0B6","6211-Retail sales supervisors",Unknown,1,1
Ontario,"High Wage","Procare Maintenance Inc.","THORNHILL, ON L4J 5Y5","0601-Corporate sales managers",Unknown,1,1
Ontario,"High Wage","Providentia Consulting Limited","Whitby, ON L1P 1L5","7611-Construction trades helpers and labourers",Unknown,1,5
Ontario,"High Wage","PT Industrial Electric Co.","Vaughan, ON L4K 4Y2","1432-Payroll clerks",Unknown,1,1
Ontario,"High Wage","Quincy healthcare and homecare services incorporated","Brantford, ON N3R 3V7","4163-Business development officers and marketing researchers and consultants",Unknown,1,1
Ontario,"High Wage","Radke Films Ltd","Toronto, ON M6J 1C3","5131-Producers, directors, choreographers and related occupations",Unknown,4,4
Ontario,"High Wage",RAPIZZA,"MISSISSAUGA, ON L5N 2X4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Corporation,1,1
Ontario,"High Wage","Renovatedly Inc","Brampton, ON L7A 2X4","7294-Painters and decorators (except interior decorators)",Unknown,1,1
Ontario,"High Wage","RJ31 SERVICES INC.","Brampton, ON L6Y 0P8","1223-Human resources and recruitment officers",Unknown,1,1
Ontario,"High Wage","RJ31 SERVICES INC.","Brampton, ON L6Y 0P8","1241-Administrative assistants",Unknown,1,1
Ontario,"High Wage","Roble Homes Corp.","Concord, ON L4K 1Z8",7292-Glaziers,Unknown,1,1
Ontario,"High Wage","Roshen Dental Service","North York, ON M3J 2N2","2211-Chemical technologists and technicians",Unknown,1,1
Ontario,"High Wage","Roshen Dental Service","North York, ON M3J 2N2","3223-Dental technologists, technicians and laboratory assistants",Unknown,1,3
Ontario,"High Wage","RS INTERNATIONAL CANADA INC.","MISSISSAUGA, ON L5T 2L6","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"High Wage","S & P Flex Circuit Ltd.","Toronto, ON M1X 1G2","2147-Computer engineers (except software engineers and designers)",Unknown,1,1
Ontario,"High Wage","Scouts Honour Inc","Toronto, ON M4M 2K9","5131-Producers, directors, choreographers and related occupations","Sole Proprietorship",1,1
Ontario,"High Wage","SHH Transport Ltd.","Brampton, ON L6P 3P4",1525-Dispatchers,Unknown,1,1
Ontario,"High Wage","SilverEagle Consulting Inc.","Etobicoke, ON M9C 5J1","2175-Web designers and developers",Unknown,2,2
Ontario,"High Wage","SilverEagle Consulting Inc.","Etobicoke, ON M9C 5J1","5241-Graphic designers and illustrators",Unknown,2,2
Ontario,"High Wage","Skin and Bones Film","Toronto, ON M6J 1H6","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Ontario,"High Wage","Suneeva Ltd","Toronto, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",Corporation,3,3
Ontario,"High Wage","Tandoori Haveli Inc.","Brampton, ON L6T 4N9","6331-Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1,3
Ontario,"High Wage","The Cottage Butcher Inc.","Bala, ON P0C 1A0",6321-Chefs,Unknown,1,1
Ontario,"High Wage","THURAM HEALTHCARE SERVICES INC","London, ON N6G 0T8","4412-Home support workers, housekeepers and related occupations",Unknown,1,21
