Province/Territory,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Ontario,     Haut salaire,ZEAL EXPRESS LOGISTICS INC.,"Brampton, ON L6Z 3W8","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,Zeus Holdings Inc. d/b/a Stay Home Forever,"Ajax, ON L1S 2B9","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Ontario,   Bas salaire,1000 Curry Inc,"Kingston, ON K7P 0K4",6322-Cuisiniers,1
Ontario,   Bas salaire,10138401 Canada Inc.,"Toronto, ON M2N 7H2",1241-Adjoints administratifs,1
Ontario,   Bas salaire,1044783 Ontario Inc.,"Brampton, ON L6Z 3S4","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
Ontario,   Bas salaire,10604593 Canada Inc,"Mississauga, ON L4T 2H3",1311-Techniciens en comptabilité et teneurs de livres,1
Ontario,   Bas salaire,10962562 Canada Inc. o/a Lemon (Bistro),"Markham, ON L3P 1X5",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,   Bas salaire,1379914 Ontario Inc. o/a New York Fries,"Severn, ON L3V 7E1",6311-Superviseurs des services alimentaires,1
Ontario,   Bas salaire,1651708 Ontario Inc.,"Toronto, ON M6L 3C9",6311-Superviseurs des services alimentaires,1
Ontario,   Bas salaire,1674947 Ontario Limited,"North Bay, ON P1A 2C7",6211-Superviseurs des ventes - commerce de détail,1
Ontario,   Bas salaire,1867989 Ontario Inc,"Toronto, ON M3B 1Y2",6311-Superviseurs des services alimentaires,1
Ontario,   Bas salaire,1892714 Ontario Inc.,"Oakville, ON L6J 2W7",6321-Chefs,3
Ontario,   Bas salaire,1932558 ONTARIO INC.,"NORTH YORK, ON M3B 1Y2",6311-Superviseurs des services alimentaires,1
Ontario,   Bas salaire,1970144 Ontario Inc.,"St. Catharines, ON L2R 5L3",6322-Cuisiniers,1
Ontario,   Bas salaire,1988066 Ontario Limited,"Sudbury, ON P3B 1B2",7305-Surveillants du transport routier et du transport en commun,1
Ontario,   Bas salaire,2087689 ONTARIO INC,"Niagara Falls, ON L2G 2A8",6321-Chefs,1
Ontario,   Bas salaire,2097148 Ontario Inc.,"Mississauga, ON L5T 1T9",1241-Adjoints administratifs,1
Ontario,   Bas salaire,2118033 Ontario Ltd.,"Burlington, ON L7N 3G2","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",4
Ontario,   Bas salaire,2202136 Ontario Ltd. DBA Twice the Deal Pizza,"Waterloo, ON N2V 0A2",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,   Bas salaire,2368182 Ontario Inc.,"Brampton, ON L6Y 0P6",6322-Cuisiniers,2
Ontario,   Bas salaire,2369460 ontario ltd,"toronto, ON M3M 3E5",3219-Autres technologues et techniciens des sciences de la santé (sauf soins dentaires),1
Ontario,   Bas salaire,2398202 ONTARIO INC.,"Brampton, ON L7A 0S9",7511-Conducteurs de camions de transport,2
Ontario,   Bas salaire,2441488 ONTARIO INC,"MILTON, ON L9T 7K6",6311-Superviseurs des services alimentaires,1
Ontario,   Bas salaire,2467690 ONTARIO INC.,"Dryden, ON P8N 2Z1",6311-Superviseurs des services alimentaires,1
Ontario,   Bas salaire,2469522 ONTARIO INC.,"BARRIE, ON L4N 9C7",6322-Cuisiniers,1
Ontario,   Bas salaire,2498576 ONTARIO LTD.,"Brampton, ON L6T 4L6",6311-Superviseurs des services alimentaires,2
Ontario,   Bas salaire,2524879 ONTARIO INC.,"North York, ON M9L 1Y8",1221-Agents d'administration,2
Ontario,   Bas salaire,2559574 Ontario Inc.,"Hamilton, ON L8E 1H8",6322-Cuisiniers,1
Ontario,   Bas salaire,2632398 ONTARIO INC.,"SCARBOROUGH, ON M1B 4Y7",6311-Superviseurs des services alimentaires,2
Ontario,   Bas salaire,2643868 Ontario Inc.,"Edwardsburgh Cardinal, ON K0E 1E0",6211-Superviseurs des ventes - commerce de détail,1
Ontario,   Bas salaire,2646894 Ontario Inc.,"Toronto, ON M5B 2L6",6322-Cuisiniers,2
Ontario,   Bas salaire,2733304 Ontario Inc.,"Mississauga, ON L5V 0B5",6311-Superviseurs des services alimentaires,1
Ontario,   Bas salaire,875784 Ontario Ltd,"Brampton, ON L6W 3G4",6211-Superviseurs des ventes - commerce de détail,1
Ontario,   Bas salaire,9185313 Canada Inc,"Concord, ON L4K 4X2",1221-Agents d'administration,1
Ontario,   Bas salaire,9437908 CANADA INC.,"Brampton, ON L6W 3G3",1221-Agents d'administration,1
Ontario,   Bas salaire,9570896 Canada Ltd,"Toronto, ON M2N 5N4",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,   Bas salaire,9796037 Canada Inc.,"Mississauga, ON L4Z 2V4",6332-Boulangers-pâtissiers,1
Ontario,   Bas salaire,Anthony Furlano Construction Inc.,"New Tecumseth, ON L9R 0M1","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",4
Ontario,   Bas salaire,Bairrada Churrasqueira Grill House,"Toronto, ON M6H 1A7",6322-Cuisiniers,1
Ontario,   Bas salaire,Berk & Nanda Foods Ltd,"Toronto, ON M9W 1P7",6311-Superviseurs des services alimentaires,1
Ontario,   Bas salaire,Brampton Sports Centre,"Brampton, ON L6W 3J5",6211-Superviseurs des ventes - commerce de détail,1
Ontario,   Bas salaire,Campus Auto Collision and Heavy Equipment Refinishing Ltd.,"North York, ON M3J 2A2",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Ontario,   Bas salaire,Central Montessori School York Mills,"North York, ON M3B 1Y7",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Ontario,   Bas salaire,CES PowerON Services Inc.,"Vaughan, ON L4L 8Z3",1221-Agents d'administration,1
Ontario,   Bas salaire,Channel Punjabi Television Inc.,"brampton, ON L6T 5E8",5231-Annonceurs et autres communicateurs de la radio et de la télévision,1
Ontario,   Bas salaire,CROSS BORDERS EXPEDITE LTD.,"Brampton, ON L6T 2W4",1241-Adjoints administratifs,1
Ontario,   Bas salaire,"Dunn, Pierre, Barnett and Company, Canada Ltd.","Toronto, ON M5X 1C7",5241-Designers graphiques et illustrateurs,1
Ontario,   Bas salaire,Elegance Salon Ltd.,"Brampton, ON L6S 0C1","6562-Esthéticiens, électrolystes et personnel assimilé",1
Ontario,   Bas salaire,Estar Inc.,"Aurora, ON L4G 3V1",6222-Acheteurs des commerces de détail et de gros,1
Ontario,   Bas salaire,ETHICA INC,"Toronto, ON M6R 2B2",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,   Bas salaire,Falls Sushi House,"Niagara Falls, ON L2G 3L1",6322-Cuisiniers,1
Ontario,   Bas salaire,Future Scholars Montessori Academy,"Ottawa, ON K1V 7Z8",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Ontario,   Bas salaire,GANADA STUDY INFO INC,"Toronto, ON M5R 2A7",1241-Adjoints administratifs,1
Ontario,   Bas salaire,General Machinery & Cutter Inc.,"Scarborough, ON M1R 3C3",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Ontario,   Bas salaire,GRASS N SNOW ANGEL INC,"BURLINGTON, ON L7N 3M1",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,2
Ontario,   Bas salaire,GVR Imports Inc,"Mississauga, ON L5W 1L2",1411-Employés de soutien de bureau généraux,1
Ontario,   Bas salaire,HANJRA HAULERS INC.,"BRAMPTON, ON L6P 1W3",7511-Conducteurs de camions de transport,5
Ontario,   Bas salaire,India Village Grill Restaurant & Catering Ltd.,"Dundas, ON L9H 1T9",6322-Cuisiniers,1
Ontario,   Bas salaire,L. Bertelli Pharmacy Inc.,"Toronto, ON M6G 4C1",6211-Superviseurs des ventes - commerce de détail,1
Ontario,   Bas salaire,LA GLOBAL AUTO PARTS & BUMPER RECYCLERS LTD.,"Mississauga, ON L5T 1B8",7237-Soudeurs et opérateurs de machines à souder et à braser,1
