Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
,   Bas salaire,Bathurst Pizza Ltd.,"CARAQUET, NB E1W 1B7",6311-Superviseurs des services alimentaires,1
,,Bouctouche Bay Inn Inc.,"Bouctouche, NB E4S 2T5",6322-Cuisiniers,1
,,JJ Food & Diner Inc.,"SACKVILLE, NB E4L 3N6",6322-Cuisiniers,1
,,Truleigh Country Manor,"MONCTON, NB E1G 2X1","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,    Haut salaire,9345-5210 Québec Inc,"MONTRÉAL, QC H4R 1J9",0631-Directeurs de la restauration et des services alimentaires,1
,,A Quinta,"MONTRÉAL, QC H2K 1T6",6321-Chefs,1
,,A. & R. Belley Inc.,"SHERBROOKE, QC J1K 2B3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Aeronav  Inc.,"Pointe-Claire, QC H9R 4T7",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Design Galleria inc.,"MONTRÉAL, QC H1R 1B3",7272-Ébénistes,1
,,M.P.B. Communications Inc.,"POINTE-CLAIRE, QC H9R 1E9",2241-Technologues et techniciens en génie électronique et électrique,1
,   Bas salaire,GDG Environnement Ltée,"TROIS-RIVIÈRES, QC G8T 6H3",2221-Technologues et techniciens en biologie,1
,,La Pizzeria Dorval Express,"DORVAL, QC H9S 3H3",6322-Cuisiniers,1
,,Vocadémie communauté culturel,"MONTRÉAL, QC H4E 1N9",6531-Guides touristiques et guides itinérants,1
,  Agriculture primaire,Ferme Miri SENC.,"Saint-Ubalde, QC G0A 4L0",8431-Ouvriers agricoles,1
, Talent mondial,9367-2079 Québec inc,"MONTRÉAL, QC H2T 2S5",2173-Ingénieurs et concepteurs en logiciel,1
Ontario,    Haut salaire,1095980 B.C. Ltd. o/a Cadence Health Centre,"TORONTO, ON M5T 2C2",3112-Omnipraticiens et médecins en médecine familiale,3
,,1166552 Ontario Inc. o/a Pioneer Cruises,"NORTH YORK, ON M3J 3K6",1226-Planificateurs de congrès et d'événements,4
,,,,6411-Représentants des ventes et des comptes - commerce de gros (non-technique),3
,,1407407 Ontario Ltd o/a Astra Healthcare,"Brampton, ON L6S 0C9",6221-Spécialistes des ventes techniques - commerce de gros,1
,,1559585 Ontario Inc.  o/a Penusa Import,"MARKHAM, ON L3R 8E8",6222-Acheteurs des commerces de détail et de gros,1
,,1655789 Ontario Inc,"TORONTO, ON M6A 2T9",0631-Directeurs de la restauration et des services alimentaires,1
,,1835601 Ontario Ltd,"Mississauga, ON L5M 4Z5","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,,2212425 Ontario Inc.,"MINDEN HILLS, ON K0M 2K0",0632-Directeurs des services d'hébergement,1
,,2228977 Ontario Inc.,"Guelph, ON N1H 6H7",9411-Opérateurs de machines dans le traitement des métaux et des minerais,2
,,2307403 Ontario Inc O/A Kirat Trucking,"CAMBRIDGE, ON N1T 2H8",7511-Conducteurs de camions de transport,2
,,2334271 Ontario Lmited o/a TVAPE,"TORONTO, ON M8X 1Y9",0113-Directeurs des achats,1
,,2368834 ONTARIO INC. o/a TJ TRANSPORT,"Brampton, ON L6P 2K4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,2431836 Ontario Ltd. o/a NOMAD at Hinterbrook Estate Winery,"Niagara on the lake, ON L0S 1J0",6211-Superviseurs des ventes - commerce de détail,1
,,2434560 Ontario Inc.  o/a Culinary Stars,"BRAMPTON, ON L6W 3G2",6322-Cuisiniers,1
,,2451118 Ontario Inc.  o/a Diplomat Motor Inn,"Niagara Falls, ON L2G 3Y2","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,2672452 Ontario Ltd.,"TORONTO, ON M5J 2Y5","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,6738532 Canada Inc. o/a I.T.S.,"BRAMPTON, ON L6W 1K5",7511-Conducteurs de camions de transport,1
,,6818935 Canada Inc. (o/a Thai Siam Thai Cuisine),"Oakville, ON L6H 4L1",6322-Cuisiniers,2
,,9078789 Canada Inc. o/a Designer Upholstery,"MISSISSAUGA, ON L5L 5R2",1221-Agents d'administration,1
,,ABF Agency Inc.,"Mississauga, ON L4V 1X6",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,,,,2283-Évaluateurs de systèmes informatiques,1
,,ADB Safegate Canada Inc.,"BURLINGTON, ON L7N 3G2",2241-Technologues et techniciens en génie électronique et électrique,1
,,All Truck Lube and Wash Ltd.,"BRAMPTON, ON L6W 1L4",7312-Mécaniciens d'équipement lourd,1
,,Amberson Education Group Inc. o/a Amberson High School,"Toronto, ON M1W 2S7",2175-Concepteurs et développeurs Web,1
,,Animals Inc.,"TORONTO, ON M6J 2R9","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",3
,,Arivir-Canada Corp.,"SCARBOROUGH, ON M1P 2S3","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,AST Stone,"Toronto, ON M6M 4B8",7271-Charpentiers-menuisiers,1
,,AXIA DESIGN ASSOCIATES INC.,"TORONTO, ON M6P 3V6",2151-Architectes,1
,,B Negative LLC,"SCARBOROUGH, ON M1N 4B5","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",3
,,Best Choice Express & Delivery Ltd,"Kleinburg, ON L0J 1C0","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Better Bath by Design Inc.,"KINGSTON, ON K7K 6C7",7283-Carreleurs,1
,,Big Gold Brick Productions Inc,"TORONTO, ON M4M  2S",5222-Cadreurs de films et cadreurs vidéo,1
,,Built By Pros Inc.,"CONCORD, ON L4K 4E9",7204-Entrepreneurs et contremaîtres en charpenterie,1
,,Canadian Pie Inc.,"ETOBICOKE, ON M9V 3Y7",2171-Analystes et consultants en informatique,1
,,Canadian Tube Tooling Co. Ltd.,"MISSISSAUGA, ON L5T 2K7",7232-Outilleurs-ajusteurs,1
,,Carterm Intermodal Logistics,"Mississauga, ON L4T 3C4",1122-Professionnels des services-conseils en gestion aux entreprises,1
,,Casselman Medical Centre Inc.,"CASSELMAN, ON K0A 1M0",3112-Omnipraticiens et médecins en médecine familiale,1
,,CDS Cambridge Drywall Services,"Cambridge, ON N1T 2K8",7271-Charpentiers-menuisiers,3
,,,,"7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",4
,,Centum Fairtrust Financial Group Inc.,"MISSISSAUGA, ON L4W 2Z6",1221-Agents d'administration,1
,,COMPLETE OPTICAL INC,"Mississauga, ON L4Y 4H4",1243-Adjoints administratifs médicaux,1
,,Cristin Tile & Marble Ltd.,"TOTTENHAM, ON L0G 1W0",7283-Carreleurs,1
,,Dasmesh Transport Inc,"BRAMPTON, ON L6Y 5G6",7511-Conducteurs de camions de transport,1
,,Digital Media Academy of Canada (DMAC),"TORONTO, ON M6B 1P5","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,DiPaolo Machine Tools Ltd.,"Mississauga, ON L5S 1K6",0911-Directeurs de la fabrication,1
,,Durock Electric Inc.,"BRAMPTON, ON L6S 3R2",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,,Eastway Contracting Inc,"PEMBROKE, ON K8A 6X8",2131-Ingénieurs civils,1
,,Eddies Meat Products Distribution Inc,"Mississauga, ON L4X 1M4","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",2
,,Edelcon Inc.  o/a The French Oven,"MISSISSAUGA, ON L4W 1G7",1241-Adjoints administratifs,1
,,Edlajdo Construction Ltd.,"MISSISSAUGA, ON L8Y 2Z1",7292-Vitriers,1
,,Envision Realty Inc.,"TORONTO, ON M4M 1S2",0125-Directeurs d'autres services aux entreprises,1
,,First Refrigeration Engineering Ltd,"SCARBOROUGH, ON M1X 1A7",1241-Adjoints administratifs,1
,,Golden Arch Inc.,"NORTH YORK, ON M2N 3W9",7271-Charpentiers-menuisiers,1
,,Good Fellow's Auto Wholesaler,"Oro-Medonte, ON L0L 2L0",1225-Agents aux achats,1
,,Good Vibrations Disc Jockey Services Ltd.,"WOODBRIDGE, ON L4H 0J2",5225-Techniciens en enregistrement audio et vidéo,1
,,Hamati Roofing Ltd.,"Toronto, ON M2P 1S8",7291-Couvreurs et poseurs de bardeaux,1
,,Highland Evergreen Supply Ltd.,"MISSISSAUGA, ON L5T 1N8",0621-Directeurs - commerce de détail et de gros,1
,,Infinity Vision Optical Inc.,"RICHMOND HILL, ON L4C 8S7",1241-Adjoints administratifs,1
,,Insultech Insulation Products Inc.,"BRAMPTON, ON L6T 1C1",7333-Électromécaniciens,1
,,International Paper Converters Limited,"CONCORD, ON L4K 2G1",7381-Opérateurs de presses à imprimer,1
,,,,9215-Surveillants dans la transformation des produits forestiers,1
,,J.A.W. Drugs Ltd.,"Oshawa, ON L1G 7Z9",3132-Diététistes et nutritionnistes,1
,,KJL Enterprises Ltd.,"TORONTO, ON M3J 2T2",7283-Carreleurs,1
,,Lamplighter Inns (London) Limited,"LONDON, ON N6A 1R8",6525-Réceptionnistes d'hôtel,1
,,Linkglobal Food,"Richmond Hill, ON L4B 1L5",1222-Adjoints de direction,1
,,Mercury Tax,"Mississauga, ON L5T 2G5","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Merinos Carpet Inc.,"MISSISSAUGA, ON L5T 1V9",0601-Directeurs des ventes corporatives,1
,,Moss Psychology Professional Corporation,"CONSECON, ON K0K 1T0",4151-Psychologues,1
,,NARCIS INNOVATIONS INC.,"Toronto, ON M2N 7E9","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Neptune Security Services Inc. Canada,"Mississauga, ON L5K 2R8","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,New Best Truck Repair & Tire Ltd.,"GEORGETOWN, ON L7G 4S6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,New Concepts Trading Inc.,"Mississauga, ON L5B 2X7",1221-Agents d'administration,1
,,,,1311-Techniciens en comptabilité et teneurs de livres,1
,,NO PROBLEM MOVERS LTD,"MISSISSAUGA, ON L4W 2K8",1241-Adjoints administratifs,1
,,NW Northwood Developments Inc.,"Pickering, ON L1W 1Z9","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,,OPC TV Inc.,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Phoenix Software Inc .,"MISSISSAUGA, ON L4W 4L5",2174-Programmeurs et développeurs en médias interactifs,1
,,Radke Films Ltd,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,Rea Investments Limited. O/A Rea Construction,"North York, ON M9M 2Y6",2174-Programmeurs et développeurs en médias interactifs,1
,,Ren De Inc.,"MISSISSAUGA, ON L5L 5M5",6222-Acheteurs des commerces de détail et de gros,1
,,Resonance Ltd,"BARRIE, ON L4N 9V9",2111-Physiciens et astronomes,1
,,Rush Construction Ltd,"TORONTO, ON M3J 2T2",7271-Charpentiers-menuisiers,1
,,Sangoma Technologies Inc.,"Markham, ON L3R 9R6",2173-Ingénieurs et concepteurs en logiciel,1
,,Save Max Real Estate Inc.,"MISSISSAUGA, ON L6N 7Y2",1122-Professionnels des services-conseils en gestion aux entreprises,1
,,Sequoia Content International Ltd,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Sky Ride Transport Inc.,"BRAMPTON, ON L6W 3G2",7511-Conducteurs de camions de transport,2
,,"Soft Citizen, Inc","TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Southern Cross Plumbing Inc,"Toronto, ON M1E 5C8",7251-Plombiers,2
,,SR RESEARCH LTD.,"MISSISSAUGA, ON L5J 1B5",2172-Analystes de bases de données et administrateurs de données,1
,,Starsky Fine Foods Inc.,"Mississauga, ON L5L 3R8",6211-Superviseurs des ventes - commerce de détail,1
,,Steam Films Inc.,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,Suneeva Ltd.,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",7
,,Tartu College,"Toronto, ON M5S 1W4",6211-Superviseurs des ventes - commerce de détail,1
,,Thousand Sunny Corp. o/a Coco Fresh Tea & Juice,"WOODBRIDGE, ON L4H 3W6",6311-Superviseurs des services alimentaires,1
,,Trans Domi Corporation,"MISSISSAUGA, ON L5N 6T6",7283-Carreleurs,1
,,Transnomis Solutions Inc.,"TORONTO, ON M3B 3J5",2174-Programmeurs et développeurs en médias interactifs,1
,,TUCC INC.,"TORONTO, ON M5A 0A1",3112-Omnipraticiens et médecins en médecine familiale,1
,,University of Guelph,"GUELPH, ON N1G 2W1",4011-Professeurs et chargés de cours au niveau universitaire,1
,,V4U Logistic Inc,"CALEDON, ON L7C 2T1","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,VAL/MAR Construction Inc.,"Scarborough, ON M1K 2X4",2281-Techniciens de réseau informatique,1
,,VERICO The Financial Forum Ltd.,"VAUGHN, ON L4L 8S9",1242-Adjoints administratifs juridiques,1
,,Vista Stair and Handrail Ltd.,"Markham, ON L3R 1E3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Warden Promotion Inc.,"Markham, ON L3R 0M3","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,WFS Transport Ltd.,"MILTON, ON L9T 9E6",1221-Agents d'administration,1
,,Xi Digital Corp,"CONCORD, ON L4K 3P9","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,Zaneen Group Inc.,"Toronto, ON M6B 1V9","5243-Ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques",1
,,Zetra Enterprises Inc.,"Maple, ON L4L 6X4",7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,1
,   Bas salaire,1060436 Ontario Limited o/a Serano Bakery,"TORONTO, ON M4K 3T5",6332-Boulangers-pâtissiers,1
,,1166552 Ontario Inc. o/a Pioneer Cruises,"NORTH YORK, ON M3J 3K6",6322-Cuisiniers,9
,,1226709 Ontario Inc. O/A Aman Furniture MFG,"ETOBICOKE, ON M9W 4N9",6345-Tapissiers-garnisseurs,1
,,2095151 Ontario Inc.,"Brampton, ON L6T 4X1",2211-Technologues et techniciens en chimie,1
,,2095498 Ontario Inc,"KANATA, ON K2L 4B4","6562-Esthéticiens, électrolystes et personnel assimilé",5
,,2188692 Ontario Inc,"Brampton, ON L6P 2R2",6322-Cuisiniers,2
,,2237923 Ontario Inc.  o/a Las Delicias,"MISSISSAUGA, ON L5B 1H7",6322-Cuisiniers,1
,,2260369 Ont. Inc o/a East Side Mario's,"MISSISSAUGA, ON L4Z 3V6",0631-Directeurs de la restauration et des services alimentaires,1
,,2284194 Ontario Inc. o/a Fortress Construction & Management Group,"ETOBICOKE, ON M9W 6S9",1241-Adjoints administratifs,1
,,2468765 Ontario Incorporated o/a Active Green+Ross,"RICHMOND HILL, ON L4E 0N9",6211-Superviseurs des ventes - commerce de détail,1
,,2469120 Ontario Inc.,"BARRIE, ON L4N 9E8",0631-Directeurs de la restauration et des services alimentaires,1
,,2508051 Ontario Inc. o/a Bengla Sweets,"Brampton, ON L6X 5E9",6322-Cuisiniers,2
,,2582186 ONTARIO LIMITED o/a Maiz,"TORONTO, ON M6A 0B6",6322-Cuisiniers,1
,,7974850 Canada Inc. o/a Safety Solutions,"MISSISSAUGA, ON L5T 2L9",1241-Adjoints administratifs,1
,,832069 Ontario Limited o/a Tim Hortons,"CHATHAM, ON N7M 3G2",6311-Superviseurs des services alimentaires,6
,,844898 ONTARIO LIMITED o/a HIGH CLASS CLEANERS,"CONCORD, ON L4K 5X8",6316-Surveillants des autres services,1
,,9144242 Canada Inc. o/a Ideal Window and Door,"SCARBOROUGH, ON M1B 2Y8",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,9311521 Canada Limited o/a Safari Kid Markham,"RICHMOND HILL, ON L4C 9B5",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,9900101 Canada Incorporated,"OTTAWA, ON K1P 5H8",6311-Superviseurs des services alimentaires,1
,,ABF Agency Inc.,"Mississauga, ON L4V 1X6",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,Alte-Rego Corporation,"ETOBICOKE, ON M9W 5H4",9422-Opérateurs de machines de traitement des matières plastiques,5
,,Black and Yellow Pavement Inc.,"KITCHENER, ON N2A 3R1",7611-Aides de soutien des métiers et manoeuvres en construction,3
,,Brothers Social Eatery Inc. o/a Church's Chicken,"SCARBOROUGH, ON L6R 2T3",6322-Cuisiniers,3
,,Chung's Taekwondo Academy Inc.,"Richmond Hill, ON L4C 3G7","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,Comal Y Canela Inc.  o/a Comal Y CanelaCocina Mexicana Tradicional,"YORK, ON M9N 2S4",6321-Chefs,1
,,Cusack's Hospitality Ltd.,"SUDBURY, ON P3A 5N4",6322-Cuisiniers,1
,,Dorothea Knitting Mills Limited,"TORONTO, ON M2M 3X8","9445-Coupeurs de tissu, de fourrure et de cuir",1
,,Extreme Auto Image Inc.,"SCARBOROUGH, ON M1C 1E6",7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles,1
,,Gagan Sweets Factory Ltd.,"WOODBRIDGE, ON L4L 9C9",6311-Superviseurs des services alimentaires,1
,,Giorgio Armani Canada Corporation,"Mississauga, ON L5T 2W6",6211-Superviseurs des ventes - commerce de détail,1
,,Grand Empire Banquet & Convention Centre Ltd.,"BRAMPTON, ON L6P 2K9",6322-Cuisiniers,1
,,Greenworks Land Inc.,"MISSISSAUGA, ON L5B 0E9",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
,,Hanmoto Inc.,"Toronto, ON M6J 3B1",6321-Chefs,1
,,Jasmin PharmaCure Inc.,"BURLINGTOPN, ON L7L 0B7",3414-Autre personnel de soutien des services de santé,1
,,JSM Corperation (Ontario) Ltd.,"TORONTO, ON M4M 1Y8",1224-Agents de gestion immobilière,1
,,Kal-Trading Inc.,"MISSISSAUGA, ON L5C 1W4",9214-Surveillants dans la fabrication de produits en caoutchouc et en plastique,1
,,Karara The Indian Takeout Inc.,"Nepean, ON K2G 7B4",6322-Cuisiniers,1
,,LP Landscape Plus Inc.,"ARISS, ON N0B 1B0",8612-Manoeuvres en aménagement paysager et en entretien des terrains,4
,,Meest Entertainment Inc.,"Toronto, ON M8Z 4E4",6322-Cuisiniers,1
,,Ng's Cuisine,"OTTAWA, ON K2E 5P3",6321-Chefs,1
,,Sagar Indian Cuisine Inc.,"CARLETON PLACE, ON K7C 2V7",6322-Cuisiniers,1
,,Santouka Kamei Canada Foods Ltd.,"Toronto, ON M4S 2A2",6311-Superviseurs des services alimentaires,1
,,,,6322-Cuisiniers,2
,,Savocris Inc. o/a Mezza Notte Trattoria Thornhill,"THORNHILL, ON L4J 0A7",6322-Cuisiniers,1
,,Smart Doors Inc.,"CONCORD, ON L4K 2L8",7332-Réparateurs et préposés à l'entretien d'appareils,1
,,The Crystal Ladder Learning Centre,"VAUGHAN, ON L4L 0C4",3132-Diététistes et nutritionnistes,1
,,The Excel Group 2001 Inc.,"VAUGHAN, ON L4K 1R3",7271-Charpentiers-menuisiers,2
,,Two Bay Enterprizes Limited,"MOOSONEE, ON P0L 1Y0",6611-Caissiers,2
,,Wenmar Automotive Inc.,"CONCORD, ON L4K 2B9",7322-Débosseleurs et réparateurs de carrosserie,1
,,Wolfe Exteriors Inc.,"MISSISSUAGA, ON L4W 4N9",7271-Charpentiers-menuisiers,2
,,Yo Amo Tacos Inc.,"TORONTO, ON M3J 2T2",6321-Chefs,2
,  Agriculture primaire,Burm Farms Ltd,"Wallaceburg, ON N8A 4L3",8431-Ouvriers agricoles,2
,,Gillette Farms Inc,"EMBRUN, ON K0A 1W0",8431-Ouvriers agricoles,4
,,Hillside Hothouse Ltd,"Ruthven, ON N0P 2G0",8432-Ouvriers de pépinières et de serres,1
,,Weth Mushrooms Inc,"Goderich, ON N7A 3X8",8431-Ouvriers agricoles,2
, Talent mondial,Botsford IT Consulting Corp.,"Mississauga, ON L4T 0A7",2171-Analystes et consultants en informatique,1
,,iSteer Inc,"TORONTO, ON M5G 1Z3",2171-Analystes et consultants en informatique,1
,,Mentor Tech Source Inc.,"MARKHAM, ON L3R 6H3",2171-Analystes et consultants en informatique,1
Manitoba,    Haut salaire,7471921 Manitoba Ltd. o/a Blazers Mini Mart,"Minnedosa, MB R0J 1E0",0621-Directeurs - commerce de détail et de gros,1
,,,,6222-Acheteurs des commerces de détail et de gros,1
,,7527421 MANITOBA INC.,"Pine Falls, MB R0E 1M0",0621-Directeurs - commerce de détail et de gros,1
,,,,6211-Superviseurs des ventes - commerce de détail,1
,,Aikam Logistics Inc,"WINNIPEG, MB R3E 1G6",1311-Techniciens en comptabilité et teneurs de livres,1
,,Circle T Transport Inc.,"Steinbach, MB R5G 1L5",7511-Conducteurs de camions de transport,2
,,MMP Architects Inc.,"Winnipeg, MB R3B 0R3",1241-Adjoints administratifs,1
,,Speedy Singh Logistics Inc.,"WINNIPEG, MB R2C 4P3",1525-Répartiteurs,3
,   Bas salaire,3881785 Manitoba Ltd,"STEINBACH, MB R5G 0Z1","7513-Chauffeurs de taxi, chauffeurs de limousine et chauffeurs",5
,,7374021 Manitoba Ltd.,"PETERSFIELD, MB R0C 2L0",6611-Caissiers,1
,,7381337 Manitoba Ltd.,"WINNIPEG, MB R3R 1L9",6311-Superviseurs des services alimentaires,1
,,A.A. Miracle Janitor Service Co. (2001) Ltd.,"WINNIPEG, MB R2X 2X4",6733-Concierges et surintendants d'immeubles,2
,,DeLuca's Specialty foods cooking school and restaurant Ltd.,"OAK BLUFF, MB R0G 1N0",6322-Cuisiniers,2
,,Falcon Lake Resort Hotel Inc.,"WINNIPEG, MB R2G 1L4",6322-Cuisiniers,1
,,IFR Enterprises Ltd,"PORTAGE LA PRAIRIE, MB R1N 0L6",6611-Caissiers,1
,,Parvati Restaurant Ltd.o/a The Chilli Chutney,"Brandon, MB R7B 3P8",6322-Cuisiniers,1
,,Solid Foundations Montessori School Inc.,"WINNIPEG, MB R2G 1J4",4214-Éducateurs et aides-éducateurs de la petite enfance,3
,,St. Peter's Roman Catholic Church,"WINNIPEG, MB R2X 2X8",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
,  Agriculture primaire,Strategic Agriculture Management Co.,"WINNIPEG, MB R3Y 1Y1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",6
,,Unger Air Farms Inc,"STEINBACH, MB R5G 1M8",8431-Ouvriers agricoles,2
Saskatchewan,    Haut salaire,102014436 Saskatchewan Ltd,"SASKATOON, SK S7L 6R7",7312-Mécaniciens d'équipement lourd,1
,,,,7511-Conducteurs de camions de transport,2
,   Bas salaire,101172015 Sask. Ltd.,"Emerald Park, SK S4L 1B6","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",3
,,101200574 Saskatchewan Ltd. o/a Maple Creek Motor Inn,"MAPLE CREEK, SK S0N 1N0",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,1
,,101279889 Saskatchewan Ltd. o/a Delhi Chaat,"SASKATOON, SK S7K 5C7",6322-Cuisiniers,1
,,Rawhides Bistro & Saloon Inc.,"Stenen, SK S0A 3X0",6513-Serveurs d'aliments et de boissons,4
,,Star House Enterprises Ltd. o/a Star House Family Restaurant,"Prince Albert, SK S6V 5G1",6311-Superviseurs des services alimentaires,1
,,Weyburn Circle 6 Motel Inc.,"Weyburn, SK S4H 2H5",6315-Surveillants des services de nettoyage,1
,  Agriculture primaire,Barrich Farms (1994) Ltd,"OUTLOOK, SK S0L 2N0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Alberta,    Haut salaire,1207320 Alberta Ltd,"Calgary, AB T3J 0J1",7511-Conducteurs de camions de transport,5
,,1385993 Alberta Inc.RainAWaySystems,"Edmonton, AB T6C 0N4","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,,1397372 Alberta Inc.,"Calgary, AB T2Z 3W4",7322-Débosseleurs et réparateurs de carrosserie,1
,,1453496 Alberta Ltd. o/a F.A.C.T. Services,"COUNTY OF GP NO. 1, AB T8W 0H2",3237-Autre personnel technique en thérapie et en diagnostic,1
,,2025526 Alberta Inc o/a Iconic Ventures,"CALGARY, AB T3J 5C8",0711-Directeurs de la construction,1
,,,,1224-Agents de gestion immobilière,1
,,2127309 ALBERTA INC.,"CALGARY, AB T2V 1B1","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,,767647 Alberta Ltd o/a Victory Tile,"Calgary, AB T2J 3V5",7283-Carreleurs,1
