Province/Territoire,"Volet du programme",Employeur,Adresse,Profession,"Postes demandes"
Québec,"Haut salaire","Les Entreprises MRA Paysagistes inc.","Quebec, QC G1N 3Y6","2282-Agents de soutien aux utilisateurs",1
Québec,"Haut salaire","Les Entreprises MRA Paysagistes inc.","Quebec, QC G1N 3Y6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
Québec,"Haut salaire","Magasins Trévi Inc.","Mirabel, QC J7J 0C4","6411-Représentants des ventes et des comptes - commerce de gros (non-technique)",1
Québec,"Haut salaire","Mr. Pinchot","Montréal, QC H2J 3K9",6332-Boulangers-pâtissiers,1
Québec,"Haut salaire","Multi Options Nursing Inc.","Québec, QC G1W 2L4","3012-Infirmiers autorisés et infirmiers psychiatriques autorisés",1
Québec,"Haut salaire","PRESTIGE ELECTRIQUE INC.","pierrefonds, QC H8Z 1B1","0712-Gestionnaires et rénovateurs en construction domiciliaire",1
Québec,"Haut salaire","Transship logistics inc.","Montréal, QC H3S 1W5","0731-Directeurs des transports",1
Québec,"Talent mondial","9178-8877 Québec Inc.","Montréal, QC H1M 2S5","2173-Ingénieurs et concepteurs en logiciel",1
Ontario,"Agriculture primaire","Aileen Farm Inc.","Markham, ON L3R 3M9","8431-Ouvriers agricoles",1
Ontario,"Agriculture primaire","Arcus Group Inc.","Picton, ON K0K 2T0","8431-Ouvriers agricoles",2
Ontario,"Agriculture primaire","Jomimaro Farms Inc","Parkhill, ON N0M 2K0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Ontario,"Agriculture primaire","North Bruce Farms Inc","Paisley, ON N0G 2N0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Ontario,"Agriculture primaire","Special T Swine Ltd","Brussels, ON N0G 1H0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Ontario,"Agriculture primaire","Wilma Farms Canada Ltd","Walton, ON N0K 1Z0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
Ontario,"Bas salaire","1496417 Ontario Ltd.","Toronto, ON M9W 4V8","7511-Conducteurs de camions de transport",1
Ontario,"Bas salaire","1687513 ONTARIO INC.","HAMILTON, ON L8E 3N4","7511-Conducteurs de camions de transport",2
Ontario,"Bas salaire","1740006 Ontario Inc.","SCARBOROUGH, ON M1S 1V2","1221-Agents d'administration",1
Ontario,"Bas salaire","1813401 Ontario Limited","Hanover, ON N4N 3B8","9417-Opérateurs de machines d'usinage",1
Ontario,"Bas salaire","1926688 ONTARIO LTD","LONDON, ON N6A 3G2",6321-Chefs,1
Ontario,"Bas salaire","2017761 Ontario Ltd.","Toronto, ON M2R 1Z1",6322-Cuisiniers,1
Ontario,"Bas salaire","2251617 Ontario Inc.","Guelph, ON N1K 1X6","6311-Superviseurs des services alimentaires",1
Ontario,"Bas salaire","2652470 Ontario Inc","Toronto, ON M5C 3G9",6322-Cuisiniers,1
Ontario,"Bas salaire","2779900 Ontario Inc","Etobicoke, ON M8V  2V","1221-Agents d'administration",1
Ontario,"Bas salaire","2779900 Ontario Inc","Etobicoke, ON M8V  2V","6211-Superviseurs des ventes - commerce de détail",1
Ontario,"Bas salaire","2786396 Ontario Inc.","Levack, ON P0M 2C0",6322-Cuisiniers,1
Ontario,"Bas salaire","5003492 Ontario Inc.","North York, ON M2M 3V9",6322-Cuisiniers,1
Ontario,"Bas salaire","ACE Daycare","Thornhill, ON L6A 1S2","4214-Éducateurs et aides-éducateurs de la petite enfance",1
Ontario,"Bas salaire","Bernie McGlynn Lumber Ltd.","Mildmay, ON N0G 2J0",7452-Manutentionnaires,3
Ontario,"Bas salaire","Bronte Bell Thai Cuisine Inc.","Oakville, ON L6L 1H7",6322-Cuisiniers,1
Ontario,"Bas salaire","Carnevale Supermarkets Inc","Toronto, ON M4K 1R2","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Ontario,"Bas salaire","Cheezaatar Corporation","Hamilton, ON L8V 1V3",6332-Boulangers-pâtissiers,2
Ontario,"Bas salaire","Ekasoo Inc.","Oakville, ON L6J 7Z6",6322-Cuisiniers,1
Ontario,"Bas salaire","Estacion Filipino Inc","Ajax, ON L1S 2G6","1311-Techniciens en comptabilité et teneurs de livres",1
Ontario,"Bas salaire","Frontline Gold Corporation","Toronto, ON M5H 2W9","1221-Agents d'administration",1
Ontario,"Bas salaire","Gomti Canada Inc.","Scarborough, ON M1V 5P7","6311-Superviseurs des services alimentaires",1
Ontario,"Bas salaire","INCREDIBLE CONSULTING INC.","Mississauga, ON L4Z 1V9","1311-Techniciens en comptabilité et teneurs de livres",1
Ontario,"Bas salaire","Kitchen Farmacy","Lakefield, ON K0L 2H0","1411-Employés de soutien de bureau généraux",1
Ontario,"Bas salaire","L.M.M Construction Ltd.","milton, ON L9E 0H8","7611-Aides de soutien des métiers et manoeuvres en construction",1
Ontario,"Bas salaire","Lakeside Produce Inc","Leamington, ON N8H 1A3","7511-Conducteurs de camions de transport",4
Ontario,"Bas salaire","MASTERMIND MONTESSORI SCHOOLS INC.","Markham, ON L6C 0G6","4214-Éducateurs et aides-éducateurs de la petite enfance",1
Ontario,"Bas salaire","Mimico Cruising Club","Etobicoke, ON M8V 3X7","1241-Adjoints administratifs",1
Ontario,"Bas salaire","NESCO INC. NESCO","Mississauga, ON L5S 1P4","9422-Opérateurs de machines de traitement des matières plastiques",1
Ontario,"Bas salaire","Ontario Best Carrier Inc.","Bolton, ON L7E 3B6","7511-Conducteurs de camions de transport",1
Ontario,"Bas salaire","Sunova Implement Ltd.","Lakeside, ON N0M 2G0","7237-Soudeurs et opérateurs de machines à souder et à braser",1
Ontario,"Bas salaire","TYMEKS NATURAL FOODS LTD","toronto, ON M8Z 2S6","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",2
Ontario,"Bas salaire","VFREIGHT INC.","Mississauga, ON L5R 1P1","7511-Conducteurs de camions de transport",1
Ontario,"Bas salaire","Wellcare College Pharmacy Inc.","Toronto, ON M6G 1C9","3219-Autres technologues et techniciens des sciences de la santé (sauf soins dentaires)",1
Ontario,"Bas salaire","YM Inc. (Sales)","Toronto, ON M6A 2W1","6211-Superviseurs des ventes - commerce de détail",1
Ontario,"Haut salaire","11203568 Canada Inc","BRAMPTON, ON L6W 2B5","2173-Ingénieurs et concepteurs en logiciel",1
Ontario,"Haut salaire","1508235 Ontario Inc","Toronto, ON M6M 5A1","2233-Technologues et techniciens en génie industriel et en génie de fabrication",1
Ontario,"Haut salaire","1509438 Ontario Ltd","Markham, ON L3R 2A2","6211-Superviseurs des ventes - commerce de détail",1
Ontario,"Haut salaire","1609969 Ontario Ltd.","Brampton, ON L6P 2M9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,"Haut salaire","2155299 Ontario Inc.","Scarborough, ON M1K 2X3","6315-Surveillants des services de nettoyage",1
Ontario,"Haut salaire","2168587 ontario ltd","NORTH YORK, ON M3J 2N7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2
Ontario,"Haut salaire","2309529 Ontario Inc.","Brampton, ON L6Z 0E1","7511-Conducteurs de camions de transport",1
Ontario,"Haut salaire","2334872 Ontario Inc.","Toronto, ON M6A 2C1","6311-Superviseurs des services alimentaires",1
Ontario,"Haut salaire","2392192 Ontario Inc.","Toronto, ON M3B 2R2","0712-Gestionnaires et rénovateurs en construction domiciliaire",1
Ontario,"Haut salaire","2546662 ONTARIO INC.","Kitchener, ON N2C 0B5","2175-Concepteurs et développeurs Web",1
Ontario,"Haut salaire","2563669 ONTARIO INC.","Vaughan, ON L4K 4A4","6211-Superviseurs des ventes - commerce de détail",1
Ontario,"Haut salaire","2805447 ONTARIO CORPORATION","OTTAWA, ON K1B 3A3",7271-Charpentiers-menuisiers,1
Ontario,"Haut salaire","2825806 Ontario Inc.","Brampton, ON L7A  4G","0131-Directeurs d'entreprises de télécommunications",1
Ontario,"Haut salaire","2826221 ONTARIO INC.","Waterloo, ON N2T 2W8","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,"Haut salaire","9535900 CANADA INC.","brampton, ON L6T 5B4","2281-Techniciens de réseau informatique",1
Ontario,"Haut salaire","Aarorn Technologies Inc.","Guelph, ON N1K 0B8","2174-Programmeurs et développeurs en médias interactifs",1
Ontario,"Haut salaire","Alta Expert Roofing Inc","Bowmanville, ON L1C 7E1","7291-Couvreurs et poseurs de bardeaux",2
Ontario,"Haut salaire","A-Railing Incorporated","Waterdown, ON L8B 0M5","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,"Haut salaire","Busy Bees Nursery School Inc.","Brampton, ON L6W 3G6","1311-Techniciens en comptabilité et teneurs de livres",1
Ontario,"Haut salaire","Canada Pasta Limited","Thornhill, ON L3T 1P8","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,"Haut salaire","CanAlt health laboratories inc","Concord, ON L4K 4E5",2112-Chimistes,1
Ontario,"Haut salaire","Chameleon Dental Arts Inc.","Kitchener, ON N2M 5E2","3411-Assistants dentaires",1
Ontario,"Haut salaire","Citrusbug Inc.","Stoney Creek, ON L8J  0L","0213-Gestionnaires des systèmes informatiques",1
Ontario,"Haut salaire","CrowdCare Corporation","Richmond Hill, ON L4B 4V1","2173-Ingénieurs et concepteurs en logiciel",1
Ontario,"Haut salaire","DAR ELSALAM CANADA INC.","MISSISSAUGA, ON L4W 4T7","0601-Directeurs des ventes corporatives",1
Ontario,"Haut salaire","Discovery Academy","Richmond Hill, ON L4C 1T8","4413-Aides-enseignants aux niveaux primaire et secondaire",1
Ontario,"Haut salaire","Eli Logistics Solutions Inc","Mississauga, ON L4T 1G3","7511-Conducteurs de camions de transport",5
Ontario,"Haut salaire","Erin Mills Medical Clinic Inc.","Mississauga, ON L5B 3C2","3111-Médecins spécialistes",1
Ontario,"Haut salaire","GA CONSTRUCTION GROUP","MARKHAM, ON L3R 6W7",7271-Charpentiers-menuisiers,1
Ontario,"Haut salaire","GBS & SONS TRUCKING LTD","MISSISSAUGA, ON L5S 1A7","7511-Conducteurs de camions de transport",4
Ontario,"Haut salaire","Heatmond Corporation","Toronto, ON M4N 2L9","2132-Ingénieurs mécaniciens",1
Ontario,"Haut salaire","I Barbieri Ltd","Toronto, ON M6A 2C6","6341-Coiffeurs et barbiers",2
Ontario,"Haut salaire","iVision Systems Ltd.","Toronto, ON M5X 1C7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,"Haut salaire","Jagir Contracting Inc","Brampton, ON L6S 5P6",7281-Briqueteurs-maçons,1
Ontario,"Haut salaire","LakeView Marine Sales Ltd","Port Perry, ON L9L 1B5","7334-Mécaniciens de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé",1
Ontario,"Haut salaire","Lamko Tool and Mold Inc.","london, ON N6E 2T3","7231-Machinistes et vérificateurs d'usinage et d'outillage",1
Ontario,"Haut salaire","Man Hospitality Inc","Wallaceburg, ON N8A 1R9","0632-Directeurs des services d'hébergement",1
Ontario,"Haut salaire","Metratrade Limited","Toronto, ON M2J 4P8","0111-Directeurs financiers",1
Ontario,"Haut salaire","Millennium Landscape Design & Construction","Waterloo, ON N2V 2J3","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
Ontario,"Haut salaire","Millennium Masonry Ltd.","Ottawa, ON K2C 0N3",7281-Briqueteurs-maçons,1
Ontario,"Haut salaire","MNF Restoration Inc.","Toronto, ON M8V 2E8",7271-Charpentiers-menuisiers,1
Ontario,"Haut salaire","OSTERIA GENTE INC","Vaughan, ON L4L 8E3",6321-Chefs,1
Ontario,"Haut salaire","PAUL ACCOUNTING ASSOCIATES LTD.","MISSISSAUGA, ON L5T 1B6","1431-Commis à la comptabilité et personnel assimilé",1
Ontario,"Haut salaire","Plane Sciences Inc.","Ottawa, ON K2P 1C3","2148-Autres ingénieurs, n.c.a.",1
Ontario,"Haut salaire","Salfom Technologies Canada Inc.","Oakville, ON L6M 0P3","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,"Haut salaire","Sioux Lookout Meno Ya Win Health Centre","Sioux Lookout, ON P8T 1B4","3012-Infirmiers autorisés et infirmiers psychiatriques autorisés",1
Ontario,"Haut salaire","SOFT CITIZEN, INC","TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",3
Ontario,"Haut salaire","Solar Roofing & Sheet Metal Ltd","Toronto, ON M6N 2Z6","7291-Couvreurs et poseurs de bardeaux",1
Ontario,"Haut salaire","Sparks Productions Incorporated","TORONTO, ON M6K 3J1","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,"Haut salaire","Steam Films Inc.","TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,"Haut salaire","Suneeva Ltd.","TORONTO, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
Ontario,"Haut salaire","Vincent Investment Products Inc.","Unionville, ON L3R 1M2","1112-Analystes financiers et analystes en placements",1
Ontario,"Haut salaire","Wanderosa  Wood Products Ltd","BOLTON, ON L7E 4E6","7511-Conducteurs de camions de transport",1
Manitoba,"Bas salaire","AST RESTAURANT INC.","winnipeg, MB R2V 3C4","6311-Superviseurs des services alimentaires",1
Manitoba,"Bas salaire","Border Genetics Ltd.","Lowe Farm, MB R0G 1E0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Manitoba,"Bas salaire","Capital K Distillery Inc.","Winnipeg, MB R3H 1A8","6411-Représentants des ventes et des comptes - commerce de gros (non-technique)",1
Manitoba,"Bas salaire","Clearline Technologies Ltd.","Winnipeg, MB R3H 0V1","9423-Opérateurs de machines de transformation du caoutchouc et personnel assimilé",2
Manitoba,"Bas salaire","DTK FOOD SERVICE INC.","WINNIPEG, MB R3H 0G4","6311-Superviseurs des services alimentaires",1
Manitoba,"Haut salaire","Capital K Distillery Inc.","Winnipeg, MB R3H 1A8","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
Manitoba,"Haut salaire","GOLDLINE EXPRESS LTD.","Winnipeg, MB R3T 3L6","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Manitoba,"Haut salaire","Imperial Metal Industries Inc.","Blumenort, MB R0A 0C0","2253-Technologues et techniciens en dessin",1
Manitoba,"Haut salaire","P I Fine Finishing Ltd","Lorette, MB R0A 0Y0","7295-Poseurs de revêtements d'intérieur",1
Saskatchewan,"Bas salaire","102099810 SASKATCHEWAN LTD","Lumsden, SK S0G 3C0","6211-Superviseurs des ventes - commerce de détail",1
Saskatchewan,"Haut salaire","102060906 Saskatchewan Ltd.","Saskatoon, SK S7L 6B7",7452-Manutentionnaires,5
Alberta,"Agriculture primaire","Anchor F Farms Ltd.","Waskatenau, AB T0A 3P0","8611-Manoeuvres à la récolte",3
Alberta,"Agriculture primaire","Forging Ahead Inc","Brooks, AB T1R 1R4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,"Bas salaire","1075813 Alberta Ltd.","Westlock, AB T7P  2R","6311-Superviseurs des services alimentaires",1
Alberta,"Bas salaire","1512668 Alberta Ltd.","EDMONTON, AB T5M 1W4","6311-Superviseurs des services alimentaires",2
Alberta,"Bas salaire","1755981 ALBERTA LTD.","Strathmore, AB T1P 0B2","6312-Gouvernants principaux",1
Alberta,"Bas salaire","1958631 Alberta Ltd o/a Fusion Sushi","Calgary, AB T3G 2A7",6322-Cuisiniers,1
Alberta,"Bas salaire","2011545 AB Ltd","Slave Lake, AB T0G 2A4","7622-Manoeuvres dans le transport ferroviaire et routier",2
Alberta,"Bas salaire","2091000 AB Ltd","Beaverlodge, AB T0H 0C0","6311-Superviseurs des services alimentaires",1
Alberta,"Bas salaire","2152757 Alberta Inc.","Edmonton, AB T6E 5E8","6411-Représentants des ventes et des comptes - commerce de gros (non-technique)",1
Alberta,"Bas salaire","867411 Alberta Inc.","LETHBRIDGE, AB T1J 3L8","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",2
Alberta,"Bas salaire","Bubble Bee Car and Truck Wash Ltd.","Wabasca, AB T0G 2K0","6732-Nettoyeurs spécialisés",1
Alberta,"Bas salaire","Edmonton Painting Ltd.","Edmonton, AB T5T 4C6","7294-Peintres et décorateurs (sauf décorateurs d'intérieur)",4
Alberta,"Bas salaire","Global Green Foods Ltd.","Edmonton, AB T6E 5B2","1241-Adjoints administratifs",1
Alberta,"Bas salaire","Pizza X-Men Holdings INC","Calgary, AB T2Y 5J4","6311-Superviseurs des services alimentaires",2
Alberta,"Bas salaire","RISE Education LTd","Calgary, AB T2P 4K9","1241-Adjoints administratifs",1
Alberta,"Bas salaire","Seniore's pizza ltd","calgary, AB T3K 2M9","6311-Superviseurs des services alimentaires",1
Alberta,"Bas salaire","Shreeji Krupa Enterprises Ltd. o/a Joey's Only Seafood Restaurant","Spruce Grove, AB T7X 3X2","6311-Superviseurs des services alimentaires",1
Alberta,"Bas salaire","SUSHI ICHIBAN (WESTBROOK) GROUP LTD.","CALGARY, AB T3C 1S1","6311-Superviseurs des services alimentaires",1
Alberta,"Bas salaire","Urban Igloo Inc.","Calgary, AB T2P 4K1","6311-Superviseurs des services alimentaires",1
Alberta,"Haut salaire","1885376 ALBERTA LTD","Edmonton, AB T6L 3W8","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Alberta,"Haut salaire","2211705 Alberta Inc. o/a Orchid Tattoo","Edmonton, AB T5T 2M4","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Alberta,"Haut salaire","Acoustic Audiology & Hearing Aid Services Inc.","Lloydminster, AB T9V 0A9","3141-Audiologistes et orthophonistes",1
Alberta,"Haut salaire","Associate Veterinary Clinics (1981) Ltd.","Calgary, AB T2H 2Y4",3114-Vétérinaires,1
Alberta,"Haut salaire","Comodo Interiors Inc.","CALGARY, AB T2W 4X9","2172-Analystes de bases de données et administrateurs de données",1
Alberta,"Haut salaire","DSONS TRANSPORT LTD.","Nisku, AB T9E 7V8","1241-Adjoints administratifs",1
Alberta,"Haut salaire","GD Max Ltd.","Leduc county, AB T4X 0M4",7271-Charpentiers-menuisiers,1
Alberta,"Haut salaire","Mainside Limited","Calgary, AB T2C 0P6","1122-Professionnels des services-conseils en gestion aux entreprises",1
Alberta,"Haut salaire","North West Paving Ltd.","Sherwood Park, AB T8H 2J6","7282-Finisseurs de béton",9
Colombie-Britannique,"Agriculture primaire","Clayburn Nursery Ltd.","Chilliwack, BC V2R 2K9","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",4
Colombie-Britannique,"Agriculture primaire","Driediger Farms Ltd.","Langley, BC V1M 3P8","8431-Ouvriers agricoles",1
Colombie-Britannique,"Bas salaire","0952325 B.C. Ltd.","Sidney, BC V8L 3E6",6321-Chefs,1
Colombie-Britannique,"Bas salaire","0990135 B.C. LTD.","Surrey, BC V3S 8S1",7452-Manutentionnaires,3
Colombie-Britannique,"Bas salaire","1246562 B.C. LTD.","Coquitlam, BC V3B 0B7",6322-Cuisiniers,1
Colombie-Britannique,"Bas salaire","Actfast Restoration & Repairs LTD.","Surrey, BC V3T 2K3","7295-Poseurs de revêtements d'intérieur",2
Colombie-Britannique,"Bas salaire","Altec Windows inc.","Surrey, BC V3R 7S2","9612-Manoeuvres en métallurgie",1
Colombie-Britannique,"Bas salaire","Anatoli Holding Ltd.","North Vancouver, BC V7M 2E4",6322-Cuisiniers,1
Colombie-Britannique,"Bas salaire","Annex Hair Studio Ltd.","Vancouver, BC V6B 2W5","6341-Coiffeurs et barbiers",2
Colombie-Britannique,"Bas salaire","Armour Guard Fence Inc.","Surrey, BC V3W 0L5","7611-Aides de soutien des métiers et manoeuvres en construction",3
Colombie-Britannique,"Bas salaire","Barnaby Coffee Roasters Inc.","Vancouver, BC V6G 1H4","6311-Superviseurs des services alimentaires",1
Colombie-Britannique,"Bas salaire","Bay Sushi Cafe Ltd.","Vancouver, BC V6B 3K4",6322-Cuisiniers,1
Colombie-Britannique,"Bas salaire","Biacon Construction Corp.","SURREY, BC V3W 1P3","1241-Adjoints administratifs",1
Colombie-Britannique,"Bas salaire","Blink Security Ltd.","Surrey, BC V3W 4T4","1241-Adjoints administratifs",1
Colombie-Britannique,"Bas salaire","DJBC Holdings Ltd.","Chetwynd, BC V0C 1J0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",5
Colombie-Britannique,"Bas salaire","Dr. Pavandeep Kooner Inc.","Surrey, BC V3W 0E6",1414-Réceptionnistes,1
Colombie-Britannique,"Bas salaire","DR. SHENIN MOHAMED PODIATRIC CORPORATION","West Vancouver, BC V7V 1J7","3414-Autre personnel de soutien des services de santé",1
Colombie-Britannique,"Bas salaire","Forever Trading Inc.","Vancouver, BC V6G 1C8","6311-Superviseurs des services alimentaires",1
Colombie-Britannique,"Bas salaire","Galaxy IDP Construction Ltd.","Delta, BC V4C 3H5","7294-Peintres et décorateurs (sauf décorateurs d'intérieur)",1
Colombie-Britannique,"Bas salaire","Halu Sushi","Maple Ridge, BC V2X 2P9",6322-Cuisiniers,1
Colombie-Britannique,"Bas salaire","House Special Vietnamese Restaurant Ltd.","Vancouver, BC V6B 6K3",6322-Cuisiniers,1
Colombie-Britannique,"Bas salaire","Jayveer Enterprise Ltd.","Surrey, BC V3R 1E6","7611-Aides de soutien des métiers et manoeuvres en construction",2
Colombie-Britannique,"Bas salaire","JUMBO PIZZA(2010) INC","SURREY, BC V3S 4H3","6311-Superviseurs des services alimentaires",1
Colombie-Britannique,"Bas salaire","KAN WOOD LTD","SURREY, BC V3V 4T7","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",2
Colombie-Britannique,"Bas salaire","KHAGHAN RESTAURANT LTD.","VANCOUVER, BC V6G 2L9",6322-Cuisiniers,2
Colombie-Britannique,"Bas salaire","Royal Autobody & Sales Ltd.","surrey, BC V3W 4E8","1241-Adjoints administratifs",1
Colombie-Britannique,"Bas salaire","Shoreside Corporation","Ucuelet, BC V0R 3A0","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
Colombie-Britannique,"Bas salaire","Smarthomes Security Ltd.","Surrey, BC V3W 3E9","1241-Adjoints administratifs",1
Colombie-Britannique,"Bas salaire","Trilussa Pizza & Pane","Vancouver, BC V5V 3R1",6322-Cuisiniers,1
Colombie-Britannique,"Bas salaire","TRUE CONFECTIONS INC.","VANCOUVER, BC V6G 2L8","0631-Directeurs de la restauration et des services alimentaires",1
Colombie-Britannique,"Bas salaire","Truwest Mortgage Incorporated","Surrey, BC V3W 3J7","1241-Adjoints administratifs",2
Colombie-Britannique,"Bas salaire","Urban Coast Development Ltd","Surrey, BC V3W 3J7","1241-Adjoints administratifs",1
Colombie-Britannique,"Haut salaire","1195183 BC Ltd","Prince George, BC V2L 1L7","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
Colombie-Britannique,"Haut salaire","1237307 B.C. LTD.","Surrey, BC V3Z 0Z5",7271-Charpentiers-menuisiers,3
Colombie-Britannique,"Haut salaire","644111 BC Ltd.","North Vancouver, BC V7P 1M3","6315-Surveillants des services de nettoyage",1
Colombie-Britannique,"Haut salaire","Alex West Group Investment Inc.","Vancouver, BC V6C 1A3","0111-Directeurs financiers",1
Colombie-Britannique,"Haut salaire","BALRIDGE BUILDING SOLUTIONS INC.","SURREY, BC V3W 1N6","1311-Techniciens en comptabilité et teneurs de livres",1
Colombie-Britannique,"Haut salaire","Beck Glass (2012) LTD","Vancouver, BC V6A 2P3","0601-Directeurs des ventes corporatives",1
Colombie-Britannique,"Haut salaire","Big Hearts Home Healthcare Services Inc","Coquitlam, BC V3E 2T2","1221-Agents d'administration",1
