Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
,,Topack Ltd,"MARKHAM, ON L3R 9V1","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,Town And Country Window Cleaning,"Acton, ON L7J 2L9",6315-Surveillants des services de nettoyage,1
,,Toytexx Inc.,"Toronto, ON M2H 3H7",6222-Acheteurs des commerces de détail et de gros,1
,,Trurating Canada Ltd.,"TORONTO, ON M5A 3X9",0601-Directeurs des ventes corporatives,1
,,U Sculpt Plastic Surgery,"VAUGHAN, ON L4K 2Z5","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,,Universal Promotions and Publishers Inc.,"Brampton, ON L6T 4X3","5122-Réviseurs, rédacteurs-réviseurs et chefs du service des nouvelles",1
,,University Of Windsor,"Windsor, ON N9B 3P4",4011-Professeurs et chargés de cours au niveau universitaire,1
,,UTOI Management Consulting Inc.,"MARKHAM, ON L3R 0N8",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,,Zetra Enterprises Inc.,"Maple, ON L4L 6X4",7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,1
,   Bas salaire,1030983 Ontario Ltd o/a Brar Sweets and Restaurant,"Brampton, ON L6T 4N2",6322-Cuisiniers,3
,,1036074 Ontario Inc.,"TORONTO, ON M1S 4N8",0631-Directeurs de la restauration et des services alimentaires,1
,,1114093 Ontario Limited,"KITCHENER, ON N2N 2J5",6321-Chefs,1
,,1415619 Ontario Ltd. o b a India Gate Exclusive Indian Cuisine,"Newmarket, ON L3X 1P6",6322-Cuisiniers,1
,,1681748 Ont Inc. O/A Macs/Circle K,"Woodbridge, ON L4H 0J8",6211-Superviseurs des ventes - commerce de détail,1
,,1931288 Ontario Inc.,"TORONTO, ON M5A 2Z7",6322-Cuisiniers,1
,,2101977 Ontario Inc,"CHATHAM, ON N7L 5H1",6211-Superviseurs des ventes - commerce de détail,1
,,2124964 Ontario Inc. o/a Petro Canada,"Georgetown, ON L7G 4S8",6421-Vendeurs - commerce de détail,2
,,2223348 Ontario Inc. o/a Tim Hortons,"COLLINGWOOD, ON L9Y 4H8",6311-Superviseurs des services alimentaires,1
,,2277666 Ontario Corp.,"MISSISSAUGA, ON L5L 4K5",7511-Conducteurs de camions de transport,1
,,2320610 Ontario Inc. o/a Active Security Enterprises,"Brampton, ON L6Y 0P6",6316-Surveillants des autres services,2
,,2331136 Ontario Inc. Silver Spoon Take Out & Catering,"SCARBOROUGH, ON M1S 4N5",6311-Superviseurs des services alimentaires,1
,,2387296 Ontario Ltd. o/a Ramen Isshin,"Toronto, ON M5T 1T1",6511-Maîtres d'hôtel et hôtes,1
,,2430957 Ontario Inc.,"BRAMPTON, ON L6Z 0G6",6311-Superviseurs des services alimentaires,1
,,2483895 ONTARIO INC.,"KESWICK, ON L4P 3Y4",6311-Superviseurs des services alimentaires,1
,,2498404 Ontario Inc. o/a Freshii,"BRAMPTON, ON L6W 3Y4",6311-Superviseurs des services alimentaires,1
,,2610093 Ontario Inc,"TORONTO, ON M2M 3V7",6322-Cuisiniers,1
,,360Artistry INC.,"PICKERING, ON L1V 6W9","5132-Chefs d'orchestre, compositeurs et arrangeurs",1
,,8790299 Canada Inc.,"NORTH BAY, ON P1A 2B7",6321-Chefs,1
,,Adobo Queen Ltd.,"HAMILTON, ON L8R 2V4",6322-Cuisiniers,1
,,Albert Bazzoni Ltd. o/a Contintental Motel,"WHITE RIVER, ON P0M  3G",6311-Superviseurs des services alimentaires,1
,,APD Printing Inc.,"BRANTFORD, ON N3S 3C1",9473-Opérateurs de machines à relier et de finition,1
,,Birman & Sons Ltd o/a Empire Bakery,"NORTH YORK, ON M3J 2W8",6332-Boulangers-pâtissiers,1
,,Bombay Bakers o/a 2347489 Ontario Inc.,"BRAMPTON, ON L6V 4S6",6311-Superviseurs des services alimentaires,1
,,Cem Foot Care & Medical Supplies,"SCARBOROUGH, ON M1S 3G9",6211-Superviseurs des ventes - commerce de détail,1
,,Centric Health,"TORONTO, ON M4R 1K8",3219-Autres technologues et techniciens des sciences de la santé (sauf soins dentaires),1
,,Chillies Indian Restaurant Inc,"Nepean, ON K2J 4Y6",6322-Cuisiniers,1
,,Clarity Recruitment Inc.,"TORONTO, ON M5H 3V9",1122-Professionnels des services-conseils en gestion aux entreprises,1
,,D&G Pizza Bee Inc.,"PENETANGUISHENE, ON L9M 1M7",6322-Cuisiniers,1
,,Dr. Maria Rotondi Dentistry Professional Corp,"WOODBRIDGE, ON L4L 1S6",1414-Réceptionnistes,1
,,Familia Fine Foods and Services Inc.,"OAKVILLE, ON L6M 3T2",6322-Cuisiniers,1
,,Finlayson Hospitality Partners Inc,"MARKHAM, ON L3R 1N3",6311-Superviseurs des services alimentaires,1
,,Greystone Design Group Inc.,"KITCHENER, ON N2P 2N6",5242-Designers d'intérieur et décorateurs d'intérieur,1
,,Handaan Filipino Cuisine,"MISSISSAUGA, ON L5B 1S4",6322-Cuisiniers,2
,,Hans Dairy Inc,"Mississauga, ON L4V 1C1","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
,,Helpfast Personnel Inc.,"MISSISSAUGA, ON L4W 1N6",7511-Conducteurs de camions de transport,10
,,J. Lipani & Son Sod Farms Ltd,"Queensville, ON L0G 1R0",8612-Manoeuvres en aménagement paysager et en entretien des terrains,1
,,Johns United Auto Clinic Ltd,"Mississauga, ON L5S 1N4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,Kalyani Indian Cuisine Inc,"Toronto, ON M1N 1R4",6322-Cuisiniers,1
,,Kanadario Stone Ltd.,"NORTH YORK, ON M9L 1Y4","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",1
,,Kids and Company Ltd.,"RICHMOND HILL, ON L4B 4N4",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,Kopper Kettle Bistro & Chocolate Lounge,"MILTON, ON L9T 0A5",6311-Superviseurs des services alimentaires,1
,,Kyra Foods Ltd.,"TORONTO, ON M6J 1E6",6311-Superviseurs des services alimentaires,1
,,Lakeside Produce Inc.,"Leamington, ON N8H 3V5",7511-Conducteurs de camions de transport,4
,,LBMX Inc.,"LONDON, ON N6A 5P3",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Little Guy Games Inc.,"TORONTO, ON M5V 1T2",5223-Techniciens en graphisme,1
,,MSW Plastics Inc.,"PALMERSTON, ON N0G 2P0","9535-Assembleurs, finisseurs et contrôleurs de produits en plastique",2
,,Pioneer Food Services Limited,"BURLINGTON, ON L7L 6A5",0631-Directeurs de la restauration et des services alimentaires,1
,,Protestant Reformed School in Wingham,"Wingham, ON N0G 2W0",4217-Autre personnel relié à la religion,1
,,Redberry Alberta Restaurants Inc. o/a Pizza Hut,"MISSISSAUGA, ON L4W 5L9",6311-Superviseurs des services alimentaires,1
,,Robert Design Group Ltd.,"MISSISSAUGA, ON L4W 1H7",7272-Ébénistes,1
,,Roopa Knitting Mills Ltd.,"MISSISSAUGA, ON L5S 1P2","9442-Tisseurs, tricoteurs et autres opérateurs de machines textiles",2
,,Rosi Educational Services Inc.,"RICHMOND HILL, ON L4S 2A2",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,Royal Red Builders,"VAUGHAN, ON L4K 5L1",7611-Aides de soutien des métiers et manoeuvres en construction,1
,,RUPERT ACRES LIMITED,"AWERES TOWNSHIP, ON P6A 5K7",1224-Agents de gestion immobilière,1
,,Shawarma House Corporation,"LONDON, ON N6K 1C9",6321-Chefs,1
,,Shirini Sara Pastry House Ltd.,"Toronto, ON M3B 2M5",6332-Boulangers-pâtissiers,1
,,Silver Hotel (Pantages) Inc.,"Toronto, ON M5B 1V8",6311-Superviseurs des services alimentaires,1
,,Stubbe's Workforce Inc.,"Harley, ON N0E 1E0","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",5
,,TDA Landscape Services Inc.,"AJAX, ON L1S 2B9",8612-Manoeuvres en aménagement paysager et en entretien des terrains,3
,,Traffic Team Inc.,"MISSISSAUGA, ON L5S 1H9",1241-Adjoints administratifs,1
,,VNV Logistics Express Ltd.,"Etobicoke, ON M8X 1A2",7511-Conducteurs de camions de transport,1
,  Agriculture primaire,2317945 Ontario Inc.,"MADOC, ON K0K 2K0",8431-Ouvriers agricoles,8
,,A.G. Dick & Sons Ltd,"Ruthven, ON N0P 2G0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,Brookdale Treeland Nurseries Ltd,"Schomberg, ON L0G 1T0",8432-Ouvriers de pépinières et de serres,10
,,Howard Greenhouses & Produce Inc,"Simcoe, ON N3Y 4K6",8431-Ouvriers agricoles,16
,,J & L Walker Farms Ltd,"Aylmer, ON N5H 2R1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,Nature Fresh Farms Inc.,"LEAMINGTON, ON N8H 3V8",0822-Gestionnaires en horticulture,1
,,Nine Mile Farms Inc.,"CRYSLER, ON K0A 1R0",8431-Ouvriers agricoles,4
Manitoba,    Haut salaire,5785091 Manitoba Ltd o/a WCA Smart Auto,"WINNIPEG, MB R3R 3X7",0621-Directeurs - commerce de détail et de gros,1
,   Bas salaire,4664613 Manitoba Ltd.,"Flin Flon, MB R8A 0C6",6311-Superviseurs des services alimentaires,1
