Province/Territory,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés
Île-du-Prince-Édouard,  Agriculture primaire,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",8431-Ouvriers agricoles,22
Île-du-Prince-Édouard,  Agriculture primaire,Mol Farms Inc.,"Kinkora, PE C0B 1N0",8431-Ouvriers agricoles,5
Île-du-Prince-Édouard,  Agriculture primaire,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-Ouvriers agricoles,1
Île-du-Prince-Édouard,  Agriculture primaire,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",8431-Ouvriers agricoles,9
Île-du-Prince-Édouard,  Agriculture primaire,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",8431-Ouvriers agricoles,10
Nouvelle-Écosse,     Haut salaire,Alzeer Holdings Inc.,"Halifax, NS B3J 3K3",6322-Cuisiniers,1
Nouvelle-Écosse,     Haut salaire,Colby House Investments Inc.,"Halifax, NS B3J 3E5",0632-Directeurs des services d'hébergement,1
Nouvelle-Écosse,     Haut salaire,Dalhousie University,"Halifax, NS B3H 4H2",4011-Professeurs et chargés de cours au niveau universitaire,6
Nouvelle-Écosse,     Haut salaire,Doraku Foods LTD,"Dartmouth, NS B2W 2L7",0631-Directeurs de la restauration et des services alimentaires,1
Nouvelle-Écosse,     Haut salaire,GLK Natural Inc.,"Halifax, NS B3J 3E5",0621-Directeurs - commerce de détail et de gros,1
Nouvelle-Écosse,     Haut salaire,Global Spatial Technology Solutions Inc.,"Dartmouth, NS B2Y 4M9",2171-Analystes et consultants en informatique,1
Nouvelle-Écosse,     Haut salaire,Indo Food Service Ltd.,"Halifax, NS B3J 3T1",0631-Directeurs de la restauration et des services alimentaires,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0211-Directeurs des services de génie,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0911-Directeurs de la fabrication,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",1122-Professionnels des services-conseils en gestion aux entreprises,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","2148-Autres ingénieurs, n.c.a.",1
Nouvelle-Écosse,     Haut salaire,Slumber Inn Ltd.,"New Minas, NS B4N 3K8",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
Nouvelle-Écosse,     Haut salaire,Sobeys Inc.,"Stellarton, NS B0K 0A2","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Nouvelle-Écosse,     Haut salaire,Techmania Inc.,"Cole Harbour, NS B2V 1E7","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Nouvelle-Écosse,   Bas salaire,3027059 Nova Scotia Limited,"Elmsdale, NS B2S 1K1",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,3091914 NS LTD,"HALIFAX, NS B3K 1H8",6315-Surveillants des services de nettoyage,1
Nouvelle-Écosse,   Bas salaire,3228133novascotia ltd.,"Yarmouth, NS B5A 2T5",6211-Superviseurs des ventes - commerce de détail,1
Nouvelle-Écosse,   Bas salaire,3253587 Nova Scotia Limited,"Bedford, NS B4A 1B5",6322-Cuisiniers,3
Nouvelle-Écosse,   Bas salaire,3274876 Nova Scotia Ltd,"Clarks Harbour, NS B0W 1P0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,7
Nouvelle-Écosse,   Bas salaire,3315886 Nova Scotia Limited,"Halifax, NS B3J 1N9","6562-Esthéticiens, électrolystes et personnel assimilé",1
Nouvelle-Écosse,   Bas salaire,3318503 Nova Scotia Limited o/a Greco Antigonish,"Antigonish, NS B2G 1R6",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,3323091 Nova Scotia Ltd.,"Truro, NS B2N 4Z6",6312-Gouvernants principaux,1
Nouvelle-Écosse,   Bas salaire,3324608 novascotia limited,"halifax, NS B3K 1Z7",6311-Superviseurs des services alimentaires,1
Nouvelle-Écosse,   Bas salaire,3327191 Nova Scotia Limited,"Upper Tantallon, NS B3Z 1E2",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,8720568 CANADA INC.,"DARTMOUTH, NS B2W 2N3",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,Apple Valley Foods Inc,"Kentville, NS B4N 3V7","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",24
Nouvelle-Écosse,   Bas salaire,Buta Ramen Inc.,"Halifax, NS B3J 1B3",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,Clarks Harbour Seafood Ltd,"Clarks Harbour, NS B0W 1P0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,15
Nouvelle-Écosse,   Bas salaire,Curtmar Farms Limited,"Fort Ellis, NS B0N 2J0","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Nouvelle-Écosse,   Bas salaire,Farmhouse Bakery Ltd.,"Falmouth, NS B0P 1L0",6332-Boulangers-pâtissiers,2
Nouvelle-Écosse,   Bas salaire,Little Picasso Art Centre Ltd,"Halifax, NS B3M 4N7",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Nouvelle-Écosse,   Bas salaire,Merex Incorporated,"Halifax, NS B3H 4N4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,2
Nouvelle-Écosse,   Bas salaire,Naji Fine Foods Ltd.,"Halifax, NS B3S 1P9",6322-Cuisiniers,3
Nouvelle-Écosse,   Bas salaire,Slumber Inn Ltd.,"New Minas, NS B4N 3K8",6311-Superviseurs des services alimentaires,1
Nouvelle-Écosse,   Bas salaire,Sobeys Inc.,"Stellarton, NS B0K 0A2","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Nouvelle-Écosse,   Bas salaire,Song's Korean Restaurant,"Halifax, NS B3L 1A4",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,STAT CARE HEALTH SERVICES INC.,"Halifax, NS B3K 4S6","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Nouvelle-Écosse,   Bas salaire,Yellow Leaf Restaurant LTD,"Kingston, NS B0P 1R0",6322-Cuisiniers,1
Nouvelle-Écosse,  Agriculture primaire,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,28
Nouvelle-Écosse,  Agriculture primaire,Apple Lane Farm Inc,"Berwick, NS B0P 1E0",8611-Manoeuvres à la récolte,6
Nouvelle-Écosse,  Agriculture primaire,Barteaux Farms Ltd,"Moschelle, NS B0S 1A0",8431-Ouvriers agricoles,2
Nouvelle-Écosse,  Agriculture primaire,Beech Hill Farm Ltd,"Princeport, NS B6L 1R2","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Nouvelle-Écosse,  Agriculture primaire,Best Farms Ltd,"Woodville, NS B0P 1V0",8431-Ouvriers agricoles,2
Nouvelle-Écosse,  Agriculture primaire,Birchleigh Farms LTD.,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,10
Nouvelle-Écosse,  Agriculture primaire,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-Ouvriers agricoles,17
Nouvelle-Écosse,  Agriculture primaire,Charles Keddy Farms Limited,"Kentville, NS B4N 3V7",8431-Ouvriers agricoles,45
Nouvelle-Écosse,  Agriculture primaire,Craig Nichols Farms Limited,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,49
Nouvelle-Écosse,  Agriculture primaire,Crisp Growers Incorporated,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,26
Nouvelle-Écosse,  Agriculture primaire,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8432-Ouvriers de pépinières et de serres,20
Nouvelle-Écosse,  Agriculture primaire,Evangeline Orchards Limited,"Port Williams, NS B0P 1T0",8431-Ouvriers agricoles,3
Nouvelle-Écosse,  Agriculture primaire,G & C Hughes Enterprises Limited,"New Ross, NS B0J 2M0",8432-Ouvriers de pépinières et de serres,22
Nouvelle-Écosse,  Agriculture primaire,G.A.R. Tree Farms Ltd,"Barss Corner, NS B0R 1A0",8432-Ouvriers de pépinières et de serres,14
Nouvelle-Écosse,  Agriculture primaire,J & M Reeves Christmas Greens Limited,"New Ross, NS B0J 2M0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,J & M Reeves Christmas Greens Limited,"New Ross, NS B0J 2M0",8432-Ouvriers de pépinières et de serres,2
Nouvelle-Écosse,  Agriculture primaire,LUTZ FAMILY FARM LTD,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,McConnell-Gordon Estates Ltd.,"Wolfville, NS B4P 2R1",8431-Ouvriers agricoles,6
Nouvelle-Écosse,  Agriculture primaire,Perfect Berries Ltd.,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,50
Nouvelle-Écosse,  Agriculture primaire,Power Farms Inc.,"RR#2 Canning, NS B0P 1H0",8431-Ouvriers agricoles,16
Nouvelle-Écosse,  Agriculture primaire,Reimer Gardens Inc.,"Waterville, NS B0P 1V0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,Sarsfield Farms Incorporated,"Kentville, NS B4N 3V7",8431-Ouvriers agricoles,6
Nouvelle-Écosse,  Agriculture primaire,Spurr Brothers Farms Ltd,"Melvern Square, NS B0P 1R0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,Stirling Fruit Farms (2000) Ltd,"Greenwich, NS B4P 2R2",8431-Ouvriers agricoles,50
Nouvelle-Écosse,  Agriculture primaire,Stirling Fruit Farms (2000) Ltd,"Greenwich, NS B4P 2R2",8432-Ouvriers de pépinières et de serres,2
Nouvelle-Écosse,  Agriculture primaire,Stokdijk Greenhouses Ltd,"Beaver Brook, NS B6L 1H3",8432-Ouvriers de pépinières et de serres,14
Nouvelle-Écosse,  Agriculture primaire,T.K. Palmer & Sons Contracting Inc.,"Kentville, NS B0P 1C0",8431-Ouvriers agricoles,12
Nouvelle-Écosse,  Agriculture primaire,Thiessen Farm Ltd.,"Grafton, NS B0P 1V0",8431-Ouvriers agricoles,6
Nouvelle-Écosse,  Agriculture primaire,Town Plot Orchards Ltd.,"Port Williams, NS B0P 1T0",8611-Manoeuvres à la récolte,21
Nouvelle-Écosse,  Agriculture primaire,Van Meekeren Farms Ltd.,"Lakeville, NS B4N 3V7",8431-Ouvriers agricoles,9
Nouvelle-Écosse,  Agriculture primaire,Van Meekeren Farms Ltd.,"Lakeville, NS B4N 3V7",8611-Manoeuvres à la récolte,4
Nouvelle-Écosse,  Agriculture primaire,Walsh Farms Inc.,"Rockland, NS B0P 1E0",8431-Ouvriers agricoles,12
Nouvelle-Écosse,  Agriculture primaire,Wohlgemuth Farms Ltd.,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,3
Nouvelle-Écosse,  Talent mondial,Mindsea Development Incorporated,"Halifax, NS B3J 3M8",2175-Concepteurs et développeurs Web,2
Nouvelle-Écosse,  Talent mondial,Sona Nanotech Inc.,"Halifax, NS B3J 3R7","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Nouveau-Brunswick,     Haut salaire,661989 NB Limited,"Saint John, NB E2J 2S6",0631-Directeurs de la restauration et des services alimentaires,1
Nouveau-Brunswick,     Haut salaire,700827 NB Inc o/a J's Asian Kitchen-Main Street,"Fredericton, NB E3A 1C8",0631-Directeurs de la restauration et des services alimentaires,1
Nouveau-Brunswick,     Haut salaire,700827 NB Inc o/a J's Asian Kitchen-Main Street,"Fredericton, NB E3A 1C8",6322-Cuisiniers,2
Nouveau-Brunswick,     Haut salaire,Ayla Construction & Contracting (New Brunswick),"Saint John, NB E2L 4V1","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Nouveau-Brunswick,     Haut salaire,AYR Motor Express Inc,"Woodstock, NB E7M 4G2",7511-Conducteurs de camions de transport,10
Nouveau-Brunswick,     Haut salaire,Couche-Tard Inc,"Moncton, NB E1C 5Y6",6211-Superviseurs des ventes - commerce de détail,1
Nouveau-Brunswick,     Haut salaire,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",6311-Superviseurs des services alimentaires,2
Nouveau-Brunswick,     Haut salaire,FMI National Inc,"Woodstock, NB E7M 5G5",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,     Haut salaire,Midland Transport Limited,"Dieppe, NB E1A 6X4","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Nouveau-Brunswick,     Haut salaire,Moosehorn trucking Ltd.,"Penobsquis, NB E4G 2A5",7511-Conducteurs de camions de transport,1
Nouveau-Brunswick,     Haut salaire,Murray Enterprises Ltd.,"sussex corner, NB E4E 2Y5",7511-Conducteurs de camions de transport,2
Nouveau-Brunswick,     Haut salaire,OM SHREE SAI BABA INVESTMENT LTD.,"MIRAMICHI, NB E1V 2S6",1221-Agents d'administration,1
Nouveau-Brunswick,     Haut salaire,Quality Transportation services NB ltd,"Jacksonville, NB E7M 3S1",7511-Conducteurs de camions de transport,5
Nouveau-Brunswick,     Haut salaire,Regional Health Authority B,"Moncton, NB E1C 6Z8",3111-Médecins spécialistes,1
Nouveau-Brunswick,     Haut salaire,"Synoptek Canada, Inc.","Saint John, NB E2L 1G2",2171-Analystes et consultants en informatique,1
Nouveau-Brunswick,     Haut salaire,Water Blasting & Vacuums Services inc.,"Edmundston, NB E3V 3K5",7322-Débosseleurs et réparateurs de carrosserie,1
Nouveau-Brunswick,     Haut salaire,World Wide Atlantic Freight Inc,"Scoudouc, NB E4P 3N6",7511-Conducteurs de camions de transport,5
Nouveau-Brunswick,   Bas salaire,502005 NB Limited,"Woodstock, NB E7M 5G5",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,611179 NB Inc.,"Moncton, NB E1G 2W5",6312-Gouvernants principaux,1
Nouveau-Brunswick,   Bas salaire,618479 NB INc,"Bouctouche, NB E4S 3J7",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,661989 NB Limited,"Saint John, NB E2J 2S6",6311-Superviseurs des services alimentaires,2
Nouveau-Brunswick,   Bas salaire,662053 NB Inc.,"Saint John, NB E2P 1K2",6211-Superviseurs des ventes - commerce de détail,1
Nouveau-Brunswick,   Bas salaire,671348 N.B. INC.,"MONCTON, NB E1C 1E3",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,679283 NB INC.,"RIVERVIEW, NB E1B 0J6",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,689773 Nb Ltd.,"Oromocto, NB E2V 4R3",6211-Superviseurs des ventes - commerce de détail,1
Nouveau-Brunswick,   Bas salaire,690944 NB INC.,"MONCTON, NB E1C 1G1",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,697131 NB INC.,"MONCTON, NB E1G 2H9",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,698075 NB Ltd.,"Shediac, NB E4P 2G1",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,699756 NB INC.,"Moncton, NB E1G 1A4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,701664 NB Inc,"Dieppe, NB E1A 1P2",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,702326 NB Inc.,"Cap-Pele, NB E4N 1C9",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,706806 NB Ltd.,"Moncton, NB E1C 1E4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,707326 NB Inc.,"Moncton, NB E1G 1A5",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,A.R. Rietzel Landscaping Ltd.,"Lutes Mountain, NB E1G 2T5",7611-Aides de soutien des métiers et manoeuvres en construction,2
Nouveau-Brunswick,   Bas salaire,A.R. Rietzel Landscaping Ltd.,"Lutes Mountain, NB E1G 2T5",8612-Manoeuvres en aménagement paysager et en entretien des terrains,1
Nouveau-Brunswick,   Bas salaire,Boaz Japanese & Korean Restaurant,"Rothesay, NB E2E 2N6",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Caraquet Pizza Inc.,"Caraquet, NB E1W 1B8",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Corey Craig Ltd,"Moncton, NB, NB E1C 1E3",6311-Superviseurs des services alimentaires,4
Nouveau-Brunswick,   Bas salaire,Despres Fisheries Ltd.,"Petit-Cap, NB E4N 2G6",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,3
Nouveau-Brunswick,   Bas salaire,Dimitri's Souvlaki INC,"Fredericton, NB E3B 1E4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Elphege & Norbert Leblanc Ltd,"Petit Cap, NB E4N 2E8",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,18
Nouveau-Brunswick,   Bas salaire,exdy synergy inc.,"Moncton, NB E1C 5C2",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Fenety Convenience Store Ltd,"Waasis, NB E3B 9E1",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Gaston's Catering (2008) Inc.,"Moncton, NB E1E 4C6",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Kingsway Restaurant Inc.,"Miramichi, NB E1V 1L5",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,LEU'S MARKET INC.,"ST. GEORGE, NB E5C 3H9",6332-Boulangers-pâtissiers,1
Nouveau-Brunswick,   Bas salaire,Michel & Charles LeBlanc Fisheries Ltd,"Cap-Pele, NB E4N 1V2",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,7
Nouveau-Brunswick,   Bas salaire,Mott Enterprises,"Willow Grove, NB E2S 1G7",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Mountain road Pizzeria Inc.,"Miramichi, NB E1V 5Z5",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,Porter's Diner Ltd.,"Hanwell, NB E3B 2B3",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Restaurant la Sagouine,"Bouctouche, NB E4S 3E7",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Taj Indian Cuisine Inc.,"Moncton, NB E1C 1G4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Taste of Homeland Inc,"Moncton, NB E1C 2T4","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Nouveau-Brunswick,   Bas salaire,Tomotachi Sushi Inc,"Fredericton, NB E3B 5H5",6322-Cuisiniers,2
Nouveau-Brunswick,   Bas salaire,Vical Hospitality Ltd,"Sackville, NB E4L 1A1",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Zoa Mansu B.B.Q Inc,"Dieppe, NB E1A 1G1",6322-Cuisiniers,1
Nouveau-Brunswick,  Agriculture primaire,"Jolly Farmer Products, Inc.","Northampton, NB E7N 1R6",8432-Ouvriers de pépinières et de serres,38
Nouveau-Brunswick,  Agriculture primaire,Les Petits Fruits de Pré-d'en-Haut Inc.,"Memramcook, NB E4K 1K8",8431-Ouvriers agricoles,4
Nouveau-Brunswick,  Agriculture primaire,M&S Wild Blueberry Farms Ltd.,"Kouchibouguac, NB E4X 1L7",8431-Ouvriers agricoles,8
Nouveau-Brunswick,  Agriculture primaire,Royal Gardens 2012 Ltd.,"Penobsquis, NB E4G 2C5",8432-Ouvriers de pépinières et de serres,14
Nouveau-Brunswick,  Agriculture primaire,Slocum's Farm Fresh Produce Ltd.,"Waterborough, NB E4C 2Y3",8431-Ouvriers agricoles,2
Nouveau-Brunswick,  Agriculture primaire,Verger Belliveau Orchard ltd.,"Memramcook, NB E4K 2S6",8431-Ouvriers agricoles,5
Nouveau-Brunswick,  Agriculture primaire,Verger Belliveau Orchard ltd.,"Memramcook, NB E4K 2S6",8611-Manoeuvres à la récolte,19
Nouveau-Brunswick,  Agriculture primaire,Yuvi Farm Inc,"Cap-Pelé, NB E4N 2C5",8431-Ouvriers agricoles,2
Nouveau-Brunswick,  Talent mondial,AllTech Consulting Services Inc.,"Saint John, NB E2L 4S6",2173-Ingénieurs et concepteurs en logiciel,1
Nouveau-Brunswick,  Talent mondial,AV Group NB Inc.,"Nackawic, NB E6G 1W4",2171-Analystes et consultants en informatique,1
Québec,     Haut salaire,10231100 Canada Inc,"Saint Laurent, QC H4T 1W5",6222-Acheteurs des commerces de détail et de gros,1
Québec,     Haut salaire,10239232 Canada Inc.,"Montréal, QC H2R 1W9",0601-Directeurs des ventes corporatives,1
Québec,     Haut salaire,11034936 Canada Inc.,"Gatineau, QC J8Y 3R7",1112-Analystes financiers et analystes en placements,1
Québec,     Haut salaire,11211889 Canada Inc.,"Rouyn-Noranda, QC J9X 2H8",7312-Mécaniciens d'équipement lourd,2
Québec,     Haut salaire,155030 Canada Inc.,"Montréal, QC H4A 1G2",1225-Agents aux achats,1
Québec,     Haut salaire,177786 Canada inc.,"Gatineau, QC J8T 3R6",7322-Débosseleurs et réparateurs de carrosserie,1
Québec,     Haut salaire,2737-2846 Québec Inc.,"Drummondville, QC J2B 1T7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,     Haut salaire,28479236 Quebec Inc,"Montreal, QC H2Y 1T9",1241-Adjoints administratifs,1
Québec,     Haut salaire,2853-5185 Québec Inc,"Amos, QC J9T 4L6",7322-Débosseleurs et réparateurs de carrosserie,1
Québec,     Haut salaire,2950-0519 Québec inc.,"Rouyn-Noranda, QC J9X 6T3",7237-Soudeurs et opérateurs de machines à souder et à braser,8
Québec,     Haut salaire,2950-0519 Québec inc.,"Rouyn-Noranda, QC J9X 6T3",7311-Mécaniciens de chantier et mécaniciens industriels,5
Québec,     Haut salaire,3098-0288 Quebec inc,"La Baie, QC G7B 3P6",6322-Cuisiniers,1
Québec,     Haut salaire,3595650 Canada inc.,"Gatineau, QC J8Z 1W8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,     Haut salaire,3887952 CANADA INC.,"Sept-îles, QC G4R 4X6",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,3887952 CANADA INC.,"Sept-îles, QC G4R 4X6",7312-Mécaniciens d'équipement lourd,4
Québec,     Haut salaire,3887952 CANADA INC.,"Sept-îles, QC G4R 4X6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
Québec,     Haut salaire,3887952 CANADA INC.,"Sept-îles, QC G4R 4X6",7322-Débosseleurs et réparateurs de carrosserie,2
Québec,     Haut salaire,3887952 CANADA INC.,"Sept-îles, QC G4R 4X6",9411-Opérateurs de machines dans le traitement des métaux et des minerais,4
Québec,     Haut salaire,3990591 Canada inc.,"Gatineau, QC J9J 3K5",2231-Technologues et techniciens en génie civil,1
Québec,     Haut salaire,5experts Inc.,"Montréal, QC H1N 3L7",2171-Analystes et consultants en informatique,1
Québec,     Haut salaire,6173306 Canada Inc.,"Amos, QC J9T 1H3",6311-Superviseurs des services alimentaires,1
Québec,     Haut salaire,6750630 CANADA INC,"MONTREAL, QC H4A 1E7",6322-Cuisiniers,1
Québec,     Haut salaire,6772633 CANADA INC,"Saint-Laurent, QC H4S 1X7",0601-Directeurs des ventes corporatives,1
Québec,     Haut salaire,7345593 Canada Inc.,"Dorval, QC H9P 1E7",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,7349921 Canada Inc.,"Cantley, QC J8V 3W6",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
