Province/Territory,"Program Stream","Employer ","Address ","Occupation ","Approved Positions"
"Nova Scotia","High Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8","6522-Pursers and flight attendants",1
"Nova Scotia","High Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8","7242-Industrial electricians",2
"Nova Scotia","High Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8","7244-Electrical power line and cable workers",3
"Nova Scotia","High Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8",7271-Carpenters,1
"Nova Scotia","High Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8","7384-Other trades and related occupations, n.e.c.",5
"Nova Scotia","High Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8","7532-Water transport deck and engine room crew",17
"Nova Scotia","High Wage","PORT CITY AUTO EXPERTS LTD.","DARTMOUTH, NS B3B 1B4","6235-Financial sales representatives",1
"Nova Scotia","High Wage","Scotia Structures Incorporated","Halifax, NS B3K 5C4",7271-Carpenters,2
"Nova Scotia","High Wage","TAKO SUSHI & RAMEN RESTAURANT LIMITED","Bedford, NS B4A 0B8","1311-Accounting technicians and bookkeepers",1
"Nova Scotia","High Wage","Tidal Coast Construction Limited","Bedford, NS B3M 2L4",7271-Carpenters,3
"Nova Scotia","Low Wage","3274876 Nova Scotia Ltd","Clarks Harbour, NS B0W 1P0","9618-Labourers in fish and seafood processing",15
"Nova Scotia","Low Wage","A.T.L. Dairy Automations Ltd","Milford, NS B0N 1Y0","7335-Other small engine and small equipment repairers",1
"Nova Scotia","Low Wage","Acadian Fish Processors Ltd.","Lower West Pubnico, NS B0W 2C0","9463-Fish and seafood plant workers",6
"Nova Scotia","Low Wage","Clarks Harbour Seafood Ltd","Clarks Harbour, NS B0W 1P0","9618-Labourers in fish and seafood processing",8
"Nova Scotia","Low Wage","Fisher Direct LTD","Shelburne County, NS B0W 3B0","9618-Labourers in fish and seafood processing",15
"Nova Scotia","Low Wage","Independent Fisheries Limited","Sable River, NS B0T 1V0","9618-Labourers in fish and seafood processing",10
"Nova Scotia","Low Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8",6322-Cooks,2
"Nova Scotia","Low Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8","6513-Food and beverage servers",2
"Nova Scotia","Low Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8","6731-Light duty cleaners",2
"Nova Scotia","Low Wage","IT International Telecom Inc.","Halifax, NS B3K 5X8","7612-Other trades helpers and labourers",6
"Nova Scotia","Low Wage","J'adore Nails Salon & Spa Inc.","Bedford, NS B4A 1A9","6562-Estheticians, electrologists and related occupations",1
"Nova Scotia","Low Wage","Jeramy's Small Boats Repair & Fishing Limited","Tusket, NS B0W 3M0","9619-Other labourers in processing, manufacturing and utilities",2
"Nova Scotia","Low Wage","Jibro Enterprise Inc","Halifax, NS B3J 3T1","6311-Food service supervisors",1
"Nova Scotia","Low Wage","L.J. Robicheau & Son Fisheries Limited","Middleton, NS B0S 1P0","9463-Fish and seafood plant workers",13
"Nova Scotia","Low Wage","M.J.N.J Investments Ltd","Lunenburg, NS B0J 2C0","6311-Food service supervisors",6
"Nova Scotia","Low Wage","Mic-mac beverage room (2006) ltd","Dartmouth, NS B2X 2C3",6322-Cooks,4
"Nova Scotia","Low Wage","naan n curry Restaurant LTD","Halifax, NS B3L 4N2",6322-Cooks,1
"Nova Scotia","Low Wage","Naji Fine Foods Ltd.","Halifax, NS B3S 1P9",6322-Cooks,2
"Nova Scotia","Low Wage","Nani's Esthetics and Laser Center Inc.","Port Hawkesbury, NS B9A 2B8","6562-Estheticians, electrologists and related occupations",1
"Nova Scotia","Low Wage","New Broadway Foods Inc.","Sydney, NS B1N 1M9","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
"Nova Scotia","Low Wage","R. Baker Fisheries Ltd.","Lockeport, NS B0T 1L0","9463-Fish and seafood plant workers",4
"Nova Scotia","Low Wage","Scotia Recycling Limited","Hantsport, NS B0P 1P0","9619-Other labourers in processing, manufacturing and utilities",2
"Nova Scotia","Low Wage","Sea Crest Fisheries Ltd","Comeauville, NS B0W 2Z0","9463-Fish and seafood plant workers",50
"Nova Scotia","Low Wage","White Point Holdings Ltd","White Point, NS B0T 1G0",6322-Cooks,4
"Nova Scotia","Primary Agriculture","Allen Farms Limited","Centreville, NS B0P 1J0","8431-General farm workers",14
"Nova Scotia","Primary Agriculture","Apple Lane Farm Inc","Berwick, NS B0P 1E0","8431-General farm workers",9
"Nova Scotia","Primary Agriculture","Bayview Poultry Farms Ltd","Masstown, NS B0M 1G0","8431-General farm workers",6
"Nova Scotia","Primary Agriculture","Best Farms Ltd","Woodville, NS B0P 1V0","8431-General farm workers",5
"Nova Scotia","Primary Agriculture","Birchleigh Farms LTD.","Berwick, NS B0P 1E0","8431-General farm workers",12
"Nova Scotia","Primary Agriculture","CAP Farms Inc","Grafton, NS B0P 1V0","8431-General farm workers",20
"Nova Scotia","Primary Agriculture","Craig Nichols Farms Limited","Aylesford, NS B0P 1C0","8431-General farm workers",44
"Nova Scotia","Primary Agriculture","Crisp Growers Incorporated","Berwick, NS B0P 1E0","8431-General farm workers",44
"Nova Scotia","Primary Agriculture","G & C Hughes Enterprises Limited","New Ross, NS B0J 2M0","8431-General farm workers",3
"Nova Scotia","Primary Agriculture","High Point Orchards LTD.","Kentville, NS B4N 3V7","8431-General farm workers",12
"Nova Scotia","Primary Agriculture","J & M Reeves Christmas Greens Limited","New Ross, NS B0J 2M0","8432-Nursery and greenhouse workers",6
"Nova Scotia","Primary Agriculture","McConnell-Gordon Estates Ltd.","Wolfville, NS B4P 2R1","8431-General farm workers",3
"Nova Scotia","Primary Agriculture","Power Farms Inc.","Canning, NS B0P 1H0","8431-General farm workers",2
"Nova Scotia","Primary Agriculture","Reimer Gardens Inc.","Waterville, NS B0P 1V0","8431-General farm workers",3
"Nova Scotia","Primary Agriculture","Scothorn Farms Ltd","Hardwood Lands, NS B0N 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
"Nova Scotia","Primary Agriculture","Skips General Maintenance","wolfville, NS B4P 2R3","8431-General farm workers",4
"Nova Scotia","Primary Agriculture","Stirling Fruit Farms (2000) Ltd","Greenwich, NS B4P 2R2","8431-General farm workers",6
"Nova Scotia","Primary Agriculture","T.K. Palmer & Sons Contracting Inc.","Kentville, NS B0P 1C0","8431-General farm workers",4
"Nova Scotia","Primary Agriculture","Town Plot Orchards Ltd.","Port Williams, NS B0P 1T0","8611-Harvesting labourers",18
"Nova Scotia","Primary Agriculture","Van Meekeren Farms Ltd.","Lakeville, NS B4N 3V7","8431-General farm workers",5
"Nova Scotia","Primary Agriculture","Van Meekeren Farms Ltd.","Lakeville, NS B4N 3V7","8611-Harvesting labourers",7
"Nova Scotia","Primary Agriculture","Vermeulen Farms Limited","Canning, NS B0P 1H0","8431-General farm workers",8
"Nova Scotia","Primary Agriculture","Webster Farms Limited","Cambridge, NS B0P 1G0","8611-Harvesting labourers",8
"Nova Scotia","Global Talent Stream","3344465 Nova Scotia Limited","Halifax, NS B3J 3K5","2174-Computer programmers and interactive media developers",1
"Nova Scotia","Global Talent Stream","Axis Specialty Canada Services ULC","Halifax, NS B3J 0E8","2173-Software engineers and designers",1
"Nova Scotia","Global Talent Stream","Dalhousie University","Halifax, NS B3H 4H2","4011-University professors and lecturers",1
"Nova Scotia","Global Talent Stream","Mindsea Development Incorporated","Halifax, NS B3J 3M8","2174-Computer programmers and interactive media developers",1
"Nova Scotia","Global Talent Stream","MOBIA Technology Innovations","Dartmouth, NS B3B 1Y6","2173-Software engineers and designers",1
"Nova Scotia","Global Talent Stream","REDspace Inc.","Bedford, NS B4A 3Y4","2174-Computer programmers and interactive media developers",11
"Nova Scotia","Global Talent Stream","Smallfood Inc.","Halifax, NS B3J  0C","2121-Biologists and related scientists",1
"New Brunswick","High Wage","10993018 Canada Corporation","Moncton, NB E1G 0E6","7511-Transport truck drivers",2
"New Brunswick","High Wage","721771 N.B. Inc.","Fredericton, NB E3B 1E3","0014-Senior managers - health, education, social and community services and membership organizations",1
"New Brunswick","High Wage","AYR Motor Express Inc","Woodstock, NB E7M 4G2","7511-Transport truck drivers",10
"New Brunswick","High Wage","C & H EUROLEVEL TRANSPORTATION INC","WOODSTOCK, NB E7M 2T5","7511-Transport truck drivers",5
"New Brunswick","High Wage","Chaleur Sawmills Limited Partn","Belledune, NB E8G 2H8","0016-Senior managers - construction, transportation, production and utilities",1
"New Brunswick","High Wage","Detailed Restorers Ltd.","Moncton, NB E1C 0H2","0651-Managers in customer and personal services, n.e.c.",1
"New Brunswick","High Wage","Film Factory New Brunswick Ltd.","Quispamsis, NB E2E 1E1","0621-Retail and wholesale trade managers",1
"New Brunswick","High Wage","G&B Fabrication inc","ST-Joseph de madawaska, NB E7B 2K4","7231-Machinists and machining and tooling inspectors",1
"New Brunswick","High Wage","JPS Trucking Ltd","Northampton, NB E7N 1E4","7511-Transport truck drivers",5
"New Brunswick","High Wage","Midland Transport Limited","Dieppe, NB E1A 6X4","7511-Transport truck drivers",12
"New Brunswick","High Wage","Modular Fabrication Inc","Miramichi, NB E1N 6K6","7235-Structural metal and platework fabricators and fitters",6
"New Brunswick","High Wage","Modular Fabrication Inc","Miramichi, NB E1N 6K6","7237-Welders and related machine operators",12
"New Brunswick","High Wage","Modular Fabrication Inc","Miramichi, NB E1N 6K6","7294-Painters and decorators (except interior decorators)",4
"New Brunswick","High Wage","Murray Enterprises Ltd.","Sussex Corner, NB E4E 2Y5","7511-Transport truck drivers",2
"New Brunswick","High Wage","Rossignol Transport Ltd.","Saint - Jacques, NB E7B 0B1","7511-Transport truck drivers",1
"New Brunswick","High Wage","Sunbury Transport Limited","SAINT JOHN, NB E2L 4H8","7511-Transport truck drivers",25
"New Brunswick","High Wage","Unity Realty Inc.","Saint John, NB E2L 3G1","1311-Accounting technicians and bookkeepers",1
"New Brunswick","High Wage","WHITE ROCK FREIGHT SERVICES INC","Moncton, NB E1C 6L9","7511-Transport truck drivers",3
"New Brunswick","Low Wage","618479 NB INc","Bouctouche, NB E4S 3J7","6311-Food service supervisors",1
"New Brunswick","Low Wage","699756 NB INC.","Moncton, NB E1G 1A4","6311-Food service supervisors",1
"New Brunswick","Low Wage","699756 NB INC.","Moncton, NB E1G 1A4",6322-Cooks,1
"New Brunswick","Low Wage","Boaz Japanese & Korean Restaurant","Rothesay, NB E2E 2N6",6322-Cooks,1
"New Brunswick","Low Wage","Bouctouche Bay Inn Inc.","Lincoln, NB E3B 9J1",6322-Cooks,1
"New Brunswick","Low Wage","Diplomat Restaurant","Fredericton, NB E3B 2H8",6322-Cooks,3
"New Brunswick","Low Wage","Entreprise orientale ltée","Caraquet, NB E1W 1A3",6322-Cooks,1
"New Brunswick","Low Wage","FMI Atlantic Inc.","Woodstock, NB E7M 5G5","0631-Restaurant and food service managers",1
"New Brunswick","Low Wage","Grand Manan Hardware Ltd","Grand Manan, NB E5G 4E9","6421-Retail salespersons",2
"New Brunswick","Low Wage","JP Lavoie & Lavoie Ltd","Salisbury, NB E4J 2G1",6322-Cooks,2
"New Brunswick","Low Wage","MANAWA HOLDINGS LTD.","Bathurst, NB E2A 4P4","6311-Food service supervisors",7
"New Brunswick","Low Wage","Oko Invest Ltd","Moncton, NB E1G 1A8","6341-Hairstylists and barbers",1
"New Brunswick","Low Wage","OM SHIV SHAKTI INC.","SAINT JOHN, NB E2J 2C6","6311-Food service supervisors",1
"New Brunswick","Low Wage","Valley Redemption Center Inc","Moncton, NB E1A 3A4",6611-Cashiers,4
"New Brunswick","Low Wage","W. J. Allen & Sons Inc.","Aulac, NB E4L 2X2",6322-Cooks,5
"New Brunswick","Low Wage","Zoa Mansu B.B.Q Inc","Dieppe, NB E1A 1G1",6322-Cooks,1
"New Brunswick","Primary Agriculture","690487NB Inc.","Prince William, NB E6K 3T3","8611-Harvesting labourers",2
"New Brunswick","Primary Agriculture","Canadian National Growers Inc.","Saint Anne de Kent, NB E4S 1C6","0821-Managers in agriculture",1
"New Brunswick","Primary Agriculture","Canadian National Growers Inc.","Saint Anne de Kent, NB E4S 1C6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
"New Brunswick","Primary Agriculture","Canadian National Growers Inc.","Saint Anne de Kent, NB E4S 1C6","8431-General farm workers",7
"New Brunswick","Primary Agriculture","Cavendish Farms Corporation","Dieppe, NB E1A 6X4","8431-General farm workers",5
"New Brunswick","Primary Agriculture","Orchard Shade Farms Ltd.","NORTHAMPTON, NB E7N 1E2","8611-Harvesting labourers",4
"New Brunswick","Primary Agriculture","Roelridge Dairy Farm Ltd","Mapledale, NB E7M 4T7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
"New Brunswick","Primary Agriculture","Slocum's Farm Fresh Produce Ltd.","Waterborough, NB E4C 2Y3","8431-General farm workers",2
"New Brunswick","Primary Agriculture","W.A.Farm Ltd.","Salisbury West, NB E4J 3G9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
"New Brunswick","Global Talent Stream","Moltex Energy Canada Inc.","Saint John, NB E2L 2B2","0211-Engineering managers",1
"New Brunswick","Global Talent Stream","Sonrai Security (Canada) Inc.","FREDERICTON, NB E3C 2R2","2173-Software engineers and designers",1
"New Brunswick","Global Talent Stream","Total Performance Consulting Inc.","Saint John, NB E2L  4V","0013-Senior managers - financial, communications and other business services",1
Quebec,"High Wage","10624551 Canada Inc.","Boucherville, QC J4B 5L2",6322-Cooks,4
Quebec,"High Wage","10698431 Canada Inc.","Brossard, QC J4Y 0E2","3111-Specialist physicians",1
Quebec,"High Wage","151084 Canada inc.","Montréal, QC H1B 5V3","0124-Advertising, marketing and public relations managers",1
Quebec,"High Wage","2425-6356 Québec Inc.","Alma, QC G8B 5B7",3114-Veterinarians,1
Quebec,"High Wage","2737-2846 Québec Inc.","Drummondville, QC J2B 1T7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,"High Wage","4272749 Canada Inc.","Vaudreuil-Dorion, QC J7V 8C1",6322-Cooks,4
Quebec,"High Wage","4355768 Canada Inc. (Crak Media)","Québec, QC G1K 8G3","2175-Web designers and developers",1
Quebec,"High Wage","4458664 Canada inc.","St-Bruno-de-Montarville, QC J3V 6B8","2241-Electrical and electronics engineering technologists and technicians",1
Quebec,"High Wage","6053599 Canada Inc.","Cantley, QC J8V 3N1","7611-Construction trades helpers and labourers",1
Quebec,"High Wage","6155260 Canada Inc.","Boucherville, QC J4B 5L2",6322-Cooks,2
Quebec,"High Wage","7081936 Canada Inc.","Montreal, QC H2R 2Y3","0213-Computer and information systems managers",1
Quebec,"High Wage","7345593 Canada Inc.","Dorval, QC H9P 1E7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,"High Wage","7506651 CANADA INC","MONTREAL, QC H4P 2C7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,"High Wage","7657978 Canada Inc.","Boucherville, QC J4B 5L2",6322-Cooks,3
Quebec,"High Wage","8049343 Canada Inc.","Brossard, QC J4W 2T5",6322-Cooks,1
Quebec,"High Wage","9027-1131 Québec Inc.","Gaspé, QC G4X 2L6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,"High Wage","9045-7631 Québec Inc.","Magog, QC J1X 7J2","6331-Butchers, meat cutters and fishmongers - retail and wholesale",2
Quebec,"High Wage","9048-9493 Québec Inc.","St-BENOIT LABRE, QC G0M 1P0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,"High Wage","9051-3326 Québec Inc.","Québec, QC G1N 2E6",6322-Cooks,1
Quebec,"High Wage","9068589 Canada inc","Montreal, QC H2N 2C9",6321-Chefs,1
Quebec,"High Wage","9073-0524 Québec Inc.","Saint-Majorique, QC J2B 8A8","7237-Welders and related machine operators",2
Quebec,"High Wage","90759630 QUEBEC INC","St-Leonard, QC H1S 2J2","7511-Transport truck drivers",3
Quebec,"High Wage","9091-4532 Québec Inc.","L'Isle-Verte, QC G0L 1L0","7237-Welders and related machine operators",1
Quebec,"High Wage","9107-4138 QUÉBEC INC.","DRUMMONDVILLE, QC J2B 3M2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,"High Wage","9114-3123 Qc inc","québec, QC G1K 3V8","6311-Food service supervisors",2
Quebec,"High Wage","9117-7949 Qc Inc","LA PATRIE, QC J0B 1Y0","7237-Welders and related machine operators",1
Quebec,"High Wage","9171-2604 QUÉBEC INC.","Québec, QC G1M 3V9",6322-Cooks,1
Quebec,"High Wage","9185-0321 Québec inc","Mont-Tremblant, QC J8X 2X4","0631-Restaurant and food service managers",1
Quebec,"High Wage","9185-0321 Québec inc","Mont-Tremblant, QC J8X 2X4","6311-Food service supervisors",3
Quebec,"High Wage","9192-6139 Québec inc","Rivière-du-Loup, QC G5R 4X7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,"High Wage","9206-1647 Québec Inc.","Québec, QC G1M 1S9",7271-Carpenters,1
Quebec,"High Wage","9208-4144 quc inc","Sherbrooke, QC J1C 0W2","7333-Electrical mechanics",1
Quebec,"High Wage","9210-1005 Québec inc","LONGUEUIL, QC J4M 2L8","7237-Welders and related machine operators",1
Quebec,"High Wage","9217-1396 Québec Inc.","Lévis, QC G6Y 0N2",6322-Cooks,2
Quebec,"High Wage","9220-0633 Québec Inc.","Lévis, QC G6X 1P2",6322-Cooks,1
Quebec,"High Wage","9224-1587 Québec inc.","Lacolle, QC J0J 1J0","0631-Restaurant and food service managers",1
Quebec,"High Wage","9224-8624 Québec Inc","Montréal, QC H3J 1M1",7283-Tilesetters,1
Quebec,"High Wage","9246-0245 Quebec inc.","GATINEAU, QC J9J 2V5","1123-Professional occupations in advertising, marketing and public relations",1
Quebec,"High Wage","9249-6751 Québec Inc.","Montréal, QC H2T 2W7","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,"High Wage","9252-0618 Quebec Inc.","Montreal, QC H4P 1P5","9213-Supervisors, food, beverage and associated products processing",1
Quebec,"High Wage","9271-6638 Québec inc. (Tik Tak To Académie)","SHERBROOKE, QC J1G 1L1","4214-Early childhood educators and assistants",2
Quebec,"High Wage","9285-7721 Québec Inc","Drummondville, QC J2A 2P4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,"High Wage","9296-2133 Québec inc.","Montréal, QC H3B 2T9","5241-Graphic designers and illustrators",1
Quebec,"High Wage","9305-2090 Quebec inc.","Montreal, QC H4B 1V3","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,"High Wage","9305-9103 quebec inc.","VICTORIAVILLE, QC G6S 1C1","7313-Refrigeration and air conditioning mechanics",1
Quebec,"High Wage","9318-6468 QUEBEC INC.","Lasalle, QC H8N 2X2","7301-Contractors and supervisors, mechanic trades",1
Quebec,"High Wage","9319-0254 Québec inc.","Anjou, QC H1J 2V6","1243-Medical administrative assistants",2
Quebec,"High Wage","9320-9054 Québec Inc.","Sherbrooke, QC J1H 1M4","2232-Mechanical engineering technologists and technicians",1
Quebec,"High Wage","9337-7430 Québec inc. (Jimssy)","Victoriaville, QC G6P 1A7","7237-Welders and related machine operators",2
Quebec,"High Wage","9343-0221 Quebec Inc","Brossard, QC J4Z 3H1",6322-Cooks,1
Quebec,"High Wage","9344-1319 Quebec inc","Dolbeau-Mistassani, QC G8L 0H7","1311-Accounting technicians and bookkeepers",1
Quebec,"High Wage","9355-6967 Québec inc","Roberval, QC G8H 1Z6","1311-Accounting technicians and bookkeepers",1
Quebec,"High Wage","9359-5627 Quebec inc","Laval, QC H7G 2T8","4214-Early childhood educators and assistants",1
Quebec,"High Wage","9373-6874 Québec Inc.","St-Léonard, QC H1R 2T6",6322-Cooks,1
Quebec,"High Wage","9375-9132 Québec inc.","Repentigny, QC J5Y 3W1","6342-Tailors, dressmakers, furriers and milliners",1
Quebec,"High Wage","93787737 Québec inc.","Montréal, QC H1Y 1W5",6322-Cooks,1
Quebec,"High Wage","9383-2863 Québec inc","St-laurent, QC H4L 5B3","1311-Accounting technicians and bookkeepers",2
Quebec,"High Wage","9383-2863 Québec inc","St-laurent, QC H4L 5B3",6322-Cooks,8
Quebec,"High Wage","9394-2183 Québec inc.","Montréal, QC H2S 3E7",6321-Chefs,1
Quebec,"High Wage","9406-4755 Québec inc.","Anjou, QC H1J 1K6","7231-Machinists and machining and tooling inspectors",3
Quebec,"High Wage","9428-3934 Québec Inc.","Montréal, QC H3K 1W7",6332-Bakers,1
Quebec,"High Wage","A.Chouinard et fils inc","Sainte-Anne-de-Beaupré, QC G0A 3C0","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,"High Wage","A.D. Métal Artisanal inc.","Québec, QC G1M 1B3","7231-Machinists and machining and tooling inspectors",1
Quebec,"High Wage","A7 Integration Inc.","GRANBY, QC J2J 2R1","7231-Machinists and machining and tooling inspectors",1
Quebec,"High Wage","Abzac Canada inc.","Drummondville, QC J2B 6Y8","2141-Industrial and manufacturing engineers",1
Quebec,"High Wage","Academie Prescolaire Artistique ILDIKO","Chambly, QC J3L 0H9","4214-Early childhood educators and assistants",1
Quebec,"High Wage","Acier spécialisé BP","Alma, QC G8B 7R3","7237-Welders and related machine operators",2
Quebec,"High Wage","ACTIVE MEDIA INC.","Montreal, QC H1X 2W3","6221-Technical sales specialists - wholesale trade",1
Quebec,"High Wage","Airbus Canada Limited Partnership","Montréal, QC H3B 1Y8","2146-Aerospace engineers",1
Quebec,"High Wage","Alessa Trattoria Inc.","Magog, QC J1X 2B2",6322-Cooks,1
Quebec,"High Wage","Alexander Von Humboldt école internationale Allemande inc.","Baie D'urfé, QC H9X 2H9","4032-Elementary school and kindergarten teachers",1
Quebec,"High Wage","Alimentation Denis Nolet Inc.","Ville Marie, QC J9V 1J7","6211-Retail sales supervisors",2
Quebec,"High Wage","Alimentation Denis Nolet Inc.","Ville Marie, QC J9V 1J7","6331-Butchers, meat cutters and fishmongers - retail and wholesale",2
Quebec,"High Wage","Alimentation Pierre-Luc Morin inc.","Lebel-sur-Quévillon, QC J0Y 1X0","6211-Retail sales supervisors",1
Quebec,"High Wage","Alma Soudure Fabrication Inc.","Alma, QC G8B 6T3","7237-Welders and related machine operators",10
Quebec,"High Wage","ALTEN Canada Inc.","Montréal, QC H3B 4N4","1223-Human resources and recruitment officers",1
Quebec,"High Wage","APN Inc.","QUÉBEC, QC G1P 4S5","7231-Machinists and machining and tooling inspectors",3
Quebec,"High Wage","ASTEK Canada Inc.","Montréal, QC H2Y 1M6","1223-Human resources and recruitment officers",2
