Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
,,Au delà de l'éducation Canada Inc,"MONTRÉAL, QC H3H 2S2",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
,,Canadian Helicopters Limited,"Les Cèdres, QC J7T 1G1",0211-Directeurs des services de génie,1
,,Equipement Comact dba: Comact Equipment,"Saint-Georges, QC G5Y 8G4",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
,,Impôts Lorenti,"MONTREAL, QC H2S 2N1",1311-Techniciens en comptabilité et teneurs de livres,1
,,JBC Architectes inc.,"Montréal, QC H2V 1A5",2251-Technologues et techniciens en architecture,1
,,La Maison Simons,"MONTRÉAL, QC H2V 4M1","5232-Autres artistes de spectacle, n.c.a.",2
,,Mangogen Pharma inc.,"Laval, QC H7V 5B7","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,,Maplace Inc.,"QUÉBEC, QC G1V 0B9",1241-Adjoints administratifs,1
,,NSAIIA INTERNATIONAL INC,"Magog, QC J1X 2B3",2171-Analystes et consultants en informatique,1
,,,,2174-Programmeurs et développeurs en médias interactifs,9
,,Programme Addiction Outreach,"MONTRÉAL, QC H2S 1S8",4212-Travailleurs des services sociaux et communautaires,1
,,"Zef Scientific, Inc.","Dorval, QC H9P 1J8",2241-Technologues et techniciens en génie électronique et électrique,1
,   Bas salaire,9326-9264 Quebec Inc.,"PINCOURT, QC J7W 0H6",6733-Concierges et surintendants d'immeubles,2
,,9339-3817 Québec Inc.,"MONTRÉAL, QC H2P 1V2",6332-Boulangers-pâtissiers,1
,,Golf Le Griffon De Sources Inc.,"MIRABEL, QC J7N 3B1",1241-Adjoints administratifs,1
,,La Compagnie Moruzzi Limitée,"Montreal, QC H1P 3L7",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,,Le Blanco Inc.,"MONT-TREMBLANT, QC J8E 3J8",6341-Coiffeurs et barbiers,1
,,Les Chamois Mont-Royal Inc.,"MONTREAL, QC H4T 1Y2",1524-Commis aux achats et au contrôle de l'inventaire,1
,,Salon de coiffure New Chomedey,"MONTRÉAL, QC H2X 1X3",6341-Coiffeurs et barbiers,1
,  Agriculture primaire,Desil-Eggs Corp.,"Notre-Dame-du-Bon-Conseil, QC J0C 1A0",8431-Ouvriers agricoles,2
,,Ferme R Legault 2001 Inc.,"St-Eustache, QC J7R 0E2",8431-Ouvriers agricoles,1
, Talent mondial,Le Groupe BSI Inc.,"MONTREAL, QC H2Y 2P5",2171-Analystes et consultants en informatique,2
Ontario,    Haut salaire,10195766 Canada Inc,"RICHMOND HILL, ON L4E 0K2",2241-Technologues et techniciens en génie électronique et électrique,1
,,1065022 Ontario Limited O/A Juno Electric,"GUELPH, ON N1K 1B6",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,,1166552 Ontario Inc. o/a Pioneer Cruises,"NORTH YORK, ON M3J 3K6",1226-Planificateurs de congrès et d'événements,1
,,,,6221-Spécialistes des ventes techniques - commerce de gros,1
,,,,6322-Cuisiniers,1
,,1487017 Ontario Inc. o/a City Engine Rebuilder,"BRAMPTON, ON L6T 4K8",1241-Adjoints administratifs,1
,,1519950 Ontario Ltd. o/a New Millenium Tire Center,"Brampton, ON L6W 1X4",1431-Commis à la comptabilité et personnel assimilé,2
,,1534178 Ontario Ltd.,"Ottawa, ON K1K 0T6",6322-Cuisiniers,2
,,1545317 Ontario Inc. o/a Liaison College,"TORONTO, ON M9W 1A1",1221-Agents d'administration,1
,,1634705 Ontario Inc.,"SEGUIN, ON P2A 2W8","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,1643707 Ont Inc. o/a Palma Door Systems Inc,"TORONTO, ON M3N 1V9",9226-Surveillants dans la fabrication d'autres produits métalliques et de pièces mécaniques,1
,,1714625 Ontario Limited. trading as Bill's Mobile Repair,"Sarnia, ON N7W 1B6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,1817478 Ontario Inc o/a Schnitzel Hub,"Toronto, ON M4T 1Y7",6322-Cuisiniers,1
,,2000007 Ontario Inc. o/a INKAS Armored Vehicle Manufacturing,"Toronto, ON M9L 1V7",1221-Agents d'administration,1
,,2017761 Ontario Ltd. o/a Bathurst Village Market,"TORONTO, ON M2R 1Z1",2281-Techniciens de réseau informatique,1
,,2029147 Ontario Inc.,"AYR, ON N0B 1E0","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,2192964 Ontario Limited,"NORTH BAY, ON P1B 0A6","6562-Esthéticiens, électrolystes et personnel assimilé",1
,,2223098 Ontario Inc,"Mississauga, ON L4T 0A7",6311-Superviseurs des services alimentaires,1
,,2256876 Ontario Inc. o/a Industrial Automation Repair,"Mississauga, ON L4W 1R1",6221-Spécialistes des ventes techniques - commerce de gros,1
,,2258517 Ontario Ltd. o/a Boston Pizza Kingston West,"KINGSTON, ON K7M 3Y5",1311-Techniciens en comptabilité et teneurs de livres,1
,,,,6311-Superviseurs des services alimentaires,1
,,2262415 Ontario Inc. o/a Skyblue Enterprises,"MISSISSAUGA, ON L4W 1V5",6222-Acheteurs des commerces de détail et de gros,1
,,2333869 Ontario Inc. o/a Top Rehab,"MISSISSAUGA, ON L5M 3B9",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,,2366783 Ontario Inc. o/a Peel Auto Collision,"BRAMPTON, ON L4W 1E3",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,,,7322-Débosseleurs et réparateurs de carrosserie,1
,,2373959 Ontario Ltd.  o/a Quality Supermarket,"MILTON, ON L9T 9H1",6311-Superviseurs des services alimentaires,1
,,2430787 Ontario Inc. o/a Friends Furniture and Matress,"Brampton, ON L6T 5E7",1311-Techniciens en comptabilité et teneurs de livres,1
,,2482575 Ontario Inc. o/a National Auto Centre,"BRAMPTON, ON L6P 1L9",1522-Magasiniers et commis aux pièces,1
,,2524214 Ontario Inc. o/a Hampton Inn,"MAPLE, ON L6A 3K1","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,2565732 Ontario Inc. o/a Amorim Concrete and Contracting,"KITCHENER, ON N2G 2V4",7282-Finisseurs de béton,1
,,7 DECEMBER 1921 ONTARIO INC. o/a Subway,"COBDEN, ON K0J 1K0",0631-Directeurs de la restauration et des services alimentaires,1
,,8815216 Canada Inc. (Kenora Husky Travel Centre),"KENORA, ON P9N 1V6",0621-Directeurs - commerce de détail et de gros,1
,,A & F Equipment Limited,"ETOBICOKE, ON M9W 1L3",7511-Conducteurs de camions de transport,4
,,A-Class Upholstery Ltd.,"Brampton, ON L6T 3V1",4216-Autres instructeurs,1
,,Action Anytime Building Services Ltd.,"TORONTO, ON M9V 1C2",1221-Agents d'administration,1
,,Advanced Control System Corporation,"STOUFFVILLE, ON L4A 7X4",1221-Agents d'administration,1
,,Agriculture Environmental Renewal Canada Inc.,"NEPEAN, ON K2G 5P6",2121-Biologistes et personnel scientifique assimilé,1
,,Akal Optical Ltd.,"ETOBICOKE, ON M9V 1A7",6211-Superviseurs des ventes - commerce de détail,1
,,Altaqwa Academy Foundation,"LONDON, ON N5V 3H4",0422-Directeurs d'école et administrateurs de programmes d'enseignement aux niveaux primaire et secondaire,4
,,Animals Inc.,"TORONTO, ON M6J 2R9","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,Antica Osteria Italian Eatery Ltd.,"CALEDON, ON L7C 2G2",6321-Chefs,1
,,Atif Ageel Architect Inc,"MISSISSAUGA, ON L5M 2K8",2231-Technologues et techniciens en génie civil,1
,,Aussie Stone Marble & Granite Inc.,"BURLINGTON, ON L7R 3P6","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",1
,,B Negative LLC,"SCARBOROUGH, ON M1N 4B5","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,B.G.A. Construction,"MISSISSAUGA, ON L5M 6P1",1241-Adjoints administratifs,1
,,Bah & Sons Ltd.,"BRAMPTON, ON L6R 3C4",7511-Conducteurs de camions de transport,3
,,Baumeier Corporation,"CAMBRIDGE, ON N3H 4R7",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,Bay Street Real Estate Investment Ltd.,"MARKHAM, ON L3R 9Y7",1242-Adjoints administratifs juridiques,1
,,Bello Horizonte Construction Ltd,"North York, ON M6L 1H7",7271-Charpentiers-menuisiers,1
,,Benson Mortgages Corp.,"RICHMOND HILL, ON L4C 3B8",2171-Analystes et consultants en informatique,1
,,Bento Nouveau Ltd,"Markham, ON L3R 5N8",1241-Adjoints administratifs,1
,,Bormill Inc,"Hamilton, ON L8M 1M8",7202-Entrepreneurs et contremaîtres en électricité et en télécommunications,1
,,BTE ASSEMBLY LIMITED,"LISTOWEL, ON N4W 3H2","9535-Assembleurs, finisseurs et contrôleurs de produits en plastique",5
,,CaffComm Systems Inc.,"THORNHILL, ON L3T 0B3",2281-Techniciens de réseau informatique,1
,,Camp Forming Ltd.,"CONCORD, ON L4K 1P2",7611-Aides de soutien des métiers et manoeuvres en construction,1
,,Canprev Natural Health Products Ltd.,"Toronto, ON M1S 3R5",2174-Programmeurs et développeurs en médias interactifs,1
,,Castanas Inc.  o/a Marron Bistro,"TORONTO, ON M6C 2C2",6322-Cuisiniers,1
,,Children's Hospital Of Eastern Ontario,"Ottawa, ON K1H 8L1",3111-Médecins spécialistes,1
,,CIRC Radio Inc.,"BRAMPTON, ON L6S 0E8",5123-Journalistes,1
,,Circle Productions Ltd,"Toronto, ON M5V 1T2","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Companion Healthcare Corporation,"TORONTO, ON M3B 2R2",3111-Médecins spécialistes,1
,,Condor Security Inc,"TORONTO, ON M3H 5S4",6316-Surveillants des autres services,1
,,Delstar (2000) Inc.,"Brampton, ON L6S 5X2",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,Dick's Garage Limited,"SAULT STE MARIE, ON P6A 5K9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,DMN Transportation Limited,"OAKVILLE, ON L6H 7V4","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,Dr. Emel Arat Dentistry Professional Corporation,"TORONTO, ON M4G 3B7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Durose Manufacturing Ltd.,"GUELPH, ON N1E 6C1",7237-Soudeurs et opérateurs de machines à souder et à braser,5
,,Elite Alliance Services Inc.,"NORTH YORK, ON M2N 0G3","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Everest Transportation Inc.,"CALEDON EAST, ON L7C 2X6",7511-Conducteurs de camions de transport,5
,,Fantilli Carpentry Ltd.,"Toronto, ON M6J 2Z8",7272-Ébénistes,1
,,FC Locksmiths Ltd.,"CONCORD, ON L4K 0A8","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",1
,,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7292-Vitriers,1
,,FMF Glass Hardware Inc.,"WOODBRIDGE, ON L4L 0A2",1311-Techniciens en comptabilité et teneurs de livres,1
,,Gameloft Entertainment Toronto Inc.,"Toronto, ON M6K 3J7",5241-Designers graphiques et illustrateurs,1
,,Gip Sing International Ltd.,"Toronto, ON M1S 5H6",2175-Concepteurs et développeurs Web,1
,,Glen-Merritt Collision Ltd.,"ST. CATHERINES, ON L2S 0B6",7322-Débosseleurs et réparateurs de carrosserie,1
,,Golden Grain Inc.,"WINDSOR, ON N9G 2Y2","9524-Monteurs et contrôleurs dans la fabrication de matériel, d'appareils et d'accessoires électriques",1
,,Hydrauli-Chrome Inc.,"OTTAWA, ON K1B 4S1",7231-Machinistes et vérificateurs d'usinage et d'outillage,3
,,IDC Technologies Canada,"NORTH YORK, ON M2P 2A8","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Infinite Outsourcing Solutions Inc.,"TORONTO, ON M9N 3W3",1521-Expéditeurs et réceptionnaires,10
,,Innovative Processing Technologies Inc,"WATERLOO, ON N2V 1N2",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,,Jagjot Express Inc.,"ETOBICOKE, ON M9W 1L4",1311-Techniciens en comptabilité et teneurs de livres,1
,,,,7511-Conducteurs de camions de transport,3
,,James McDermott Services Inc,"TORONTO, ON M5A 1W7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,,Jamrock Irie Jerk/2270243 Ontario Inc.,"ST. CATHARINES, ON L2R 2P5",0631-Directeurs de la restauration et des services alimentaires,1
,,JD Property Canada Corp. o/a JD Development Group,"MARKHAM, ON L3R 5J2",0111-Directeurs financiers,1
,,Jewish Family Services of Ottawa,"OTTAWA, ON K2B 7Z5","4153-Thérapeutes conjugaux, thérapeutes familiaux et autres conseillers assimilés",1
,,Konnection Recycles Inc,"BRAMPTON, ON L6R 3W3","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Korbitec Inc,"Toronto, ON M5C 1B5",2174-Programmeurs et développeurs en médias interactifs,1
,,Lima's Gardens & Construction Inc.,"Toronto, ON M9L 1X6",7312-Mécaniciens d'équipement lourd,1
,,LIME TREE FINANCIAL GROUP INC.,"THORNHILL, ON L3T 0C4",1241-Adjoints administratifs,1
,,Linkglobal Food,"Richmond Hill, ON L4B 1L5",1241-Adjoints administratifs,1
,,LJP Corporation o/a Hockley Valley Resort,"Mono, ON L9W 5X7",6322-Cuisiniers,1
,,Loosestring Designs o/a 2543491 Ontario Incorporated,"Timmins, ON P4N 2W9",2281-Techniciens de réseau informatique,1
,,Mansumi Welding Corporation,"STOUFFVILLE, ON L4A 1X6",0211-Directeurs des services de génie,1
,,Mayar International Inc.,"Markham, ON L3R 3B2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Mc Garr Industries Limited,"Cambridge, ON N1R 5R5",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,Mid-Ontario Diesel Limited,"MAPLE, ON L6A 4R6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,Norfinch Glass & Mirror Mfg Limited.  o/a Norfinch Glass & Mirror,"TORONTO, ON M9W 7A4",0711-Directeurs de la construction,1
,,Nous Infosystems Private Ltd,"MISSISSAUGA, ON L4Z 1H8","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,Ontario Impex of Canada,"BRAMPTON, ON L6T 1E2","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,OPC TV Inc.,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Paradise Roadways Inc.,"BRANTFORD, ON N3T 0E5","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Picture Depot Inc.,"TORONTO, ON M3J 2A7",9214-Surveillants dans la fabrication de produits en caoutchouc et en plastique,1
,,Premium Window Cleaning Ltd.,"Uxbridge, ON L9P 1B7",6315-Surveillants des services de nettoyage,1
,,Presidential Life Inc.,"Mississauga, ON L5T 2J6",0111-Directeurs financiers,1
,,ProDesign Automation Inc.,"BRAMPTON, ON L6T 4Z5",2232-Technologues et techniciens en génie mécanique,1
,,Public Disposal and Recycling Inc.,"Kleinburg, ON L0J 1C0",7271-Charpentiers-menuisiers,1
,,Punjabi Dhaba,"Mississauga, ON L4T 1A6",6322-Cuisiniers,1
,,Purba Furniture Ltd,"Mississauga, ON L4T 1A1",6211-Superviseurs des ventes - commerce de détail,1
,,R Office Solutions,"Toronto, ON M3J 2X4",9224-Surveillants dans la fabrication de meubles et d'accessoires,1
,,Rafat General Contractor Inc,"Caledon, ON L7E 2Y4",7301-Entrepreneurs et contremaîtres en mécanique,1
,,Ready Go Transport Inc.,"HALTON HILLS, ON L9T 2X9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Reliance Carriers Inc.,"MISSISSAUGA, ON L5N 8L2",1221-Agents d'administration,1
,,Reliance Collision Centre Ltd.,"MISSISSAUGA, ON L4W 2R4",7301-Entrepreneurs et contremaîtres en mécanique,1
,,Restorex Contracting Ltd.,"Brampton, ON L6T 5G2",7271-Charpentiers-menuisiers,5
,,Rigarus Construction Inc.,"ELMIRA, ON N3B 2Z5",7245-Monteurs de lignes et de câbles de télécommunications,1
,,Rudy Mak Surveying Ltd,"BARRIE, ON L4N 8M5",2154-Arpenteurs-géomètres,1
,,Sayan Restaurants Canada Inc. o/a KFC,"TORONTO, ON M2N 6K1",6311-Superviseurs des services alimentaires,1
,,Scorpion Road Link Inc.,"ALLISTON, ON L9R 0N8","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Sequoia Content International Ltd,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Shahid Malik Law Office Professional Corp.,"MISSISSAUGA, ON L4Z 1X1",1242-Adjoints administratifs juridiques,1
,,Siali Corporation,"CHAPLEAU, ON P0M 1K0","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,Sirius Auto Parts Corp.,"Woodbridge, ON L4L 6B4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Sky Ride Transport Inc.,"BRAMPTON, ON L6W 3G2",1241-Adjoints administratifs,1
,,Southern Cross Plumbing Inc,"Toronto, ON M1E 5C8",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
,,Sparks Productions,"Toronto, ON M6K 3J1","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Specialized Metal Fabricators Inc.,"WOODBRIDGE, ON L4L 5Y6","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Stargate Logistics Ltd.,"Mississauga, ON L5T 2S6",1221-Agents d'administration,1
,,Steam Films Inc.,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Streamline Cable Solutions Inc,"Woodbridge, ON L4H 0R6",7247-Techniciens en montage et en entretien d'installations de câblodistribution,1
,,Suneeva Ltd.,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,Sure Track Courier Ltd.,"Concord, ON L4K 5B5",7305-Surveillants du transport routier et du transport en commun,1
,,T. Weber Co. Ltd.,"BLOOMINGDALE, ON N0B 1K0",7611-Aides de soutien des métiers et manoeuvres en construction,2
,,The Tempered Room Ltd,"TORONTO, ON M6K 1L7",6332-Boulangers-pâtissiers,1
,,"The Tree Specialists, Inc","OAKVILLE, ON L6L 4A7",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
,,Tito Construction Ltd.,"Toronto, ON M9L 1M3",7271-Charpentiers-menuisiers,1
,,Trican Masonry Contractors Inc.,"Mississauga, ON L5G 1M8",7281-Briqueteurs-maçons,2
,,TTEC Computers Inc.,"BRAMPTON, ON L6Y 1M5",2281-Techniciens de réseau informatique,1
,,Ubisoft Toronto Inc.,"Toronto, ON M6H 1V7","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,,,"5121-Auteurs, rédacteurs et écrivains",1
,,VAL/MAR Construction Inc.,"Scarborough, ON M1K 2X4",7311-Mécaniciens de chantier et mécaniciens industriels,1
,,Voyzant Inc.,"MARKHAM, ON L3R 5J2","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,   Bas salaire,1100852 Ontario Ltd.,"Mississauga, ON L5A 1X1","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,1559778 Ontario Inc. o/a Tim Hortons,"LINDSAY, ON K9V 5N2",6311-Superviseurs des services alimentaires,4
,,1623385 Ontario Inc. o/a Purba Vision,"GUELPH, ON N1L 1N5",6211-Superviseurs des ventes - commerce de détail,1
,,1672251 Ontario Ltd. o/a Rio 40 Degrees Restaurant & Bar,"Toronto, ON M6E 1B9",6322-Cuisiniers,1
,,1678183 Ontario Inc.,"TORONTO, ON M1G 2V7",1241-Adjoints administratifs,1
,,1717495 Ontario Inc.  o/a Green Mango Tree Thai Fusion,"COLLINGWOOD, ON L9Y 1A5",6322-Cuisiniers,2
,,1748302 Ontario Inc.,"FLESHERTON, ON N0C 1E0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,1784402 Ontario Limited o/a Ruth's Chris Steak House,"Niagara Falls, ON L2G 3V9",6322-Cuisiniers,1
,,1875600 Ontario Inc,"ETOBICOKE, ON M9B 4Y7",6321-Chefs,2
,,1877351 Ontario Ltd.  o/a Captain George's Fish & Chips,"Toronto, ON M9V 5E2",6322-Cuisiniers,1
,,1897366 Ontario Inc. o/a Pizza Pizza,"KANATA, ON K2W 0C5",6311-Superviseurs des services alimentaires,1
,,1975471 Ontario Ltd. O/A Canadian Tire Gas,"COBOURG, ON K9A 5T9",6211-Superviseurs des ventes - commerce de détail,1
,,2061054 Ontario Inc.,"NORTH YORK, ON M3N 2V3",6311-Superviseurs des services alimentaires,1
,,2096899 Ontario Inc.,"Toronto, ON M5S 1X8",6321-Chefs,1
,,2105727 Ontario Inc.,"Oakville, ON L6H 6K7",6311-Superviseurs des services alimentaires,1
,,2237923 Ontario Inc.  o/a Las Delicias,"MISSISSAUGA, ON L5B 1H7",6322-Cuisiniers,1
,,2290605 Ontario Inc. (STL),"CALEDON, ON L7C 3A6",7511-Conducteurs de camions de transport,1
,,2316957 Ontario Corp o/a Sushi California,"Toronto, ON M6E 1B7",6322-Cuisiniers,1
,,2323886 Ontario Inc. o/a Man O Salwa Foods,"TORONTO, ON M1B 5M3",6311-Superviseurs des services alimentaires,1
,,2328392 Ontario Inc o/a Dollar Bits & Discounts,"BRAMPTON, ON L0G 1W0",6211-Superviseurs des ventes - commerce de détail,1
,,2354181 Ont Inc.,"Toronto, ON M4N 2L9",6322-Cuisiniers,2
,,2381062 Ontario Inc. o/a Hampton Inn Suites by Hilton Thunder Bay,"THUNDER BAY, ON P7E 5R9",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,1
,,2383879 Ontario Inc,"Etobicoke, ON M9W 0B3","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
,,2409955 ONTARIO INC.,"BRAMPTON, ON L6S 5H2",7511-Conducteurs de camions de transport,2
,,2436853 Ontario Inc.  o/a Kibo Sushi House,"Toronto, ON M6C 1B2",6322-Cuisiniers,1
,,5004554 Ontario Inc.,"HAMILTON, ON L8R 1C4",0621-Directeurs - commerce de détail et de gros,1
,,666448 Ontario Limited O/A Mister Produce,"ETOBICOKE, ON M8Z 2H1","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",9
,,8331090 Canada Inc.,"BARRIE, ON L4N 0B1",6311-Superviseurs des services alimentaires,1
,,8773173 Canada Inc.,"BRAMPTON, ON L6V 4S3",7511-Conducteurs de camions de transport,5
,,AW Shucks Inc.,"RICHMOND HILL, ON L4C 6C6",0631-Directeurs de la restauration et des services alimentaires,1
,,BrightPath Kids Corp,"TORONTO, ON M8X 2X3",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,Dekora Album Corporation,"TORONTO, ON M3J 2W6",5244-Artisans,1
,,Direct Plumbing & Renovations Ltd.,"MARKHAM, ON L3R 2W2",7251-Plombiers,1
,,Future Bakery Ltd.,"Toronto, ON M8Z 2E2",6332-Boulangers-pâtissiers,1
,,Golden Grain Inc.,"WINDSOR, ON N9G 2Y2",8612-Manoeuvres en aménagement paysager et en entretien des terrains,1
,,Jag 'N Sugar Restaurants Inc.,"TIMMINS, ON P4N 7C3",6311-Superviseurs des services alimentaires,7
,,Jomarnik Holdings Ltd. o/a Red Dog Inn,"TERRACE BAY, ON P0T 2W0",6513-Serveurs d'aliments et de boissons,1
,,Kal-Trading Inc.,"MISSISSAUGA, ON L5C 1W4",9422-Opérateurs de machines de traitement des matières plastiques,1
,,Kivalo Fine Cabinetry Inc.,"AURORA, ON L4G 3S5",7272-Ébénistes,1
,,National Countertops Inc.,"Mississauga, ON L4T 3X2",6211-Superviseurs des ventes - commerce de détail,1
,,Nestor's Truck Mobile Service Inc,"WOODBRIDGE, ON L4H 2N3",7612-Autres manoeuvres et aides de soutien de métiers,1
,,North Durham Veterinary Professional Corp.,"OSHAWA, ON L1G 4X8",3213-Technologues en santé animale et techniciens vétérinaires,1
,,Onnki Donburi Ltd.,"TORONTO, ON M4Y 1V8",6322-Cuisiniers,1
,,Ontario Gasket Inc,"OTTAWA, ON K1J 9E5",7232-Outilleurs-ajusteurs,1
,,Ottawa Textiles 2000 Inc,"OTTAWA, ON K1G 1A2","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",1
,,Palma Pasta Corporation,"Mississauga, ON L5C 4P9",6332-Boulangers-pâtissiers,1
,,Peter & Paul's Manor Ltd,"KING, ON L7B 0C7",6321-Chefs,1
,,Pramukh Krupa Enterprises Ltd.,"ORILLIA, ON L3V 8A2",6311-Superviseurs des services alimentaires,1
,,"ROMAN SHAMRAY, operating: SHAMRAYS ENTERPRISE","Ottawa, ON K1V 6V8",7271-Charpentiers-menuisiers,1
