Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandés
,,A.T. Consulting and Recruiting Inc.,"Toronto, ON M5E 1E5","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,Alda Carpentry Ltd,"Toronto, ON M3M 1M3",7272-Ébénistes,1
,,Algo Electric 2012 Ltd.,"Sault St. Marie, ON P6B 4K2",7333-Électromécaniciens,1
,,Alion Science and Technology (Canada) Corp,"Ottawa, ON K2K 2X3","2148-Autres ingénieurs, n.c.a.",1
,,Anatolia Tile & Stone Inc.,"Vaughan, ON L4L 1A5",1121-Professionnels en ressources humaines,1
,,Asymetric Media Ltd.,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Azcor Inc.,"Woodbridge, ON L4L 3R5",7242-Électriciens industriels,1
,,Cangates Immigration & Citizenship Consulting Inc.,"Richmond Hill, ON L4C 3B5","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Conseil Scolaire Du District Catholique Centre-Sud,"North York, ON M2M 1C8",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,Crop Defenders Ltd,"Windsor, ON N9B 3W8",1122-Professionnels des services-conseils en gestion aux entreprises,1
,,CWSS Canada USA Immigration Services,"Toronto, ON M2N 7A5","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,Eldorado Cleaners Inc.,"Whitby, ON L1N 1E5",6315-Surveillants des services de nettoyage,1
,,Element Elevators Inc.,"Richmond Hill, ON L4E 4S3",7318-Constructeurs et mécaniciens d'ascenseurs,1
,,Extreme Goalkeepers Inc,"Aurora, ON L4G 6H8",5252-Entraîneurs,1
,,Fanshawe Health Group,"London, ON N6G 5A9",3112-Omnipraticiens et médecins en médecine familiale,1
,,Fischer Canada Stainless Steel Tubing Incorporated,"Waterloo, ON N2V 2A2",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,,Foodticket Canada Inc.,"Toronto, ON M8Z 6A3","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,Fourth Dimension Inc.,"Toronto, ON M5V 3P8","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Glacier Precision Machining Inc.,"Brampton, ON L6W 3R6",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,GMH Fleet Services Inc.,"Mississauga, ON L4W 1B6",1221-Agents d'administration,1
,,Gwillimdale Farms Ltd,"Bradford, ON L3Z 2B7",0125-Directeurs d'autres services aux entreprises,1
,,Hamati Roofing Ltd.,"Scarborough, ON M1B 3W3",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,Historic Restoration inc.,"Toronto, ON M4M 2R5",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
,,I Barbieri Ltd.,"Toronto, ON M6A 2C6",6341-Coiffeurs et barbiers,1
,,Ideal Kitchen Cabinet and Renovations Inc.,"Brampton, ON L6X 0L6",7271-Charpentiers-menuisiers,1
,,ILS Kitchen & Cabinets Inc.,"Hamilton, ON L8W 1G7","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",1
,,Jack-Line Roofing & Sheet Metal Ltd.,"Mississauga, ON L4W 1C8",7291-Couvreurs et poseurs de bardeaux,1
,,Jerry's Skating World,"Markham, ON L3R 4N3","5243-Ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques",2
,,Julie Charbonneau Design Inc.,"Toronto, ON M5T 1R5",5242-Designers d'intérieur et décorateurs d'intérieur,1
,,Kelso Lake Medical Centre,"Milton, ON L9T 0A5","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,Lee Design & Build Inc.,"Toronto, ON M2N 5W9",1221-Agents d'administration,1
,,Linkglobal Food Inc,"Richmond Hill, ON L4B 1L5",6222-Acheteurs des commerces de détail et de gros,1
,,Marco's Bakery and Pizza Inc.,"Burlington, ON L7N 2R5",6332-Boulangers-pâtissiers,1
,,MCL Concrete Ltd,"Oakville, ON L6M 4X1",7282-Finisseurs de béton,1
,,Morneau Shepell Ltd.,"Toronto, ON M3C 1W3","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,MRG Custom Concrete Forming Inc.,"King City, ON L7B 1H5",7282-Finisseurs de béton,5
,,New Star Table Tennis Inc,"Markham, ON L3P 3P2",5252-Entraîneurs,1
,,Nimble Brain INC.,"Windsor, ON N9E 1S4","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,,Northend Finish Carpentry,"Woodbridge, ON L4H 0E2",7271-Charpentiers-menuisiers,1
,,Northern Visions Independent Film & Video Association,"Toronto, ON M5V 3A8",1226-Planificateurs de congrès et d'événements,1
,,OBG Golf Inc.,"Woodbridge, ON L4L 5V1",6322-Cuisiniers,2
,,OPC TV Inc.,"Toronto, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Park Safe Inc.,"Ottawa, ON K1Z 7T1",2283-Évaluateurs de systèmes informatiques,1
,,Pointone Graphics Inc.,"Etobicoke, ON M8Z 5J4",7303-Surveillants de l'imprimerie et du personnel assimilé,1
,,"PPD Canada, LTD.","Kitchener, ON N2P 2B4","4165-Recherchistes, experts-conseils et agents de programmes en politiques de la santé",1
,,Precise Testing Solutions Inc.,"Toronto, ON M4P 1E4",1221-Agents d'administration,1
,,Real Time System Inc.,"Etobicoke, ON M9W 5N6",2174-Programmeurs et développeurs en médias interactifs,1
,,Roni Excavating Ltd.,"Concord, ON L4P 4P9",7282-Finisseurs de béton,1
,,Rush Truck Trailer Repair Ltd,"Mississauga, ON L4W 1G6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,Sanjha Punjab Radio and TV Inc.,"Brampton, ON L6S 5Z4","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,,Sequoia Content Limited,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,Shelley Industrial Automation Inc.,"Toronto, ON M3B 1Y8",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Sirius Auto Parts Corp.,"Woodbridge, ON L4L 6B4",6222-Acheteurs des commerces de détail et de gros,1
,,"Soft Citizen, Inc.","Toronto, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",6
,,Spectra Construction Corporation,"Concord, ON L4K 4H2",7271-Charpentiers-menuisiers,1
,,SSN Transport Ltd.,"Kitchener, ON N2A 4M4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Steam Films Inc.,"Toronto, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Sugar Loaf Bakery Pastry and Chocolate Inc.,"Toronto, ON M4M 1H1",1311-Techniciens en comptabilité et teneurs de livres,1
,,The Brampton Nilgiris Inc,"Brampton, ON L6P 2K8",6322-Cuisiniers,1
,,The Nilgiris Inc.,"Scarborough, ON M1X 1L7",6322-Cuisiniers,1
,,Thorncliffe Dental Centre,"Toronto, ON M4H 1C3",3222-Hygiénistes et thérapeutes dentaires,1
,,Top Drywall Inc.,"Mississauga, ON L4W 4N5","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,,Toronto Learning Inc.,"Brampton, ON L6P 2L1",1241-Adjoints administratifs,1
,,Trinity Tech Inc.,"Toronto, ON M9W 5Z8",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,,Trio General Contracting Inc.,"Toronto, ON M9W 3A1",7521-Conducteurs d'équipement lourd (sauf les grues),2
,,TWI Foods Inc,"Etobicoke, ON M9W 4M2",2243-Techniciens et mécaniciens d'instruments industriels,1
,,Tyger Shark Inc.,"Barrie, ON L4M 1A8",1225-Agents aux achats,1
,,Uwin Pro Inc.,"Scarborough, ON M1H 2X1","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,VBE Developments Ltd.,"Toronto, ON M8Y 3J6",1224-Agents de gestion immobilière,1
,,Vision Entertainment Inc.,"Toronto, ON M6A 2A4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Vitaly Design Ltd.,"Etobicoke, ON M8Z 6A4",0911-Directeurs de la fabrication,1
,,Wilfrid Park Inc.,"Toronto, ON M4J 5B9","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Window Force Inc.,"Toronro, ON M9W 4Y6",1225-Agents aux achats,1
,,Zurich Pharma Inc.,"Windsor, ON N8K 4L2",0714-Directeurs de l'exploitation et de l'entretien d'immeubles,1
,   Bas salaire,1206877 Ontario Limited O/A Pizza Pizza No. 114,"Mississauga, ON L5V 2B3",6211-Superviseurs des ventes - commerce de détail,1
,,1520636 Ontario Inc,"Brampton, ON L6R 2K7",0631-Directeurs de la restauration et des services alimentaires,1
,,1551826 Ontario Inc.,"London, ON N5V 3Z9",6732-Nettoyeurs spécialisés,1
,,1598682 Ontario Inc. (Anjappar Restaurants),"Brampton, ON L6W 3T7",6322-Cuisiniers,3
,,1666563 Ontario Inc.,"Brampton, ON L6T 4L6",1241-Adjoints administratifs,1
,,1695368 Ontario Inc.,"Toronto, ON M5B 1S5",6311-Superviseurs des services alimentaires,1
,,1767861 Ontario Inc.,"Toronto, ON M5T 1P7",6322-Cuisiniers,1
,,1786454 Ontario Inc.,"Scarborough, ON M1L 2M9",6322-Cuisiniers,1
,,1828655 Ontario Inc.,"Toronto, ON M4K 1P6",6322-Cuisiniers,1
,,1861065 Ontario Inc.,"Beeton, ON L0G 1A0",6322-Cuisiniers,1
,,1865817 Ontario Inc.,"Toronto, ON M4J 2S4",5123-Journalistes,1
,,1925Workbench Ltd.,"Etobicoke, ON M8W 3C5",7272-Ébénistes,1
,,1958380 Ontario Inc.,"Toronto, ON M6K 1X9",6322-Cuisiniers,1
,,2065899 Ontario Ltd.,"London, ON N5V 2Z7","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,2135395 Ontario Inc.,"Mississauga, ON L4T 3X2",7511-Conducteurs de camions de transport,1
,,2176069 Ontario Limited,"Ajax, ON L1Z 0C5",1431-Commis à la comptabilité et personnel assimilé,1
,,2179479 Ontario Inc.,"Brampton, ON L6S 5R7",6341-Coiffeurs et barbiers,1
,,2301716 Ont. Inc.,"Cambridge, ON N1R 6J8",6322-Cuisiniers,1
,,2303773 Ontario Inc,"Toronto, ON M2M 2P2",6311-Superviseurs des services alimentaires,1
,,2322117 Ontario Inc.,"Ottawa, ON K2P 1M2",6321-Chefs,1
,,2322943 Ontario Inc,"Ingersoll, ON N5C 0A9",6311-Superviseurs des services alimentaires,1
,,2345494 Ontario Inc.,"Pickering, ON L1V 5Z4",6322-Cuisiniers,1
,,2414656 Ontario Inc. o/a Civil Liberties,"Toronto, ON M6G 1M5",0631-Directeurs de la restauration et des services alimentaires,1
,,2433395 Ontario Inc.,"Thornhill, ON L4J 1V7",6322-Cuisiniers,1
,,2496340 Ontario Inc.,"London, ON N6H 0H9",6322-Cuisiniers,1
,,2506152 Ontario Inc.,"Mississauga, ON L4Z 1R5",6322-Cuisiniers,1
,,648068 Ontario Inc,"Oakville, ON L6M 0N2","6562-Esthéticiens, électrolystes et personnel assimilé",1
,,779224 Ontario Inc.,"Etobicoke, ON M9V 3Y7",1241-Adjoints administratifs,1
,,7799012 Canada Inc,"Brampton, ON L6S 0E1",6322-Cuisiniers,1
,,806040 Ontario Ltd,"Toronto, ON M3J 2B9",7335-Autres réparateurs de petits moteurs et de petits équipements,1
,,8766282 Canada Inc.,"Toronto, ON M5S 1X2",6211-Superviseurs des ventes - commerce de détail,1
,,9023674 Canada Inc,"Pembroke, ON K8A 2E8",6311-Superviseurs des services alimentaires,1
,,9509038 Canada Inc.,"Toronto, ON M4V 1K6",3236-Massothérapeutes,2
,,Asian Television Network Inc,"Newmarket, ON L3Y 7B6",1212-Superviseurs de commis de finance et d'assurance,1
,,Bassell's Restaurant,"Niagara Falls, ON L2E 4C5",0631-Directeurs de la restauration et des services alimentaires,1
,,Be Beautiful Salon and Spa Inc,"Thornhill, ON L4J 0H9",6341-Coiffeurs et barbiers,1
,,Canadian Clothing International Inc,"Scarborough, ON M1B 5S1","9447-Contrôleurs et trieurs dans la fabrication de produits textiles, de tissus, de fourrure et de cuir",1
,,Canadian Community Table Tennis Association,"Markham, ON L3R 4B2",5251-Athlètes,1
,,Canuck Express Ltd,"Burlington, ON L7L 6C9",7511-Conducteurs de camions de transport,5
,,Central Animal Hospital Professional Corp.,"Windsor, ON N8W 4J1",3213-Technologues en santé animale et techniciens vétérinaires,1
,,Citrex Corp.,"Vaughan, ON L4K 4C9",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),2
,,Digital Extremes Ltd.,"London, ON N6A 6K2",5241-Designers graphiques et illustrateurs,1
,,Distinctive By Design Fine Cabinetry Inc.,"Toronto, ON M4A 1X8",7272-Ébénistes,1
,,Dr. Rowena Bucad-Javier Dentistry Prof. Corp.,"East York, ON M4B 1A9",1414-Réceptionnistes,1
,,Eldorado Cleaners Inc.,"Whitby, ON L1N 1E5",6315-Surveillants des services de nettoyage,1
,,Falcon Motor Xpress Ltd,"Caledon, ON L7C 2X3",1311-Techniciens en comptabilité et teneurs de livres,1
,,Gosbee Law Professional Corporation,"Richmond Hill, ON L4B 3H7",1242-Adjoints administratifs juridiques,1
,,Grace Transport Inc.,"Strathroy, ON N7G 3H8",7511-Conducteurs de camions de transport,1
,,Greenwood Enterprises Inc.,"Huntsville, ON P1H 2K8",6311-Superviseurs des services alimentaires,2
,,Grille De Ville Restaurant Inc.,"St. Isidore, ON K0C 2B0",6322-Cuisiniers,2
,,Hamilton Discount Auto Parts and Supplies Inc.,"Hamilton, ON L8H 5W9","1315-Courtiers en douanes, courtiers maritimes et autres courtiers",1
,,House of India,"Windsor, ON N8R 0A4",6322-Cuisiniers,1
,,J & J Meat Distributing Inc.,"Schomberg, ON L0G 1T0","9462-Bouchers industriels, dépeceurs-découpeurs de viande, préparateurs de volaille et personnel assimilé",1
,,Kingston Curry Original Restaurant Inc.,"Kingston, ON K7L 2Z4",6322-Cuisiniers,2
,,Linton Services 1992 Inc.,"Ottawa, ON K1B 4T7",0114-Directeurs d'autres services administratifs,1
,,Mazifa Corp,"Toronto, ON M2N 0H4",7611-Aides de soutien des métiers et manoeuvres en construction,1
,,Med Carpentry Inc.,"Pickering, ON L1W 3V4",1241-Adjoints administratifs,1
,,Midori Sushi Bar & Restaurant Inc.,"Grand Bend, ON N0M 1T0",6321-Chefs,1
,,National Countertops Inc.,"Mississauga, ON L4T 3X2",9437-Opérateurs de machines à travailler le bois,1
,,New Casa Abril Restaurant (1205250 Ontario Inc),"Toronto, ON M6E 2W4",6321-Chefs,1
,,OLLY Corporation,"North York, ON M2H 3B4",6211-Superviseurs des ventes - commerce de détail,1
,,Om Shiv Indiya Brampton Inc.,"Brampton, ON L6T 5E2",6311-Superviseurs des services alimentaires,1
,,Pakhavelly Grill Restaurant and Banquet Inc.,"Mississauga, ON L5S 1W7",6321-Chefs,1
,,Peninsula Motor Sales Ltd.,"Owen Sound, ON N4K 6H6",7322-Débosseleurs et réparateurs de carrosserie,1
,,Ranger Trucklines Inc.,"Brampton, ON L6W 4T4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Sakura Sushi Restaurant,"Simcoe, ON N3Y 4K1",6322-Cuisiniers,1
,,Savic Homes Ltd.,"Kitchener, ON N2A 3W3",7271-Charpentiers-menuisiers,5
,,Shyangba Ltd,"Toronto, ON M6J 2Z4",6322-Cuisiniers,1
,,Simply Green Home Services Inc.,"North york, ON M2J 5C1",1435-Agents de recouvrement,1
,,SMSM Hospitality Inc.,"Richmond Hill, ON L4E 3S8",6311-Superviseurs des services alimentaires,2
,,Soul Restaurants Canada Inc.,"Toronto, ON M2N 6K1",6311-Superviseurs des services alimentaires,2
,,The Church Of The Virgin Mary And St. Athanasius,"Mississauga, ON L5Z 2M4",4214-Éducateurs et aides-éducateurs de la petite enfance,2
,,Tirajeh Jewelry Inc.,"Thonrhill, ON L3T 0C7","6344-Bijoutiers, réparateurs de bijoux, horlogers-rhabilleurs et personnel assimilé",1
,,Tosho Knife Arts Inc.,"Toronto, ON M5R 3G5",7445-Autres réparateurs et préposés à l'entretien,1
,,VDI / LOL Business International Ltd.,"Ottawa, ON K2P 1X7",1111-Vérificateurs et comptables,1
,,Veg Pak Produce Limited,"Etobicoke, ON M8W 3R2","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",5
,,Vincent Salon and Spa,"Penetanquishene, ON L9M 1S8",6341-Coiffeurs et barbiers,1
,  Agriculture primaire,Ausable Orchards Ltd,"London, ON N6P 1M6",8431-Ouvriers agricoles,2
,,Burm Farms Ltd,"Wallaceburg, ON N8A 4L3",8431-Ouvriers agricoles,4
,,Canborough Farms Inc,"Dunnville, ON N1A 2W1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,Cham Enterprises Limited,"Brussels, ON N0G 1H0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,Fletcher Bros. Performance Centres Limited,"Waterford, ON N0E 1Y0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,Greenwood Mushroom Farm,"Ashburn, ON L0B 1A0",0821-Gestionnaires en agriculture,1
,,J & M Sandhill Greenhouses Ltd,"Leamington, ON N8H 3V5",8432-Ouvriers de pépinières et de serres,4
,,Kells Farms Limited,"Gilford, ON L0L 1R0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",4
,,L & D Ferragina Ltd,"Bradford, ON L3Z 2P8",8432-Ouvriers de pépinières et de serres,7
,,Luyk's Farms,"Port Stanley, ON N5L 1J1",8431-Ouvriers agricoles,2
,,Nation Wide Canning Ltd,"Cottam, ON N0R 1B0",8431-Ouvriers agricoles,1
,,Pure Natures Wellness,"Leamington, ON N8H 3C4",8432-Ouvriers de pépinières et de serres,17
,,Schuyler Farms Limited,"Simcoe, ON N3Y 4K3",8431-Ouvriers agricoles,2
,,Sunrise Potato Storage Ltd,"Alliston, ON L9R 1V3",8431-Ouvriers agricoles,4
,,Toppview Farms Inc,"Dunnville, ON N1A 2W4",8432-Ouvriers de pépinières et de serres,2
,,United Bait Inc.,"Stratford, ON N5A 1W3",8611-Manoeuvres à la récolte,7
,,WJI Farms Inc,"Wheatley, ON N0P 2P0",8432-Ouvriers de pépinières et de serres,10
Manitoba,    Haut salaire,Banh Mi King Inc.,"Winnipeg, MB R3C 0G2",0631-Directeurs de la restauration et des services alimentaires,1
,,Capital Steel Corporation,"Winnipeg, MB R3E 3K4","7201-Entrepreneurs et contremaîtres des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé",1
,,Pennos Machining & Mfg Ltd.,"Eden, MB R0J 0M0",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,Rapid Trucking Ltd.,"Winnipeg, MB R2C 5M4",7511-Conducteurs de camions de transport,5
,   Bas salaire,4462191 MB Ltd,"Brandon, MB R7A 0L7",6315-Surveillants des services de nettoyage,3
,,Baexim International Inc,"Grand Rapids, MB R0C 1E0",6322-Cuisiniers,1
,,Falcon Lake Resort Hotel Inc.,"Winnipeg, MB R2G 1L4",6322-Cuisiniers,1
,,House of Nanking Ltd,"Winnipeg, MB R3X 1N6",6322-Cuisiniers,1
,,Medsafe Pharmacy Ltd,"Brandon, MB R7A 5A8",3414-Autre personnel de soutien des services de santé,1
,,Winniguide Ltd.,"Selkirk, MB R1A 1N3",6322-Cuisiniers,1
,  Agriculture primaire,Bisson Bees,"Dunrea, MB R0K 0S0",0821-Gestionnaires en agriculture,1
,,Hamiota Feedlot Ltd.,"Hamiota, MB R0M 0T0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,Twin River Ranch,"Hadashville, MB R0E 0X0",8431-Ouvriers agricoles,2
,,Wenkai Oriental Vegetables,"Elie, MB R0H 0H0",8431-Ouvriers agricoles,1
Saskatchewan,    Haut salaire,101093186 Saskatchewan Ltd,"Regina, SK S0H 5K0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,101134672 Saskatchewan Ltd.,"Saskatoon, SK S7P 0E1",7511-Conducteurs de camions de transport,12
,,Ag-Com Transport Ltd.,"Melfort, SK S0E 1A0",7511-Conducteurs de camions de transport,3
,,Kabab King Restaurant Corp.,"Saskatoon, SK S7N 3A4",6322-Cuisiniers,3
,   Bas salaire,101180736 Sask. Ltd.,"Regina, SK S4V 3E1","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,Ag-Com Transport Ltd.,"Melfort, SK S0E 1A0",7612-Autres manoeuvres et aides de soutien de métiers,1
,,Let Our Residents Dance Care Home Inc,"Preeceville, SK S0A 3B0","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
,,Vrinda Foods Ltd.,"Swift Current, SK S9H 3S8","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,Wheatbelt Sales (2003) Inc.,"Wadena, SK S0A 4J0",7612-Autres manoeuvres et aides de soutien de métiers,1
