Province/Territory,"Program Stream","Employer ","Address ","Occupation ","Requested Positions"
Ontario,"High Wage","2334872 Ontario Inc.","Toronto, ON M6A 2C1","6311-Food service supervisors",1
Ontario,"High Wage","2392192 Ontario Inc.","Toronto, ON M3B 2R2","0712-Home building and renovation managers",1
Ontario,"High Wage","2546662 ONTARIO INC.","Kitchener, ON N2C 0B5","2175-Web designers and developers",1
Ontario,"High Wage","2563669 ONTARIO INC.","Vaughan, ON L4K 4A4","6211-Retail sales supervisors",1
Ontario,"High Wage","2805447 ONTARIO CORPORATION","OTTAWA, ON K1B 3A3",7271-Carpenters,1
Ontario,"High Wage","2825806 Ontario Inc.","Brampton, ON L7A  4G","0131-Telecommunication carriers managers",1
Ontario,"High Wage","2826221 ONTARIO INC.","Waterloo, ON N2T 2W8","0124-Advertising, marketing and public relations managers",1
Ontario,"High Wage","9535900 CANADA INC.","brampton, ON L6T 5B4","2281-Computer network technicians",1
Ontario,"High Wage","Aarorn Technologies Inc.","Guelph, ON N1K 0B8","2174-Computer programmers and interactive media developers",1
Ontario,"High Wage","Alta Expert Roofing Inc","Bowmanville, ON L1C 7E1","7291-Roofers and shinglers",2
Ontario,"High Wage","A-Railing Incorporated","Waterdown, ON L8B 0M5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,"High Wage","Busy Bees Nursery School Inc.","Brampton, ON L6W 3G6","1311-Accounting technicians and bookkeepers",1
Ontario,"High Wage","Canada Pasta Limited","Thornhill, ON L3T 1P8","0124-Advertising, marketing and public relations managers",1
Ontario,"High Wage","CanAlt health laboratories inc","Concord, ON L4K 4E5",2112-Chemists,1
Ontario,"High Wage","Chameleon Dental Arts Inc.","Kitchener, ON N2M 5E2","3411-Dental assistants",1
Ontario,"High Wage","Citrusbug Inc.","Stoney Creek, ON L8J  0L","0213-Computer and information systems managers",1
Ontario,"High Wage","CrowdCare Corporation","Richmond Hill, ON L4B 4V1","2173-Software engineers and designers",1
Ontario,"High Wage","DAR ELSALAM CANADA INC.","MISSISSAUGA, ON L4W 4T7","0601-Corporate sales managers",1
Ontario,"High Wage","Discovery Academy","Richmond Hill, ON L4C 1T8","4413-Elementary and secondary school teacher assistants",1
Ontario,"High Wage","Eli Logistics Solutions Inc","Mississauga, ON L4T 1G3","7511-Transport truck drivers",5
Ontario,"High Wage","Erin Mills Medical Clinic Inc.","Mississauga, ON L5B 3C2","3111-Specialist physicians",1
Ontario,"High Wage","GA CONSTRUCTION GROUP","MARKHAM, ON L3R 6W7",7271-Carpenters,1
Ontario,"High Wage","GBS & SONS TRUCKING LTD","MISSISSAUGA, ON L5S 1A7","7511-Transport truck drivers",4
Ontario,"High Wage","Heatmond Corporation","Toronto, ON M4N 2L9","2132-Mechanical engineers",1
Ontario,"High Wage","I Barbieri Ltd","Toronto, ON M6A 2C6","6341-Hairstylists and barbers",2
Ontario,"High Wage","iVision Systems Ltd.","Toronto, ON M5X 1C7","0124-Advertising, marketing and public relations managers",1
Ontario,"High Wage","Jagir Contracting Inc","Brampton, ON L6S 5P6",7281-Bricklayers,1
Ontario,"High Wage","LakeView Marine Sales Ltd","Port Perry, ON L9L 1B5","7334-Motorcycle, all-terrain vehicle and other related mechanics",1
Ontario,"High Wage","Lamko Tool and Mold Inc.","london, ON N6E 2T3","7231-Machinists and machining and tooling inspectors",1
Ontario,"High Wage","Man Hospitality Inc","Wallaceburg, ON N8A 1R9","0632-Accommodation service managers",1
Ontario,"High Wage","Metratrade Limited","Toronto, ON M2J 4P8","0111-Financial managers",1
Ontario,"High Wage","Millennium Landscape Design & Construction","Waterloo, ON N2V 2J3","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
Ontario,"High Wage","Millennium Masonry Ltd.","Ottawa, ON K2C 0N3",7281-Bricklayers,1
Ontario,"High Wage","MNF Restoration Inc.","Toronto, ON M8V 2E8",7271-Carpenters,1
Ontario,"High Wage","OSTERIA GENTE INC","Vaughan, ON L4L 8E3",6321-Chefs,1
Ontario,"High Wage","PAUL ACCOUNTING ASSOCIATES LTD.","MISSISSAUGA, ON L5T 1B6","1431-Accounting and related clerks",1
Ontario,"High Wage","Plane Sciences Inc.","Ottawa, ON K2P 1C3","2148-Other professional engineers, n.e.c.",1
Ontario,"High Wage","Salfom Technologies Canada Inc.","Oakville, ON L6M 0P3","0013-Senior managers - financial, communications and other business services",1
Ontario,"High Wage","Sioux Lookout Meno Ya Win Health Centre","Sioux Lookout, ON P8T 1B4","3012-Registered nurses and registered psychiatric nurses",1
Ontario,"High Wage","SOFT CITIZEN, INC","TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",3
Ontario,"High Wage","Solar Roofing & Sheet Metal Ltd","Toronto, ON M6N 2Z6","7291-Roofers and shinglers",1
Ontario,"High Wage","Sparks Productions Incorporated","TORONTO, ON M6K 3J1","5131-Producers, directors, choreographers and related occupations",1
Ontario,"High Wage","Steam Films Inc.","TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",1
Ontario,"High Wage","Suneeva Ltd.","TORONTO, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",2
Ontario,"High Wage","Vincent Investment Products Inc.","Unionville, ON L3R 1M2","1112-Financial and investment analysts",1
Ontario,"High Wage","Wanderosa  Wood Products Ltd","BOLTON, ON L7E 4E6","7511-Transport truck drivers",1
Ontario,"Low Wage","1496417 Ontario Ltd.","Toronto, ON M9W 4V8","7511-Transport truck drivers",1
Ontario,"Low Wage","1687513 ONTARIO INC.","HAMILTON, ON L8E 3N4","7511-Transport truck drivers",2
Ontario,"Low Wage","1740006 Ontario Inc.","SCARBOROUGH, ON M1S 1V2","1221-Administrative officers",1
Ontario,"Low Wage","1813401 Ontario Limited","Hanover, ON N4N 3B8","9417-Machining tool operators",1
Ontario,"Low Wage","1926688 ONTARIO LTD","LONDON, ON N6A 3G2",6321-Chefs,1
Ontario,"Low Wage","2017761 Ontario Ltd.","Toronto, ON M2R 1Z1",6322-Cooks,1
Ontario,"Low Wage","2251617 Ontario Inc.","Guelph, ON N1K 1X6","6311-Food service supervisors",1
Ontario,"Low Wage","2652470 Ontario Inc","Toronto, ON M5C 3G9",6322-Cooks,1
Ontario,"Low Wage","2779900 Ontario Inc","Etobicoke, ON M8V  2V","1221-Administrative officers",1
Ontario,"Low Wage","2779900 Ontario Inc","Etobicoke, ON M8V  2V","6211-Retail sales supervisors",1
Ontario,"Low Wage","2786396 Ontario Inc.","Levack, ON P0M 2C0",6322-Cooks,1
Ontario,"Low Wage","5003492 Ontario Inc.","North York, ON M2M 3V9",6322-Cooks,1
Ontario,"Low Wage","ACE Daycare","Thornhill, ON L6A 1S2","4214-Early childhood educators and assistants",1
Ontario,"Low Wage","Bernie McGlynn Lumber Ltd.","Mildmay, ON N0G 2J0","7452-Material handlers",3
Ontario,"Low Wage","Bronte Bell Thai Cuisine Inc.","Oakville, ON L6L 1H7",6322-Cooks,1
Ontario,"Low Wage","Carnevale Supermarkets Inc","Toronto, ON M4K 1R2","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Ontario,"Low Wage","Cheezaatar Corporation","Hamilton, ON L8V 1V3",6332-Bakers,2
Ontario,"Low Wage","Ekasoo Inc.","Oakville, ON L6J 7Z6",6322-Cooks,1
Ontario,"Low Wage","Estacion Filipino Inc","Ajax, ON L1S 2G6","1311-Accounting technicians and bookkeepers",1
Ontario,"Low Wage","Frontline Gold Corporation","Toronto, ON M5H 2W9","1221-Administrative officers",1
Ontario,"Low Wage","Gomti Canada Inc.","Scarborough, ON M1V 5P7","6311-Food service supervisors",1
Ontario,"Low Wage","INCREDIBLE CONSULTING INC.","Mississauga, ON L4Z 1V9","1311-Accounting technicians and bookkeepers",1
Ontario,"Low Wage","Kitchen Farmacy","Lakefield, ON K0L 2H0","1411-General office support workers",1
Ontario,"Low Wage","L.M.M Construction Ltd.","milton, ON L9E 0H8","7611-Construction trades helpers and labourers",1
Ontario,"Low Wage","Lakeside Produce Inc","Leamington, ON N8H 1A3","7511-Transport truck drivers",4
Ontario,"Low Wage","MASTERMIND MONTESSORI SCHOOLS INC.","Markham, ON L6C 0G6","4214-Early childhood educators and assistants",1
Ontario,"Low Wage","Mimico Cruising Club","Etobicoke, ON M8V 3X7","1241-Administrative assistants",1
Ontario,"Low Wage","NESCO INC. NESCO","Mississauga, ON L5S 1P4","9422-Plastics processing machine operators",1
Ontario,"Low Wage","Ontario Best Carrier Inc.","Bolton, ON L7E 3B6","7511-Transport truck drivers",1
Ontario,"Low Wage","Sunova Implement Ltd.","Lakeside, ON N0M 2G0","7237-Welders and related machine operators",1
Ontario,"Low Wage","TYMEKS NATURAL FOODS LTD","toronto, ON M8Z 2S6","9617-Labourers in food, beverage and associated products processing",2
Ontario,"Low Wage","VFREIGHT INC.","Mississauga, ON L5R 1P1","7511-Transport truck drivers",1
Ontario,"Low Wage","Wellcare College Pharmacy Inc.","Toronto, ON M6G 1C9","3219-Other medical technologists and technicians (except dental health)",1
Ontario,"Low Wage","YM Inc. (Sales)","Toronto, ON M6A 2W1","6211-Retail sales supervisors",1
Ontario,"Primary Agriculture","Aileen Farm Inc.","Markham, ON L3R 3M9","8431-General farm workers",1
Ontario,"Primary Agriculture","Arcus Group Inc.","Picton, ON K0K 2T0","8431-General farm workers",2
Ontario,"Primary Agriculture","Jomimaro Farms Inc","Parkhill, ON N0M 2K0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,"Primary Agriculture","North Bruce Farms Inc","Paisley, ON N0G 2N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,"Primary Agriculture","Special T Swine Ltd","Brussels, ON N0G 1H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,"Primary Agriculture","Wilma Farms Canada Ltd","Walton, ON N0K 1Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
Manitoba,"High Wage","Capital K Distillery Inc.","Winnipeg, MB R3H 1A8","9213-Supervisors, food, beverage and associated products processing",1
Manitoba,"High Wage","GOLDLINE EXPRESS LTD.","Winnipeg, MB R3T 3L6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Manitoba,"High Wage","Imperial Metal Industries Inc.","Blumenort, MB R0A 0C0","2253-Drafting technologists and technicians",1
Manitoba,"High Wage","P I Fine Finishing Ltd","Lorette, MB R0A 0Y0","7295-Floor covering installers",1
Manitoba,"Low Wage","AST RESTAURANT INC.","winnipeg, MB R2V 3C4","6311-Food service supervisors",1
Manitoba,"Low Wage","Border Genetics Ltd.","Lowe Farm, MB R0G 1E0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Manitoba,"Low Wage","Capital K Distillery Inc.","Winnipeg, MB R3H 1A8","6411-Sales and account representatives - wholesale trade (non-technical)",1
Manitoba,"Low Wage","Clearline Technologies Ltd.","Winnipeg, MB R3H 0V1","9423-Rubber processing machine operators and related workers",2
Manitoba,"Low Wage","DTK FOOD SERVICE INC.","WINNIPEG, MB R3H 0G4","6311-Food service supervisors",1
Saskatchewan,"High Wage","102060906 Saskatchewan Ltd.","Saskatoon, SK S7L 6B7","7452-Material handlers",5
Saskatchewan,"Low Wage","102099810 SASKATCHEWAN LTD","Lumsden, SK S0G 3C0","6211-Retail sales supervisors",1
Alberta,"High Wage","1885376 ALBERTA LTD","Edmonton, AB T6L 3W8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Alberta,"High Wage","2211705 Alberta Inc. o/a Orchid Tattoo","Edmonton, AB T5T 2M4","0651-Managers in customer and personal services, n.e.c.",1
Alberta,"High Wage","Acoustic Audiology & Hearing Aid Services Inc.","Lloydminster, AB T9V 0A9","3141-Audiologists and speech-language pathologists",1
Alberta,"High Wage","Associate Veterinary Clinics (1981) Ltd.","Calgary, AB T2H 2Y4",3114-Veterinarians,1
Alberta,"High Wage","Comodo Interiors Inc.","CALGARY, AB T2W 4X9","2172-Database analysts and data administrators",1
Alberta,"High Wage","DSONS TRANSPORT LTD.","Nisku, AB T9E 7V8","1241-Administrative assistants",1
Alberta,"High Wage","GD Max Ltd.","Leduc county, AB T4X 0M4",7271-Carpenters,1
Alberta,"High Wage","Mainside Limited","Calgary, AB T2C 0P6","1122-Professional occupations in business management consulting",1
Alberta,"High Wage","North West Paving Ltd.","Sherwood Park, AB T8H 2J6","7282-Concrete finishers",9
Alberta,"Low Wage","1075813 Alberta Ltd.","Westlock, AB T7P  2R","6311-Food service supervisors",1
Alberta,"Low Wage","1512668 Alberta Ltd.","EDMONTON, AB T5M 1W4","6311-Food service supervisors",2
Alberta,"Low Wage","1755981 ALBERTA LTD.","Strathmore, AB T1P 0B2","6312-Executive housekeepers",1
Alberta,"Low Wage","1958631 Alberta Ltd o/a Fusion Sushi","Calgary, AB T3G 2A7",6322-Cooks,1
Alberta,"Low Wage","2011545 AB Ltd","Slave Lake, AB T0G 2A4","7622-Railway and motor transport labourers",2
Alberta,"Low Wage","2091000 AB Ltd","Beaverlodge, AB T0H 0C0","6311-Food service supervisors",1
Alberta,"Low Wage","2152757 Alberta Inc.","Edmonton, AB T6E 5E8","6411-Sales and account representatives - wholesale trade (non-technical)",1
Alberta,"Low Wage","867411 Alberta Inc.","LETHBRIDGE, AB T1J 3L8","6711-Food counter attendants, kitchen helpers and related support occupations",2
Alberta,"Low Wage","Bubble Bee Car and Truck Wash Ltd.","Wabasca, AB T0G 2K0","6732-Specialized cleaners",1
Alberta,"Low Wage","Edmonton Painting Ltd.","Edmonton, AB T5T 4C6","7294-Painters and decorators (except interior decorators)",4
Alberta,"Low Wage","Global Green Foods Ltd.","Edmonton, AB T6E 5B2","1241-Administrative assistants",1
Alberta,"Low Wage","Pizza X-Men Holdings INC","Calgary, AB T2Y 5J4","6311-Food service supervisors",2
Alberta,"Low Wage","RISE Education LTd","Calgary, AB T2P 4K9","1241-Administrative assistants",1
Alberta,"Low Wage","Seniore's pizza ltd","calgary, AB T3K 2M9","6311-Food service supervisors",1
Alberta,"Low Wage","Shreeji Krupa Enterprises Ltd. o/a Joey's Only Seafood Restaurant","Spruce Grove, AB T7X 3X2","6311-Food service supervisors",1
Alberta,"Low Wage","SUSHI ICHIBAN (WESTBROOK) GROUP LTD.","CALGARY, AB T3C 1S1","6311-Food service supervisors",1
Alberta,"Low Wage","Urban Igloo Inc.","Calgary, AB T2P 4K1","6311-Food service supervisors",1
Alberta,"Primary Agriculture","Anchor F Farms Ltd.","Waskatenau, AB T0A 3P0","8611-Harvesting labourers",3
Alberta,"Primary Agriculture","Forging Ahead Inc","Brooks, AB T1R 1R4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
"British Columbia","High Wage","1195183 BC Ltd","Prince George, BC V2L 1L7","6313-Accommodation, travel, tourism and related services supervisors",1
"British Columbia","High Wage","1237307 B.C. LTD.","Surrey, BC V3Z 0Z5",7271-Carpenters,3
"British Columbia","High Wage","644111 BC Ltd.","North Vancouver, BC V7P 1M3","6315-Cleaning supervisors",1
"British Columbia","High Wage","Alex West Group Investment Inc.","Vancouver, BC V6C 1A3","0111-Financial managers",1
"British Columbia","High Wage","BALRIDGE BUILDING SOLUTIONS INC.","SURREY, BC V3W 1N6","1311-Accounting technicians and bookkeepers",1
"British Columbia","High Wage","Beck Glass (2012) LTD","Vancouver, BC V6A 2P3","0601-Corporate sales managers",1
"British Columbia","High Wage","Big Hearts Home Healthcare Services Inc","Coquitlam, BC V3E 2T2","1221-Administrative officers",1
"British Columbia","High Wage","Career Ladder Education and Technology Inc.","Vancouver, BC V6E 3V6","0014-Senior managers - health, education, social and community services and membership organizations",1
"British Columbia","High Wage","Columbia St. Liquor Store Inc.","New Westminster, BC V3L 1A6","0621-Retail and wholesale trade managers",1
"British Columbia","High Wage","Dreamwork Masonry Ltd","Chilliwack, BC V2R 0C8",7281-Bricklayers,1
"British Columbia","High Wage","EMPIRE MASONRY LTD.","LANGLEY, BC V3A 3X8","7611-Construction trades helpers and labourers",1
"British Columbia","High Wage","Gira Restaurants Ltd.","North Vancouver, BC V7P 1T8","0631-Restaurant and food service managers",1
"British Columbia","High Wage","Grandvilla Construction Ltd.","surrey, BC V3W 4E8",7271-Carpenters,4
"British Columbia","High Wage","HighAngle Contracting Inc.","Coquitlam, BC V3K 6W5","7245-Telecommunications line and cable workers",1
"British Columbia","High Wage","Josan Trucking Ltd.","Surrey, BC V3V 1E4","7511-Transport truck drivers",5
"British Columbia","High Wage","Jujhar Painting Ltd","Surrey, BC V3W 2X1","7294-Painters and decorators (except interior decorators)",2
"British Columbia","High Wage","K Williams Developments Ltd","Cumberland, BC V0R 1S0",7271-Carpenters,1
"British Columbia","High Wage","Milo European Cars Specialists Ltd.","Vancouver, BC V5V 3C2","1241-Administrative assistants",1
"British Columbia","High Wage","Pizza Knight Ltd.","Surrey, BC V3S 7H2","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
"British Columbia","High Wage","STANDOUT EDUCATION CENTRE LTD.","Richmond, BC V6X 3R8","1123-Professional occupations in advertising, marketing and public relations",1
"British Columbia","High Wage","Stellar Wall & Ceiling System Ltd.","Surrey, BC V3S 3A4","1411-General office support workers",1
"British Columbia","High Wage","Tophay Agri-Industries Inc.","Vanderhoof, BC V0J 3A1","0911-Manufacturing managers",1
"British Columbia","High Wage","Treetop Marketing and Promotion Inc","Vancouver, BC V6A 4C9","1241-Administrative assistants",1
"British Columbia","High Wage","Vege Garden Pizza & Coffee Shop","Surrey, BC V3W 4G1","0631-Restaurant and food service managers",1
"British Columbia","High Wage","Walltopia Canada Inc.","North Vancouver, BC V7M 2T5","7441-Residential and commercial installers and servicers",3
"British Columbia","High Wage","Your Movement Matters Inc.","Vancouver, BC V5Z 1K1","3237-Other technical occupations in therapy and assessment",1
"British Columbia","Low Wage","0952325 B.C. Ltd.","Sidney, BC V8L 3E6",6321-Chefs,1
"British Columbia","Low Wage","0990135 B.C. LTD.","Surrey, BC V3S 8S1","7452-Material handlers",3
"British Columbia","Low Wage","1246562 B.C. LTD.","Coquitlam, BC V3B 0B7",6322-Cooks,1
"British Columbia","Low Wage","Actfast Restoration & Repairs LTD.","Surrey, BC V3T 2K3","7295-Floor covering installers",2
"British Columbia","Low Wage","Altec Windows inc.","Surrey, BC V3R 7S2","9612-Labourers in metal fabrication",1
"British Columbia","Low Wage","Anatoli Holding Ltd.","North Vancouver, BC V7M 2E4",6322-Cooks,1
"British Columbia","Low Wage","Annex Hair Studio Ltd.","Vancouver, BC V6B 2W5","6341-Hairstylists and barbers",2
"British Columbia","Low Wage","Armour Guard Fence Inc.","Surrey, BC V3W 0L5","7611-Construction trades helpers and labourers",3
"British Columbia","Low Wage","Barnaby Coffee Roasters Inc.","Vancouver, BC V6G 1H4","6311-Food service supervisors",1
"British Columbia","Low Wage","Bay Sushi Cafe Ltd.","Vancouver, BC V6B 3K4",6322-Cooks,1
"British Columbia","Low Wage","Biacon Construction Corp.","SURREY, BC V3W 1P3","1241-Administrative assistants",1
"British Columbia","Low Wage","Blink Security Ltd.","Surrey, BC V3W 4T4","1241-Administrative assistants",1
"British Columbia","Low Wage","DJBC Holdings Ltd.","Chetwynd, BC V0C 1J0","6711-Food counter attendants, kitchen helpers and related support occupations",5
"British Columbia","Low Wage","Dr. Pavandeep Kooner Inc.","Surrey, BC V3W 0E6",1414-Receptionists,1
"British Columbia","Low Wage","DR. SHENIN MOHAMED PODIATRIC CORPORATION","West Vancouver, BC V7V 1J7","3414-Other assisting occupations in support of health services",1
"British Columbia","Low Wage","Forever Trading Inc.","Vancouver, BC V6G 1C8","6311-Food service supervisors",1
"British Columbia","Low Wage","Galaxy IDP Construction Ltd.","Delta, BC V4C 3H5","7294-Painters and decorators (except interior decorators)",1
"British Columbia","Low Wage","Halu Sushi","Maple Ridge, BC V2X 2P9",6322-Cooks,1
"British Columbia","Low Wage","House Special Vietnamese Restaurant Ltd.","Vancouver, BC V6B 6K3",6322-Cooks,1
"British Columbia","Low Wage","Jayveer Enterprise Ltd.","Surrey, BC V3R 1E6","7611-Construction trades helpers and labourers",2
"British Columbia","Low Wage","JUMBO PIZZA(2010) INC","SURREY, BC V3S 4H3","6311-Food service supervisors",1
"British Columbia","Low Wage","KAN WOOD LTD","SURREY, BC V3V 4T7","9619-Other labourers in processing, manufacturing and utilities",2
"British Columbia","Low Wage","KHAGHAN RESTAURANT LTD.","VANCOUVER, BC V6G 2L9",6322-Cooks,2
"British Columbia","Low Wage","Royal Autobody & Sales Ltd.","surrey, BC V3W 4E8","1241-Administrative assistants",1
"British Columbia","Low Wage","Shoreside Corporation","Ucuelet, BC V0R 3A0","6313-Accommodation, travel, tourism and related services supervisors",1
"British Columbia","Low Wage","Smarthomes Security Ltd.","Surrey, BC V3W 3E9","1241-Administrative assistants",1
"British Columbia","Low Wage","Trilussa Pizza & Pane","Vancouver, BC V5V 3R1",6322-Cooks,1
"British Columbia","Low Wage","TRUE CONFECTIONS INC.","VANCOUVER, BC V6G 2L8","0631-Restaurant and food service managers",1
"British Columbia","Low Wage","Truwest Mortgage Incorporated","Surrey, BC V3W 3J7","1241-Administrative assistants",2
"British Columbia","Low Wage","Urban Coast Development Ltd","Surrey, BC V3W 3J7","1241-Administrative assistants",1
"British Columbia","Primary Agriculture","Clayburn Nursery Ltd.","Chilliwack, BC V2R 2K9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
"British Columbia","Primary Agriculture","Driediger Farms Ltd.","Langley, BC V1M 3P8","8431-General farm workers",1
Yukon,"High Wage","Spectrum Security-Sound Ltd.","Whitehorse, YT Y1A 2V2","7445-Other repairers and servicers",1
Yukon,"Low Wage","Options for Independence Society","Whitehorse, YT Y1A 1G9","4412-Home support workers, housekeepers and related occupations",1
Yukon,"Low Wage","Ruby Range Outfitters 2009 Ltd.","Whitehorse, YT Y1A 7A2","6313-Accommodation, travel, tourism and related services supervisors",1
Nunavut,"High Wage","EPLS PROPERTIES LTD","ARVIAT, NU X0C 0E0","6731-Light duty cleaners",2
"Employers carrying on business in Canada with Head Office outside of Canada","High Wage","Art Class Content","New York, 10013","5131-Producers, directors, choreographers and related occupations",1
"Employers carrying on business in Canada with Head Office outside of Canada","High Wage","Caviar LA, LLC","Los Angeles, 90028","5131-Producers, directors, choreographers and related occupations",1
"Employers carrying on business in Canada with Head Office outside of Canada","High Wage","Community Films Inc. dba Community Films","Los Angeles, 90010","5131-Producers, directors, choreographers and related occupations",1
"Employers carrying on business in Canada with Head Office outside of Canada","High Wage","Fancy Content","Los Angeles, 90048","5131-Producers, directors, choreographers and related occupations",1
"Employers carrying on business in Canada with Head Office outside of Canada","High Wage","Morton Jankel Zander, Inc","Los Angeles, 90064","5131-Producers, directors, choreographers and related occupations",1
"Employers carrying on business in Canada with Head Office outside of Canada","High Wage","Park Pictures, LLC","New York, 10010","5131-Producers, directors, choreographers and related occupations",1
