Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Demandes
,   Bas salaire,Ace Upholstery Limited,"Halifax, NS B3T 1P4",6345-Tapissiers-garnisseurs,1
,,Arbuckle's Service Center Ltd.,"Westville, NS B0K 2A0",7511-Conducteurs de camions de transport,1
,  Agriculture primaire,Noggins Corner Farm II Ltd,"Greenwich, NS B4P 2R2",8431-Ouvriers agricoles,1
,,Perfect Berries Ltd,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,19
,,Sarsfield Farms,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,13
Nouveau-Brunswick,    Haut salaire,Rogers Electric Motor Service (1998) Ltd.,"Bathurst, NB E2A 4W7",7333-Électromécaniciens,1
,,Transport Solutions Ltd.,"Moncton, NB E1C 1G5",7511-Conducteurs de camions de transport,10
,,Trius Inc.,"Fredericton, NB E3B 5E3",7312-Mécaniciens d'équipement lourd,1
,   Bas salaire,Ocean Pier Inc.,"Scoudouc, NB E4P 3R4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,3
,,Thandi's Inc.,"Saint John, NB E2L 2C6",6322-Cuisiniers,2
,  Agriculture primaire,Canada Green,"St. George, NB E5C 3K6",8432-Ouvriers de pépinières et de serres,1
,,"Champinord, Inc.","Eel River Crossing, NB E8E 2W9",8611-Manoeuvres à la récolte,8
Québec,    Haut salaire,7759983 Canada Inc,"Sherbrooke, QC J1E 2J9","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,8415170 Canada Inc.,"Verdun, QC H4G 1V7",5134-Danseurs,3
,,8540268 Canada Inc.,"Gatineau, QC J8T 8G3","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,9139-7026 Québec Inc.,"Québec, QC G1V 4J9",6322-Cuisiniers,1
,,9218-5792 Québec inc,"Laval, QC H7E 4H9",6322-Cuisiniers,1
,,9223-7932 Québec Inc.,"Westmount, QC H3Z 1T3","0124-Directeurs de la publicité, du marketing et des relations publiques",3
,,,,1311-Techniciens en comptabilité et teneurs de livres,2
,,,,2281-Techniciens de réseau informatique,1
,,,,5123-Journalistes,1
,,9242-0702 Québec Inc,"Prévost, QC J0R 1T0",6322-Cuisiniers,1
,,9309-4142 Québec Inc.,"Montréal, QC H2X 2T6",6322-Cuisiniers,1
,,9326-1519 Québec inc.,"Notre-Dame-des-Prairies, QC J6E 1G1",2241-Technologues et techniciens en génie électronique et électrique,1
,,9329-5384 Québec inc.,"Montréal, QC H4R 1W8",0621-Directeurs - commerce de détail et de gros,1
,,9330-4236 Quebec Inc.,"L'Anse-à-Beaufils, QC G0C 1G0",0631-Directeurs de la restauration et des services alimentaires,1
,,9334-6328 Québec Inc.,"Montréal, QC H3X 3Z6",6321-Chefs,2
,,9339-4328 Québec inc,"Laval, QC H7T 2W9",0631-Directeurs de la restauration et des services alimentaires,1
,,9350-4389 Québec Inc,"Montreal, QC H3B 2E3",2173-Ingénieurs et concepteurs en logiciel,1
,,A.A. Juices Canada Inc.,"Montreal, QC H4R 1W8","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Advantech sans fil Inc./Advantech Wireless Inc.,"Dorval, QC H9P 1G1",2133-Ingénieurs électriciens et électroniciens,1
,,Allo-Comptable,"Varennes, QC J3X 1P1",1311-Techniciens en comptabilité et teneurs de livres,1
,,Altitude Aerospace Inc.,"Montréal, QC H4S 1T2",2146-Ingénieurs en aérospatiale,2
,,Amaris Conseil Inc.,"Montreal, QC H2Y 2W8","4162-Économistes, recherchistes et analystes des politiques économiques",1
,,ATELIER D'USINAGE ST-HUBERT LTÉE,"St-Hubert, QC J3Y 0A8",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,Automated Tracking & Management Systems inc,"Saint-Laurent, QC H4T 1V3","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Bio V Pharma Inc.,"Dollard-des-Ormeaux, QC H9B 3J1",2241-Technologues et techniciens en génie électronique et électrique,1
,,Bombardier Inc.,"Montréal, QC H3B 1Y8",2133-Ingénieurs électriciens et électroniciens,1
,,Centre d'Apprentissage aux Mille et Une Astuces,"St-Jean-sur-Richelieu, QC J3B 5L7",3141-Audiologistes et orthophonistes,1
,,Coco Pazzo Inc. (Restaurant),"Mont-Tremblant, QC J8E 1B1",6322-Cuisiniers,2
,,COFOMO Québec inc.,"Québec, QC G2J 0B9",2174-Programmeurs et développeurs en médias interactifs,2
,,COLO-D Inc.,"Drummondville, QC J2C 7W2",6221-Spécialistes des ventes techniques - commerce de gros,1
,,CONSEILLERS EN GESTION ET INFORMATIQUE CGI INC,"Montreal, QC H3G 1T4",2171-Analystes et consultants en informatique,3
,,Corporation Interactive EIDOS,"Montréal, QC H3A 1G1","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,David&Goliath Communication-Marketing Inc,"Outremont, QC H2V 1A5",1241-Adjoints administratifs,1
,,Demeter Services Vétérinaires Inc.,"Lévis, QC G7A 3S8",3114-Vétérinaires,1
,,Dolphin Homeware Imports Inc,"Boucherville, QC J4B 8S6","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,EFFENTI INC.,"Québec, QC G1W 2K7",2174-Programmeurs et développeurs en médias interactifs,1
,,Eskimo Express inc.,"St-Arsène, QC G0L 2K0",0731-Directeurs des transports,1
,,Essential France Inc,"Montréal, QC H4G 1S8","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,Festival Chromatic,"Montréal, QC H2W 1Z3","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Gestion Alivan Inc,"Montréal, QC H4E 1A4",0911-Directeurs de la fabrication,1
,,Groupe Daoust/Forget Inc.,"Laval, QC H7S 2M2",6316-Surveillants des autres services,1
,,Groupe Money Globe Inc,"Montréal, QC H3C 4P2",2174-Programmeurs et développeurs en médias interactifs,1
,,Institut national de la recherche scientifique (INRS),"Québec, QC G1K 9A9",2111-Physiciens et astronomes,1
,,Jobillico inc.,"Québec, QC G1K 3J2",2171-Analystes et consultants en informatique,1
,,Kinton Ramen 6 Montréal Inc,"Montréal, QC H3A 2S9",6322-Cuisiniers,1
,,Klimfax Inc.,"Longueuil, QC J4G 2M1",7313-Mécaniciens en réfrigération et en climatisation,1
,,La Fabrique Arhoma Inc.,"Montréal, QC H2L 1S7",6332-Boulangers-pâtissiers,2
,,Laboratoire De Test Enzyme,"Saint-Jérome, QC J7Y 1S5","5125-Traducteurs, terminologues et interprètes",6
,,L'ATELIER MIRAGE DE REMBOURREURS SUR MESURE (2002) INC.,"Montréal, QC H4E 1A8",6345-Tapissiers-garnisseurs,1
,,Le petit Théâtre du Vieux Noranda,"Rouyn-Noranda, QC J9X 1Z9","5226-Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",1
,,Les Produits SI Canada Inc,"Montréal, QC H4T 1N1",0601-Directeurs des ventes corporatives,1
,,L'ÎLOT CÂLIN INC. (garderie),"Montreal, QC H2W 1X6",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,L'industrielle Alliance,"Québec, QC G1K 7M3",0213-Gestionnaires des systèmes informatiques,1
,,Luxury Retreats International,"Montréal, QC H4E 1A8","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Ma Poule Mouillée inc.,"Montréal, QC H2W 2G9",6322-Cuisiniers,1
,,Martov Inc,"Montreal, QC H2W 1Y2",5241-Designers graphiques et illustrateurs,1
,,Morgan Stanley Canada Ltd,"Montréal, QC H3C 3S4",0213-Gestionnaires des systèmes informatiques,1
,,Opal-Rt Technologies Inc.,"Montréal, QC H3K 1G6",2173-Ingénieurs et concepteurs en logiciel,1
,,Qualtech Solutions Inc.,"Québec, QC G1N 4K3",2134-Ingénieurs chimistes,1
,,Qube 4D Ventures Inc.,"Dorval, QC H9P 1G9",2174-Programmeurs et développeurs en médias interactifs,1
,,Restaurant Avocado Sushi Express,"Sainte-Anne-des-Plaines, QC J0N 1H0",6321-Chefs,1
,,Restaurant Marché Central Bogaty Inc.,"Montréal, QC H4N 1K2",6321-Chefs,1
,,Restaurants William Gray Inc.,"Montréal, QC H2Y 2Z7",6322-Cuisiniers,1
,,Rouge media Group Inc.,"Montréal, QC H2Z 1P8","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,Service de Conciergerie Luckey Homes Montreal,"Montreal, QC H2Y 2W2",1411-Employés de soutien de bureau généraux,1
,,"Services Environnementaux Faucon, Inc","St-Lazare, QC J7T 2Z7",2121-Biologistes et personnel scientifique assimilé,1
,,Société Conseil Groupe LGS,"Québec, QC G1V 4K5",2174-Programmeurs et développeurs en médias interactifs,1
,,The Aldo Group Inc.,"Montréal, QC H4R 3J4",0911-Directeurs de la fabrication,1
,,Transilvania Plomberie Inc,"Montréal, QC H4E 1G9",7271-Charpentiers-menuisiers,1
,,Tuango Inc.,"Montreal, QC H2Y 2L2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Ultime Pression inc,"Anjou, QC H1J 3C1",7332-Réparateurs et préposés à l'entretien d'appareils,1
,,Verbom Inc.,"Valcourt, QC J0E 2L0",7333-Électromécaniciens,1
,   Bas salaire,2867-3598 QUEBEC INC.,"Montréal, QC H3H 2G9",6322-Cuisiniers,1
,,9248-9921 Québec inc.,"St-Léonard, QC H1S 2J3",7272-Ébénistes,1
,,9263-0805 Québec Inc,"Val-d'Or, QC J9P 1R1",0621-Directeurs - commerce de détail et de gros,1
,,9294970 Canada Inc,"Laval, QC H7T 1C8",6211-Superviseurs des ventes - commerce de détail,1
,,9323-7048 Québec Inc.,"Montréal, QC H2S 1G5",6322-Cuisiniers,1
,,9337-3074 Québec Inc,"Montreal, QC H2Y 1H1",6322-Cuisiniers,1
,,9346-6266 Québec Inc,"Montréal, QC H4Z 1E9",0712-Gestionnaires et rénovateurs en construction domiciliaire,1
,,Boutique Surmesur inc.,"Québec, QC G1N 4G2","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,CleverToday,"Montreal, QC H2Y 1T9",2174-Programmeurs et développeurs en médias interactifs,1
,,Coiffure De Neuville,"Montreal, QC H1M 3M3",6341-Coiffeurs et barbiers,1
,,Doyon Hydraulique Inc,"Trois-Rivière, QC G9A 2W7",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,Garderie au pays des Bambins Inc,"Montreal, QC H1H 5G6",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,L'atelier moderne concepts bois Inc.,"Terrebonne, QC J6X 4K4",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,,Les Fines herbes de Chez-Nous inc.,"St-Mathieu-de-Beloeil, QC J3G 0E3",7511-Conducteurs de camions de transport,1
,,Opsens Inc.,"Québec, QC G1P 4S3","9523-Assembleurs, monteurs, contrôleurs et vérificateurs de matériel électronique",1
,,Patio Drummond Ltée,"Drummondville, QC J2A 3W8","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",4
,,Progazon Commercial Inc,"Saint-Lambert, QC J4R 1A7",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
,,Roymick inc.,"Val-d'Or, QC J9P 1S8",3219-Autres technologues et techniciens des sciences de la santé (sauf soins dentaires),1
,,Salon Andalous,"Montréal, QC H2E 1T9",6341-Coiffeurs et barbiers,1
,,Salon de coiffure Jacques Despars (Les entreprises Jacques Despars inc.),"Montréal, QC H2S 1T4",6341-Coiffeurs et barbiers,1
,,Service d'arbres Nature (9125-1991 QUÉBEC INC.),"Blainville, QC J7C 6B4",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
,,Solutions Beeye Inc,"Montréal, QC H2L 3K8",1454-Intervieweurs pour enquêtes et commis aux statistiques,1
,,Voyages Bernard Gendron Inc,"Valleyfield, QC J6S 1C2",1411-Employés de soutien de bureau généraux,1
,  Agriculture primaire,6745369 Canada Inc,"Stoke, QC J0B 3G0",8431-Ouvriers agricoles,4
,,Ferme Equestre Excalibur (Reining) inc.,"St-Basile-le-Grand, QC J3N 1M4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Ontario,    Haut salaire,1081716 Ontario Limited,"Vaughan, ON L4H 3H9",7251-Plombiers,1
,,1231889 Ontario Limited,"Mississauga, ON L4T 2H5",0621-Directeurs - commerce de détail et de gros,1
,,1286346 Ontario Inc.,"Markham, ON L3R 1N3",1524-Commis aux achats et au contrôle de l'inventaire,1
,,1304943 Ont. Ltd,"Thunder Bay, ON P7A 4Z6",3216-Technologues en échographie,1
,,1359238 Ontario Inc.,"Vaughan, ON L4K 8A3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,1429481 Ontario Inc.,"Markham, ON L3R 1C7","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,1471939 Ontario Inc,"Toronto, ON M6B 1P5",0621-Directeurs - commerce de détail et de gros,1
,,1597596 Ontario INC.,"Burlington, ON L7R 3T3",0632-Directeurs des services d'hébergement,1
,,1695116 Ontario Limited,"Richmond Hill, ON L4S 2V5",7271-Charpentiers-menuisiers,1
,,1749348 Ontario Inc.,"Tillsonburg, ON N4G 4W9",1122-Professionnels des services-conseils en gestion aux entreprises,1
,,1785634 Ontario Inc,"Vaughan, ON L4J 0B8",7312-Mécaniciens d'équipement lourd,1
,,,,7452-Manutentionnaires,1
,,1829973 Ontario Ltd.,"Kingston, ON K7M 7N8",3223-Technologues et techniciens dentaires et auxiliaires dans les laboratoires dentaires,2
,,1858727 Ontario Inc,"Toronto, ON M4L 1J3",6321-Chefs,1
,,1940905 Ontario Inc.,"Vaughan, ON L4K 4R9",1122-Professionnels des services-conseils en gestion aux entreprises,1
,,2073981 Ontario Inc.,"Toronto, ON M8X 2W8",0631-Directeurs de la restauration et des services alimentaires,1
,,2132243 Ontario Inc.,"Brampton, ON L6W 3G4",2174-Programmeurs et développeurs en médias interactifs,1
,,2263260 Ontario Inc.,"Kitchener, ON N2E 0B3",6221-Spécialistes des ventes techniques - commerce de gros,1
,,2333662 Ontario Inc o/a Bagel World Thornhill,"Thornhill, ON L4J 0A7",0112-Directeurs des ressources humaines,1
,,2358723 Ontario Inc.,"Halton Hills, ON L7G 4S7",1241-Adjoints administratifs,1
,,2391548 Ontario Inc.,"Toronto, ON M4S 2A2",6321-Chefs,1
,,2405237 Ontario Inc,"Richmond Hill, ON L4B 3A9",0631-Directeurs de la restauration et des services alimentaires,1
,,2429486 Ontario Limited,"Burlington, ON L7L 5Y3",1241-Adjoints administratifs,1
,,2455091 Ontario Inc.,"Mississauga, ON L5L 1T1",2232-Technologues et techniciens en génie mécanique,1
,,2495091 Ontario Ltd.,"Richmond Hill, ON L4C 9S2",6321-Chefs,1
,,2512931 Ontario Inc.,"Toronto, ON M5S 1M4",6321-Chefs,1
,,2iSolutions Inc.,"North York, ON M3H 2M1",2174-Programmeurs et développeurs en médias interactifs,2
,,444362 Ontario Limited,"Toronto, ON M2H 2E1",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
,,453684 Ontario Ltd,"London, ON N6A 3H5",1225-Agents aux achats,1
,,7150440 Canada Inc.,"Brampton, ON L6W 1K5","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,7679742 Canada Inc.,"Mississauga, ON L4T 3X1",5225-Techniciens en enregistrement audio et vidéo,1
,,8031991 Canada Corporation,"Dunrobin, ON K0A 1T0",0621-Directeurs - commerce de détail et de gros,1
,,8272450 Canada Inc.,"Brampton, ON L6X 4T7",1241-Adjoints administratifs,1
,,9054118 Canada Corp,"Mississauga, ON L5S 1M2",1121-Professionnels en ressources humaines,1
,,Ad hoc Content Inc.,"Toronto, ON M6K 3E9","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,AKSSG Inc.,"Brampton, ON L6R 3H8",7511-Conducteurs de camions de transport,1
,,Alumicom Inc.,"Concord, ON L4K 1Z3",2251-Technologues et techniciens en architecture,2
,,Antara Design Build Inc.,"Mississauga, ON L5G 4R6",7271-Charpentiers-menuisiers,1
,,Apollon Iron Works,"North York, ON M3J 2N1",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,APS Interiors Inc.,"Pickering, ON L1W 3V5","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,,Arts & Sciences Dept. LLC,"Toronto, ON M6J 1H6","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Asian Connections Inc.,"Toronto, ON M9W 1R6",5225-Techniciens en enregistrement audio et vidéo,1
,,ASL19 Inc.,"Toronto, ON M5T 2L7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,ASTTF2 Group Ltd.,"Stoney Creek, ON L8E 5N7",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,,ATD Precision Ltd.,"Mississauga, ON L5T 1E8",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,,Avida 2015 Inc.,"Etobicoke, ON M8Z 2X2",5241-Designers graphiques et illustrateurs,1
,,Ax Pharma,"Richmond HIll, ON L4B 1H4",9232-Opérateurs de salle de commande centrale dans le raffinage du pétrole et le traitement du gaz et des produits chimiques,1
,,Aztec Structual Restoration Inc.,"Bolton, ON L7E 7G4",7271-Charpentiers-menuisiers,1
,,Balkan Flooring Inc.,"Kitchener, ON N2K 2Y8",7283-Carreleurs,1
,,Barton Truck Centre Ltd.,"Hamilton, ON L8H 3P6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,Basecrete Inc.,"Woodbridge, ON L4L 8A8",7282-Finisseurs de béton,1
,,BBS Securities Inc,"Toronto, ON M2P 2B5",1122-Professionnels des services-conseils en gestion aux entreprises,1
,,Bhardwaj Law Professional Corporation,"Woodbridge, ON L4H 0J2",4211-Techniciens juridiques et personnel assimilé,1
,,BIO-RAD LABORATORIES (CANADA) LIMITED,"Mississauga, ON L5T 1C9",2241-Technologues et techniciens en génie électronique et électrique,1
,,Bona Building Materials Inc.,"Markham, ON L6G 1B5",1225-Agents aux achats,1
,,Bradley Compact Excavation Ltd,"Stouffville, ON L0G 1E0",7611-Aides de soutien des métiers et manoeuvres en construction,1
,,Bramalea Steelworks Ltd.,"Mississauga, ON L5S 1S2",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,Brampton Kitchen & Cabinets Ltd,"Brampton, ON L6W 3N5",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,Bravo Textiles Inc.,"Toronto, ON M2N 2M8","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,BRC Restoration INC,"Concord, ON L4K 4W8",7271-Charpentiers-menuisiers,1
,,Brian Isherwood & Associates Ltd.,"Mississauga, ON L5L 5M5",0211-Directeurs des services de génie,1
,,Buhler (Canada) Inc.,"Markham, ON L3R 4B9",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Canadian Tube Tooling Co. Ltd.,"Mississauga, ON L5T 2K7",7232-Outilleurs-ajusteurs,1
,,Cancoil Thermal Corporation,"Kingston, ON K7L 4V3",2253-Technologues et techniciens en dessin,2
,,Can-Sky Roofing and Sheet Metal Inc.,"Toronto, ON M9W 3A5",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,Cars Auto Collision Ltd,"Burlington, ON L7L 4X3",7322-Débosseleurs et réparateurs de carrosserie,2
,,Castlewall Developments Ltd.,"Toronto, ON M6M 2Y2",0711-Directeurs de la construction,1
,,Caxtec Systems Inc.,"Mississauga, ON L4Z 1V9",0213-Gestionnaires des systèmes informatiques,1
,,Charoen Pokphand Foods Canada Inc.,"Markham, ON L3R 6G2","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,Chess Industrial Power Rectifiers Inc,"Sudbury, ON P3C 1B4",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Circle Productions Ltd.,"Toronto, ON M5V 1T2","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,City of Ottawa,"Ottawa, ON K1P 1J1",2171-Analystes et consultants en informatique,1
,,CJ Marketing Ltd.,"Richmond Hill, ON L4B 3Z3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Classic Crystal Decorative Glass Ltd.,"Toronto, ON M3J 1Z4",9413-Opérateurs de machines à former et à finir le verre et coupeurs de verre,1
,,Cluep Inc.,"Toronto, ON M6K 3G3",2175-Concepteurs et développeurs Web,1
,,CNC Cutting.ca,"Toronto, ON M6B 3Z4",2252-Designers industriels,1
,,Cogeneration & Energy Management Engineering,"St. Catharines, ON L2M 3Y2",2133-Ingénieurs électriciens et électroniciens,1
,,COMBC,"Oakville, ON L6H 0E6",7271-Charpentiers-menuisiers,1
,,Complete Stainless Solutions Limited,"Mississauga, ON L4W 1Y4",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,Compressed Air International Inc.,"Woodbridge, ON L4L 5V4",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,,Con-Drain Company (1983) Limited,"Concord, ON L4K 4R1",7282-Finisseurs de béton,1
,,Controlled Contents Management Inc.,"Toronto, ON M6B 3Y4",7271-Charpentiers-menuisiers,1
,,Counting Opinions (Squire) Ltd,"Toronto, ON M2J 3Z8",2175-Concepteurs et développeurs Web,1
,,CQ Search Group Ltd,"Toronto, ON M9C 5K6",2173-Ingénieurs et concepteurs en logiciel,1
,,CroTech Electric Contractors Ltd.,"Burlington, ON L7L 0A3",2234-Estimateurs en construction,1
,,Cumulus Architects Inc.,"Toronto, ON M5R 3P8",2251-Technologues et techniciens en architecture,2
,,CVH (NO. 2) LP,"Markham, ON L3R 4T9",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,1
,,Cycloides Inc.,"Mississauga, ON L5T 2E7",0213-Gestionnaires des systèmes informatiques,1
,,Dash Vapes Inc.,"Markham, ON L3R 9T5","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,DHT Electric Service Inc,"Mississauga, ON L5R 3N7",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,,Dominion Voting Systems Corporation,"Toronto, ON M5T 2C7",2283-Évaluateurs de systèmes informatiques,1
,,Dytronix Inc.,"Richmond Hill, ON L4S 0B8",2281-Techniciens de réseau informatique,1
,,E & L Stairs and Railings Corp.,"Mississauga, ON L5T 1K8",1523-Coordonnateurs de la logistique de la production,1
,,EastenGHouse Inc.,"Mississauga, ON L4W 2Z6",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,,Electronic Pipeline Technology Ltd.,"Richmond Hill, ON L4E 0M8","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,Elite Email Inc.,"Toronto, ON M9L 1S7",2175-Concepteurs et développeurs Web,1
,,Enviro World Corporation,"Toronto, ON M9W 0A2",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,,Europro Tile & Marble Ltd,"Woodbridge, ON L4T 9H9",7283-Carreleurs,1
,,Everest Traders Inc.,"Mississauga, ON L4T 0A5",6222-Acheteurs des commerces de détail et de gros,1
,,Flixel Photos Inc,"Toronto, ON M6K 3G3","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7233-Tôliers,3
,,Frontier Inc,"Toronto, ON M8Z 2G9",7272-Ébénistes,1
,,FT EnE Canada Inc,"Brantford, ON N3T 5L8",2233-Technologues et techniciens en génie industriel et en génie de fabrication,3
,,Future Link Consultants Inc.,"Scarborough, ON M1P 4X4",1221-Agents d'administration,1
,,FX Capital Ltd,"Ottawa, ON K2P 1B8","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Galrich Construction Services,"Toronto, ON M8W 1Z6","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",2
,,GG Fabrication Inc,"Brampton, ON L6T 4J4",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,,Gotcha Wildlife Removal Services Ltd.,"Etobicoke, ON M9A 4M6",7444-Fumigateurs et préposés au contrôle de la vermine,1
,,GSD Renovations Inc.,"Brampton, ON L6R 0M8",7313-Mécaniciens en réfrigération et en climatisation,1
,,GSM Tennis Club Inc.,"Kitchener, ON N2P 2X6",5252-Entraîneurs,1
,,H. Breiter Window Cleaning Ltd.,"North York, ON M6A 1P3",6315-Surveillants des services de nettoyage,2
,,H.S. Dhaliwal Transport Inc.,"Brampton, ON L6R 3A6",7322-Débosseleurs et réparateurs de carrosserie,2
,,,,7511-Conducteurs de camions de transport,9
,,Hakka Wow Inc.,"Toronto, ON M4L 1Z7",6321-Chefs,2
,,Halyard Inc.,"Toronto, ON M5C 1T4",2131-Ingénieurs civils,1
,,Hero Response Inc.,"Toronto, ON M9W 4W4",7271-Charpentiers-menuisiers,1
,,Holiday Films Inc.,"Toronto, ON M5V 1J2","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Huntech Contracts Inc.,"Toronto, ON M3B 3H9",2147-Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),1
,,Huntsville 100 Howland Drive Inc.,"Huntsville, ON P1H 2P9",1226-Planificateurs de congrès et d'événements,1
,,Hylan Group Inc.,"Toronto, ON M5H 3K6",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,Idea Networks Inc,"Mississauga, ON L4W 1C8",7245-Monteurs de lignes et de câbles de télécommunications,1
,,Iffy's Autobody Parts and Supply Ltd.,"Mississauga, ON L5S 1B1",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
