Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,Postes demandés
,"Elite Balsam Products, Inc","St Andrews, NS B0H 1X0",8432-Ouvriers de pépinières et de serres,6
,Fisherman's Market International Inc.,"Halifax, NS B3M 2L6",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,3
,Garden View Restaurant Ltd,"Dartmouth, NS B2X 1S2",6322-Cuisiniers,1
,Halifax ALTA Gymnastics Club,"Halifax, NS B3L 4T7",5252-Entraîneurs,1
,HB Studios Multimedia Ltd,"Lunenburg, NS B0J 2C0",2173-Ingénieurs et concepteurs en logiciel,1
,John's Steak House Limited,"Antigonish, NS B2G 1R6",6322-Cuisiniers,2
,Maskwa Aquatic Club,"Halifax, NS B3M 3H8","513-Directeurs de programmes et de services de sports, de loisirs et de conditionnement physique",1
,Mic Mac Beverage Room (2006) Ltd.,"Dartmouth, NS B2X 2C3",6322-Cuisiniers,4
,NewAE Technology Inc.,"Halifax, NS B3H 2R8",2174-Programmeurs et développeurs en médias interactifs,1
,Nova Scotia Health Authority,"Sidney, NS B1P 1P3",3111-Médecins spécialistes,1
,Oxford Berry Farm,"Oxford, NS B0M 1P0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Royal & Sun Alliance Ins. Co. of Canada,"Dartmouth, NS B3B 0L9","2161-Mathématiciens, statisticiens et actuaires",1
,"SHIL Technologies, Inc.","Halifax, NS B3J 3N2",2171-Analystes et consultants en informatique,1
,Shree Ganesh Ltd. (Curry Express),"Bridgewater, NS B4V 1M3",6322-Cuisiniers,2
,St. Francis Xavier University,"Antigonish, NS B2G 2W5",2174-Programmeurs et développeurs en médias interactifs,1
,VidSnippets Incoporated,"Bedford, NS B4A 3N9",213-Gestionnaires des systèmes informatiques,1
Nouveau-Brunswick,615163 NB Ltd. o/a Stiles Motel Hillview,"Woodstock, NB E7M 2E9",6322-Cuisiniers,6
,669950 NB Ltd. o/a NARU Japanese Restaurant Ltd.,"Fredericton, NB E3B 1B9",6322-Cuisiniers,1
,Cavendish Farms Corp,"Dieppe, NB E1A 6X4",8431-Ouvriers agricoles,6
,Cedar Enterprises Ltd.,"Saint John, NB E2J 2C3",6322-Cuisiniers,1
,Cedar Rock Farm,"Nauwigewauk, NB E5N 6W4",8431-Ouvriers agricoles,1
,D & J Bait Company Ltd.,"Pointe Sapin, NB E9A 1T4",9531-Monteurs de bateaux et contrôleurs de montage de bateaux,2
,Doug Desruisseau Carpentry Inc.,"BelleisleCreek, NB E5P 1N3",7271-Charpentiers-menuisiers,1
,Dover Fish Hatchery Ltd.,"L'Etang, NB E5C 2A8",8613-Manoeuvres de l'aquaculture et de la mariculture,1
,Dynamic Transport Inc.,"Eelriver Crossing, NB E8E 1R2",7511-Conducteurs de camions de transport,6
,EHS Safety Support Services Inc.,"Saint John, NB E2K 4S9",2281-Techniciens de réseau informatique,1
,Full House Enterprise Ltd,"Fredericton, NB E3B 5Y4",6322-Cuisiniers,1
,Gieral Investments & Trading Ltd.,"Moncton, NB E1C 2R5",631-Directeurs de la restauration et des services alimentaires,1
,MacLeod General Construction Ltd.,"Centreville, NB E7K 3G4",7611-Aides de soutien des métiers et manoeuvres en construction,4
,Maritime Auto Body 2014 Ltd.,"Saint John, NB E2M 3S4",7322-Débosseleurs et réparateurs de carrosserie,1
,Marty's Electric Ltd,"Perth-Andover, NB E7H 2W9",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,Matrix Management Inc.,"Saint John, NB E2L 3G1","1123-Professionnels en publicité, en marketing et en relations publiques",1
,McLaughlin Dental Group Inc,"Bedell, NB E7M 4P1",3113-Dentistes,1
,PDSack Enterprises Inc.,"Sackville, NB E4L 4C3",6322-Cuisiniers,5
,Pioneer Transport Inc.,"Woodstock, NB E7M 6B5",7511-Conducteurs de camions de transport,18
,Precision Plaster and Paint Applicators Inc.,"Saint John, NB E2M 1T5",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
,Pump House Brewery,"Moncton, NB E1A 6R1",911-Directeurs de la fabrication,1
,R & L Convenience Inc.,"Rothesay, NB E2E 5X4",6322-Cuisiniers,3
,Richibucto Food Services Inc.,"Atholville, NB E3N 4E2",6311-Superviseurs des services alimentaires,2
,Riverside Pharmacy Limited,"Oromocto, NB E2V 2P8",3131-Pharmaciens,1
,Rose St Pierre Special Care Home Inc.,"Dalhousie, NB E8C 1Y4","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
,Rossignol Transport LTD,"Edmundston, NB E3V 3K8",7511-Conducteurs de camions de transport,1
,Saint John Deaf and Hard of Hearing Services Inc,"Saint John, NB E2M 1V2","5125-Traducteurs, terminologues et interprètes",1
,Search2Go Incorporated,"Saint John, NB E2L 3G1",5241-Designers graphiques et illustrateurs,1
,Services de Garde CHEZ TIAGO Childcare Services Inc.,"Moncton, NB E1A 2Z3",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Squash Moncton Ltd.,"Dieppe, NB E1A 8R1",5252-Entraîneurs,1
,Stewart's Transfer o/a 500516 NB Ltd.,"Perth-Andover, NB E7H 5G3",7511-Conducteurs de camions de transport,2
,William's Seafood Ltd.,"Fredericton, NB E3B 3E3",6322-Cuisiniers,1
Québec,2944715 Canada inc.,"Montréal, QC H4N 1M2",6222-Acheteurs des commerces de détail et de gros,1
,2955-0571 Québec Inc,"Baie-Saint-Paul, QC G3Z 1P8",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,1
,4318366 CANADA INC.,"Montréal, QC H3R 2H7",6322-Cuisiniers,1
,6386083 Canada Inc.,"Montréal, QC H2R 1R1",6332-Boulangers-pâtissiers,1
,7574479 Canada Inc.,"Kirkland, QC H9H 3L4",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
,7599978 Canda Inc,"Saint-Jean-sur-Richelieu, QC J3B 2J9",2281-Techniciens de réseau informatique,1
,836281 CANADA INC,"Montréal, QC H3E 0A3",1311-Techniciens en comptabilité et teneurs de livres,1
,8695962 Canada inc.,"Montreal, QC H4B 2M5",6221-Spécialistes des ventes techniques - commerce de gros,1
,8706816 Canada inc.,"Montréal, QC H2S 1K2",2253-Technologues et techniciens en dessin,1
,9012656 Canada Inc.,"Longueuil, QC J4K 2W5",7511-Conducteurs de camions de transport,2
,9030-2944 Quebec inc.,"Laval, QC H7V 1S1",1452-Correspondanciers et commis aux publications et aux règlements,1
,9058-3964 Quebec inc.,"Saint Jude, QC J0H 1P0",8431-Ouvriers agricoles,48
,9088-2382 Québec inc.,"Montréal, QC H3Z 1X5",6222-Acheteurs des commerces de détail et de gros,1
,9089-1193 Québec inc,"Montreal, QC H3C 1S9",5225-Techniciens en enregistrement audio et vidéo,1
,9093-4233 Québec inc.,"Mont-Royal, QC H4P 1S1",2175-Concepteurs et développeurs Web,1
,9107-1464 Quebec Inc.,"Anjou, QC H1J 1T6",2112-Chimistes,1
,9110-0750 Québec inc.,"Rosemère, QC J7A 4J4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,9114-8882 Québec Inc.,"Laval, QC H7L 5A7",7316-Ajusteurs de machines,1
,9151 1279 Québec inc.,"Montréal, QC H2V 2V8",6322-Cuisiniers,1
,9154-6397 Quebec inc.,"St-Clet, QC J0P 1P0",7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles,1
,9162-6283 Quebec Inc.,"Montréal, QC H2H 2S6","124-Directeurs de la publicité, du marketing et des relations publiques",1
,9204-2902 Québec inc.,"Mont-Tremblant, QC J8E 3C1",6341-Coiffeurs et barbiers,1
,9209-5256 Quebec inc.,"Montreal, QC H4P 1T7",2175-Concepteurs et développeurs Web,1
,9229-0402 Québec Inc.,"St-Eustache, QC J7P 3E5",2175-Concepteurs et développeurs Web,1
,9245-9189 Québec Inc,"Montréal, QC H2H 1E8","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,9248-9921 Quebec inc.,"St-Léonard, QC H1S 2J3",7272-Ébénistes,1
,9251-6822 Québec inc.,"Ste-Séraphine, QC J0A 1E0",8431-Ouvriers agricoles,2
,9253-1524 Québec inc.,"Montréal, QC H2T 2T3",2174-Programmeurs et développeurs en médias interactifs,1
,9261-1615 QUÉBEC INC,"Greenfield Park, QC J4V 1M1",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
,9262-9294 Québec Inc,"Québec, QC G1V 2V8",6321-Chefs,1
,9271-0235 Quebec Inc.,"Montréal, QC H4K 2P4",7293-Calorifugeurs,1
,9298-7387 Québec inc.,"Montréal, QC H4C 2Z6",2171-Analystes et consultants en informatique,1
,9300-4653 Québec Inc,"Montreal, QC H8Z 3M1",7611-Aides de soutien des métiers et manoeuvres en construction,1
,9320-9799 Québec inc.,"Québec, QC G1R 0C2",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,9325-6063 Québec Inc.,"Montréal, QC H3W 3G3","124-Directeurs de la publicité, du marketing et des relations publiques",1
,"A.V. Inc., Atocas Villeroy","Plessisville, QC G6L 2Y2",8431-Ouvriers agricoles,2
,Abaplab Inc,"Montréal, QC H2P 2Y1",2174-Programmeurs et développeurs en médias interactifs,2
,ADURRA SECURITY DOORS & WINDOWS INC. (PORTES ET FENÊTRES DE SÉCURITÉ ADURRA INC.),"Montreal, QC H4P 1W9","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",1
,Altitude Aerospace,"Montréal, QC H4S 1T2",2146-Ingénieurs en aérospatiale,1
,Amaris Conseil Inc.,"Montreal, QC H2Y 2W8",2133-Ingénieurs électriciens et électroniciens,1
,Andy Transport Inc.,"Salaberry de Valleyfield, QC J6S 6J2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",3
,Arobas Personnel inc.,"H3B1A6, QC H3B 1A6",2171-Analystes et consultants en informatique,1
,Atelier Ferland Inc,"Ayer's Cliff, QC J0B 1C0",6221-Spécialistes des ventes techniques - commerce de gros,1
,Auberge Handfield Inc.,"St-Marc-sur-Richelieu, QC J0L 2E0",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,Auto Bugatti Inc.,"Montréal, QC H9P 1G4",7322-Débosseleurs et réparateurs de carrosserie,1
,Avw-Telav Inc,"Lachine, QC H8T 3M6",5225-Techniciens en enregistrement audio et vidéo,1
,Beijing Lao Hu Ji Canada Corporation,"Lasalle, QC H8N 1X3",711-Directeurs de la construction,3
,Béton Bolduc Inc.,"Sainte-Marie, QC G6E 1G8","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",1
,Bombardier Inc.,"Montréal, QC H3B 1Y8",2146-Ingénieurs en aérospatiale,1
,Boulangerie Pâtisserie Charcuterie Laura Enr.,"Montréal, QC H1P 1M9",6322-Cuisiniers,1
,Carrosserie Idéale Internationale St-Leonard inc.,"Montreal, QC H1P 2B7",7322-Débosseleurs et réparateurs de carrosserie,1
,CDID inc.,"St-Georges, QC G5Y 7H5",2174-Programmeurs et développeurs en médias interactifs,1
,CGI Information Systems and Management Consultants Inc .,"Montréal, QC H3G 1T4",2171-Analystes et consultants en informatique,1
,Clinique Dentaire Jean Bernard,"Sherbrooke, QC J1G 5G9",3113-Dentistes,2
,Clinique dentaire Jean-Yves Berthiaud,"North Hatley, QC J0B 2C0",3113-Dentistes,1
,Clinique Physio 2000,"Montreal, QC H2C 1R9",3125-Autres professionnels en diagnostic et en traitement de la santé,1
,CLUB DE GYMNASTIQUE LES RÉFLEXES INC.,"Boucherville, QC J4B 1Z6",5252-Entraîneurs,1
,Club de Judo Olympique,"Brossard, QC J4Y 1C8",5252-Entraîneurs,1
,Club de soccer des Caravelles de Sainte-Foy-Sillery,"Québec, QC G1V 4H8","513-Directeurs de programmes et de services de sports, de loisirs et de conditionnement physique",1
,Commerce Min & Kim Inc.,"BROSSARD, QC J4Y 1A2",6322-Cuisiniers,1
,Communications LMT inc.,"Laval, QC H7T 1L1",7246-Installateurs et réparateurs de matériel de télécommunications,3
,Complexe sportif Alphonse- Desjardins,"Trois-Rivières, QC G8T 9T9",3144-Autres professionnels en thérapie et en diagnostic,1
,Concordia University,"Montréal, QC H3G 1M8","2148-Autres ingénieurs, n.c.a.",1
,Conseillers en Gestion et Informatique CGI Inc.,"Montréal, QC H3G 1T4",2174-Programmeurs et développeurs en médias interactifs,2
,Convergia Networks Inc,"Pointe-Claire, QC H9R 5C7",2173-Ingénieurs et concepteurs en logiciel,1
,Cosmétiques Sam Gabriel Inc.,"Brossard, QC J4W 2T5",6421-Vendeurs - commerce de détail,1
,Couvoir Québec inc,"Québec, QC G2A 2E1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",6
,Crêperie du Marché Inc.,"Montreal, QC H3X 2P7",6332-Boulangers-pâtissiers,1
,Cuisine Pasta Casareccia Inc.,"Montréal, QC H4A 1X4",6321-Chefs,1
,Dépanneur Vieux Montréal (2016) Inc.,"Montréal, QC H2Y 1S6",6322-Cuisiniers,1
,Descormiers et associés inc.,"Sherbrooke, QC J1N 0E7",2175-Concepteurs et développeurs Web,1
,Distribution Hamaix Inc,"Montréal, QC H2Y 1M6","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Divertissements Gameloft Inc.,"Montréal, QC H2R 2Z5",2174-Programmeurs et développeurs en médias interactifs,1
,Dolfino Média Inc.,"Val-Morin, QC J0T 2R0","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Ebix Inc.,"Montreal, QC H3B 5C9",213-Gestionnaires des systèmes informatiques,1
,EBOX inc.,"Longueuil, QC J4K 0B9",6552-Autres préposés aux services d'information et aux services à la clientèle,1
,École de musique Arquemuse,"Québec, QC G1R 2T9",5133-Musiciens et chanteurs,1
,Elisen & Associés inc.,"Montreal, QC H8T 1A3",2146-Ingénieurs en aérospatiale,1
,Eurovia Québec Construction Inc.,"Boucherville, QC J4B 7L4",2131-Ingénieurs civils,2
,EvoMarketPlace Inc,"Montréal, QC H3G 2C9",2175-Concepteurs et développeurs Web,1
,FABRICANT DE POÊLES INTERNATIONAL INC.,"St-Augustin-de-Desmaures, QC G3A 2H3",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,Familiforme enr.,"Québec, QC G1G 2M7",3236-Massothérapeutes,1
,FER ORNEMENTAL SPANISH LTÉE,"St-Léonard, QC H1P 2W6","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",1
,Ferme Ashby et Giroux inc,"Coaticook, QC J1A 2S2",8431-Ouvriers agricoles,3
,Ferme Berg Inc.,"Warwick, QC J0A 1M0",8431-Ouvriers agricoles,1
,Ferme Carpentier Fils Inc.,"Tois Rvières, QC G9B 6T3",8431-Ouvriers agricoles,1
,Ferme Drapeau et Bélanger inc.,"Sainte-Françoise, QC G0S 2N0",8431-Ouvriers agricoles,2
,Ferme Lunick Inc.,"St-Eugène-de-Guigues, QC J0Z 3L0",1222-Adjoints de direction,1
,Ferme Marcel Nadeau et Frères Inc,"St-Bernard, QC G0S 2G0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
,Ferme Paulin Côté inc,"Roxton Pond, QC J0E 1Z0",8611-Manoeuvres à la récolte,1
,Focus Micro Ondes Inc.,"Quebec, QC H9B 3H7",2133-Ingénieurs électriciens et électroniciens,1
,"François Thifault,notaire inc.","Québec, QC G1X 1T5",1242-Adjoints administratifs juridiques,1
,Fromagerie Ruban Bleu Inc.,"Mercier, QC J6R 2L1","9461-Opérateurs de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes",2
,Fruits de mer Lagoon Inc.,"Montreal, QC H8T 3H2",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,2
,Gestion Multi Risques International Inc.,"Montréal, QC H2Y 1X4",1122-Professionnels des services-conseils en gestion aux entreprises,1
,Grenadine Technologies Inc.,"Montréal, QC H2V 4S6",2173-Ingénieurs et concepteurs en logiciel,1
,GROUPE CHCR INC,"Montréal, QC H4P 1W7",5123-Journalistes,1
,Groupe SAPERGY Consultation Inc.,"Montreal, QC H2Y 2H2",2171-Analystes et consultants en informatique,1
,Hebrew Academy inc,"Cote St-Luc, QC H4W 1T4",422-Directeurs d'école et administrateurs de programmes d'enseignement aux niveaux primaire et secondaire,1
,Hitek Logistic inc.,"St-Laurent, QC H4S 1V3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Imp Group Limited,"Dorval, QC H9P 1A2",2261-Vérificateurs et essayeurs des essais non destructifs,1
,INSSE Inc.,"Québec, QC G1S 4N7",2171-Analystes et consultants en informatique,1
,Jardins Paul Cousineau & Fils Inc. (Les),"St-Constant, QC J5A 2E7","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Jeux Jellyfish Inc.,"Montréal, QC H2K 4E2",5241-Designers graphiques et illustrateurs,1
,KOPTR IMAGE Inc.,"St-Mathieu-de-Beloeil, QC J3G 0C9","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,La Fadeta Inc.,"Montréal, QC H2K 1X3",6341-Coiffeurs et barbiers,1
,La Frissonnante inc.,"Danville, QC J0A 1A0",8431-Ouvriers agricoles,4
,La Librairie de Verdun,"Montréal, QC H4G 1W6",6421-Vendeurs - commerce de détail,1
,La Meunerie Milanaise Inc.,"Milan, QC G0Y 1E0","9461-Opérateurs de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes",1
,La troupe de théâtre Les Zybrides,"Rouyn-Noranda, QC J9X 1Z9","5226-Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",1
,Labo Solidago Inc.,"Ste-Louise, QC G0R 3K0",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
,Laboratoire dentaire M.J. Inc.,"Saguenay, QC G7G 1K7",3223-Technologues et techniciens dentaires et auxiliaires dans les laboratoires dentaires,1
,Laboratoires Kariliss Inc.,"Laval, QC H7P 6G5",2262-Inspecteurs d'ingénierie et officiers de réglementation,1
,Le club de natation régional de Beauce Inc.,"St-Georges, QC G5Y 2B9",5252-Entraîneurs,1
,LE DANSEUR TRISTE DU NIRVANA INC./ Dark Dancer of Nirvana Inc.,"Montréal, QC H3A 1R7",6321-Chefs,1
,Le Groupe Forget Audioprothésistes,"Pierrefond, QC H8Y 0A1",3237-Autre personnel technique en thérapie et en diagnostic,1
,Les Delices D'angkor Inc.,"Lévis, QC G6W 2S6",6322-Cuisiniers,2
,Les Entreprises Marvais Inc.,"Boucherville, QC J4B 5E4",631-Directeurs de la restauration et des services alimentaires,1
,Les fabrications TJD inc,"Rivière-du-Loup, QC G5R 5X9",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,Les Fermes R.R. Et Fils Inc.,"St-Michel, QC J0L 2J0",8431-Ouvriers agricoles,3
,Les Industries créatives MOM Inc.,"Montreal, QC H2W 1Y5","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,Les Serres Biologico Inc.,"Ste-Sophie, QC J5J 2V3",8432-Ouvriers de pépinières et de serres,3
,Les Serres Sylvain Cléroux (Québec) inc.,"Laval, QC H7X 4A8","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",2
,Les Viandes Walcovit inc,"Québec, QC G1C 4R9","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Levert Paysage Inc. (9019-0786 Québec Inc.),"St-Faustin-Lac-Carré, QC J0T 1J1","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,Linovati Inc.,"Québec, QC G1W 4W5",1122-Professionnels des services-conseils en gestion aux entreprises,1
,Luxury Retreats International,"Montréal, QC H4E 1A8","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Manac Inc.,"St-Georges, QC G5Y 8G6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,MCS - Servo Inc.,"St-Bruno-de-Montatville, QC J3V 6B9",6221-Spécialistes des ventes techniques - commerce de gros,1
,Merkur Inc,"Sherbrooke, QC J1L 1N6",2132-Ingénieurs mécaniciens,1
,Métosak Inc,"Sherbrooke, QC J1C 0W2",2232-Technologues et techniciens en génie mécanique,1
,Mighty Cast Inc,"Montreal, QC H3A 1T1","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Milan Conception Inc,"Sherbrooke, QC J1L 0A3",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
,Molex Canada Ltd.,"Pointe-Claire, QC H9R 5N2",2147-Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),1
,Mosaique Surface Inc.,"Montréal, QC H2N 1P4",1222-Adjoints de direction,1
,Niro Retail Services Inc.,"Montreal, QC H4P 1K5",1431-Commis à la comptabilité et personnel assimilé,1
,N'Ware Technologies Services,"Beauce, QC G6A 0C5",2174-Programmeurs et développeurs en médias interactifs,1
,O.S.I. PRÉCISION INC.,"Saint-Georges, QC G6A 1E4",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,Opes Software Inc. (7759347 Canada Inc.),"Kirkland, QC H9H 3C4",2174-Programmeurs et développeurs en médias interactifs,1
,Parsons Import Export Inc,"Dollard-des-Ormeaux, QC H9B 1J9","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,PÂTISSERIE SAMADI ET FILS,"Montréal, QC H4J 2P8",6332-Boulangers-pâtissiers,1
,Pepiniere G. Lorrain & Fils   Inc.,"Prevost, QC J0R 1T0",8431-Ouvriers agricoles,2
,Pépinière Paysagiste Jardin Fleuri inc,"Boucherville, QC J4B 6T6",9211-Surveillants dans la transformation des métaux et des minerais,1
,PH Windsolutions Inc.,"Ville Saint-Laurent, QC H4T 4L2",2232-Technologues et techniciens en génie mécanique,1
,Pharmascience Inc.,"Montreal, QC H4P 2T4",3131-Pharmaciens,1
,Pierre Naturelle EMG inc.,"Laval, QC H7L 4E4","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",1
,Plantation Crête Inc.,"Sherbrooke, QC J1J 1R4",8431-Ouvriers agricoles,2
,Plomberie VIP Montreal Inc.,"Montréal, QC H2M 2B2",7251-Plombiers,1
,Porc S.B. inc.,"Saint-Elzéar, QC G0S 2J0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,POURVOIRIE DU CAP AU LESTE INC.,"Ste-Rose-du-Nord, QC G0V 1T0",631-Directeurs de la restauration et des services alimentaires,1
,Précision SM inc.,"St-Marc-des-Carrières, QC G0A 4B0",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,Premier Tech Limitée,"Rivière-du-Loup, QC G5R 6C1","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,Productions Margiric Inc.,"Laval, QC H7J 1A3","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",9
,PRODUITS D'ACIER HASON INC. (LES),"Lanoraie, QC J0K 1E0",211-Directeurs des services de génie,1
,Produits Zinda (Les),"Candiac, QC J5R 6X1",1523-Coordonnateurs de la logistique de la production,1
,Qualtech,"Québec, QC G1N 4K3",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,Québec Multiplants Enr.,"Québec, QC G1M 3R7",8612-Manoeuvres en aménagement paysager et en entretien des terrains,2
,Redberry Alberta Restaurants Inc.,"Greenfield Park, QC J4V 2H4",631-Directeurs de la restauration et des services alimentaires,1
,Renaissance Capital Inc.,"Montreal, QC H3A 3J6",1411-Employés de soutien de bureau généraux,1
,Restaurant Leméac Café Bistro Inc.,"Montreal, QC H2V 2L1",6322-Cuisiniers,1
,Roméo Couillard Inc.,"Montmagny, QC G5V 1B6","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,Sajy Communications Inc,"Montréal, QC H1M 1B2",213-Gestionnaires des systèmes informatiques,1
,Salon le Tube inc.,"Brossard, QC J4Y 3J3",6341-Coiffeurs et barbiers,1
,Satori Interreseautage Inc.,"Montréal, QC H2T 0A3",213-Gestionnaires des systèmes informatiques,1
,Services automobiles GRANTUNED Inc.,"Montréal, QC H3C 4J9",2132-Ingénieurs mécaniciens,1
,Services d'Abres Royal Inc.,"Senneville, QC H9X 3X9","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,Services de Jeux Babel Inc.,"Montréal, QC H3K 1G6",2283-Évaluateurs de systèmes informatiques,1
,Société Conseil Groupe LGS,"Québec, QC G1V 4K5",2174-Programmeurs et développeurs en médias interactifs,1
