Province/Territoire,Volet du programme,Employeur,Adresse,Profession ,Postes Approuvés
Nouvelle-Écosse,     Haut salaire,Dalhousie University,"Halifax, B3H4H2",4011-Professeurs et chargés de cours au niveau universitaire,1
Nouvelle-Écosse,     Haut salaire,Green Value Management Ltd,"Halifax, B3H1B3",0811-Directeurs de l'exploitation des ressources naturelles et de la pêche,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, B3K5M7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, B3K5M7",0113-Directeurs des achats,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, B3K5M7",0711-Directeurs de la construction,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, B3K5M7",0911-Directeurs de la fabrication,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, B3K5M7","2148-Autres ingénieurs, n.c.a.",1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, B3K5M7",2172-Analystes de bases de données et administrateurs de données,1
Nouvelle-Écosse,     Haut salaire,Irving Shipbuilding Inc,"Halifax, B3K5M7",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
Nouvelle-Écosse,     Haut salaire,Kingsport Studios Limited,"Kingsport, B0P1H0",3232-Praticiens des médecines douces,1
Nouvelle-Écosse,     Haut salaire,Maritime Vehicle Providers Limited,"Dartmouth, B3B1P4",1241-Adjoints administratifs,1
Nouvelle-Écosse,     Haut salaire,Maritime Vehicle Providers Limited,"Dartmouth, B3B1P4",1311-Techniciens en comptabilité et teneurs de livres,1
Nouvelle-Écosse,     Haut salaire,Phoenix Rehabilitation Services Inc,"Sydney, B1M0A1",4151-Psychologues,1
Nouvelle-Écosse,     Haut salaire,PRECISION CONCRETE SERVICES LIMITED,"Bedford, B4B1H1",7282-Finisseurs de béton,8
Nouvelle-Écosse,     Haut salaire,QED Operations Inc.,"BLIND BAY, B3Z4C4","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Nouvelle-Écosse,   Bas salaire, WASABI HOUSE RESTAURANT LTD.,"Halifax, B3L1B6",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,3231974 Nova Scotia Limited,"Eastern Passage, B3G1M4",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,3
Nouvelle-Écosse,   Bas salaire,3311543 Nova Scotia Limited,"Halifax, B3L1A4",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,3323091 Nova Scotia Ltd.,"Truro, B2N4Z6",6525-Réceptionnistes d'hôtel,2
Nouvelle-Écosse,   Bas salaire,Arirang Restaurant Incorporated,"Halifax, B3M3W8",0631-Directeurs de la restauration et des services alimentaires,1
Nouvelle-Écosse,   Bas salaire,Arirang Restaurant Incorporated,"Halifax, B3M3W8",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,Blue Elephant Thai Restaurant,"Bedford, B3M0G2",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,Chase's Lobster Pound Ltd.,"Port Howe, B0K1K0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,4
Nouvelle-Écosse,   Bas salaire,Chrismaria Family Restaurant LTD,"New Minas, B4N3C9",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,d`Eon Boatbuilding Ltd,"Yarmouth, B0W2M0",7271-Charpentiers-menuisiers,2
Nouvelle-Écosse,   Bas salaire,Evangeline Inn & Motel Inc.,"Grand Pre, B0P1M0",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,Granville Gates and Sons Ltd,"Blandford, B0J1C0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",4
Nouvelle-Écosse,   Bas salaire,It Takes a Village Inc.,"Halifax, B3S1P9",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Nouvelle-Écosse,   Bas salaire,Joe E Brands Limited,"Bible Hill, B2N2S7",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,K-BEAUTY SALON INC,"Halifax, B3L1A4",6341-Coiffeurs et barbiers,1
Nouvelle-Écosse,   Bas salaire,Mandox Inc.,"Annapolis Royal, B0S1A0",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,Maritime Vehicle Providers Limited,"Dartmouth, B3B1P4",6421-Vendeurs - commerce de détail,1
Nouvelle-Écosse,   Bas salaire,Maritime Vehicle Providers Limited,"Dartmouth, B3B1P4",6732-Nettoyeurs spécialisés,1
Nouvelle-Écosse,   Bas salaire,Mic-mac beverage room (2006) ltd,"Dartmouth, B2X2C3",6322-Cuisiniers,4
Nouvelle-Écosse,   Bas salaire,Pecheries Cheticamp Fisheries Intl. (2016) Ltd,"Cheticamp, B0E1H0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,60
Nouvelle-Écosse,   Bas salaire,Riverside Lobster International Inc,"Meteghan River, B0W2L0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,84
Nouvelle-Écosse,   Bas salaire,Victoria Co-operative Fisheries Ltd.,"Neil's Harbour, B0C1N0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,12
Nouvelle-Écosse,  Agriculture primaire,Balamore Farm Ltd,"Great Village, B0M1L0",8431-Ouvriers agricoles,160
Nouvelle-Écosse,  Agriculture primaire,Barteaux Farms Ltd,"Moschelle, B0S1A0",8431-Ouvriers agricoles,8
Nouvelle-Écosse,  Agriculture primaire,CAP Farms Inc,"Grafton, B0P1V0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,Charles Keddy Farms Limited,"Kentville, B4N3V7",8431-Ouvriers agricoles,22
Nouvelle-Écosse,  Agriculture primaire,Craig Nichols Farms Limited,"Aylesford, B0P1C0",8431-Ouvriers agricoles,41
Nouvelle-Écosse,  Agriculture primaire,DeLong Farm Products Limited,"New Germany, B0R1E0",8432-Ouvriers de pépinières et de serres,8
Nouvelle-Écosse,  Agriculture primaire,Eisses Farms Ltd,"Centreville, B0P1J0",8431-Ouvriers agricoles,18
Nouvelle-Écosse,  Agriculture primaire,G.A.R. Tree Farms Ltd,"Barss Corner, B0R1A0",8431-Ouvriers agricoles,8
Nouvelle-Écosse,  Agriculture primaire,Gouchers Farm And Market Limited,"Kingston, B0P1R0",8431-Ouvriers agricoles,10
Nouvelle-Écosse,  Agriculture primaire,H.B. Morse + Sons. Trucking Ltd,"Somerset, B0P1E0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,High Point Orchards LTD.,"Paradise, B0S1R0",8431-Ouvriers agricoles,12
Nouvelle-Écosse,  Agriculture primaire,J & M Reeves Christmas Greens Limited,"New Ross, B0J2M0",8432-Ouvriers de pépinières et de serres,2
Nouvelle-Écosse,  Agriculture primaire,MacGregor Dairy Farm Ltd.,"Churchville, B0K1B0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouvelle-Écosse,  Agriculture primaire,McConnell-Gordon Estates Ltd.,"Wolfville, B4P2R1",8431-Ouvriers agricoles,6
Nouvelle-Écosse,  Agriculture primaire,Melvin Farms Limited,"Canning, B0P1H0",8431-Ouvriers agricoles,32
Nouvelle-Écosse,  Agriculture primaire,Nazinga Farms Ltd,"Aylesford, B0P1C0",8431-Ouvriers agricoles,14
Nouvelle-Écosse,  Agriculture primaire,Noggins Corner Farm II Ltd.,"Greenwich, B4P2R2",8431-Ouvriers agricoles,27
Nouvelle-Écosse,  Agriculture primaire,North 45 Orchards Limited,"Elderbank, B0N1K0",8431-Ouvriers agricoles,20
Nouvelle-Écosse,  Agriculture primaire,Perfect Berries Ltd.,"Berwick, B0P1E0",8431-Ouvriers agricoles,20
Nouvelle-Écosse,  Agriculture primaire,Power Farms Inc.,"RR#2 Canning, B0P1H0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,Randsland Farms Inc,"Canning, B0P1H0",8431-Ouvriers agricoles,21
Nouvelle-Écosse,  Agriculture primaire,River Breeze Farm Limited,"Upper Onslow, B6L6Y3",8431-Ouvriers agricoles,12
Nouvelle-Écosse,  Agriculture primaire,Sarsfield Farms Incorporated,"Canning, B0P1H0",8431-Ouvriers agricoles,12
Nouvelle-Écosse,  Agriculture primaire,Spurr Brothers Farms Ltd,"Melvern Square, B0P1R0",8431-Ouvriers agricoles,15
Nouvelle-Écosse,  Agriculture primaire,Stirling Fruit Farms (2000) Ltd,"Greenwich, B4P2R2",8431-Ouvriers agricoles,2
Nouvelle-Écosse,  Agriculture primaire,T. E. Boyle Farm & Forestry Limited,"Antigonish County, B0H1A0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,Thiessen Farm Ltd.,"Grafton, B0P1V0",8431-Ouvriers agricoles,6
Nouvelle-Écosse,  Agriculture primaire,Van Meekeren Farms Ltd.,"Lakeville, B4N3V7",8431-Ouvriers agricoles,7
Nouvelle-Écosse,  Agriculture primaire,Webster Farms Limited,"Cambridge, B0P1G0",8431-Ouvriers agricoles,42
Nouvelle-Écosse,  Agriculture primaire,Wildroot Farm Limited,"Waterville, B0P1V0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Talent mondial,3rDi Laboratory Inc.,"Wolfville, B4P3R6",2175-Concepteurs et développeurs Web,2
Nouvelle-Écosse,  Talent mondial,MagicLamp Software Solutions Inc.,"Halifax, B3L0B5",2173-Ingénieurs et concepteurs en logiciel,1
Nouvelle-Écosse,  Talent mondial,REDspace Inc.,"BEDFORD, B4A3Y4",2171-Analystes et consultants en informatique,1
Nouvelle-Écosse,  Talent mondial,REDspace Inc.,"BEDFORD, B4A3Y4",2174-Programmeurs et développeurs en médias interactifs,1
Nouveau-Brunswick,     Haut salaire,700827 NB Inc.,"Fredericton, E3B1B2",6322-Cuisiniers,2
Nouveau-Brunswick,     Haut salaire,AYR Motor Express Inc,"Woodstock, E7M4G2",7511-Conducteurs de camions de transport,10
Nouveau-Brunswick,     Haut salaire,FMI Atlantic Inc.,"Woodstock, E7M5G5",0631-Directeurs de la restauration et des services alimentaires,1
Nouveau-Brunswick,     Haut salaire,FMI Atlantic Inc.,"Woodstock, E7M5G5",6311-Superviseurs des services alimentaires,4
Nouveau-Brunswick,     Haut salaire,FMI National Inc,"Woodstock, E7M5G5",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,     Haut salaire,"J.D. Irving, Limited - Woodlands Division","Saint John, E2L4Z2",8422-Ouvriers en sylviculture et en exploitation forestière,65
Nouveau-Brunswick,     Haut salaire,Keenan Truck Repair Inc,"Woodstock, E7M4G2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
Nouveau-Brunswick,     Haut salaire,Maritime Truck and Tractor Pull Association Inc.,"Richmond Corner, E7M4W9","6722-Opérateurs et préposés aux sports, aux loisirs et dans les parcs d'attractions",1
Nouveau-Brunswick,     Haut salaire,Murray Enterprises Ltd.,"sussex corner, E4E2Y5",7511-Conducteurs de camions de transport,2
Nouveau-Brunswick,     Haut salaire,POINT QUEEN FISHERIES LTD.,"L'Etete, E5C2R6",0621-Directeurs - commerce de détail et de gros,1
Nouveau-Brunswick,     Haut salaire,Rogers Communications Canada Inc,"Moncton, E1C0G1","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Nouveau-Brunswick,     Haut salaire,WHITE ROCK FREIGHT SERVICES INC,"Moncton, E1C6L9",7511-Conducteurs de camions de transport,3
Nouveau-Brunswick,   Bas salaire,507536 NB INC,"Fredericton, E3C1A2",6322-Cuisiniers,2
Nouveau-Brunswick,   Bas salaire,611179 NB Inc.,"Moncton, E1G2W5",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,620694 nb ltd,"Fredericton, E3A6S2",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,665606 NB Inc.,"MONCTON, E1A5L1",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,669950 N.B LTD,"Fredericton, E3B1B9",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,671348 N.B. INC.,"MONCTON, E1C1E3",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,677032 N.B. Ltd.,"Rothesay, E2E2N6",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,692663 New Brunswick Inc.,"Moncton, E1G3T6",6211-Superviseurs des ventes - commerce de détail,1
Nouveau-Brunswick,   Bas salaire,695716 NB Ltd,"Oromocto, E2V2H5",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,696455 NB Inc.,"Moncton, E1A5G7",6211-Superviseurs des ventes - commerce de détail,1
Nouveau-Brunswick,   Bas salaire,698075 NB Ltd.,"Shediac, E4P2G1",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,700827 NB Inc.,"Fredericton, E3B1B2",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,701664 NB Inc,"Dieppe, E1A1P2",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,707326 NB Inc.,"Moncton, E1G1A5",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,709320 NB INC.,"SACKVILLE, E4L3N6",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,B.A.Richard Ltd,"Sainte-Anne-de-Kent, E4S1M6",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,20
Nouveau-Brunswick,   Bas salaire,Baie Ste Anne Seafoods (2014) Inc.,"Escuminac, E9A1V6",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,80
Nouveau-Brunswick,   Bas salaire,BOLERO Shellfish Processing Inc.,"St.-Simon, E8P2B2",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,42
Nouveau-Brunswick,   Bas salaire,Botsford Fisheries Ltd.,"Petit-Cap, E4N2J8",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,28
Nouveau-Brunswick,   Bas salaire,Bouctouche Bay Inn Inc.,"Lincoln, E3B9J1",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,C & P Bakery Ltd,"St. Stephen, E3L2C7",6311-Superviseurs des services alimentaires,2
Nouveau-Brunswick,   Bas salaire,Cape Bald Packers Ltd,"Cap-Pelé, E4N1E3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,219
Nouveau-Brunswick,   Bas salaire,Captain Dan's Inc.,"Richibouctou-Village, E4W1C9",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,60
Nouveau-Brunswick,   Bas salaire,CARPE DIEM FOOD INC.,"MONCTON, E1E4H8",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Cecile Enterprise Ltee,"Cap Pele, E4N1C2",6322-Cuisiniers,3
Nouveau-Brunswick,   Bas salaire,Despres Fisheries Ltd.,"Petit-Cap, E4N2G6",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,4
Nouveau-Brunswick,   Bas salaire,Edmond Gagnon Ltd,"Grand-Barachois, E4P8A4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,100
Nouveau-Brunswick,   Bas salaire,Fenety Convenience Store Ltd,"Waasis, E3B9E1",6322-Cuisiniers,3
Nouveau-Brunswick,   Bas salaire,Gaston's Catering (2008) Inc.,"Moncton, E1E4C6",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,HAMONI RESTAURANT INC.,"SACKVILLE, E4L3N5",6322-Cuisiniers,2
Nouveau-Brunswick,   Bas salaire,Leslie Leger & Sons Ltd,"Cap Pele, E4N3B3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,70
Nouveau-Brunswick,   Bas salaire,Mariarch Trading Inc.,"Saint John, E2J2G5",6211-Superviseurs des ventes - commerce de détail,1
Nouveau-Brunswick,   Bas salaire,MDB Holdings Ltd.,"Richibucto, E4W4C9",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,Pêcheries Lebreton &Fils Ltee,"Grande-Anse, E8N1G4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,24
Nouveau-Brunswick,   Bas salaire,Pêcheries Shippagan Fisheries Inc,"Shippagan, E8S3E1",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,6
Nouveau-Brunswick,   Bas salaire,Philip Ouellette & Son Ltd,"Petit Cap, E4N2E9",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,19
Nouveau-Brunswick,   Bas salaire,Poissonnerie Arseneau Ltée,"Nigadoo, E8K3S8",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,10
Nouveau-Brunswick,   Bas salaire,R&L CONVENIENCE INC.,"ROTHESAY, E2E5X4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Raymond O'Neill & Son Fisheries Ltd,"Escuminac, E9A1V6",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,20
Nouveau-Brunswick,   Bas salaire,Robin&Grace Retail Ltd.,"Scoudouc, E4P3S1",6211-Superviseurs des ventes - commerce de détail,1
Nouveau-Brunswick,   Bas salaire,South Shore Trading Co. Ltd.,"Port Elgin, E4M3Y9",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,2
Nouveau-Brunswick,   Bas salaire,Suncoast Seafood Inc,"Grande-Digue, E4R4H7",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,120
Nouveau-Brunswick,   Bas salaire,THAI UNION CANADA INC,"TRACADIE-SHEILA, E1X1G4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,32
Nouveau-Brunswick,   Bas salaire,Westmorland Fisheries Ltd,"Cap-Pele, E4N1V3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,211
Nouveau-Brunswick,  Agriculture primaire,Cavendish Farms Corporation,"Dieppe, E1A6X4",8431-Ouvriers agricoles,22
Nouveau-Brunswick,  Agriculture primaire,"J.D. Irving, Limited - Woodlands Division","Saint John, E2L4Z2",8432-Ouvriers de pépinières et de serres,6
Nouveau-Brunswick,  Agriculture primaire,La Ferme Michaud Ltée / Michaud Farm Ltd.,"Baie de Bouctouche, E4S4N9",8431-Ouvriers agricoles,8
Nouveau-Brunswick,  Agriculture primaire,Les Petits Fruits de Pré-d'en-Haut Inc.,"Memramcook, E4K1K8",8431-Ouvriers agricoles,40
Nouveau-Brunswick,  Agriculture primaire,M&S Wild Blueberry Farms Ltd.,"Kouchibouguac, E4X1L7",8431-Ouvriers agricoles,10
Nouveau-Brunswick,  Agriculture primaire,Marlene Moffett Ltd,"Penobsquis, E4G2Z4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Nouveau-Brunswick,  Agriculture primaire,Mountain View Packers Ltd,"Florenceville, E7L1Y9",8431-Ouvriers agricoles,8
Nouveau-Brunswick,  Agriculture primaire,Orchard Shade Farms Ltd.,"NORTHAMPTON, E7N1E2",8431-Ouvriers agricoles,8
Nouveau-Brunswick,  Agriculture primaire,Shadowave Holsteins Inc,"Second North River, E4J2V9",8431-Ouvriers agricoles,10
