Province/Territoire,"Volet du programme",Employeur,Adresse,Profession,"Postes demandes"
Québec,"     Haut salaire","Recrutement GK Inc.","Saint-Laurent, QC H4M 2X6","1223-Agents des ressources humaines et de recrutement",1
Québec,"   Bas salaire","9099-5507 QUEBEC INC.","MONTREAL, QC H2V 1T6","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",1
Québec,"   Bas salaire","9319-4942 Québec Inc. (EMH)","Sainte-Brigitte-de-Laval, QC G0A 3K0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
Québec,"   Bas salaire","9319-4942 Québec Inc. (EMH)","Sainte-Brigitte-de-Laval, QC G0A 3K0","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",3
Québec,"   Bas salaire","Les Entreprises MRA Paysagistes inc.","Quebec, QC G1N 3Y6","7511-Conducteurs de camions de transport",5
Québec,"   Bas salaire","Magasins Trévi Inc.","Mirabel, QC J7J 0C4","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",15
Québec,"  Agriculture primaire","6745369 Canada Inc.","Stoke, QC J0B 3G0","8431-Ouvriers agricoles",1
Québec,"  Agriculture primaire","9242007 Canada inc - Gazons J","Drummondville, QC J2B 6V2","8432-Ouvriers de pépinières et de serres",3
Québec,"  Agriculture primaire","Les Entreprises Robert Charette Inc.","Saint-Gabriel-de-Brandon, QC J0K 2N0","8431-Ouvriers agricoles",42
Ontario,"     Haut salaire","002555592 Ontario Inc.","Brampton, ON L6V 2A3","1311-Techniciens en comptabilité et teneurs de livres",1
Ontario,"     Haut salaire","10787671 Canada Association","Ottawa, ON K1K 1N1","4032-Enseignants aux niveaux primaire et préscolaire",1
Ontario,"     Haut salaire","11550845 Canada Inc","richmond hill, ON L4E 4V8","2171-Analystes et consultants en informatique",1
Ontario,"     Haut salaire","11634640 CANADA LTD","Mississauga, ON L4Z 1H8","0212-Directeurs des services d'architecture et de sciences",1
Ontario,"     Haut salaire","11693425 Canada Inc.","London, ON N6E 2W4","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","11694669 Canada Inc.","Mississauga, ON L5A 2G6","0512-Directeurs - édition, cinéma, radiotélédiffusion et arts de la scène",1
Ontario,"     Haut salaire","11874144 Canada Limited","Markham, ON L3R  6G","2171-Analystes et consultants en informatique",1
Ontario,"     Haut salaire","11901800 Canada Ltd.","Mississauga, ON L5B 3Y2","7301-Entrepreneurs et contremaîtres en mécanique",1
Ontario,"     Haut salaire","11922564 Canada Corp","Mississauga, ON L5B 0E1","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,"     Haut salaire","11949764 Canada Limited","Brampton, ON L6X 0X2","4033-Conseillers en information scolaire",1
Ontario,"     Haut salaire","1214174 Ont Inc.","Etobicoke, ON M9W 5S3","1221-Agents d'administration",1
Ontario,"     Haut salaire","12407167 Canada Inc.","Ottawa, ON K2H 8R2","0125-Directeurs d'autres services aux entreprises",1
Ontario,"     Haut salaire","12587033 Canada Inc.","North York, ON M2R 0A7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,"     Haut salaire","1441998 Ontario Inc.","WOODBRIDGE, ON L4H 2G4","1223-Agents des ressources humaines et de recrutement",1
Ontario,"     Haut salaire","1654187 ONTARIO INC.","TRENTON, ON K8V 5P6","1431-Commis à la comptabilité et personnel assimilé",1
Ontario,"     Haut salaire","1836503 Ontario Inc.","Etobicoke, ON M9W  6V","0111-Directeurs financiers",1
Ontario,"     Haut salaire","1951582 Ontario Ltd.","Burlington, ON L7R 2G6","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Ontario,"     Haut salaire","1998308 Ontario Inc","Windsor, ON N9G 2W9","0422-Directeurs d'école et administrateurs de programmes d'enseignement aux niveaux primaire et secondaire",1
Ontario,"     Haut salaire","2029147 ONTARIO INC.","AYR, ON N0B 1E0","7511-Conducteurs de camions de transport",1
Ontario,"     Haut salaire","2196898 Ontario Ltd.","Brampton, ON L6S 6G2","0114-Directeurs d'autres services administratifs",1
Ontario,"     Haut salaire","2256876 Ontario Inc.","Mississauga, ON L4W 1R1","6211-Superviseurs des ventes - commerce de détail",1
Ontario,"     Haut salaire","2350936 Ontario Inc","Mississauga, ON L4W 2T2","7511-Conducteurs de camions de transport",1
Ontario,"     Haut salaire","2472738 Ontario Inc.","Brampton, ON L4W 4K1","0731-Directeurs des transports",1
Ontario,"     Haut salaire","2507169 Ontario Inc","Brampton, ON L6T 5A2","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,"     Haut salaire","2530502 Ontario Inc.","Ancaster, ON L9G 0E8","6311-Superviseurs des services alimentaires",1
Ontario,"     Haut salaire","2537217 Ontario Inc. Advanced Concrete Forming","Oakville, ON L6J 7A6","7282-Finisseurs de béton",1
Ontario,"     Haut salaire","2546662 ONTARIO INC.","Kitchener, ON N2C 0B5","2175-Concepteurs et développeurs Web",1
Ontario,"     Haut salaire","2563669 ONTARIO INC.","Vaughan, ON L4K 4A4","6211-Superviseurs des ventes - commerce de détail",1
Ontario,"     Haut salaire","2647913 ONTARIO INC.","BRAMPTON, ON L6W 0C2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Ontario,"     Haut salaire","2705517 ONTARIO INC","Brampton, ON L6W 3J5","1221-Agents d'administration",1
Ontario,"     Haut salaire","2713917 Ontario INC","toronto, ON M2J 4Z2","0714-Directeurs de l'exploitation et de l'entretien d'immeubles",1
Ontario,"     Haut salaire","2717753 Ontario Inc.","Oshawa, ON L1H 6N4","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","2728574 Ontario Inc O/A Mendoza Landscaping Inc","Bala, ON P0C  1A","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
Ontario,"     Haut salaire","2735795 Ontario Inc. o/a Nab Driving School","Markham, ON L3S  0B","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Ontario,"     Haut salaire","2738840 Ontario Inc","Amherstview, ON K7N 1G2","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","2743377 Ontario Inc.","North York, ON M3A 2R4","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","2748696 Ontario Inc. o/a Jenco Canada LED","Barrie, ON L4N 5R8","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","2750089 Ontario Ltd.","MISSISSAUGA, ON L5N 6B8","1241-Adjoints administratifs",1
Ontario,"     Haut salaire","2787728 Ontario Inc","Mississauga, ON L5M 8E1","0631-Directeurs de la restauration et des services alimentaires",1
Ontario,"     Haut salaire","2796007 ONTARIO INC","BRAMPTON, ON L7A 0S9",6322-Cuisiniers,2
Ontario,"     Haut salaire","9137009 Canada Inc.","Thornhill, ON L4J 8T4","1311-Techniciens en comptabilité et teneurs de livres",1
Ontario,"     Haut salaire","A1 Roofing and Renovation Inc.","Bolton, ON L7E 0W4","7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation",1
Ontario,"     Haut salaire","Advance Solution Corp.","Burlington, ON L7M 2Z9","0712-Gestionnaires et rénovateurs en construction domiciliaire",1
Ontario,"     Haut salaire","Advanced Intelligent Modeling Solutions Inc.","Etobicoke, ON M9W 6N5","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,"     Haut salaire","Age D'or Pharma Ltd.","Brampton, ON L6X 0X2","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","Alliance Floor Finishing Ltd.","Bolton, ON L7E 4E3","7282-Finisseurs de béton",1
Ontario,"     Haut salaire","Amal Holding Inc.","Mississauga, ON L5C 3A6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Ontario,"     Haut salaire","AMDF Information Technology Services Ltd.","Mississauga, ON L5B 3C3","0213-Gestionnaires des systèmes informatiques",1
Ontario,"     Haut salaire","Animal Advertising Canada Limited","Toronto, ON M8X 2X9","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,"     Haut salaire","ashcon international inc","MISSISSAUGA, ON L5L 5R8","2233-Technologues et techniciens en génie industriel et en génie de fabrication",1
Ontario,"     Haut salaire","Atelier Neon Family Inc","Toronto, ON M4Y 1B3","2252-Designers industriels",1
Ontario,"     Haut salaire","Augustone Education Ltd","Toronto, ON M5T  0B","0114-Directeurs d'autres services administratifs",1
Ontario,"     Haut salaire","Axsource Infotech Inc.","Oakville, ON L6H 7G3","0213-Gestionnaires des systèmes informatiques",1
Ontario,"     Haut salaire","Ayesha Roti Place Inc","Brampton, ON L7A 2Y2","0631-Directeurs de la restauration et des services alimentaires",1
Ontario,"     Haut salaire","Berber Transport Inc.","SCARBOROUGH, ON M1S 1V2","7511-Conducteurs de camions de transport",3
Ontario,"     Haut salaire","Blueprint Accounting, Inc.","Ottawa, ON K4A 3C5","1311-Techniciens en comptabilité et teneurs de livres",2
Ontario,"     Haut salaire","BNC Electric Inc.","Mississauga, ON L5W 1Y9","7202-Entrepreneurs et contremaîtres en électricité et en télécommunications",1
Ontario,"     Haut salaire","Brial Mechanical Inc","Toronto, ON M6B 1V1","0111-Directeurs financiers",1
Ontario,"     Haut salaire","Busy Bees Nursery School Inc.","Brampton, ON L6W 3G6","1311-Techniciens en comptabilité et teneurs de livres",1
Ontario,"     Haut salaire","CALYMER INC.","North York, ON M2N 3Z7","0911-Directeurs de la fabrication",1
Ontario,"     Haut salaire","CAN INSURE INC.","MISSISSAUGA, ON L4W 1E4","0125-Directeurs d'autres services aux entreprises",1
Ontario,"     Haut salaire","Canada Candy Company INC.","Cobourg, ON K9A 4S3","0911-Directeurs de la fabrication",1
Ontario,"     Haut salaire","Canada Crown Inc.","Mississauga, ON L7A 4H5","0631-Directeurs de la restauration et des services alimentaires",1
Ontario,"     Haut salaire","Caribex Seafoods Ltd.","North York, ON M3C 3R6","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,"     Haut salaire","CHARLIE'S MEAT & seafood ltd.","toronto, ON M1M 3T9","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,"     Haut salaire","CNB Computers Inc.","Mississauga, ON L4V 1K1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,"     Haut salaire","Dabbagh Trading Limited","Burlington, ON L7L 7K7","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","Daymak Inc.","Toronto, ON M3N 1V9","6221-Spécialistes des ventes techniques - commerce de gros",1
Ontario,"     Haut salaire","Designed Precision Castings Inc.","Brampton, ON L6W 1X9","2261-Vérificateurs et essayeurs des essais non destructifs",1
Ontario,"     Haut salaire","DR. S. SINGH VETERINARY PROFESSIONAL CORPORATION","Port Colborne, ON L3K 3G4","2281-Techniciens de réseau informatique",1
Ontario,"     Haut salaire","Empire Paving Limited","Toronto, ON M9L 2Z5","7282-Finisseurs de béton",2
Ontario,"     Haut salaire","Factory Surplus Direct Inc.","St. Catharines, ON L2M 5V6","2243-Techniciens et mécaniciens d'instruments industriels",1
Ontario,"     Haut salaire","Falino Trading Ltd","Ottawa, ON K2L 1T9","0711-Directeurs de la construction",1
Ontario,"     Haut salaire","Farah Khan Tutoring Ltd.","Markham, ON L3R 2Z5","0421-Administrateurs - enseignement postsecondaire et formation professionnelle",1
Ontario,"     Haut salaire","Foss National Leasing Ltd.","Markham, ON L3T 7W4","1225-Agents aux achats",1
Ontario,"     Haut salaire","G9SIGMA INC.","Toronto, ON M5B 2L7","2174-Programmeurs et développeurs en médias interactifs",1
Ontario,"     Haut salaire","Geosource Energy Inc.","Caledonia, ON N3W 2G9","7372-Foreurs et dynamiteurs de mines à ciel ouvert, de carrières et de chantiers de construction",1
Ontario,"     Haut salaire","GeoSpoc Solutions Inc","Vaughan, ON L4K 0G7","0213-Gestionnaires des systèmes informatiques",1
Ontario,"     Haut salaire","Harmony Hotels Inc.","Toronto, ON M6J 1E4","0632-Directeurs des services d'hébergement",1
Ontario,"     Haut salaire","Herba Safe Canada Inc","Mississauga, ON L4W 4K1","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","HIGHLAND ROOFING (ONTARIO) LTD.","CALEDON, ON L7K 0A1","7291-Couvreurs et poseurs de bardeaux",2
Ontario,"     Haut salaire","I-Gift Inc.","London, ON L4B 3H6","2171-Analystes et consultants en informatique",1
Ontario,"     Haut salaire","Industrial Plastics Fabricators Ltd","Brampton, ON L6W 1K5","9535-Assembleurs, finisseurs et contrôleurs de produits en plastique",1
Ontario,"     Haut salaire","K C Flooring Consulting Ltd.","WINDSOR, ON N8X 3X2","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,"     Haut salaire","Kallem IT Solutions Inc.","Vaughan, ON L4L 7E8","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,"     Haut salaire","KSB SHIPPING & LOGISTICS INC","BRAMPTON, ON L6Z 2R5","0731-Directeurs des transports",1
Ontario,"     Haut salaire","Kuldeep and Sidak Jewellers Ltd.","Mississauga, ON L5T 0B3","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","LAKETEMPS INC","London, ON N6H 0B1","2241-Technologues et techniciens en génie électronique et électrique",1
Ontario,"     Haut salaire","Layer 8 Solutions Inc.","Brockville, ON K6V 1B2","2282-Agents de soutien aux utilisateurs",1
Ontario,"     Haut salaire","MASSIVE RESTAURANTS INC","BRAMPTON, ON L6X 5M9","0631-Directeurs de la restauration et des services alimentaires",1
Ontario,"     Haut salaire","Matharu Inc.","Brampton, ON L6W 3J5","1311-Techniciens en comptabilité et teneurs de livres",1
Ontario,"     Haut salaire","Metalodon Production Inc","Toronto, ON M2N 5R6","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,"     Haut salaire","MICRO-STAR CANADA LTD.","Markham, ON L3R 3L4","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","Millenium Trading Inc.","Mississauga, ON L5J 2W2","0911-Directeurs de la fabrication",1
Ontario,"     Haut salaire","MTM Automation & Aerospace MFG. Inc.","Guelph, ON N1K 1E8","7231-Machinistes et vérificateurs d'usinage et d'outillage",1
Ontario,"     Haut salaire","Nasr Hospitality Services Inc","Brampton, ON L6P 2J4","0125-Directeurs d'autres services aux entreprises",1
Ontario,"     Haut salaire","NEW LOOK FRAMING LTD.","KING CITY, ON L7B 0E4","7204-Entrepreneurs et contremaîtres en charpenterie",1
Ontario,"     Haut salaire","Next Power Inc","Toronto, ON M2J 4G9","0912-Directeurs des services d'utilité publique",1
Ontario,"     Haut salaire","NIC Systems Inc.","Concord, ON L4K 3P9","2174-Programmeurs et développeurs en médias interactifs",1
Ontario,"     Haut salaire","NIRVANA BUILDERS INC.","BRAMPTON, ON L7A 0S9","0711-Directeurs de la construction",1
Ontario,"     Haut salaire","ONYXA CANADA INC.","Toronto, ON M2J 1H1","1211-Superviseurs de commis de bureau et du personnel de soutien administratif",1
Ontario,"     Haut salaire","Partridge Fine Landscapes LTD","MISSISSAUGA, ON L5N 8G6","8612-Manoeuvres en aménagement paysager et en entretien des terrains",1
Ontario,"     Haut salaire","QuadFi Inc","Toronto, ON M5E 1J8","4162-Économistes, recherchistes et analystes des politiques économiques",1
Ontario,"     Haut salaire","RA Discount Inc","Etobicoke, ON M9W 3A1",7333-Électromécaniciens,1
Ontario,"     Haut salaire","Ranakan Inc","Toronto, ON M6R 1Y9","2174-Programmeurs et développeurs en médias interactifs",1
Ontario,"     Haut salaire","Rosedale Marble and Granite LTD","toronto, ON M6E 3A5",7283-Carreleurs,4
Ontario,"     Haut salaire","ROYAL CITY PAINT & WALLPAPER INC","GUELPH, ON N1K 1A9","6221-Spécialistes des ventes techniques - commerce de gros",1
Ontario,"     Haut salaire","Sai Nikhil Business Management Inc.","Hamilton, ON L8P 4S0","1122-Professionnels des services-conseils en gestion aux entreprises",1
Ontario,"     Haut salaire","SAPPHIRE TOURISM & ENTERTAINMENT LTD.","NEWCASTLE, ON L1B 0B5","0632-Directeurs des services d'hébergement",1
Ontario,"     Haut salaire","SD Decking Inc.","Vaughan, ON L4K 3X2",7271-Charpentiers-menuisiers,2
Ontario,"     Haut salaire","Shibl Electronic & Computer Inc.","Mississauga, ON L5N 8N6","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","SJC Enterprises Inc","Etobicoke, ON M8Z 5T3",7251-Plombiers,2
Ontario,"     Haut salaire","Social Research and Demonstration Corporation","Ottawa, ON K1N  5M","4164-Recherchistes, experts-conseils et agents de programmes en politiques sociales",1
Ontario,"     Haut salaire","SOFT CITIZEN, INC","TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
Ontario,"     Haut salaire","SPEEDY CAR RENTAL INC.","MISSISSAUGA, ON L5L 3Z6","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","SRISAI TUTORIAL SERVICES LTD.","Mississauga, ON L5N 8L6","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,"     Haut salaire","Stallion Interiors Inc.","Brampton, ON L6V 1Y9","0911-Directeurs de la fabrication",1
Ontario,"     Haut salaire","Study Land Rus Canada Corporation","Etobicoke, ON M9W 6V6","0621-Directeurs - commerce de détail et de gros",1
Ontario,"     Haut salaire","Suneeva Ltd.","TORONTO, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
Ontario,"     Haut salaire","Superior Concrete Forming Inc.","Ancaster, ON L9G 3A6","7282-Finisseurs de béton",4
Ontario,"     Haut salaire","TACC Construction Ltd","Woodbridge, ON L4L 8A8","7312-Mécaniciens d'équipement lourd",1
Ontario,"     Haut salaire","Tekky Talks Inc","Ottawa, ON K1J 9L3","2173-Ingénieurs et concepteurs en logiciel",1
Ontario,"     Haut salaire","Tempo Plastics Limited","Innisfil, ON L9S 3V9","2141-Ingénieurs d'industrie et de fabrication",1
Ontario,"     Haut salaire","The Automation People Inc.","Waterloo, ON N2L 0C7","0213-Gestionnaires des systèmes informatiques",1
Ontario,"     Haut salaire","The Dessert Indulgence Limited","Amherstview, ON K7N 1A2","0114-Directeurs d'autres services administratifs",1
Ontario,"     Haut salaire","Timelined Consulting Incorporated","Sudbury, ON P3B 2V6","1122-Professionnels des services-conseils en gestion aux entreprises",1
Ontario,"     Haut salaire","TLC Financial Services Inc.","Mississauga, ON L5N 3L3","0125-Directeurs d'autres services aux entreprises",1
Ontario,"     Haut salaire","Top Steel Corporation","Val Caron, ON P3N 1B3","7237-Soudeurs et opérateurs de machines à souder et à braser",1
Ontario,"     Haut salaire","Transmission Media Inc","Toronto, ON M5A 1E3","2175-Concepteurs et développeurs Web",1
Ontario,"     Haut salaire","True and Fair Inc.","Oshawa, ON L1L 0L2","0111-Directeurs financiers",1
Ontario,"     Haut salaire","TUCO Technologies Inc.","Ottawa, ON K2G 0H8","1223-Agents des ressources humaines et de recrutement",1
Ontario,"     Haut salaire","Van Horne Construction Limited","Vaughan, ON L4K 4G3","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",1
Ontario,"     Haut salaire","Vincent Investment Products Inc.","Unionville, ON L3R 1M2","1112-Analystes financiers et analystes en placements",1
Ontario,"     Haut salaire","Vision Entertainment Inc","TORONTO, ON M6A 2A4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
Ontario,"     Haut salaire","Wanderosa  Wood Products Ltd","BOLTON, ON L7E 4E6","7511-Conducteurs de camions de transport",1
Ontario,"     Haut salaire","Wisam Azreiq Inc","London, ON N6E 3R9","0213-Gestionnaires des systèmes informatiques",1
Ontario,"     Haut salaire","Zecipher Cybersecurity Inc.","Mississauga, ON L5K  2R","0213-Gestionnaires des systèmes informatiques",1
Ontario,"   Bas salaire","1177975 Ontario Ltd","Toronto, ON M9V 1B4","6311-Superviseurs des services alimentaires",1
Ontario,"   Bas salaire","1369014 ONTARIO LTD","Brampton, ON L6W 3J3","7511-Conducteurs de camions de transport",2
Ontario,"   Bas salaire","1702687 Ontario Inc. o/a Boston Pizza","Kanata, ON K2T 1G7",6322-Cuisiniers,1
Ontario,"   Bas salaire","1747628 Ontario Inc.","Chatham-Kent, ON N7L 3Z2",6322-Cuisiniers,1
Ontario,"   Bas salaire","2020604 Ontario Inc.","Cornwall, ON K6J 3A5","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Ontario,"   Bas salaire","2104314 Ontario Ltd.","Windsor, ON N9G 3C5","7511-Conducteurs de camions de transport",1
Ontario,"   Bas salaire","2112069 Ontario INC","Toronto, ON M1R 2S8",6322-Cuisiniers,5
Ontario,"   Bas salaire","2187300 ONTARIO INC","LONDON, ON N6H 0A3",6332-Boulangers-pâtissiers,1
Ontario,"   Bas salaire","2226004 Ontario Ltd.","Markham, ON L3S 0B6","1241-Adjoints administratifs",1
Ontario,"   Bas salaire","2259140 Ontario Inc","BRAMPTON, ON L6Z 0B3","6211-Superviseurs des ventes - commerce de détail",1
Ontario,"   Bas salaire","2350378Ontario Ltd.","Toronto, ON M6M 1B5","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Ontario,"   Bas salaire","2351124 Ontario Inc.","King City, ON L7B 1K4","7611-Aides de soutien des métiers et manoeuvres en construction",2
Ontario,"   Bas salaire","2446430 Ontario Inc","Niagara Falls, ON L2G 7Y6","6311-Superviseurs des services alimentaires",1
Ontario,"   Bas salaire","2455252 Ontario Inc.","Scarborough, ON M1V 1V3","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",1
Ontario,"   Bas salaire","2511483 Ontario Inc.","Stratford, ON N5A 5T8",6322-Cuisiniers,1
Ontario,"   Bas salaire","2540469 Ontario Inc.","Belleville, ON K8N 4Z2","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Ontario,"   Bas salaire","2554301 Ontario Inc.","Pickering, ON L1V 1B5","6311-Superviseurs des services alimentaires",1
Ontario,"   Bas salaire","2676169 Ontario Ltd o/a Pavao Meats & Deli #4","North York, ON M9M 2Y6","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Ontario,"   Bas salaire","2692305 ONTARIO INC.","Mississauga, ON L5K 2L8","6311-Superviseurs des services alimentaires",1
Ontario,"   Bas salaire","2721856 Ontario Inc.","Cambridge, ON N3C 1K2","6211-Superviseurs des ventes - commerce de détail",1
Ontario,"   Bas salaire","2746020 Ontario LTD.","Kitchener, ON N2R 0H3",6322-Cuisiniers,2
Ontario,"   Bas salaire","577841 Ontario Limited","Toronto, ON M9B 1A8",6322-Cuisiniers,1
Ontario,"   Bas salaire","666448 ONTARIO LIMITED","toronto, ON M8Z 2H1","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",4
Ontario,"   Bas salaire","A & F Kistemaker Limited","Hornepayne, ON P0M 1Z0","7511-Conducteurs de camions de transport",1
Ontario,"   Bas salaire","A HILLIER VINEYARD INC.","Hillier, ON K0K 2J0","1123-Professionnels en publicité, en marketing et en relations publiques",1
Ontario,"   Bas salaire","ACE Daycare","Thornhill, ON L6A 1S2","4214-Éducateurs et aides-éducateurs de la petite enfance",1
Ontario,"   Bas salaire","Ahora Restaurant Mexicain Inc","Ottawa, ON K1N 7E8",6322-Cuisiniers,1
Ontario,"   Bas salaire","B & M HYDRAULICS INC","Concord, ON L4K 1K8","7445-Autres réparateurs et préposés à l'entretien",1
Ontario,"   Bas salaire","Borden Metal Products (Canada) Ltd.","Beeton, ON L0G 1A0","7237-Soudeurs et opérateurs de machines à souder et à braser",1
Ontario,"   Bas salaire","Canamex-Carbra Transportation Services Inc.","Mississauga, ON L4T 1G8","7511-Conducteurs de camions de transport",1
Ontario,"   Bas salaire","Central Painting Inc.","Barrie, ON L4N 9A5","7294-Peintres et décorateurs (sauf décorateurs d'intérieur)",16
Ontario,"   Bas salaire","Chef's Depot Canada Ltd","Scarborough, ON M1B 1T1",6332-Boulangers-pâtissiers,1
Ontario,"   Bas salaire","CY 5050 Creekbank Rd LTD","Mississauga, ON L4W 5R2",6322-Cuisiniers,2
Ontario,"   Bas salaire","D & Y Sushi Inc","TORONTO, ON M6P 1Y9",6321-Chefs,1
Ontario,"   Bas salaire","DEH INC.","Pickering, ON L1V 3M4","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",5
