Province/Territory,"Program Stream","Employer ",Address,Occupation,"Approved Positions"
"Nova Scotia","    High Wage","3289828 NS LTD","SACKVILLE, NS B4C 2N1","7322-Motor vehicle body repairers",1
"Nova Scotia","    High Wage","3334291 NOVA SCOTIA LIMITED","Halifax, NS B3J 1G9","0631-Restaurant and food service managers",1
"Nova Scotia","    High Wage","AFRICA CANADA TRADE AND INVESTMENT VENTURE INC.","HALIFAX, NS B3J 3J8","0412-Government managers - economic analysis, policy development and program administration",3
"Nova Scotia","    High Wage","Anytime Freight Services Inc.","Halifax, NS B3M 0B9","7511-Transport truck drivers",2
"Nova Scotia","    High Wage","CBBC Career College Inc.","Dartmouth, NS B2Y 2N6","1221-Administrative officers",1
"Nova Scotia","    High Wage","Dalhousie University","Halifax, NS B3H 4H2","4011-University professors and lecturers",3
"Nova Scotia","    High Wage","GPC Investments Limited cob Comfort Inn Halifax","Halifax, NS B3M 2L8","0632-Accommodation service managers",1
"Nova Scotia","    High Wage","Grico Transport Inc","Bedford, NS B4B 0Y3","7511-Transport truck drivers",1
"Nova Scotia","    High Wage","Hallmark Dental Laboratory Ltd.","Halifax, NS B3S 0G4","3223-Dental technologists, technicians and laboratory assistants",1
"Nova Scotia","    High Wage","Horizon Maritime Services Ltd.","Halifax, NS B3J 1V1","2241-Electrical and electronics engineering technologists and technicians",2
"Nova Scotia","    High Wage","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",1
"Nova Scotia","    High Wage","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0113-Purchasing managers",1
"Nova Scotia","    High Wage","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0211-Engineering managers",2
"Nova Scotia","    High Wage","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0711-Construction managers",1
"Nova Scotia","    High Wage","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0911-Manufacturing managers",1
"Nova Scotia","    High Wage","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","2173-Software engineers and designers",1
"Nova Scotia","    High Wage","LB3 Live Better Ltd.","Halifax, NS B3J 3E5","0712-Home building and renovation managers",1
"Nova Scotia","    High Wage","MacDonell’s Small Jobs Ltd","Georgefield, NS B0N 2L0",7271-Carpenters,6
"Nova Scotia","    High Wage","Seaboard Liquid Carriers ltd","Dartmouth, NS B3B 0H4","7511-Transport truck drivers",1
"Nova Scotia","   Low Wage","3293656 Nova Scotia Limited","Halifax, NS B3L 1A5","6311-Food service supervisors",1
"Nova Scotia","   Low Wage","3313382 NOVA SCOTIA LTD.","Bridgewater, NS B4V 2V6",6322-Cooks,1
"Nova Scotia","   Low Wage","3343074 NOVA SCOTIA LIMITED","CHESTER, NS B0J 1J0",6322-Cooks,1
"Nova Scotia","   Low Wage","Adcor Marketing Limited","yarmouth, NS B5A 2T6","6311-Food service supervisors",6
"Nova Scotia","   Low Wage","Apple Valley Foods Inc","Kentville, NS B4N 3V7","9617-Labourers in food, beverage and associated products processing",24
"Nova Scotia","   Low Wage","Care and Fun Childcare limited","Halifax, NS B3M 3V3","4214-Early childhood educators and assistants",1
"Nova Scotia","   Low Wage","Dexter Construction Company Ltd.","Bedford, NS B4A 3Z2","7611-Construction trades helpers and labourers",5
"Nova Scotia","   Low Wage","East Coast Wild Blueberry Limited","Great Village, NS B0M 1L0","9619-Other labourers in processing, manufacturing and utilities",8
"Nova Scotia","   Low Wage","Evan's Fresh Seafoods Ltd","Lower West Pubnico, NS B0W 2C0","7611-Construction trades helpers and labourers",4
"Nova Scotia","   Low Wage","Frank and Gino's Grill and Pasta House","Truro, NS B2N 1L3",6322-Cooks,2
"Nova Scotia","   Low Wage","Granville Gates and Sons Ltd","Blandford, NS B0J 1C0","9618-Labourers in fish and seafood processing",5
"Nova Scotia","   Low Wage","Halifax Tower Hotel Ltd.","Halifax, NS B3S 1A2",6322-Cooks,1
"Nova Scotia","   Low Wage","L.J. Robicheau & Son Fisheries Limited","Middleton, NS B0S 1P0","9463-Fish and seafood plant workers",33
"Nova Scotia","   Low Wage","Louisbourg Seafoods Limited","Louisbourg, NS B1C 1B5","9463-Fish and seafood plant workers",5
"Nova Scotia","   Low Wage","Melvin tan sushi company","Antigonish, NS B2G 2V2","6311-Food service supervisors",1
"Nova Scotia","   Low Wage","Naru Japanese Restaurant (NS) Ltd.","Sydney, NS B1P 1G8",6322-Cooks,1
"Nova Scotia","   Low Wage","Ocean Pride Fisheries Ltd.","Lower Wedgeport, NS B0W 2B0","9618-Labourers in fish and seafood processing",22
"Nova Scotia","   Low Wage","Oxalis Restaurant Ltd.","Dartmouth, NS B2Y 2S6",6321-Chefs,1
"Nova Scotia","   Low Wage","Pine House Holdings Ltd.","Halifax, NS B3J 3M7",6322-Cooks,1
"Nova Scotia","   Low Wage","Schooner Seafoods Limited","Lower Wedgeport, NS B0W 3P0","9618-Labourers in fish and seafood processing",8
"Nova Scotia","   Low Wage","Shree Ganesh Ltd","Bridgewater, NS B4V 2S7",6322-Cooks,1
"Nova Scotia","   Low Wage","Turkuaz Restaurant Limited","Halifax, NS B4A 0J1",6322-Cooks,1
"Nova Scotia","  Primary Agriculture","Atlantic Poultry Inc.","Port Williams, NS B0P 1T0","8431-General farm workers",6
"Nova Scotia","  Primary Agriculture","Atlantic Poultry Incorporated","Port Williams, NS B0P 1T0","8431-General farm workers",12
"Nova Scotia","  Primary Agriculture","Beech Hill Farm Ltd","Princeport, NS B6L 1R2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
"Nova Scotia","  Primary Agriculture","Black Avon Farms Ltd","Antigonish, NS B0H 1R0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
"Nova Scotia","  Primary Agriculture","CAP Farms Inc","Grafton, NS B0P 1V0","8431-General farm workers",1
"Nova Scotia","  Primary Agriculture","Craig Nichols Farms Limited","Aylesford, NS B0P 1C0","8431-General farm workers",6
"Nova Scotia","  Primary Agriculture","DeLong Farm Products Limited","New Germany, NS B0R 1E0","8432-Nursery and greenhouse workers",10
"Nova Scotia","  Primary Agriculture","Elmridge Farm Ltd","RR2 Centreville, NS B0P 1J0","8431-General farm workers",3
"Nova Scotia","  Primary Agriculture","Evangeline Orchards Limited","Port Williams, NS B0P 1T0","8431-General farm workers",2
"Nova Scotia","  Primary Agriculture","Fuller Brothers Farms Inc.","Avonport, NS B0P 1B0","8431-General farm workers",12
"Nova Scotia","  Primary Agriculture","G.A.R. Tree Farms Ltd","Barss Corner, NS B0R 1A0","8432-Nursery and greenhouse workers",30
"Nova Scotia","  Primary Agriculture","Hilly Acres Farm Ltd.","Millville, NS B1Y 2E1","8431-General farm workers",2
"Nova Scotia","  Primary Agriculture","Kilany Farms Ltd.","Port Williams, NS B0P 1T0","8431-General farm workers",4
"Nova Scotia","  Primary Agriculture","LUTZ FAMILY FARM LTD","Berwick, NS B0P 1E0","8431-General farm workers",6
"Nova Scotia","  Primary Agriculture","McConnell-Gordon Estates Ltd.","Wolfville, NS B4P 2R1","8431-General farm workers",5
"Nova Scotia","  Primary Agriculture","Perfect Berries Ltd.","Berwick, NS B0P 1E0","8431-General farm workers",3
"Nova Scotia","  Primary Agriculture","Power Farms Inc.","Canning, NS B0P 1H0","8431-General farm workers",14
"Nova Scotia","  Primary Agriculture","Reimer Gardens Inc.","Waterville, NS B0P 1V0","8431-General farm workers",3
"Nova Scotia","  Primary Agriculture","Sanhaven Farms Ltd","Antigonish, NS B2G 2K9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
"Nova Scotia","  Primary Agriculture","Sarsfield Farms Incorporated","Kentville, NS B4N 3V7","8431-General farm workers",12
"Nova Scotia","  Primary Agriculture","Spurr Brothers Farms Ltd","Melvern Square, NS B0P 1R0","8431-General farm workers",12
"Nova Scotia","  Primary Agriculture","T.K. Palmer & Sons Contracting Inc.","Kentville, NS B0P 1C0","8431-General farm workers",3
"Nova Scotia","  Primary Agriculture","Traditional Evergreen Tree Farms Ltd.","Wileville, NS B4V 5J3","8432-Nursery and greenhouse workers",3
"Nova Scotia","  Primary Agriculture","Van Meekeren Farms Ltd.","Lakeville, NS B4N 3V7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
"Nova Scotia","  Primary Agriculture","Van Meekeren Farms Ltd.","Lakeville, NS B4N 3V7","8611-Harvesting labourers",2
"Nova Scotia","  Primary Agriculture","Vermeuland Farms Ltd.","Milford Station, NS B0N 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
"Nova Scotia","  Primary Agriculture","Walsh Farms Inc.","Rockland, NS B0P 1E0","8611-Harvesting labourers",7
"Nova Scotia","  Primary Agriculture","Webster Farms Limited","Cambridge, NS B0P 1G0","8611-Harvesting labourers",6
"Nova Scotia"," Global Talent Stream","3343114 Nova Scotia Limited","Yarmouth, NS B5A 1E9","2173-Software engineers and designers",2
"Nova Scotia"," Global Talent Stream","Axis Specialty Canada Services ULC","Halifax, NS B3J 0E8","2283-Information systems testing technicians",1
"Nova Scotia"," Global Talent Stream","Eden Valley Poultry Inc","Berwick, NS B0P 1E0","0013-Senior managers - financial, communications and other business services",1
"Nova Scotia"," Global Talent Stream","Jonas Software Solutions Inc.","Halifax, NS B3J  1X","2173-Software engineers and designers",1
"Nova Scotia"," Global Talent Stream","Proposify Inc.","Halifax, NS B3J 1W5","2173-Software engineers and designers",6
"Nova Scotia"," Global Talent Stream","Salient Energy Inc","Dartmouth, NS B3B 1C4","2211-Chemical technologists and technicians",1
"Nova Scotia"," Global Talent Stream","Ubisoft Entertainment Inc.","Halifax, NS B3J 3R5","5131-Producers, directors, choreographers and related occupations",1
"New Brunswick","    High Wage","3R EDUCATION CONSULTING INC.","Saint John, NB E2K 2C3","1221-Administrative officers",1
"New Brunswick","    High Wage","662524 N.B. LTD.","Aldouane, NB E4W 5J8","1241-Administrative assistants",1
"New Brunswick","    High Wage","672199 N.B. LTD.","Miramichi, NB E1N 4B8",3114-Veterinarians,2
"New Brunswick","    High Wage","Atlantic Pacific Transport Ltd","Clairville, NB E4T 2L7","7511-Transport truck drivers",8
"New Brunswick","    High Wage","AYR Motor Express Inc","Woodstock, NB E7M 4G2","7511-Transport truck drivers",10
"New Brunswick","    High Wage","C & H EUROLEVEL TRANSPORTATION INC","WOODSTOCK, NB E7M 2T5","7511-Transport truck drivers",3
"New Brunswick","    High Wage","COUNTY LINE TRUCKING LTD","WILMOT, NB E7P 2V4","7511-Transport truck drivers",5
"New Brunswick","    High Wage","DanGreen Express Inc","Fredericton, NB E3A 5R4","7511-Transport truck drivers",1
"New Brunswick","    High Wage","DJ Marine Supplies Ltee","Pointe-Sapin, NB E9A 1T4","9531-Boat assemblers and inspectors",5
"New Brunswick","    High Wage","FMI Atlantic Inc.","Woodstock, NB E7M 5G5","0631-Restaurant and food service managers",2
"New Brunswick","    High Wage","FMI Atlantic Inc.","Woodstock, NB E7M 5G5","6311-Food service supervisors",1
"New Brunswick","    High Wage","J.D. Irving, Limited - Woodlands Division","Saint John, NB E2L 4Z2","8241-Logging machinery operators",14
"New Brunswick","    High Wage","Jolly Farmer Transport, Inc.","Northampton, NB E7N 1R6","7511-Transport truck drivers",1
"New Brunswick","    High Wage","McConchie Trucking Ltd","Norton, NB E5T 1E8","7511-Transport truck drivers",3
"New Brunswick","    High Wage","Midland Transport Limited","Dieppe, NB E1A 6X4","7511-Transport truck drivers",10
"New Brunswick","    High Wage","Millfield Management Ltd.","Rothesay, NB E2E 2H3","0714-Facility operation and maintenance managers",1
"New Brunswick","    High Wage","Modular Fabrication Inc","Miramichi, NB E1N 6K6","7235-Structural metal and platework fabricators and fitters",12
"New Brunswick","    High Wage","Modular Fabrication Inc","Miramichi, NB E1N 6K6","7237-Welders and related machine operators",12
"New Brunswick","    High Wage","Moosehorn trucking Ltd.","Norton, NB E5T 1W4","7511-Transport truck drivers",2
"New Brunswick","    High Wage","POINT QUEEN FISHERIES LTD.","L'Etete, NB E5C 2R6","1225-Purchasing agents and officers",1
"New Brunswick","    High Wage","Regional Health Authority B","Moncton, NB E1C 6Z8","3111-Specialist physicians",2
"New Brunswick","    High Wage","Rossignol Transport Ltd.","Saint - Jacques, NB E7B 0B1","7511-Transport truck drivers",1
"New Brunswick","    High Wage","Stewart Transfer Ltd","PERTH-ANDOVER, NB E7H 5G3","7511-Transport truck drivers",4
"New Brunswick","    High Wage","Warren Transportation Ltd","Rexton, NB E4W 1W8","7511-Transport truck drivers",8
"New Brunswick","   Low Wage","057033 NB Inc","Shediac, NB E4P 2K9","4412-Home support workers, housekeepers and related occupations",2
"New Brunswick","   Low Wage","11656520 Canada Inc.","Pointe-Sapin, NB E9A 1V1","9463-Fish and seafood plant workers",49
"New Brunswick","   Low Wage","658711 NB LTD.","Miramichi, NB E1V 1X4","6312-Executive housekeepers",1
"New Brunswick","   Low Wage","671348 N.B. INC.","MONCTON, NB E1C 1E3",6322-Cooks,1
"New Brunswick","   Low Wage","697131 NB INC.","MONCTON, NB E1G 2H9",6322-Cooks,2
"New Brunswick","   Low Wage","711326 NB Ltd.","Moncton, NB E1C 5C4",6322-Cooks,1
"New Brunswick","   Low Wage","Adrice Cormier Ltd.","Cap-Pele, NB E4N 1J2","9463-Fish and seafood plant workers",3
"New Brunswick","   Low Wage","Allen's Enterprises Inc.","TIMBER RIVER, NB E4M 3A1","6211-Retail sales supervisors",1
"New Brunswick","   Low Wage","Amco Fisheries Ltd","Cap-Pelé, NB E4N 3B3","9463-Fish and seafood plant workers",4
"New Brunswick","   Low Wage","Baie Ste Anne Seafoods (2014) Inc.","Escuminac, NB E9A 1V6","9463-Fish and seafood plant workers",28
"New Brunswick","   Low Wage","Beacon Light Motel Limited","Moncton, NB E1C 2T1","6312-Executive housekeepers",1
"New Brunswick","   Low Wage","BOLERO Shellfish Processing Inc.","St.-Simon, NB E8P 2B2","9463-Fish and seafood plant workers",25
"New Brunswick","   Low Wage","Cap Pele Bait Inc","Cap-Pele, NB E4N 1Z7","9463-Fish and seafood plant workers",40
"New Brunswick","   Low Wage","Car-rizma Motorsports Limited","SAINT JOHN, NB E2H 1X8","7535-Other automotive mechanical installers and servicers",1
"New Brunswick","   Low Wage","Connors Bros. Division of Clover Leaf Seafoods Corp","Blacks Harbour, NB E5H 1G6","9463-Fish and seafood plant workers",16
"New Brunswick","   Low Wage","Connors Bros. Division of Clover Leaf Seafoods Corp","Blacks Harbour, NB E5H 1G6","9618-Labourers in fish and seafood processing",4
"New Brunswick","   Low Wage","DJM Nutrition Ltd.","Saint John, NB E2L 4Z6","6211-Retail sales supervisors",1
"New Brunswick","   Low Wage","Duguay Fish Packers Ltd","cap-pele, NB E4N 1K9","9618-Labourers in fish and seafood processing",8
"New Brunswick","   Low Wage","Fenety Convenience Store Ltd","Waasis, NB E3B 9E1",6322-Cooks,3
"New Brunswick","   Low Wage","KCCS Restaurants Inc.","St. Stephen, NB E3L 2C7","6311-Food service supervisors",2
"New Brunswick","   Low Wage","Leslie Leger & Sons Ltd","Cap Pele, NB E4N 3B3","9463-Fish and seafood plant workers",110
"New Brunswick","   Low Wage","M&M Cormier Fisheries Ltd.","Petit-Cap, NB E4N 2E1","9463-Fish and seafood plant workers",4
"New Brunswick","   Low Wage","Meca Holdings inc","Rothesay, NB E2S 1A6",6322-Cooks,1
"New Brunswick","   Low Wage","Murphy Foodservice Ltd","Saint John, NB E2L 1G4","6311-Food service supervisors",1
"New Brunswick","   Low Wage","Murphy Restaurants Ltd.","Saint John, NB E2L 1G4","6311-Food service supervisors",1
"New Brunswick","   Low Wage","Roem enterprises inc.","Saintjohn, NB E2L 2E5","6211-Retail sales supervisors",1
"New Brunswick","   Low Wage","SHERE PUNJAB KITCHEN (HARPREET KAUR)","FREDERICTON, NB E3B 3P5",6322-Cooks,1
"New Brunswick","   Low Wage","Signature Landscape Ltd","Moncton, NB E1A 3M2","1411-General office support workers",1
"New Brunswick","   Low Wage","SLBG QUISPAM HOLDINGS INC.","Quispamsis, NB E2E 4Y7",6322-Cooks,5
"New Brunswick","   Low Wage","Tomotachi Sushi Inc","Fredericton, NB E3B 5H5",6322-Cooks,1
"New Brunswick","   Low Wage","W. J. Allen & Sons Inc.","Aulac, NB E4L 2X2",6322-Cooks,2
"New Brunswick","  Primary Agriculture","690487NB Inc.","Prince William, NB E6K 3T3","8431-General farm workers",6
"New Brunswick","  Primary Agriculture","B. McGrath & Son's Ltd","LWR KNOXFORD, NB E7K 2R2","8431-General farm workers",3
"New Brunswick","  Primary Agriculture","Ferme Bancourt ltée","St-Quentin, NB E8A 2L3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
"New Brunswick","  Primary Agriculture","Jolly Farmer Products, Inc.","Northampton, NB E7N 1R6","8432-Nursery and greenhouse workers",10
"New Brunswick","  Primary Agriculture","La Ferme Michaud Ltée / Michaud Farm Ltd.","Baie de Bouctouche, NB E4S 4N9","8431-General farm workers",6
"New Brunswick","  Primary Agriculture","Les Fermes PL Levesque Ltee","SAINT-ANDRE, NB E3Y 2W6","8611-Harvesting labourers",2
"New Brunswick","  Primary Agriculture","M&S Wild Blueberry Farms Ltd.","Kouchibouguac, NB E4X 1L7","8431-General farm workers",19
"New Brunswick","  Primary Agriculture","Orchard Shade Farms Ltd.","NORTHAMPTON, NB E7N 1E2","8431-General farm workers",6
"New Brunswick","  Primary Agriculture","Schenkels Farms Inc","Whitney, NB E1V 4K4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
"New Brunswick","  Primary Agriculture","Shadowave Holsteins Inc","Second North River, NB E4J 2V9","8431-General farm workers",5
"New Brunswick","  Primary Agriculture","Tuddenham Farms Ltd","St. Stephen, NB E3L 2X1","8431-General farm workers",10
"New Brunswick","  Primary Agriculture","W.I.Goddard & Sons Ltd.","Petitcodiac East, NB E4Z 3L4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
"New Brunswick","  Primary Agriculture","Willie A. LeBlanc & Sons Ltd.","Memramcook, NB E4K 1L9","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
"New Brunswick"," Global Talent Stream","ARC Clean Energy Canada Inc.","Saint John, NB E2L  4V","0013-Senior managers - financial, communications and other business services",1
"New Brunswick"," Global Talent Stream","J.D. Irving, Limited","St. John, NB E2L 4Z2","2173-Software engineers and designers",1
"New Brunswick"," Global Talent Stream","Pinterest Canada Limited","Saint John, NB E2L  2A","2173-Software engineers and designers",1
Quebec,"    High Wage"," École Al Farabi","Québec, QC G1S 1P1","4214-Early childhood educators and assistants",1
Quebec,"    High Wage","10573906 Canada Inc.","Montreal, QC H4R 1B7","7305-Supervisors, motor transport and other ground transit operators",1
Quebec,"    High Wage","10727296 Canada Inc (Pâtisserie Saint-Martin)","Montréal, QC H2R 1S7","6211-Retail sales supervisors",1
Quebec,"    High Wage","10749702 Canada inc.","Laval, QC H7T 0B7","1241-Administrative assistants",1
Quebec,"    High Wage","11773437 Canada inc.","Gatineau, QC J8X 1Y8","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,"    High Wage","121352 Canada inc","Rouyn-Noranda, QC J9X 4K8","7231-Machinists and machining and tooling inspectors",3
Quebec,"    High Wage","134736 CANADA INC. (Riotel Matane)","Matane, QC G4W 2B6",6322-Cooks,1
Quebec,"    High Wage","137269 CANADA LTEE ENTREPRISES L L DESLAURIERS","Gatineau, QC J8T 0B6","2242-Electronic service technicians (household and business equipment)",1
Quebec,"    High Wage","2417-0821 Québec Inc.","Boucherville, QC J4B  2X","7312-Heavy-duty equipment mechanics",2
Quebec,"    High Wage","2543-9985 Québec Inc.","Boucherville, QC J4B 5L2",6322-Cooks,2
Quebec,"    High Wage","2629-0387 Québec INC.","Rivière-du-Loup, QC G5R 2Y5",6322-Cooks,1
Quebec,"    High Wage","2853-2554 Québec Inc. (Le Parvis)","Saint-Hyacinthe, QC J2S 2Z2",6322-Cooks,1
Quebec,"    High Wage","2951-0724 Québec inc. (Cocktail Antabli)","Montréal, QC H4N 3C5",6322-Cooks,1
Quebec,"    High Wage","2956-3632 Québec Inc.","Montréal, QC H1Z 3B7","7322-Motor vehicle body repairers",1
Quebec,"    High Wage","3165086 Canada Inc.","Saint-Léonard, QC H1P 2B3",6332-Bakers,1
Quebec,"    High Wage","3291227 Canada Inc.","Boucherville, QC J4B 5L2",6322-Cooks,4
Quebec,"    High Wage","3344541 Canada Inc.","Val d'Or, QC J9P 1V8",6322-Cooks,2
Quebec,"    High Wage","3894207 Canada Inc.","Brossard, QC J4Y 0G5",6322-Cooks,3
Quebec,"    High Wage","4114728 CANADA INC.","Montréal, QC H3B 4W8","1241-Administrative assistants",1
Quebec,"    High Wage","4327870 Canada Inc.","Boucherville, QC J4B 5L2",6322-Cooks,2
Quebec,"    High Wage","4459202 Canada Inc.","Montréal, QC H4C 2Z6","1123-Professional occupations in advertising, marketing and public relations",1
Quebec,"    High Wage","6173306 Canada Inc.","Amos, QC J9T 1H3","0631-Restaurant and food service managers",1
Quebec,"    High Wage","6173306 Canada Inc.","Amos, QC J9T 1H3","6311-Food service supervisors",8
Quebec,"    High Wage","6173306 Canada Inc.","Amos, QC J9T 1H3","7332-Appliance servicers and repairers",1
Quebec,"    High Wage","7017006 Canada Inc.","Laval, QC H7S 2N1","6221-Technical sales specialists - wholesale trade",1
Quebec,"    High Wage","7699000 Canada Inc.","Gatineau, QC J8P  5K","1241-Administrative assistants",1
Quebec,"    High Wage","8358605 CANADA INC. DBA BROONSON INTERNATIONAL","Montreal, QC H3B 0G4","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Quebec,"    High Wage","9013-6482 QUEBEC INC.","MONTREAL, QC H4B 1T6","7322-Motor vehicle body repairers",1
Quebec,"    High Wage","9014-5459 Québec Inc","Rivière-du-Loup, QC G5R 1E2","1311-Accounting technicians and bookkeepers",1
Quebec,"    High Wage","9020-5758 Québec Inc.","Granby, QC J2G 6N3",6322-Cooks,1
Quebec,"    High Wage","9023-5490 Québec Inc.","Macamic, QC J0Z 2S0",6322-Cooks,2
Quebec,"    High Wage","9030-5814 Qc inc","Trois-Rivières, QC G9A 2W6","7381-Printing press operators",4
Quebec,"    High Wage","9041-4905 Québec inc.","Opticiwan, QC G0W 3B2",6322-Cooks,1
Quebec,"    High Wage","9042-2585 Québec Inc.","Québec, QC G1M  3K","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
Quebec,"    High Wage","9042-8160 Québec Inc","Baie St-Paul, QC G3Z 2W1",6322-Cooks,1
Quebec,"    High Wage","9052-9470 Québec Inc","St-Lazare,QC, QC J7T 2B8","7231-Machinists and machining and tooling inspectors",1
Quebec,"    High Wage","9056-6696 Québec inc","Québec, QC G1P 3T6","7322-Motor vehicle body repairers",9
Quebec,"    High Wage","9075-3252 Quebec Inc","MOntreal, QC H3H 1L9",6322-Cooks,3
Quebec,"    High Wage","9095-6921 Qc Inc/Transport M.A.I","St-Germain-de-Grantham, QC J0C 1K0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",4
Quebec,"    High Wage","9098-0558 Québec inc.","Montréal, QC H2H 1V3",6322-Cooks,5
Quebec,"    High Wage","9114-3123 Qc inc","québec, QC G1K 3V8",6322-Cooks,1
Quebec,"    High Wage","9119-3144 Québec Inc.","Saint-Laurent, QC H4L 3L7",6332-Bakers,1
