Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Québec,     Haut salaire,9070-2812 QUEBEC INC,"QUÉBEC, QC G1N 2E6",0631-Directeurs de la restauration et des services alimentaires,1
Québec,     Haut salaire,9132-6470 Québec Inc.,"SALABERRY DE VALLEYFIELD, QC J6S 0A5","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,     Haut salaire,9288-1218 Qc Inc.,"MONTRÉAL, QC H2H 1V5",6321-Chefs,1
Québec,     Haut salaire,9381-9647 Québec inc.,"DORVAL, QC H9S 5Y2","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Québec,     Haut salaire,Bella Yuna Enterprises Ltd. o/a Hollywood Boutique,"MONT SAINT HILAIRE, QC J3H 0N4","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Québec,     Haut salaire,JORDAN PROPERTY INVESTMENT INC,"BOIS-DES-FILION, QC J6Z 1Z9","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Québec,     Haut salaire,Kabayan Transfert Argent Inc.,"MONTREAL, QC H3W 1J1",2171-Analystes et consultants en informatique,1
Québec,     Haut salaire,Les productions Romeo et Fils inc.,"MONTRÉAL, QC H2T 1A8","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Québec,     Haut salaire,Les Toitures Daniel Inc.,"DRUMMONDVILLE, QC J2C 7E9",7291-Couvreurs et poseurs de bardeaux,1
Québec,     Haut salaire,O'Burger/Thai Express (Mascouche),"Mascouche, QC J7K 2L5",0631-Directeurs de la restauration et des services alimentaires,1
Québec,   Bas salaire,9372-0605 Quebec Inc,"MONTRÉAL, QC H1G 1R3",7511-Conducteurs de camions de transport,1
Québec,   Bas salaire,9444955 Canada Inc.,"SAINT-JÉRÔME, QC J7Y 2H9",6322-Cuisiniers,1
Québec,   Bas salaire,Ensuite Media,"MONTRÉAL, QC H2Y 2R6","1123-Professionnels en publicité, en marketing et en relations publiques",1
Québec,   Bas salaire,Équipements Agricole du Suroît Inc.,"SAINT-POLYCARPE, QC J0P 1X0",7611-Aides de soutien des métiers et manoeuvres en construction,3
Québec,   Bas salaire,Initiatives Équestres Internationales inc.,"Mirabel, QC J7J 2P3","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
Québec,   Bas salaire,Mintz Global Screening Inc.,"Montreal, QC H3C 1R4",1415-Commis des services du personnel,2
Québec,  Agriculture primaire,6745369 Canada Inc,"Stoke, QC J0B 3G0",8431-Ouvriers agricoles,4
Québec,  Talent mondial,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Québec,  Talent mondial,9223-7932 Québec Inc.,"MONTRÉAL, QC H3Z 1T3",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,9223-7932 Québec Inc.,"WESTMOUNT, QC H3Z 1T3","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,1197475 BC Ltd.,"Markham, ON L3R 6G2","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
Ontario,     Haut salaire,1279317 ONTARIO LTD,"Toronto, ON M6B 1P8",5242-Designers d'intérieur et décorateurs d'intérieur,1
Ontario,     Haut salaire,1365089 Ontario Inc.,"Mississauga, ON L4T 4J3",1221-Agents d'administration,1
Ontario,     Haut salaire,1455492 Ontario Inc.,"Mississauga, ON L5T 1R2",1221-Agents d'administration,1
Ontario,     Haut salaire,1458556 Ontario Inc.,"Woodbridge, ON L4L 4Z1",1223-Agents des ressources humaines et de recrutement,1
Ontario,     Haut salaire,1520334 Ontario Limited,"Brampton, ON L6S 3L2",3142-Physiothérapeutes,1
Ontario,     Haut salaire,1703975 Ontario Inc. o/a Doaba Sweets and Restaurant Inc.,"Mississauga, ON L5V 0A5",6322-Cuisiniers,1
Ontario,     Haut salaire,1735757 Ontario Ltd.,"MISSISSAUGA, ON L5T 1Y1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,1758108 Ontario Inc. o/a Corporate Communications,"TORONTO, ON M2J 4R4",5241-Designers graphiques et illustrateurs,1
Ontario,     Haut salaire,1811127 Ontario Inc.,"Brampton, ON L6T 5A1",7511-Conducteurs de camions de transport,4
Ontario,     Haut salaire,2016491 Ontario Inc.,"Mississauga, ON L4T 4E5","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Ontario,     Haut salaire,2063490 Ontario Inc.,"Concord, ON L4K 3Z3","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
Ontario,     Haut salaire,2119485 Alberta Ltd.,"Concord, ON L4K 4T3",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Ontario,     Haut salaire,2124652 ONTARIO LIMITED,"LONDON, ON N5Z 1P7",1122-Professionnels des services-conseils en gestion aux entreprises,1
Ontario,     Haut salaire,2168532 Ontario Inc.,"Brampton, ON L8P 1A2",5241-Designers graphiques et illustrateurs,1
Ontario,     Haut salaire,2168587 ontario ltd,"NORTH YORK, ON M3J 2N7",7333-Électromécaniciens,1
Ontario,     Haut salaire,2205261 Ontario Inc o/a Sunvision,"ETOBICOKE, ON M9W 6M6",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
Ontario,     Haut salaire,22361313 Ontario Inc. o/a 911 Construction,"WOODBRIDGE, ON L4H 0A2",7282-Finisseurs de béton,2
Ontario,     Haut salaire,2262012 Ontario Limited o/a GR Truss,"Garden River, ON P6A 6Z1",2175-Concepteurs et développeurs Web,1
Ontario,     Haut salaire,2268262 Ontario Inc. o/a Astral Mobile,"TORONTO, ON M9N 2R9",6211-Superviseurs des ventes - commerce de détail,1
Ontario,     Haut salaire,2289552 Ontario Inc.,"TORONTO, ON M5B 2H1","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
Ontario,     Haut salaire,2320610 Ontario Inc,"MISSISSAUGA, ON L4W 4Y9",6316-Surveillants des autres services,2
Ontario,     Haut salaire,2385804 Ontario Inc.,"Toronto, ON M5R 1W7",0911-Directeurs de la fabrication,1
Ontario,     Haut salaire,2403236 Ontario Inc.,"Brampton, ON L6P 2S4",6322-Cuisiniers,1
Ontario,     Haut salaire,2421726 Ontario Inc,"Brampton, ON L6P 3Y7",6211-Superviseurs des ventes - commerce de détail,1
Ontario,     Haut salaire,2427984 Ontario Inc.,"Brampton, ON L6T 4P9",1414-Réceptionnistes,1
Ontario,     Haut salaire,2524214 Ontario Inc.,"Brantford, ON N3V 1G2","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
Ontario,     Haut salaire,2532325 Ontario Inc.,"Barrie, ON L4N 7Y8","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,     Haut salaire,2538582 Ontario Inc,"Bolton, ON L7E 5B8",7312-Mécaniciens d'équipement lourd,1
Ontario,     Haut salaire,2540469 Ontario Inc.,"Belleville, ON K8N 4Z2",2281-Techniciens de réseau informatique,1
Ontario,     Haut salaire,2631495 Ontario Ltd.,"TORONTO, ON M5T 1V1",1241-Adjoints administratifs,1
Ontario,     Haut salaire,2633649 Ontario Ltd,"Mississauga, ON L5B 1M7",1241-Adjoints administratifs,1
Ontario,     Haut salaire,6476171 Canada Inc.,"Brampton, ON L6T 4X6",7511-Conducteurs de camions de transport,4
Ontario,     Haut salaire,6514154 Canada Inc,"MISSISSAUGA, ON L5T 2G5","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,     Haut salaire,708604 N.B. Inc.,"TORONTO, ON M9B 1K7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,8851948 Canada Corporation,"Toronto, ON M3B 3M1",2282-Agents de soutien aux utilisateurs,1
Ontario,     Haut salaire,9224076 Canada Ltd.,"TORONTO, ON M6G 1B3",3236-Massothérapeutes,1
Ontario,     Haut salaire,9487000 Canada Inc.,"MISSISSAUGA, ON L5M 0C5","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Ontario,     Haut salaire,9509038 Canada Inc,"TORONTO, ON M4V 1K6",3236-Massothérapeutes,1
Ontario,     Haut salaire,9875913 Canada Corp. o/a VTRANS International Logistics,"Toronto, ON M2H 3H7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,9900101 Canada Incorporated,"OTTAWA, ON K1P 5H8",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,a2z driverforce inc,"brampton, ON L6T 1A2",1241-Adjoints administratifs,1
Ontario,     Haut salaire,ABD Construction,"Stoney Creek, ON L8E 3H6",1241-Adjoints administratifs,1
Ontario,     Haut salaire,ACCESS PERSONNEL RESOURCES INC.,"ETOBICOKE, ON M9W 6N5","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,     Haut salaire,Acrossor Ltd.,"Richmond Hill, ON L4B 3L8",2174-Programmeurs et développeurs en médias interactifs,1
Ontario,     Haut salaire,Alberici Constructors Ltd,"BURLINGTON, ON L7P 5B1",1221-Agents d'administration,1
Ontario,     Haut salaire,Alex & Nadia Inc.,"BEAMSVILLE, ON L0R 1B1","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,Alletec Canada Inc.,"Toronto, ON M5V 3R7",0601-Directeurs des ventes corporatives,1
Ontario,     Haut salaire,Amberson Education Group Inc. o/a Amberson High School,"Toronto, ON M1W 2S7",2175-Concepteurs et développeurs Web,1
Ontario,     Haut salaire,Amelt Corporation,"Toronto, ON M2M 4K2",2171-Analystes et consultants en informatique,1
Ontario,     Haut salaire,Arthur Mechanical Service Inc.,"VAUGHAN, ON L4K 0G7",2281-Techniciens de réseau informatique,1
Ontario,     Haut salaire,ASIYANS TEXTILES AND GIFTWARE INC,"Scarborough, ON M1G 1P5",1223-Agents des ressources humaines et de recrutement,1
Ontario,     Haut salaire,Asymetric Media Ltd.,"Toronto, ON M5V 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,     Haut salaire,Atif Aqeel Architect Inc,"Mississauga, ON L5N 2X4",2131-Ingénieurs civils,1
Ontario,     Haut salaire,Aussie Stone Marble & Granite Inc.,"BURLINGTON, ON L7R 3P6","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",1
Ontario,     Haut salaire,AXCELLENT COMMUNICATIONS INC.,"North York, ON M2J 1T5",6221-Spécialistes des ventes techniques - commerce de gros,1
Ontario,     Haut salaire,B Negative LLC,"SCARBOROUGH, ON M1N 4B5","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,     Haut salaire,B Negative LLC,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,     Haut salaire,Barilo's Fine Sausages Ltd.,"Newmarket, ON L3Y 9E8","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
Ontario,     Haut salaire,Bay Street Real Estate Investment Ltd.,"MARKHAM, ON L3R 9Y7",1242-Adjoints administratifs juridiques,1
Ontario,     Haut salaire,BHT Development Arts Inc. DBA Indian Punjabi Bazaar,"Brampton, ON L6R 0W9",6211-Superviseurs des ventes - commerce de détail,1
Ontario,     Haut salaire,BIZTECH INSTITUTE INC. o/a BIZTECH COLLEGE,"MISSISSAUGA, ON L4W 1E3",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
Ontario,     Haut salaire,Caihong Wang Professional Corporation,"Markham, ON L3R 6G2",4211-Techniciens juridiques et personnel assimilé,1
Ontario,     Haut salaire,Cambridge Drywall Services Ltd,"Cambridge, ON N1T 2K8","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",3
Ontario,     Haut salaire,Canadian Payments Association,"OTTAWA, ON K1R 1A4",1225-Agents aux achats,1
Ontario,     Haut salaire,Canamex Logistics Services Inc.,"Mississauga, ON L4T 1G8",1221-Agents d'administration,1
Ontario,     Haut salaire,Cannapiece Corp.,"MARKHAM, ON L3R 6H3",0212-Directeurs des services d'architecture et de sciences,1
Ontario,     Haut salaire,Canwing Travel Ltd.,"MILTON, ON L9T 0L5",1241-Adjoints administratifs,1
Ontario,     Haut salaire,Capela Surfaces Inc.,"North York, ON M6M 3E6",7283-Carreleurs,1
Ontario,     Haut salaire,CAREER CANADA IMMIGRATION SERVICES INC,"Hamilton, ON L9C 3A6",1415-Commis des services du personnel,1
Ontario,     Haut salaire,Cellntell Distribution Inc.,"MISSISSAUGA, ON L4Z 2H8",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,Cellntell Distribution Inc.,"Mississauga, ON L5W 0E6",7246-Installateurs et réparateurs de matériel de télécommunications,1
Ontario,     Haut salaire,Central Mosque Scarborough,"SCARBOROUGH, ON M1G 1P7",4217-Autre personnel relié à la religion,1
Ontario,     Haut salaire,Ceylon Food Box Inc.,"Toronto, ON M6K 3R2","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,Cleveland Clinic Canada,"Toronto, ON M5J 2T3",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
Ontario,     Haut salaire,Component Element Contracting Ltd.,"Scarborough, ON M1S 3A7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,CONNECT RESEARCH INC. o/a Addision Research,"TORONTO, ON M2J 4V8","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
Ontario,     Haut salaire,Consulting Portal of Canada Inc.,"Toronto, ON M6S 1M7",2174-Programmeurs et développeurs en médias interactifs,1
Ontario,     Haut salaire,Creative Silhouettes Inc.,"VAUGHAN, ON L4K 3N8","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",1
Ontario,     Haut salaire,Creative Silhouettes Inc.,"VAUGHAN, ON L4K 3N8",9471-Opérateurs d'équipement d'impression sans plaque,1
Ontario,     Haut salaire,Designers Walk Inc.,"Toronto, ON M5R 2K9","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,Dr. Innocent Chukwudumebi Okafor Professional Medical Corp.,"Brampton, ON L6R 3S9",3112-Omnipraticiens et médecins en médecine familiale,1
Ontario,     Haut salaire,Dr. NILA PARMAR DENTISTRY PROFESSIONAL CORPORATION,"BRAMPTON, ON L6S 0E7",1311-Techniciens en comptabilité et teneurs de livres,1
Ontario,     Haut salaire,Eassons Transport Ltd,"Mississauga, ON L4T 1H4",7511-Conducteurs de camions de transport,10
Ontario,     Haut salaire,Edgecom Energy Inc.,"RICHMOND HILL, ON L4B 3B2","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,Edgetch HVAC Services Ltd.,"MISSISSAUGA, ON L5S 1T7",9241-Mécaniciens de centrales et opérateurs de réseaux énergiques,2
Ontario,     Haut salaire,Films Dog Entertainment Inc,"KESWICK, ON L6P 2X6","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,Fox Security Systems Inc.,"Pickering, ON L1W 2M6",7246-Installateurs et réparateurs de matériel de télécommunications,1
Ontario,     Haut salaire,G & D Insights Consultancy Ltd.,"Milton, ON L9T 0N1",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
Ontario,     Haut salaire,"Goodwill Industries, Ontario Great Lakes","London, ON N6B 1L1",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
Ontario,     Haut salaire,Grebian Group Inc.,"TORONTO, ON M4A 1H5",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
Ontario,     Haut salaire,HAIRSPRAY BEAUTY INC.,"TORONTO, ON M9V 1B8",6211-Superviseurs des ventes - commerce de détail,1
Ontario,     Haut salaire,HI RISE FIRE PROTECTION INC.,"RICHMOND HILL, ON L4C 3B5",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
Ontario,     Haut salaire,Hightek Carriers Inc,"Brampton, ON L6R 1P7",7511-Conducteurs de camions de transport,6
Ontario,     Haut salaire,Imas Electric Inc.,"Richmond Hill, ON L4E 4P7",1241-Adjoints administratifs,1
Ontario,     Haut salaire,Innovative Cast Inc.,"Concord, ON L4K 3R4","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
Ontario,     Haut salaire,Jackieline International Company Ltd.,"Toronto, ON M6J 1E8",6222-Acheteurs des commerces de détail et de gros,1
Ontario,     Haut salaire,Jasco Food Inc.,"London, ON N6E 1V4","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,Joardene International Ltd.,"Scarborough, ON M1S 3R6","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,Jude Homes Inc.,"Ottawa, ON K2H 8Y1","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
Ontario,     Haut salaire,Just On Time Freight System Inc,"Brampton, ON L6T 5P3",7511-Conducteurs de camions de transport,1
Ontario,     Haut salaire,KAM WAH RESOURCES CO. LTD.,"MARKHAM, ON L3R 2S1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,Keran Sangha Professional Corporation,"BRAMPTON, ON L6S 0E7",1311-Techniciens en comptabilité et teneurs de livres,1
Ontario,     Haut salaire,KIRIN AIR SYSTEMS INC.,"Concord, ON L4K 1Z4",7301-Entrepreneurs et contremaîtres en mécanique,1
Ontario,     Haut salaire,KONI AMERI TECH SERVICES CANADA INC.,"TORONTO, ON M9W 5Z8",2171-Analystes et consultants en informatique,1
Ontario,     Haut salaire,LeanConcept Consulting Inc.,"KITCHENER, ON N2E 0B1",7511-Conducteurs de camions de transport,4
Ontario,     Haut salaire,Link ECM Consulting Inc,"MARKHAM, ON L3R 8A7",2175-Concepteurs et développeurs Web,1
Ontario,     Haut salaire,MACHADO MASONRY LIMITED,"KINGSTON, ON K7K 5W9","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
Ontario,     Haut salaire,Manav Electrical Services Inc.,"Mississauga, ON L4W 1N2",1221-Agents d'administration,1
Ontario,     Haut salaire,Marcus Ltd.,"TORONTO, ON M2N 7M2","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
Ontario,     Haut salaire,MATCOM INDUSTRIAL INSTALLATIONS INC.,"VAUGHAN, ON L4K 5V6",7316-Ajusteurs de machines,1
Ontario,     Haut salaire,Mazenga Building Group Ltd.,"TORONTO, ON M6B 1V9",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
Ontario,     Haut salaire,Metal Craft Marine Incorporated,"KINGSTON, ON K7K 6N7","2148-Autres ingénieurs, n.c.a.",1
Ontario,     Haut salaire,Metro Freightliner Hamilton Inc.,"Stoney Creek, ON L8E 2R2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Ontario,     Haut salaire,Milestone Transport Inc.,"Mississauga, ON L5S 1R6",7511-Conducteurs de camions de transport,5
Ontario,     Haut salaire,Mircom Technologies Ltd.,"Vaughan, ON L4K 5W3",1122-Professionnels des services-conseils en gestion aux entreprises,1
Ontario,     Haut salaire,Naan Bar Inc,"Toronto, ON M2K 1E6",6321-Chefs,1
Ontario,     Haut salaire,Neotech Construction Inc.,"Nobleton, ON L0G 1N0",7235-Assembleurs et ajusteurs de plaques et de charpentes métalliques,2
Ontario,     Haut salaire,O! Optical Inc.,"Richmond Hill, ON L4B 3Z4",3231-Opticiens d'ordonnances,1
Ontario,     Haut salaire,O.N. Site Construction Inc.,"Oakville, ON L6J 7K1",0711-Directeurs de la construction,1
Ontario,     Haut salaire,OBN Consulting Inc,"Toronto, ON M8Z 1M3",1241-Adjoints administratifs,1
Ontario,     Haut salaire,Ontario Badminton Academy Crop.,"Markham, ON L3R 1A5",5252-Entraîneurs,2
Ontario,     Haut salaire,OPC.TV INC,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
Ontario,     Haut salaire,Pantos Logistics Canada Inc.,"Vaughan, ON L4K 0B7",1525-Répartiteurs,1
Ontario,     Haut salaire,Pizza 77 Inc.,"Mount Albert, ON L0G 1M0",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,"PlantBest, Inc.","MARKHAM, ON L6B 1B5",2252-Designers industriels,1
Ontario,     Haut salaire,Plexxis Software Inc,"Brampton, ON L6T 5B7",2171-Analystes et consultants en informatique,1
Ontario,     Haut salaire,Polar Bear Canada Corporation,"Markham, ON L3R 5Z2",5241-Designers graphiques et illustrateurs,1
Ontario,     Haut salaire,Precision Roofing & Quality Exteriors Ltd,"Welland, ON L3C 1V7",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,3
Ontario,     Haut salaire,Procase Consulting Inc,"Woodbridge, ON L4L 5Y7",2283-Évaluateurs de systèmes informatiques,1
Ontario,     Haut salaire,Provincial Store Fixtures Ltd.,"Mississauga, ON L5C 2V5","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,Qualicom Innovations Inc.,"Toronto, ON M2H 3S8",2173-Ingénieurs et concepteurs en logiciel,1
Ontario,     Haut salaire,Quiet Machining & Fabrication INC.,"Brampton, ON L6T 5B2",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Ontario,     Haut salaire,RBL Services Ltd.,"BRANTFORD, ON N3R 2H1",7301-Entrepreneurs et contremaîtres en mécanique,1
Ontario,     Haut salaire,Renmal Techniques Inc,"Brampton, ON L6S 0A4","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
Ontario,     Haut salaire,Ribs Transport Inc.,"Brampton, ON L0P 1E0",1221-Agents d'administration,1
Ontario,     Haut salaire,SARAI TRUCKING LIMITED,"BRAMPTON, ON L6P 2K7",0731-Directeurs des transports,1
Ontario,     Haut salaire,Satincorp Technologies,"RICHMOND HILL, ON L4B 2P3",2175-Concepteurs et développeurs Web,1
Ontario,     Haut salaire,SAVERINO GENERAL CONTRACTORS LTD.,"Woodbridge, ON L4L 2P6","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
Ontario,     Haut salaire,Sequoia Content International Ltd.,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",3
Ontario,     Haut salaire,Shere Punjab Restaurant & Caters,"NIAGARA FALLS, ON L2G 3L5",6311-Superviseurs des services alimentaires,1
Ontario,     Haut salaire,SHISH MAHAL INDIAN CUISINE INC.,"MISSISSAUGA, ON L5L 5S6",6322-Cuisiniers,2
Ontario,     Haut salaire,Silcotech North America Inc.,"Bolton, ON L7E 1W2",2141-Ingénieurs d'industrie et de fabrication,1
Ontario,     Haut salaire,Simluc Contractors Ltd.,"Ottawa, ON K1B 5R1",2234-Estimateurs en construction,1
Ontario,     Haut salaire,SJ FOODS LIMITED,"burlington, ON L7S 2H9","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Ontario,     Haut salaire,"SOFT CITIZEN, INC","TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",5
Ontario,     Haut salaire,Sol Cuisine Inc.,"MISSISSAUGA, ON L4W 1A2",1521-Expéditeurs et réceptionnaires,1
Ontario,     Haut salaire,SOLMAZ FOODS INC.,"Toronto, ON M8Z 2G9",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
Ontario,     Haut salaire,Sousa truck Trailers Limited,"Mississauga, ON L5S 1S1","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Ontario,     Haut salaire,Spy Films Inc.,"Toronto, ON M5V 1E3","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,     Haut salaire,Starry Paradise Learning Centre Inc,"NEWMARKET, ON L3Y 8K7","5136-Peintres, sculpteurs et autres artistes des arts visuels",1
Ontario,     Haut salaire,Starsky Fine Foods Inc.,"Mississauga, ON L5L 3R8",6222-Acheteurs des commerces de détail et de gros,1
Ontario,     Haut salaire,Station Film Inc.,"Brooklyn, ON 112 22","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,     Haut salaire,Suneeva Ltd.,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",4
Ontario,     Haut salaire,Sunnyside Auto Ltd.,"Markham, ON L3P 7R4",7322-Débosseleurs et réparateurs de carrosserie,1
Ontario,     Haut salaire,Sure Track Courier Ltd.,"Concord, ON L4K 5B5",7511-Conducteurs de camions de transport,6
Ontario,     Haut salaire,Symphony Kitchens Inc.,"Toronto, ON M9W 4Y8",7271-Charpentiers-menuisiers,1
