Terre-Neuve-et-Labrador,,
House-Man Limited,"15 1st Avenue, Wabush (NL)  A0R 1B0",2
India Gate Restaurant,"286, rue Duckworth, St. John's (NL)  A1C 1H3",1
Iron Ore Company Of Canada,"2 Avalon Drive, Labrador City (NL)  A2V 2Y6",1
Jill Dreaddy Danceco,"73 Waterford Bridge Road, St. John's (NL)  A1E 1C5",1
Jungle Jim's Gander,"CP 202, Gander (NL)  A1V 1W6",2
Kean's Pump Shop Ltd.,"53 Pippy Place, St. John's (NL)  A1B 4H8",1
Kiewit-Kvaerner Contractors,"240 Waterford Bridge Road, St. John's (NL)  A1E 1E2",27
Labrador Inn,"CP 58, SUCC C, Happy Valley-Goose Bay (NL)  A0P 1C0",2
Labrador-Grenfell Health,"200, rue West, bureau 178, St. Anthony (NL)  A0K 4S0",6
Labrador-Grenfell Regional Health Authority,"CP 7000, SUCC C, Happy Valley-Goose Bay (NL)  A0P 1C0",2
Larch Grove Farm Ltd.,"405 Veterans Drive, Cormack (NL)  A8A 2R7",1
Lester's Farm Market,"CP 392, Mount Pearl (NL)  A1N 2C4",10
LouisGee's Pizza & Donair,"4 MacGregor Place, Corner Brook (NL)  A2H 7B7",3
Lower Churchill Project,"CP 15150, SUCC A, St. John's (NL)  A1B 0M7",1
Maersk Supply Service,"100, rue New Gower, bureau 803, St. John's (NL)  A1C 6K3",2
Mary Brown's,"78 Manitoba Drive, Clarenville (NL)  A5A 1K6",1
Mary Brown's Manuels,"81 Conception Bay Highway, unité 1, Conception Bay South (NL)  A1W 3A3",1
Maudie,"40 Newtown Road, St. John's (NL)  A1C 4E1",1
Maxwell's & Bentley's,"CP 493, SUCC B, Happy Valley-Goose Bay (NL)  A0P 1E0",3
Memorial University Of Newfoundland and Labrador,"230, avenue Elizabeth, CP 4200, St. John's (NL)  A1C 5S7",3
Merlo's Inferno,"193 Kenmount Road, unité 2, St. John's (NL)  A1B 3P9",1
Mes Amis Daycare and Preschool,"160 Carrick Drive, St. John's (NL)  A1A 4P8",1
Metroworth Consulting (Canada) Ltd.,"115 Cavendish Square, St. John's (NL)  A1C 3K2",1
Mohamed Ali's Restaurant,"35, rue Suvla, St. John's (NL)  A1C 4Z5",1
N&N Farm Ltd.,"410A Veterans Drive, Cormack (NL)  A8A 2R6",2
NARL Refining Ltd Partnership,"CP 40, Come By Chance (NL)  A0B 1N0",3
NECL -Apply Leirvik Partnership,"16 MacKay Place, CP 1674, St. John's (NL)  A1G 1A1",3
New World Dairy,"CP 475, St. David's (NL)  A0N 1X0",10
Newfound Sushi Inc.,"117 Broadway, Corner Brook (NL)  A2H 4E3",1
Newfoundland & Labrador Hydro,"CP 12400, St. John's (NL)  A1B 4K7",1
NSB Energy Inc.,"CP 49, St. John's (NL)  A1C 6C9",1
Ocean View Farm,"92 Farm Road, Bay Bulls (NL)  A0A 1C0",1
Oceanex Inc.,"Baine Johson Centre, bureau 701, St. John's (NL)  A1C 1K4",1
Peter's Pizza,"1310 Topsail Road, Paradise (NL)  A1B 4J7",1
Pond View Farms,"CP 383, Goulds (NL)  A1S 1G5",2
Quinlan Brothers Limited,"215, rue Water, Atlantic Place, CP 71, bureau 302, St. John's (NL)  A1C 6C9",93
Seadrill Canada Ltd.,"5, rue Springdale, bureau 700, St. John's (NL)  A1E 0E4",8
Seamatica Aerospace Limited,"2, rue Maple, St. John's (NL)  A1B 2T4",1
Spectrol Energy Services Inc.,"20 Maverick Place, Paradise (NL)  A1L 0J1",3
Sunrise Dairy Limited,"CP 205, Musgravetown (NL)  A0C 1A0",1
Tai Hong Restaurant,"2 Tilley's Road, Clarenville (NL)  A5A 1Z2",1
Take the Shot Productions Inc.,"CP 6207, SUCC C, St. John's (NL)  A1C 6J9",5
Taste East Inc.,"1, avenue Cambridge, St. John's (NL)  A1A 3N5",1
Taste of Jamaica,"33, avenue Broadway, Corner Brook (NL)  A2H 4C5",1
Tilt House Bakery,"1194 Portugal Cove Road, Portugal Cove-St. Philips (NL)  A1M 3L8",1
Toiber Toys,"48 Kenmount Road, St. John's (NL)  A1B 1W3",1
Transocean Canada Drilling Services,"Kenmount Business Centre, bureau 302, St. John's (NL)  A1B 3V7",1
Turnbulls Home Hardware Ltd. o/a Home Hardware,"40 Main Road, L'Anse-au-Clair (NL)  A0K 3K0",1
Uncle Li Restaurant Inc,"3 Coish Place, Clarenville (NL)  A5A 0C3",2
Viking Fur Inc,"160 Main Road, Cavendish (NL)  A0B 1J0",6
West End Foods Limited oa Jungle Jims,"CP 23106, Churchill Square, St. John's (NL)  A1B 4J9",1
Western Regional Integrated Health Authority,"1, avenue Brookfield, Corner Brook (NL)  A2H 6J7",8
Wing'n It Kenmount,"CP 8053, St. John's (NL)  A1B 3M7",3
Wongs Palace Limited,"CP 1206, Marystown (NL)  A0E 2M0",2
WorleyParsons Canada Services Ltd.,"240 Waterford Bridge Road, St. John's (NL)  A1E 1E2",1
Île-du-Prince-Édouard,,
Employeur,Adresse,Postes approuvés
Acadian Fishermen's Co-operative Association Ltd.,"8323 Route 11, Abram Village, Wellington (PE)  C0B 2E0",24
Atlantec BioEnergy Corp.,"112 W.B. MacPhail Drive, Cornwall (PE)  C0A 1H5",1
Atlantic Beef Products Inc.,"95 Train Station Road, CP 40, Albany (PE)  C0B 1A0",4
Atlantic Grown Organics Inc,"713 Route 104, RR 5, Kensington (PE)  C0B 1M0",9
Atlantic Veterinary College,"550, avenue University, Charlottetown (PE)  C1A 4P3",1
Beach Point Processing Company,"75 Wharf Lane, Beach Point (PE)  C0A 1V0",86
Belle River Enterprises Ltd.,"12 Waterview Lane, Belle River (PE)  C0A 1B0",10
Big Diesel Transport Inc,"1010 Newton Road, CP 52, Kinkora (PE)  C0B 1N0",5
Bight Studios,"45, rue Queen, bureau 301, Charlottetown (PE)  C1A 4A4",1
BioVectra Inc,"11, avenue Aviation, Charlottetown (PE)  C1E 0A1",1
Birch Farms Ltd,"220 Stavert Shore Road, North Bedeque, Summerside (PE)  C1N 4J9",2
Birkentree Holsteins,"7033 Rustico Road, Hunter River (PE)  C0A 1N0",2
Brookfield Gardens Inc,"1067 Millboro Road, RR 4, Brookfield (PE)  C0A 1Y0",15
Bulk Carriers (P.E.I.) Limited,"CP 153, Cornwall (PE)  C0A 1H0",40
Burger King East Saint John /6497969 Canada Inc.,"26 Hillside Drive, Charlottetown (PE)  C1A 6H7",1
Burger King Restaurant,"26 Hillside Drive, Charlottetown (PE)  C1A 6H7",1
Carruthers Farms Ltd,"2444 Hamilton Road, Kensington (PE)  C0B 1M0",4
Cedar Grove Farms,"3499 Grand River Route 12, RR 1, Richmond (PE)  C0B 1Y0",3
Claddagh Oyster House and Olde Dublin Pub,"131, rue Sydney, Charlottetown (PE)  C1A 1G5",2
Dean Craswell,"5511 Rustico Road, RR 3, Hunter River (PE)  C0A 1N0",1
Domino's Pizza,"386, avenue University, Charlottetown (PE)  C1A 4N5",3
Domino's Pizza,"505, rue Granville, Summerside (PE)  C1N 6V7",2
Eastern Exporters Ltd,"677 Route 2, CP 418, Souris (PE)  C0A 2B0",17
Eastern Farms Ltd,"70 McInnis Point Road, Vernon River (PE)  C0A 2E0",9
Frizzell's Valleyville Farm Inc.,"621 Junction Road, RR 4, Hunter River (PE)  C0A 1N0",2
Garden Home,"310 North River Road, Charlottetown (PE)  C1A 3M4",1
Goodall Farms,"4048 Fort Augustus Road, Route 21, Fort Augustus (PE)  C1B 2Z4",5
Health PEI,"16, rue Garfield, CP 2000, Charlottetown (PE)  C1A 7N8",7
Howardvale Holsteins,"71 MacKay Lane North Granville, RR 1, Breadalbane (PE)  C0A 1E0",3
International Genetics PEI Ltd,"1423 Mount Stewart Road, CP 43, Mount Stewart (PE)  C0A 1T0",1
Jewell's of PEI Inc,"1203 Covehead Road, York (PE)  C0A 1P0",7
Jewell's Produce,"450 York Road, RR 1, York (PE)  C0A 1P0",18
Kildare Fisheries Ltd.,"15900 Route 12, Alberton (PE)  C0B 1B0",25
King's BBQ & Chinese Food,"92 Capital Drive, unité 1, Charlottetown (PE)  C1E 1E7",1
Little Blessings,"15 Glen Stewart Drive, Stratford (PE)  C1B 2A8",1
Maplehurst Properties,"CP 1447, Montague (PE)  C0A 1R0",1
Matos Winery,"3156 West River Road, bureau 9, St. Catherines (PE)  C0A 1H1",1
McCardle Bros,"1642 Newton Road, CP 28, Kinkora (PE)  C0B 1N0",3
New Perth Enterprises Inc.,"2020 Monaghan Road, Auburn (PE)  C0A 1T0",2
PEI Mussel King Inc.,"318 Red Head Road, CP 39, Morell (PE)  C0A 1S0",3
PEI Select Tours Inc,"CP 175, North Rustico (PE)  C0A 1X0",3
PEI Symphony Orchestra Society,"CP 185, Charlottetown (PE)  C1A 7K4",1
Pondsedge Farms Inc.,"85 MacDonald Road, Little Pond (PE)  C0A 2B0",1
Royal Star Foods Ltd.,"175 Judes Point Road, CP 69, Tignish (PE)  C0B 2B0",55
Sam's Family Restaurant,"16, avenue Gamwell, Charlottetown (PE)  C1A 8Y3",1
Sam's Family Restaurant Charlottetown,"121 St. Peter's Road, Charlottetown (PE)  C1A 5P3",2
Seafood 2000 Ltd.,"10, rue Water, CP 4010, Georgetown (PE)  C0A 1L0",75
Seafood Express (PEI) Limited,"CP 1267, Charlottetown (PE)  C1A 7M8",30
Silver Hill Fur Farm Ltd.,"20826 Route 12, RR 4, Tignish (PE)  C0B 2B0",18
South Shore Seafoods Ltd.,CP Bloomfield (PE)  C0B 1E0,18
Steerman's Quality Meats,"131 Drake Road, Vernon Bridge (PE)  C0A 2E0",2
Study Abroad Canada Language Institute,"179, rue Queen, Charlottetown (PE)  C1A 4B4",1
Ta Ke Japanese Restaurant,"92, rue Queen, Charlottetown (PE)  C1A 4B1",1
The Berry Patch,"11860 St. Peters Road, Tracadie Cross (PE)  C0A 1T0",5
Tiny Acres Holsteins,"621 Belmont Road, Route 123, Miscouche (PE)  C0B 1T0",5
Vanco Farms Ltd,"9311, route Transcanadienne, Route 1, Mount Albion (PE)  C1B 0R4",74
VanDiepen Produce,"544 Settlement Road, RR 2, Green Meadows (PE)  C0A 1S0",14
W&H Trading and Technology Inc.,"60 Nicholas Lane, bureau 8, Charlottetown (PE)  C1E 3J5",1
Weekstown Holsteins Inc.,"20988 Route 2, RR 4, Hunter River (PE)  C0A 1N0",2
Westech Agri Services,"600, rue Church, Alberton (PE)  C0B 1B0",48
Nouvelle-Écosse,,
Employeur,Adresse,Postes approuvés
3099794 NS Ltd (Enfield Big Stop),"6757 Highway 2, Enfield (NS)  B2T 1C8",2
3290067 Nova Scotia Limited,"46 Deepwood Crescent, Halifax (NS)  B3M 2Y6",3
5D Imaging,"255 Lacewood Drive, bureau 210, Halifax (NS)  B3M 4G2",1
ABK Biomedical Inc.,"1344, rue Summer, bureau 202, Halifax (NS)  B3H 0A8",1
Acadian Seaplants Ltd.,"30, avenue Brown, Dartmouth (NS)  B3B 1X8",1
Admiral Administration (Canada) Ltd.,"30 Damascus Road, bureau 202, Bedford (NS)  B4A 0C1",1
Ali's Seafood & Kabob Cuisine,"575, rue Main, unité 6, Dartmouth (NS)  B2W 6A4",1
Allen Farms Limited,"7295 Highway 221, RR 2, Centreville (NS)  B0P 1J0",82
Allure Construction Ltd.,"196 Black Bear Circle, Lewis Lake (NS)  B3Z 0E3",1
Noggins Corner Farm,"266 Sunnyside Road, Wolfville (NS)  B4P 2R2",42
Apple Lane Farm Inc,"54 Prospect Road, RR 1, Berwick (NS)  B0P 1E0",6
Apples & Spice,"23 Bent Road, Waterville (NS)  B0P 1V0",14
Aquashell Holdings Inc.,"CP 300, Wallace (NS)  B0K 1Y0",16
Athens Restaurant,"6273 Quinpool Road, Halifax (NS)  B3L 1A4",3
Athletigen,"5415 Spring Garden Road, Halifax (NS)  B3J 1G1",1
Balamore Farm Ltd,"9036 Highway 2, Great Village (NS)  B0M 1L0",294
Barteaux Farms,"781 Highway 201, Annapolis Royal (NS)  B0S 1A0",4
Basinview Farms,"2077 Pereau Road, RR 1, Canning (NS)  B0P 1H0",10
Becky's Day Care,"1 Lakewood Drive, Waverley (NS)  B2R 1E3",1
Bedford Investments Limited,"1741, rue Grafton, Halifax (NS)  B3J 2W1",1
Birchleigh Farms Ltd,"210 Bentley Road, RR 1, Berwick (NS)  B0P 1E0",16
Blue Ocean Contact Centers,"400 Bayers Road, bureau 7051, Halifax (NS)  B3L 4V2",1
Blue Ridge Farm,"220 Arnold Road, Grafton (NS)  B0P 1V0",2
Boston Pizza,"115 Chain Lake Drive, bureau 41, Halifax (NS)  B3S 1B3",3
Bragg Lumber Co Ltd,"1536 Wyvern Road, CP 60, Collingwood (NS)  B0M 1E0",5
British Living Housewares,"151, boulevard Westwood, Upper Tantallon (NS)  B3Z 1H5",1
Brookville Carriers Flatbed LP,"CP 1896, Truro (NS)  B2N 6C7",7
Bungalo,"5415 Spring Garden, Halifax (NS)  B3J 1S1",1
Cafe Italia,"62, rue Provost, New Glasgow (NS)  B2H 2P4",1
Canard Orchards Ltd,"1489 Highway 341, RR 2, Centreville (NS)  B0P 1J0",12
Canton Garden Restaurant,"30 Farnham Gate Road, Halifax (NS)  B3M 3W8",1
CAP Farms Inc,"243 Coleman Road, Grafton (NS)  B0P 1V0",20
Cape Breton District Health Authority,"1482, rue George, Sydney (NS)  B1P 1P3",2
Capital District Health Authority,"Édifice Bethune, 1276, rue South Park, bureau 133, Halifax (NS)  B3H 2Y9",1
Caribbean Bliss Catering/South Park Catering,"3619 Novalea Drive, Halifax (NS)  B3K 3G1",1
Cartoon Conrad Productions Inc,"23 Kuryluk Court, Beaverbank (NS)  B4G 1C5",1
Cha Baa Thai Restaurant Bedford Ltd.,"1545, rue Birmingham, Halifax (NS)  B3J 2J6",5
Cha Baa Thai Restaurant Ltd.(Halifax),"1546, rue Queen, Halifax (NS)  B3J 2H8",4
Charles Keddy Farms Ltd,"982 North Bishop Road, Kentville (NS)  B4N 3V7",71
Cheelin Restaurant,"1496, rue Lower Water, Halifax (NS)  B3J 1R9",2
"Cilantro, The Cooks Shop Inc","CP 219, Lunenburg (NS)  B0J 2C0",1
Circle Time Friends Pre School,"2990, rue Oxford, Halifax (NS)  B3L 2W4",2
Classic Freight,"50 Joseph Zatzman Drive, Dartmouth (NS)  B3N 1N8",7
Clearwater Ocean Prawns Venture,"240, rue Montague, CP 459, Lunenburg (NS)  B0J 2C0",2
Clearwater Seafoods Limited Partnership,"757 Bedford Highway, Bedford (NS)  B4A 3Z7",2
Clifford Starr Best,"86 Arnold Road, Woodville (NS)  B0P 1V0",17
Connors Transfer Limited,"CP 2080, Stellarton (NS)  B0K 1S0",12
Craig Nichols Farms Ltd,"6640 Aylesford Road, Aylesford (NS)  B0P 1C0",26
Crisp Growers Incorporated,"220 Prospect Road, Berwick (NS)  B0P 1E0",8
Cumberland Health Authority,"34, rue Prince Arthur, Amherst (NS)  B4H 1V6",1
Current Studios Inc.,"11, boulevard Ackerley, bureau 200, Dartmouth (NS)  B3B 1V7",1
Dalhousie University,"6299, rue South, CP 15000, salle 150, Halifax (NS)  B3H 4R2",7
Darrell's Restaurant,"5576, rue Fenwick, Halifax (NS)  B3H 1P8",1
DeLong Farms,"509 Barss Corner Road, RR 1, New Germany (NS)  B0R 1E0",6
den Haan Greenhouses,"394 Fitch Road, RR 3, Lawrencetown (NS)  B0S 1M0",27
DMF Medical Incorporated,"1344, rue Summer, Halifax (NS)  B3H 0A8",1
Double Dragon Restaurant Inc.,"9006, rue Commercial, New Minas (NS)  B4N 3E2",2
Eagle Ridge Estates,"60 Strathaven Close, Bedford (NS)  B4A 4M1",1
Eassons Transport Ltd.,"1505 Harrington Road, Kentville (NS)  B4N 3V7",10
Eisses Farms Ltd,"1190 Thorpe Road, RR 2, Centreville (NS)  B0P 1J0",6
Ellslea Farms Ltd,"925 Bains Road, RR 5, Canning (NS)  B0P 1H0",2
Elmridge Farm (2003) Ltd,"765 Bains Road, RR 2, Centreville (NS)  B0P 1J0",26
EM&I Stantec Ltd.,"10 Thornhill Drive, unité 3, Dartmouth (NS)  B3B 1S1",4
Emera Uitlities Services Incorporated,"31 Dominion Crescent, Lakeside (NS)  B3T 1M3",1
Enercon Services Nova Scotia Inc.,"134, avenue Eileen Stubbs, bureau 102, Dartmouth (NS)  B3B 0A9",1
European Natural Stone & Marble Products Ltd.,"130 Chain Lake Drive, Halifax (NS)  B3S 1A2",1
Eyking Brothers Farms Ltd,"300 Millville Highway, Millville (NS)  B1Y 2E2",9
Eyking Under Glass Ltd,"289 Millville Highway, Millville (NS)  B1Y 2E1",3
Fall River Productions Inc.,"5285, rue Sackville, Halifax (NS)  B3J 1K9",5
Farnell Packaging Ltd,"30, avenue Ilsley, Dartmouth (NS)  B3B 1L3",1
Fire Coat Canada Inc.,"60 Strathaven Close, Bedford (NS)  B4A 4M1",1
Fisher King Seafoods Ltd.,"71 McQuade Lake Crescent, Halifax (NS)  B3S 1C4",1
Fix Auto,"120 North Foord Street, New Glasgow (NS)  B2H 5H1",2
Fleetway Inc (Halifax),"155 Chain Lake Drive, bureau 200, Halifax (NS)  B3S 1B3",1
Forest HIlls Farms,"497 Station Road, Great Village (NS)  B0M 1L0",14
Fox Harb'r Developments Limited (or) Fox Harb'r Golf Resort & Spa,"1337 Fox Harbour Road, Wallace (NS)  B0K 1Y0",2
Fresh Casual Restaurants Inc Fredericton o/a Swiss Chalet,"CP 1180, SUCC Main, Amherst (NS)  B4H 4L2",1
Fuller Bros,"RR 1, Avonport (NS)  B0P 1B0",6
Fundy Restaurant Ltd.,"34, rue Water, Digby (NS)  B0V 1A0",5
G & C Hughes Enterprises Ltd,"136 New Russell Road, RR 2, New Ross (NS)  B0J 2M0",28
GAR Tree Farms Ltd,"595 Farmington Road, RR 1, Barss Corner (NS)  B0R 1A0",31
Gary Belliveau Construction & Excavation Ltd,"455 Little Brook Station Road, Little Brook (NS)  B0W 1Z0",1
Golding Lighting,"6238 Quinpool Road, Halifax (NS)  B3L 1A3",1
Grace Note Child Care Centre,"7071 Bayers Road, bureau 264, Halifax (NS)  B3L 2C2",1
GTL Transportation Inc.,"CP 38171, Dartmouth (NS)  B3B 1X0",4
Guysborough Antigonish Strait Health Authority,"25, rue Bay, Antigonish (NS)  B2G 2G5",1
Halifax Beach Club Limited,"1601, rue Lower Water, bureau 602, Halifax (NS)  B3J 3P6",1
Halifax Biomedical Inc.,"11493 Route 19, Mabou (NS)  B0E 1X0",1
Halterm Container Terminal Limited Partnership,"577 Marginal Road, CP 1057, Halifax (NS)  B3J 2X1",1
Harbour View Haven,"25 Blockhouse Hill Road, CP 1480, Lunenburg (NS)  B0J 2C0",3
Hillside Orchards,"4771 Highway 221, Berwick (NS)  B0P 1E0",10
Hilly Acres Farm Limited,"289 Millville Highway, Millville (NS)  B1Y 2E1",4
Ihab Barber Shop,"19 Alma Crescent, Halifax (NS)  B3N 2C4",2
Irving Shipbuilding Inc.,"CP 9110, Halifax (NS)  B3K 5M7",24
It Takes a Village Inc,"480 Parkland Drive, unité 9, Halifax (NS)  B3S 1P9",1
IWK Health Centre,"5980, avenue University, bureau 5850, Halifax (NS)  B3K 6R8",1
J & M Reeves Christmas Greens Ltd,"1595 Forties Road, New Ross (NS)  B0J 2M0",4
J & V Education Service Inc.,"5252, rue Tobin, bureau 203, Halifax (NS)  B3H 4K2",1
J W Mason & Sons (2013) Limited,"836 Windsor Back Road, RR 1, Windsor (NS)  B0N 2T0",20
Jani-King,"174 Victoria Road, Dartmouth (NS)  B3A 1V9",1
Jani-King,"99 Caldwell Road, Dartmouth (NS)  B2V 1J5",2
Jay`s Convenience Barn Inc,"2340 Longard Plaza, Halifax (NS)  B3K 5K6",1
"Jesse Stone Productions, Inc","170 Thornhill Drive, 2e étage, Dartmouth (NS)  B3B 1S3",13
Joe's Food Emporium,"434, rue Main, CP 2223, Wolfville (NS)  B4P 2N5",3
Kameron Coal Management Ltd,"750 Long Beach Road, Donkin (NS)  B1A 6P2",9
Kelsey Drive Pizza Company Inc. o/a Boston Pizza,"115 Chain Lake Drive, bureau 41, Halifax (NS)  B3S 1B3",3
Kempt Screen Golf,"3199, avenue Connaught, Halifax (NS)  B3L 3A9",1
Kimberlee Farms,"938, rue Saxon, RR 2, Centreville (NS)  B0P 1J0",7
King Bo Restaurant,"226, rue Duke, Chester (NS)  B0J 1J0",1
Ko-Doraka,"1550 Dresden Row, bureau 805, Halifax (NS)  B3J 2A4",1
Lily's Restaurant,"4120 Highway 1, Garlands Crossing, Windsor (NS)  B0N 2T0",1
Lindenright Farm,"Brierly Brook Road, RR 2, Antigonish (NS)  B2G 2K9",1
Lismore Seafoods Inc.,"161 Factory Road, Merigomish (NS)  B0K 1G0",20
Lobster Hub Inc.,"1099 Tower Road, Halifax (NS)  B3H 2Y7",1
Luckett Farms Ltd,"1323 Grand-Pré Road, Wolfville (NS)  B4P 2R3",4
Lutz Family Farm Ltd,"1023 Prospect Road, Berwick (NS)  B0P 1E0",13
Maritime Osteopathy Ltd,"15, rue Empire, Bridgewater (NS)  B4V 2L2",2
Maxwell Properties Limited,"1245, rue Barrington, Halifax (NS)  B3J 1Y2",1
McDonald's Restaurant,"CP 1233, Sydney (NS)  B1P 6J9",1
Melvin Farms Ltd,"420 North Medford Road, Canning (NS)  B0P 1H0",31
Messa Lebanese kitchen,"1 Sandhurst Close, Halifax (NS)  B3M 3R1",1
Mezza Lebanese Kitchen,"16, avenue Garland, Dartmouth (NS)  B3B 0A3",1
Middleton Physiotherapy and Osteopathy Inc,"CP 1676, Middleton (NS)  B0S 1P0",1
Millen Farms Ltd,"80 Little Dyke Road, Great Village (NS)  B0M 1L0",303
Moncton Fresh Casual Restaurants Inc o/a Swiss Chalet,"CP 1180, SUCC Main, Amherst (NS)  B4H 4L2",2
Mountain Lea Lodge,"170, rue Church, RR 1, Bridgetown (NS)  B0S 1C0",1
Natural Forces Wind Inc.,"1801, rue Hollis, bureau 1205, Halifax (NS)  B3J 3N4",1
Nazinga Farms Ltd,"1405 New Road, Aylesford (NS)  B0P 1C0",17
New Minas Big Stop,"5477 Prospect Road, New Minas (NS)  B4N 3K9",1
North East Ocean Lobster Ltd.,"3589 Highway 3, Barrington Passage (NS)  B0W 1G0",1
North Nova Seafoods Ltd,"CP 365, Pictou (NS)  B0K 1H0",61
Nova Scotia College Of Art And Design,"5163, rue Duke, Halifax (NS)  B3J 3J6",1
Nova Scotia College of Early Childhood Education,"80 Mawiomi Place, Dartmouth (NS)  B2Y 0A5",1
Nova Scotia Community College,"CP 1153, SUCC Central, Halifax (NS)  B3J 2X1",2
Nova Scotia Health Authority,"60, rue Vancouver, Yarmouth (NS)  B5A 2P5",1
Nova Scotia Health Authority,"90 Lovett Lake Court, bureau 200, Halifax (NS)  B3S 0H6",1
Nova Scotia Power Inc,"1223, rue Water, Halifax (NS)  B3J 2W5",1
Nu-Air Ventilation Systems Inc.,"16, rue Nelson, CP 2758, Windsor (NS)  B0N 2T0",1
P&K Hardware Ltd.,"CP 100, St. Peter's (NS)  B0E 3B0",1
Pecheries Cheticamp Fisheries Int'l Inc.,"38 La Digue Road, CP 433, Chéticamp (NS)  B0E 1H0",30
Peking Restaurant Ltd,"355, rue Charlotte, Sydney (NS)  B3P 1E1",1
Perfect Berries Ltd,"3647 Highway 1, Berwick (NS)  B0P 1E0",13
Petit de Grat Packers Ltd.,"449 Veteran's Memorial Drive, CP 39, Arichat (NS)  B0E 1A0",10
Pizzatown,"28 Davison Drive, bureau 135, Bridgewater (NS)  B4V 3T2",1
Premium Seafoods Ltd.,"CP 39, Arichat (NS)  B0E 1A0",8
Quality Blasting & Coating Limited,"21 Orion Court, Dartmouth (NS)  B2Y 4S9",2
Rainbow Forest Limited,"1601, rue Lower, bureau 602, Halifax (NS)  B3J 3P6",1
Randsland Farms Inc,"1050 Pereau Road, Canning (NS)  B0P 1H0",46
Reimer Gardens,"2121 Black Rock Road, Waterville (NS)  B0P 1V0",10
Restaurant Compose,"235, rue St. George, Annapolis Royal (NS)  B0S 1A0",1
Richard Ralph Stirling,"10317 Highway 1, Wolfville (NS)  B4P 2R2",62
Richmond Highland Farm Limited,"1099 Richmond Road, Ireton (NS)  B5A 5L5",1
River Breeze Farm Ltd,"108 West North River Road, RR 6, Upper Onslow (NS)  B6L 6Y3",6
Riverside Lobster International Inc.,"CP 147, Meteghan River (NS)  B0W 2L0",23
RJ Farm,"4631 Highway 221, RR 2, Berwick (NS)  B0P 1E0",2
Room to Grow,"103 Cobequid Road, Lower Sackville (NS)  B4C 2N1",1
Royal Nova Scotia Yacht Squadron,"376 Purcell's Cove Road, Halifax (NS)  B3P 1C7",2
Rugby Nova Scotia,"5516 Spring Garden Road, bureau 311, Halifax (NS)  B3J 3G6",1
Sackville Recycling Ltd.,"CP 74, Lower Sackville (NS)  B4C 2S8",2
Saint Mary's University,"923, rue Robie, Halifax (NS)  B3H 3C3",1
Sandy Desert Farms,"280 MacDonald Road, Hardwood Lands (NS)  B0N 1Y0",1
Sarsfield Farms Inc,"CP 27, Canning (NS)  B0P 1H0",24
SBM Nova Scotia Contractors Inc.,"250 Baker Drive, bureau 222, Dartmouth (NS)  B2W 6L4",2
Shambhala Sun,"1660, rue Hollis, bureau 701, Halifax (NS)  B3J 1V7",1
Shawarma Stop,"6290 Quinpool Road, Halifax (NS)  B3L 1A5",1
Sheffield Valley Farms,"8017 Highway 221, Centreville (NS)  B0P 1J0",27
Shree Ganesh Ltd. (Curry Express,"170 Aberdeen Road, unité 2, Bridgewater (NS)  B4V 2S9",2
Skinner's Hill Music Ltd.,"1674, rue Hollis, Halifax (NS)  B3J 1V7",1
