Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
,,Indo Canadian Food Hut Inc.,"BRAMPTON, ON L6Y 0B5",6311-Superviseurs des services alimentaires,1
,,IntelliGo Networks Inc,"Toronto, ON M5J 1A7",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Interhealth Canada Ltd.,"Toronto, ON M5H 2T7",0111-Directeurs financiers,1
,,Junaid Jamshed Incq,"Mississauga, ON L4Z 2J1",0621-Directeurs - commerce de détail et de gros,1
,,Kitchen & Bath Inc.,"OAKVILLE, ON L6H 6A2","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Lamko Tool and Mold Inc.,"London, ON N6E 2T3",7231-Machinistes et vérificateurs d'usinage et d'outillage,3
,,,,7311-Mécaniciens de chantier et mécaniciens industriels,2
,,Learning Curves Foundation,"Toronto, ON M4M 2X4","7334-Mécaniciens de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé",1
,,London Eco-Roof Manufacturing Inc.,"Dorchester, ON N0L 1G4",7291-Couvreurs et poseurs de bardeaux,3
,,Luthra Law Office,"MISSISSAUGA, ON L5S 0A2",1241-Adjoints administratifs,1
,,Marin Contracting Limited,"Concord, ON L4K 4X2",7271-Charpentiers-menuisiers,2
,,Mario's Flooring Inc,"Mississauga, ON L5A 3T2",7295-Poseurs de revêtements d'intérieur,1
,,Merinos Carpet Inc.,"MISSISSAUGA, ON L5T 1V9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Milestone Tire Canada Corp.,"Scarborough, ON M1S 3A7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Mircom Technologies Ltd.,"Vaughan, ON L4K 5W3",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
,,MITACS Inc.,"TORONTO, ON M5H 4E3",1241-Adjoints administratifs,1
,,Modern Builders Construction Inc.,"MISSISSAUGA, ON L5N 5K5",7271-Charpentiers-menuisiers,1
,,Neptune Security Services Inc.,"Mississauga, ON L5K 2R8","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,Noble Mortgages Inc.,"WOODBRIDGE, ON L4L 8S5",1241-Adjoints administratifs,1
,,North Legacy Group Inc.,"Toronto, ON M6J 1X5",7281-Briqueteurs-maçons,1
,,Ontario Impex of Canada,"BRAMPTON, ON L6T 1E2",6211-Superviseurs des ventes - commerce de détail,1
,,Perpetuo Masonry Ltd.,"TORONTO, ON M6H 2L2",7281-Briqueteurs-maçons,1
,,Poltech Buher Inc.,"Concord, ON L4K 3E4",2232-Technologues et techniciens en génie mécanique,1
,,Popular Tire Sales & Services Inc,"Mississauga, ON L5S 1M5",1221-Agents d'administration,1
,,Premium Host Inc. o/a Paramount Fine Foods,"Mississauga, ON L5W 1P7",0631-Directeurs de la restauration et des services alimentaires,1
,,Progressive Auto Sales (Sarnia) Inc,"Sarnia, ON N7S 3X9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,,Proplus Construction Inc.,"Scarborough, ON M1V 4S9",7237-Soudeurs et opérateurs de machines à souder et à braser,3
,,Protech Chemicals Ltd.,"TORONTO, ON M9L 1X3",7311-Mécaniciens de chantier et mécaniciens industriels,1
,,Proteck Roofing & Sheet Metal Inc.,"Toronto, ON M9V 4K6",7291-Couvreurs et poseurs de bardeaux,1
,,Radke Films Ltd,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",3
,,RBT Limited,"Acton, ON L7J 1W7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Richmond Hill Medical and Surgical Centre,"RICHMOND HILL, ON L4C 0Y7",1222-Adjoints de direction,1
,,Royal Show Inc.,"Concord, ON L4K 1L4",6211-Superviseurs des ventes - commerce de détail,3
,,S.A. Concrete & Drain,"Kitchener, ON N2R 0B3",7282-Finisseurs de béton,3
,,Sanjha Punjab Radio and TV Inc.,"BRAMPTON, ON L6S 5Z4",1241-Adjoints administratifs,1
,,Sequoia Content Limited,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,,,"5227-Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",1
,,Shabad Transport Inc.,"WOODBRIDGE, ON L4L 1A7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Simply Green Home Services Inc.,"North york, ON M2J 5C1",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Skotidakis Goat Farm,"St-Eugene, ON K0B 1P0","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
,,Skydive Toronto Inc.,"EVERETT, ON L0M 1J0","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",2
,,"Soft Citizen, Inc","TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,South Essex Fabricating Inc.,"Leamington, ON N8H 3W5",2132-Ingénieurs mécaniciens,1
,,Steam Films Inc.,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Suneeva Ltd.,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,T.P. Construction Co.,"NORTH YORK, ON M3C 1A6",7292-Vitriers,1
,,TD International AG Inc.,"MONO, ON L9W 5W1",8612-Manoeuvres en aménagement paysager et en entretien des terrains,6
,,The Bagel House / 2187024 Ontario Inc,"Toronto, ON M5M 3Y6",0621-Directeurs - commerce de détail et de gros,1
,,The Japan Society,"Toronto, ON M5H 4E7",1221-Agents d'administration,1
,,U of O Institute of mental health research,"Ottawa, ON K1Z 7K4",2121-Biologistes et personnel scientifique assimilé,1
,,Unilock Ltd,"GEORGETOWN, ON L7G 4X6",7242-Électriciens industriels,1
,,UTD Systems Inc,"Vaughan, ON L4J 8R8",7235-Assembleurs et ajusteurs de plaques et de charpentes métalliques,1
,,Value Mobile,"VAUGHAN, ON L4L 8A3",8431-Ouvriers agricoles,2
,,Venture Steel Inc.,"ETOBICOKE, ON M9W 1L8",7311-Mécaniciens de chantier et mécaniciens industriels,1
,,Vision Entertainment Inc.,"Toronto, ON M6A 2A4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,Vlad's Dance Company,"RICHMOND HILL, ON L4E 4J6","5243-Ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques",1
,,Zurich Pharma Inc.,"Windsor, ON N8X 4L2",2211-Technologues et techniciens en chimie,1
,   Bas salaire,1036074 Ontario Inc.,"TORONTO, ON M1S 4N8",0631-Directeurs de la restauration et des services alimentaires,1
,,1073197 Ontario Ltd.,"TORONTO, ON M4K 1B4",6321-Chefs,1
,,1397280 Ontario Ltd. o/a Western Town College for ESL,"TORONTO, ON M4P 1E8",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,,1432126 Ontario Inc,"Mississauga, ON L4W 1G8",1241-Adjoints administratifs,1
,,1533371 Ontario Inc.,"Mississauga, ON L5S 1B1","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",1
,,1568091 Ontario Ltd. o/a Mohan Wellness & Rehab Clinic,"Scarborough, ON M1S 4Z4",3232-Praticiens des médecines douces,1
,,1574626 Ontario Inc. O/A Auto Spa Express,"Burlington, ON L7L 5H9",6732-Nettoyeurs spécialisés,1
,,1599761 Ontario Ltd.,"Pefferlaw, ON L0E 1N0",7511-Conducteurs de camions de transport,2
,,1615029 Ontario Inc,"Mississauga, ON L5T 1E4",6211-Superviseurs des ventes - commerce de détail,1
,,1681748 Ont Inc. O/A Macs/Circle K,"Woodbridge, ON L4H 0J8",6211-Superviseurs des ventes - commerce de détail,1
,,1756555 Ontario Ltd.,"Toronto, ON M4Y 1J8",6322-Cuisiniers,1
,,1759110 Ontario Inc o/a A&W Aberfoyle,"GUELPH, ON N1L 0C7","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,1925Workbench Ltd.,"Etobicoke, ON M8W 3C5",7272-Ébénistes,1
,,1929382 Ontario Inc.,"Mississauga, ON L4Y 2Y5",6321-Chefs,1
,,1948785 Ontario Limited,"VAUGHN, ON L4K 5W7",6322-Cuisiniers,2
,,1960408 Ontario Inc.,"MISSISSAUGA, ON L5N 8J4",6322-Cuisiniers,1
,,2115722 Ontario Inc. o/a Wabora Fusion Japanese Restaurant,"BRACEBRIDGE, ON P1L 1P3",6322-Cuisiniers,1
,,2120546 Ontario Inc. o/a Skydome Auto and Body Centre,"BRAMPTON, ON L6W 3K7",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,2139111 Ontario Inc.,"Kemptville, ON K0G 1J0",6321-Chefs,1
,,2176738 Ontario Inc. o/a Subway Pembroke Downtown,"Pembroke, ON K8A 7A3",0631-Directeurs de la restauration et des services alimentaires,1
,,2265779 Ontario Inc. O/a 905 INK TATTOOS,"Brampton, ON L6S 0C1","6562-Esthéticiens, électrolystes et personnel assimilé",1
,,2294671 Ontario Inc. o/a Lahore Tikka House,"Toronto, ON M4L 1Z3",0631-Directeurs de la restauration et des services alimentaires,1
,,2322117 Ontario Inc.,"Ottawa, ON K2P 1M2",6321-Chefs,1
,,2355539 Ontario Inc. o/a Little Ceasars Pizza,"GEORGETOWN, ON L7G 5B5",6311-Superviseurs des services alimentaires,1
,,2373431 Ontario Inc.,"BRAMPTON, ON L6X 4X7",6311-Superviseurs des services alimentaires,1
,,2391884 Ontario Inc.,"ST. CATHARINES, ON L2T 3J8",0631-Directeurs de la restauration et des services alimentaires,1
,,2411603 Ontario Inc.,"WINDSOR, ON N9E 4N7",6322-Cuisiniers,1
,,2423293 Ontario Inc. O/S Oakland Foods Store,"Oakland, ON N0E 1L0",6311-Superviseurs des services alimentaires,1
,,2482396 Ontario Inc. O/A Subway,"RED LAKE, ON P0V 2M0",6311-Superviseurs des services alimentaires,1
,,2500204 Ontario Inc. o/a KIBO SUSHI,"Toronto, ON M5V 3P7",0631-Directeurs de la restauration et des services alimentaires,1
,,7169191 Canada Ltd.,"Mississauga, ON L5T 2L2",1241-Adjoints administratifs,1
,,9109064 Canada Inc. o/a Marhaba Book Store & Hijab Fashion,"Mississauga, ON L5V 3A4",6211-Superviseurs des ventes - commerce de détail,1
,,9676392 Canada Inc.,"TORONTO, ON M2J 4R4",6321-Chefs,1
,,ACL Steel Ltd.,"Kitchener, ON N2B 3X4",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
,,Anatolia Tile & Stone Inc.,"VAUGHAN, ON L4L 1A5",5242-Designers d'intérieur et décorateurs d'intérieur,1
,,Arconas Corporation,"MISSISSAUGA, ON L5R 3H5",2282-Agents de soutien aux utilisateurs,1
,,Astoria Shish Kebob House Inc.,"TORONTO, ON M4K 1P3",6321-Chefs,1
,,Baklava House INC,"TORONTO, ON M4T 1Y5",6321-Chefs,1
,,Barilo's Fine Sausages Ltd,"Newmarket, ON L3Y 9E8","9461-Opérateurs de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes",2
,,Baxter Kitchens Inc.,"Toronto, ON M1S 4A4",1431-Commis à la comptabilité et personnel assimilé,1
,,Canephora Inc,"TORONTO, ON M2R 1M6",6321-Chefs,1
,,Chillies Indian Restaurant Inc,"Nepean, ON K2J 4Y6",6322-Cuisiniers,1
,,Creeds Coffee Bar,"TORONTO, ON M9N 2V8",0631-Directeurs de la restauration et des services alimentaires,1
,,Dekora Album Corporation,"TORONTO, ON M3J 2W6",5244-Artisans,1
,,Dhanoa Group Ltd. o/a A&W,"Mississauga, ON L5W 1T2",6311-Superviseurs des services alimentaires,3
,,Eben-ezer Christian School,"CAMPDEN, ON L0R 1G0",4217-Autre personnel relié à la religion,1
,,Fast Transport Inc.,"AURORA, ON L4G 1H9",7511-Conducteurs de camions de transport,5
,,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7233-Tôliers,2
,,,,7291-Couvreurs et poseurs de bardeaux,2
,,Hamdani Textiles Ltd,"ST. CATHARINES, ON L2R 5E9","9447-Contrôleurs et trieurs dans la fabrication de produits textiles, de tissus, de fourrure et de cuir",6
,,Hanna's Bakery Inc.,"Ottawa, ON K1B 3V3",6332-Boulangers-pâtissiers,1
,,Johnson's Sanitation Services Ltd.,"TORONTO, ON M9N 2S4",7511-Conducteurs de camions de transport,1
,,K&L Francis Inc.,"Huntsville, ON P1H 2K8",6311-Superviseurs des services alimentaires,3
,,Kintako Japanese Restaurant,"East York, ON M4G 3W4",6321-Chefs,1
,,Magnitude Well-Being Centre Inc.,"MISSISSUGA, ON L5L 5Y6","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,Marcantonio Designs Limited,"Concord, ON L4K 4T2",6345-Tapissiers-garnisseurs,1
,,Metal Insulations Ltd.,"NIAGARA FALLS, ON L2G 7K3",7452-Manutentionnaires,3
,,Michaels Hair Design Inc.,"Thunder Bay, ON P7C 5P5",6341-Coiffeurs et barbiers,1
,,MJ Tungsten Ltd.,"Markham, ON L3R 9R3",6623-Autre personnel assimilé des ventes,1
,,Mrakovic Meat & Deli,"Etobicoke, ON M9C 4R1",6332-Boulangers-pâtissiers,1
,,New Star Transport Inc,"Brampton, ON L6P 3X6",7511-Conducteurs de camions de transport,1
,,Om Shakti Maiya Inc.,"OAKVILLE, ON L6J 0A3",0621-Directeurs - commerce de détail et de gros,1
,,Ozone West Wellness Ltd.,"Cobourg, ON K9A 4J8",6311-Superviseurs des services alimentaires,1
,,Pizza Pizza #263,"Pickering, ON L1V 4M1",0631-Directeurs de la restauration et des services alimentaires,1
,,PJP INC.,"BURLINGTON, ON L7R 2E3",6322-Cuisiniers,1
,,Premium Sauces Ltd,"UXBRIDGE, ON L9P 0C7","9461-Opérateurs de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes",1
,,Queen Video Limited,"Mississauga, ON L5G 1E1",6322-Cuisiniers,1
,,Royal Canadian Military Institute Services,"TORONTO, ON M5G 1S9",6322-Cuisiniers,4
,,Safety First Consulting Professional Corp,"CONCORD, ON L4K 4S2","4165-Recherchistes, experts-conseils et agents de programmes en politiques de la santé",1
,,Saigon House Restaruant Inc,"Brampton, ON L6T 5P1",6322-Cuisiniers,2
,,Savonarota Enterprises Inc.,"Toronto, ON M2N 5P9",6322-Cuisiniers,1
,,Sherwood Chicken Foods Inc.  o/a KFC Taco Bell,"NORTH YORK, ON M6A 3B4",6311-Superviseurs des services alimentaires,1
,,Shirini Sara Pastry House Ltd.,"Toronto, ON M3B 2M5",6332-Boulangers-pâtissiers,1
,,Sikgaek Inc.,"MISSISSAUGA, ON L4Y 2B6",6322-Cuisiniers,1
,,Soul Restaurants Canada Inc. o/a KFC,"TORONTO, ON M2N 6K1",6311-Superviseurs des services alimentaires,1
,,Success Business Pages Inc.,"GEORGETOWN, ON L7G 5Y9",1241-Adjoints administratifs,1
,,Sushi 2 Go Queensway,"ETOBICOKE, ON M8Z 1N8",6322-Cuisiniers,1
,,Symphony Communication Ltd. O/A Kusina Food Express,"MISSISSAUGA, ON L5B 4M4",6322-Cuisiniers,1
,,TDA Landscape Services Inc.,"AJAX, ON L1S 2B9","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,,The Blue Heron Company Limited,"TOBERMORY, ON N0H 2R0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,The Chunhwa Training Centre,"Ottawa, ON K1J 6N4","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,The Solar Group Inc,"SCARBOROUGH, ON M1N 1V4",6732-Nettoyeurs spécialisés,5
,,Torba Restaurants Inc. o/a Wendy's Restaurant,"Schumacher, ON P0N 1G0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",2
,,Toronto Softtech Inc.,"Toronto, ON M6G 1L7",6322-Cuisiniers,1
,,Turco Persian Rug Company Inc,"Toronto, ON M5A 1R2",7445-Autres réparateurs et préposés à l'entretien,1
,,Union Worldwide Enterprise Ltd.,"TORONTO, ON M5R 2A7",7246-Installateurs et réparateurs de matériel de télécommunications,1
,,Vilampara Media - 2216639 Ontario Inc.,"TORONTO, ON M5R 2A5",5241-Designers graphiques et illustrateurs,1
,,Warraich Meats Ltd,"BRAMPTON, ON L6P 2Z8",6311-Superviseurs des services alimentaires,1
,,"Yconic, Inc.","TORONTO, ON M4S 2B8","1123-Professionnels en publicité, en marketing et en relations publiques",1
