Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT demandes","Postes demandes"
Québec,"Haut salaire","A A RECRUTEMENT DES TRAVAILLEURS","VICTORIAVILLE, QC G6P 2M6","1241-Adjoints administratifs",Inconnu,1,1
Québec,"Haut salaire","Bazar café inc","Montréal, QC H2S 1R6",7251-Plombiers,Inconnu,1,1
Québec,"Haut salaire","Les studios Besame inc.","Montréal, QC H2S 2M3","6562-Esthéticiens, électrolystes et personnel assimilé",Inconnu,1,1
Québec,"Haut salaire","Martial Excavation Inc.","Saint-Hubert, QC J3Y 2S1","7511-Conducteurs de camions de transport",Inconnu,1,1
Québec,"Haut salaire","PSK Consultation","Montreal, QC H8R 2G1","0601-Directeurs des ventes corporatives",Inconnu,1,1
Québec,"Haut salaire","Sailor Productions Inc","MONTREAL, QC H2S 2L9","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Inconnu,1,1
Québec,"Haut salaire","SELEKKTUS Solutions d'embauche inc.","Montreal, QC H3C 1L9","1211-Superviseurs de commis de bureau et du personnel de soutien administratif",Inconnu,1,1
Québec,"Haut salaire","SELEKKTUS Solutions d'embauche inc.","Montreal, QC H3C 1L9","1523-Coordonnateurs de la logistique de la production",Inconnu,1,1
Ontario,"Agriculture primaire","Pure Flavor Farms Inc","Staples, ON N0P 2J0","8431-Ouvriers agricoles",Inconnu,1,288
Ontario,"Agriculture primaire","Sharon Mushroom Farm","Sharon, ON L0G 1V0","8431-Ouvriers agricoles",Inconnu,1,18
Ontario,"Bas salaire","1000032146 ONTARIO INC","Minden, ON K0M 2K0","0621-Directeurs - commerce de détail et de gros",Inconnu,1,1
Ontario,"Bas salaire","1000199177 Ontario Inc.","London, ON N5Z 2A2","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Ontario,"Bas salaire","1000380620 Ontario Inc.","Barrie, ON L4N 9C7","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Ontario,"Bas salaire","10176729 Canada Inc","Ottawa, ON K1S 2J8","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,1
Ontario,"Bas salaire","10429767 CANADA INC.","THORNHILL, ON L4J 8J2","6562-Esthéticiens, électrolystes et personnel assimilé",Inconnu,1,1
Ontario,"Bas salaire","11148095 Canada Inc.","Scarborough, ON M1S 5M9",6322-Cuisiniers,Inconnu,1,1
Ontario,"Bas salaire","1151001 ONTARIO LTD","Pickering, ON L1W 3V5","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",Inconnu,1,4
Ontario,"Bas salaire","11669877 CANADA INC","Ottawa, ON K1N 5X8","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Ontario,"Bas salaire","11779770 CANADA INC.","Mississauga, ON L5S 1V9","1411-Employés de soutien de bureau généraux",Inconnu,1,1
Ontario,"Bas salaire","12082799 Canada Inc.","Markham, ON L3R 1H5","7511-Conducteurs de camions de transport",Inconnu,1,1
Ontario,"Bas salaire","12214768 Canada Inc.","Ottawa, ON K1Y 2Y6",6322-Cuisiniers,Inconnu,1,1
Ontario,"Bas salaire","12308011 CANADA INC","Blenheim, ON N0P 1A0","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Ontario,"Bas salaire","12624320 Canada Inc.","North York, ON M3N 1V7","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",Inconnu,3,5
Ontario,"Bas salaire","12796490 Canada Inc.","Scarborough, ON M1B 2W2",6321-Chefs,Inconnu,1,1
Ontario,"Bas salaire","1343059 Ontario Limited","Mississauga, ON L5B 3X9",6322-Cuisiniers,Inconnu,1,1
Ontario,"Bas salaire","13639452 Canada Inc.","Brampton, ON L7A 2X4","7294-Peintres et décorateurs (sauf décorateurs d'intérieur)",Inconnu,1,1
Ontario,"Bas salaire","1746104 Ontario Corp.","Mississauga, ON L5T 2J1","2242-Électroniciens d'entretien (biens domestiques et commerciaux)",Inconnu,1,1
Ontario,"Bas salaire","2021 Jay Ambe Inc.","Guelph, ON N1H 7B4",6322-Cuisiniers,Inconnu,1,1
Ontario,"Bas salaire","2213206 ONTARIO LIMITED","Bolton, ON L7E 4H1","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,1
Ontario,"Bas salaire","2234881 Ontario Inc.","Oakville, ON L6L 5W8","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,1
Ontario,"Bas salaire","2371344 Ontario Inc.","Toronto, ON M1X 1E7","1411-Employés de soutien de bureau généraux",Inconnu,1,2
Ontario,"Bas salaire","2549177 Ontario Inc.","Scarborough, ON M1S 3T6",6322-Cuisiniers,Inconnu,1,2
Ontario,"Bas salaire","2574346 Ontario LTD.","Richmond Hill, ON L4B 3Y4","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,1
Ontario,"Bas salaire","2678642 Ontario Inc.","Cambridge, ON N1R 3Z8","7612-Autres manoeuvres et aides de soutien de métiers",Inconnu,1,1
Ontario,"Bas salaire","2703323 Ontario Inc","Scarborough, ON M1B 2G6","1221-Agents d'administration",Inconnu,1,1
Ontario,"Bas salaire","2779571 Ontario Inc.","Smooth Rock Falls, ON P0L 1V0","6314-Superviseurs des services d'information et des services à la clientèle",Inconnu,1,2
Ontario,"Bas salaire","2839105 Ontario Inc.","Brampton, ON L6P 3W4","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,1
Ontario,"Bas salaire","7073674 Canada Ltd","Ottawa, ON K1P 5N2","6733-Concierges et surintendants d'immeubles",Inconnu,1,1
Ontario,"Bas salaire","7186428 Canada Inc. Brule Enterprises","Ottawa, ON K4A  4W","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial","Entreprise à propriétaire unique",1,1
Ontario,"Bas salaire","9924965 Canada Inc","Brampton, ON L6P 2A9","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Bas salaire","A & F Galati Limited","North York, ON M2H 1J8","1221-Agents d'administration",Inconnu,1,1
Ontario,"Bas salaire","Abundant Foods Investment Inc.","North York, ON M3N 1H4","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,2
Ontario,"Bas salaire","Accurate Glass Products Inc.","Barrie, ON L4N 7W6","9413-Opérateurs de machines à former et à finir le verre et coupeurs de verre",Inconnu,1,5
Ontario,"Bas salaire","AGTA HOME HEALTH CARE SIMCOE COUNTY INC","Barrie, ON L4N 9A8","3011-Coordonnateurs et superviseurs des soins infirmiers",Inconnu,1,1
Ontario,"Bas salaire","Andrew Enofe Real Estate Inc","WOODBRIDGE, ON L4L 0G9","1122-Professionnels des services-conseils en gestion aux entreprises",Inconnu,1,1
Ontario,"Bas salaire","ANY Group Inc","Toronto, ON M9V 3Y6","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Bas salaire","Bridging Square Inc","Mississauga, ON L4Z 1V9","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Bas salaire","Bullet Freight LTD","Brantford, ON N3T 5L8","7511-Conducteurs de camions de transport",Inconnu,1,3
Ontario,"Bas salaire","Burnbrae Farms Ltd","Lyn, ON K0E 1M0","6315-Surveillants des services de nettoyage",Inconnu,1,1
Ontario,"Bas salaire","Carez Nursing Solutions Inc.","HAMILTON, ON L8E 4V4","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",Inconnu,1,1
Ontario,"Bas salaire","CARMA Corp.","Lindsay, ON K9V 4R3","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Ontario,"Bas salaire","Chibugan Eh Inc.","Mississauga, ON L4Y 4G6","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Bas salaire","Chiyue Food Processing Inc.","CONCORD, ON L4K 1L3","6411-Représentants des ventes et des comptes - commerce de gros (non-technique)",Inconnu,1,1
Ontario,"Bas salaire","Citywide Automation Inc.","Woodbridge, ON L4L 4A3","2241-Technologues et techniciens en génie électronique et électrique",Inconnu,1,1
Ontario,"Bas salaire","Clonard Group Inc","Toronto, ON M3J 2G6",7271-Charpentiers-menuisiers,Inconnu,1,1
Ontario,"Bas salaire","Critical Hit Gaming Lounge Inc.","Courtice, ON L1E 2R6","6533-Personnel préposé au jeu dans les casinos",Inconnu,1,1
Ontario,"Bas salaire","CSH (Rockcliffe) Inc.","Ottawa, ON K1N 0A2","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",Inconnu,1,1
Ontario,"Bas salaire","DGZ ENTERPRISE (GROUP),INC.","Scarborough, ON M1S 3C8","7514-Chauffeurs-livreurs - services de livraison et de messagerie",Inconnu,1,1
Ontario,"Bas salaire","East Toronto Village Children's Centre","Toronto, ON M4E 2Z4","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,1
Ontario,"Bas salaire","Efren Encarnacion Physiotherapy Professional Corporation","Thornhill, ON L3T 1H4","3414-Autre personnel de soutien des services de santé",Inconnu,1,1
Ontario,"Bas salaire","EIDS CONSULTANTS INC.","Mississauga,, ON L5M 2S1","2131-Ingénieurs civils",Inconnu,1,1
Ontario,"Bas salaire","EXCEL MACHINERY SALES CORPORATION","TECUMSEH, ON N8N 5C6","7311-Mécaniciens de chantier et mécaniciens industriels",Inconnu,1,1
Ontario,"Bas salaire","F Selim Inc.","Mississauga, ON L5C 4E3","6311-Superviseurs des services alimentaires",Inconnu,1,1
Ontario,"Bas salaire","Farah Family Solutions Inc.","Toronto, ON M9N 1H4","4212-Travailleurs des services sociaux et communautaires",Inconnu,1,1
Ontario,"Bas salaire","First Choice Beverage Inc.","Mississauga, ON L5T 2T6","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",Inconnu,1,1
Ontario,"Bas salaire","Galaxy Home Furnishing Corp.","Mississauga, ON L5T 2S9","1524-Commis aux achats et au contrôle de l'inventaire",Inconnu,1,1
Ontario,"Bas salaire","Gamma Immigration Services Canada Inc","Brmpton, ON L6X 0R7","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Ontario,"Bas salaire","GM TRUCK & TRAILER REPAIR SERVICES INC.","Mississauga, ON L5T 1E4","6221-Spécialistes des ventes techniques - commerce de gros",Inconnu,1,1
Ontario,"Bas salaire","H&Y International Trading Inc.","Markham, ON L3R 1A4","2263-Inspecteurs de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail",Inconnu,1,1
Ontario,"Bas salaire","Harwash Inc.","Mississauga, ON L5B 0G7","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,2
Ontario,"Bas salaire","Hex IT Solutions Inc.","Mississauga, ON L5N 2X7","2281-Techniciens de réseau informatique",Inconnu,1,1
Ontario,"Bas salaire","Incareof Inc","Mississauga, ON L5C 4P9","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",Inconnu,1,1
Ontario,"Bas salaire","Infinity Building Solutions Inc.","Georgetown, ON L7G 0H6","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Ontario,"Bas salaire","iRestify Inc","Toronto, ON M5C 1C4","0714-Directeurs de l'exploitation et de l'entretien d'immeubles",Inconnu,1,1
Ontario,"Bas salaire","Ivan B. Wallace Ontario Land Surveyor Inc.","Bomanville, ON L1C 4N4","2254-Technologues et techniciens en arpentage",Inconnu,1,1
Ontario,"Bas salaire","JIC Consultant Limited","Toronto, ON M9M 0A2","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Bas salaire","Kelvin Sales Inc","Brampton, ON L7A 4H4","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Bas salaire","Kohinoor Looms Inc.","Etobicoke, ON M9V 2X4","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,2
Ontario,"Bas salaire","lakesview renovations & construction inc.","Brampton, ON L6X 0N3","7294-Peintres et décorateurs (sauf décorateurs d'intérieur)",Inconnu,1,2
Ontario,"Bas salaire","London Industrial Group Corporation","london, ON N5Y 3J7","6733-Concierges et surintendants d'immeubles",Inconnu,1,1
Ontario,"Bas salaire","MADIX GRAPHIC SOLUTIONS","MISSISSAUGA, ON L5T 1H3","1221-Agents d'administration",Inconnu,1,1
Ontario,"Bas salaire","Microstar Biotech Inc","Dundas, ON L9H 6C7","6421-Vendeurs - commerce de détail",Inconnu,1,1
Ontario,"Bas salaire","Migration Solutions Canada Inc.","Mississauga, ON L5B 3Z6","1411-Employés de soutien de bureau généraux",Inconnu,1,1
Ontario,"Bas salaire","MISSION CONTROL NOC AND HELPDESK SERVICES","TORONTO, ON M3J 3H7","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Bas salaire","MISSION CONTROL NOC AND HELPDESK SERVICES","TORONTO, ON M3J 3H7","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Ontario,"Bas salaire","MKR Restaurant Inc","cornwall, ON K6H 2B8","0631-Directeurs de la restauration et des services alimentaires",Inconnu,1,1
Ontario,"Bas salaire","NOBLE CARE STAFFING INC","BOWMANVILLE, ON L1C 0N9","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",Inconnu,1,10
Ontario,"Bas salaire","Northern Stars Montessori School & Daycare","barrie, ON L4N 4K8","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,1
Ontario,"Bas salaire","Orange contracting inc.","Richmond Hill, ON L4E 4A1",7281-Briqueteurs-maçons,Inconnu,1,2
Ontario,"Bas salaire","PASS PEBC LTD.","Lynden, ON L0R 1T0","7305-Surveillants du transport routier et du transport en commun",Inconnu,1,1
Ontario,"Bas salaire","Pollard Windows Inc","Burlington, ON L7R 3Y3","7511-Conducteurs de camions de transport",Inconnu,1,2
Ontario,"Bas salaire","Pro Aire Heating and Cooling Inc","Brampton, ON L7A 5H5","7612-Autres manoeuvres et aides de soutien de métiers",Inconnu,1,1
Ontario,"Bas salaire","Rebma Transport Inc","Brampton, ON L6X 0L9","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Bas salaire","Redi-Plumbing Inc.","Woodbridge, ON L4H 1K8","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,2
Ontario,"Bas salaire","ROADLINE LOGISTICS INC","TORONTO, ON M9C 4V9","7511-Conducteurs de camions de transport",Inconnu,1,1
Ontario,"Bas salaire","Royal SC Ltd","Concord, ON L4K 2P2","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",Inconnu,1,3
Ontario,"Bas salaire","SilverEagle Consulting Inc.","Etobicoke, ON M9C 5J1","1241-Adjoints administratifs",Inconnu,1,2
Ontario,"Bas salaire","SNP Contracting Services INC","Toronto, ON M9N 1Z4","8612-Manoeuvres en aménagement paysager et en entretien des terrains",Inconnu,1,1
Ontario,"Bas salaire","Tangri insurance & Financial  Group Inc","Mississauga, ON L5S 1N6","1221-Agents d'administration",Inconnu,1,1
Ontario,"Bas salaire","The dollar store plus inc","Mississaugh, ON L5L 3R4","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,2
Ontario,"Bas salaire","The Royal Apron Inc","Gloucester, ON K1T 0N4","6221-Spécialistes des ventes techniques - commerce de gros",Inconnu,1,1
Ontario,"Bas salaire","Totals Inventory Professionals","MISSISSAUGA, ON L4W 5K4","1221-Agents d'administration",Inconnu,1,1
Ontario,"Bas salaire","TRADESTATE INC.","MILTON, ON L9T 6B6","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Bas salaire","Westboro Montessori School Inc","Ottawa, ON K1Z 6X3","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,1
Ontario,"Bas salaire","Westlife Associates Inc","Tottenham, ON L0G 1W0","6311-Superviseurs des services alimentaires",Inconnu,1,2
Ontario,"Bas salaire","Windsor Veterinary Professional Corporation","Windsor, ON N8Y 2N8","6563-Soigneurs d'animaux et travailleurs en soins des animaux",Inconnu,1,1
Ontario,"Bas salaire","Yamato Transport U.S.A., Inc.","MISSISSAUGA, ON L4V 1H3","7514-Chauffeurs-livreurs - services de livraison et de messagerie",Inconnu,1,1
Ontario,"Haut salaire","1000151525 ONTARIO LTD.","Mississauga, ON L5B 0M9","1221-Agents d'administration",Inconnu,1,1
Ontario,"Haut salaire","1000256345 Ontario Corporation","Mississauga, ON L5T 2J6","1221-Agents d'administration",Inconnu,1,1
Ontario,"Haut salaire","1000380620 Ontario Inc.","Barrie, ON L4N 9C7","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
Ontario,"Haut salaire","1000503183 ONTARIO INC","Thornhill, ON L4J 1B5","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Ontario,"Haut salaire","1000583100 ONTARIO INC.","North York, ON M3H 5M6","2253-Technologues et techniciens en dessin",Inconnu,1,1
Ontario,"Haut salaire","10800201 Canada Limited","Cambridge, ON N1R 8A8","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
Ontario,"Haut salaire","10839795 Canada Inc.","Pickering, ON L1V 6M4","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
Ontario,"Haut salaire","11156209 CANADA INC","Mississauaga, ON L5B 4P6",6332-Boulangers-pâtissiers,Inconnu,1,1
Ontario,"Haut salaire","11549146 CANADA CORPORATION","Brampton, ON L6W 2C2","1221-Agents d'administration",Inconnu,1,1
Ontario,"Haut salaire","11661477 Canada Inc.","Toronto, ON M6J 2H2","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Inconnu,1,1
Ontario,"Haut salaire","12287927 Canada INC","Cambridge, ON N1T 2G5","1223-Agents des ressources humaines et de recrutement",Inconnu,1,1
Ontario,"Haut salaire","12393107 CANADA INC.","Brampton, ON L6X 0Y7","0631-Directeurs de la restauration et des services alimentaires",Inconnu,1,1
Ontario,"Haut salaire","12497417 CANADA INC","Toronto, ON M5G 1Z3","0621-Directeurs - commerce de détail et de gros",Inconnu,1,1
Ontario,"Haut salaire","12880911 CANADA INC.","Milton, ON L9T 8M3","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",Inconnu,1,1
Ontario,"Haut salaire","13027295 Canada Inc.","Brampton, ON L6X 1Z3","7204-Entrepreneurs et contremaîtres en charpenterie",Inconnu,1,1
Ontario,"Haut salaire","13144097 Canada Inc.","Ottawa, ON K1P 5G3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",Inconnu,1,1
Ontario,"Haut salaire","13639452 Canada Inc.","Brampton, ON L7A 2X4",7271-Charpentiers-menuisiers,Inconnu,1,2
Ontario,"Haut salaire","14303369 Canada Inc","Mississauga, ON L5N 5V3","1221-Agents d'administration",Inconnu,1,1
Ontario,"Haut salaire","14303369 Canada Inc","Mississauga, ON L5N 5V3","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Ontario,"Haut salaire","14518322 Canada Inc.","Toronto, ON M5A 1S9","0125-Directeurs d'autres services aux entreprises",Inconnu,1,1
Ontario,"Haut salaire","14962281 Canada Inc","EAST TORONTO, ON M5A 1S9","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",Inconnu,1,1
Ontario,"Haut salaire","1578342 Ontario Inc O/A Printwell Printers","Mississauga, ON L4W 1S4","7303-Surveillants de l'imprimerie et du personnel assimilé",Inconnu,1,1
Ontario,"Haut salaire","1948711 Ontario Inc.","Mississauga, ON L4Z 1T2","2281-Techniciens de réseau informatique",Inconnu,1,1
Ontario,"Haut salaire","2075358 Ontario Inc.","Brampton, ON L6T 0G5","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Haut salaire","2113228 Ontario Inc.","Mississauga, ON L4T 1G8","7511-Conducteurs de camions de transport",Inconnu,1,1
Ontario,"Haut salaire","2272803 ONTARIO INC","ST. THOMAS, ON N5P 0G8","0631-Directeurs de la restauration et des services alimentaires",Inconnu,1,1
Ontario,"Haut salaire","2332254 ONTARIO INC","Mississauga, ON L4W 1B2","1123-Professionnels en publicité, en marketing et en relations publiques",Inconnu,1,1
Ontario,"Haut salaire","2372578 ontario inc","Brampton, ON L6W 3N3","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Haut salaire","2377878 ONTARIO INC.","Innisfil, ON L9S 0K6","0621-Directeurs - commerce de détail et de gros",Inconnu,1,1
Ontario,"Haut salaire","2438588 ONTARIO INC.","BRAMPTON, ON L6T 1V1","1211-Superviseurs de commis de bureau et du personnel de soutien administratif",Inconnu,1,1
Ontario,"Haut salaire","2559294 Ontario Inc.","North York, ON M9L 1Y2","7312-Mécaniciens d'équipement lourd",Inconnu,1,2
Ontario,"Haut salaire","2720069 ontario inc","brampton, ON L6W 4N6","1221-Agents d'administration",Inconnu,1,1
Ontario,"Haut salaire","2778532 Ontario Inc.","Brampton, ON L7A 0S9","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
Ontario,"Haut salaire","2813955 Ontario Inc.","Brampton, ON L6Y 2W9","7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation",Inconnu,1,1
Ontario,"Haut salaire","2845159 ONTARIO INC.","Milton, ON L9T 8E1","0124-Directeurs de la publicité, du marketing et des relations publiques",Inconnu,1,1
Ontario,"Haut salaire","2871288 Ontario Inc.","Brampton, ON L6R 3L7","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Haut salaire","3PLCRM Ltd","Vaughan, ON L4K 4N8","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
Ontario,"Haut salaire","7915578 Canada Inc","Toronto, ON M1K 2N8","2173-Ingénieurs et concepteurs en logiciel",Inconnu,1,1
Ontario,"Haut salaire","AAJ BUILDING  MAINTENANCE INC","BURLINGTON, ON L7P 2C8","6315-Surveillants des services de nettoyage",Inconnu,1,1
Ontario,"Haut salaire","AFMC FINANCIAL CONSULTANCY LTD.","WATERLOO, ON N2L 0C7","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Ontario,"Haut salaire","ALPHA FINANCIAL CONSULTANCY INC","Toronto, ON M5X 1E3","1221-Agents d'administration",Inconnu,1,1
Ontario,"Haut salaire","Anjoumehta Medical Consultancy Inc.","Mississauga, ON L4X 2V3","3112-Omnipraticiens et médecins en médecine familiale",Inconnu,1,6
Ontario,"Haut salaire","AnYa IT Networks LTD.","WATERLOO, ON N2L 0C7","0213-Gestionnaires des systèmes informatiques",Inconnu,1,1
Ontario,"Haut salaire","AnYa IT Networks LTD.","WATERLOO, ON N2L 0C7","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"Haut salaire","ANYDAY WARES LIMITED","Markham, ON L3R 6G2","0621-Directeurs - commerce de détail et de gros",Inconnu,1,1
Ontario,"Haut salaire","Art Square Ltd.","Toronto, ON M1L 2K1","6341-Coiffeurs et barbiers",Inconnu,1,1
Ontario,"Haut salaire","ASSORTED SUPPLIES LIMITED","Burlington, ON L7L 6A3","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
Ontario,"Haut salaire","Auracare Canada Inc.","Mississauga, ON L5A 4C7","0621-Directeurs - commerce de détail et de gros",Inconnu,1,1
Ontario,"Haut salaire","AUTOCLIK SMART SOLUTIONS INC.","Toronto, ON M5V 2Y1","0125-Directeurs d'autres services aux entreprises",Inconnu,1,1
Ontario,"Haut salaire","Automated Controls and Energy Solutions Group Inc","Mississauga, ON L4W 5B8","0211-Directeurs des services de génie",Inconnu,1,1
Ontario,"Haut salaire","Avenue Corporate Services Ltd.","TORONTO, ON M4N 3N1","0125-Directeurs d'autres services aux entreprises",Corporation,1,1
Ontario,"Haut salaire","B Negative LLC","TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,1,1
