",,,,,,,
Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT Approuvés","Postes Approuvés"
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7237-Soudeurs et opérateurs de machines à souder et à braser",Corporation,2,3
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7242-Électriciens industriels",Corporation,4,4
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd",Corporation,9,11
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3",7371-Grutiers,Corporation,5,8
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",Corporation,20,59
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7532-Matelots de pont et matelots de salle des machines du transport par voies navigables",Corporation,1,3
Terre-Neuve-et-Labrador,"     Haut salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7612-Autres manoeuvres et aides de soutien de métiers",Corporation,2,4
Terre-Neuve-et-Labrador,"   Bas salaire","Barry Group Inc","Port de Grave, NL A0A 3J0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Corporation,1,12
Terre-Neuve-et-Labrador,"   Bas salaire","Barry Group Inc","Witless Bay, NL A0A 4K0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Corporation,1,12
Terre-Neuve-et-Labrador,"   Bas salaire","Barry Group Inc.","Corner Brook, NL A2H 3E9","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,2,66
Terre-Neuve-et-Labrador,"   Bas salaire","Barry Group Inc.","Corner Brook, NL A2H 3E9","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Inconnu,1,12
Terre-Neuve-et-Labrador,"   Bas salaire","BJH Enterprises Inc.","St. John's, NL A1B 3R4",6322-Cuisiniers,Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","Bugden Enterprises","Conception Bay South, NL A1W 3A3","6311-Superviseurs des services alimentaires",Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","Burton's Adventure Ltd","St John's, NL A1H 1A1","6311-Superviseurs des services alimentaires",Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","CBS FOODS LTD","CONCEPTION BAY, NL A1W 3A6",6322-Cuisiniers,Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","GOULDS FOODS INC","PORTUGAL COVE ST PHILIPS, NL A1M 1E3",6322-Cuisiniers,Inconnu,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","I.C. Pizza House Inc.","PARADISE, NL A1L 1S6",6322-Cuisiniers,Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","J.Co Holdings Inc.","St. John's, NL A1B 3R2",6322-Cuisiniers,Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","Mac Bride Enterprise","Springdale, NL A0J 1T0","6311-Superviseurs des services alimentaires",Inconnu,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","Quinlan Brothers Ltd.","Bay de Verde, NL A0A 1E0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,2,112
Terre-Neuve-et-Labrador,"   Bas salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","1522-Magasiniers et commis aux pièces",Corporation,1,1
Terre-Neuve-et-Labrador,"   Bas salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3",6322-Cuisiniers,Corporation,1,2
Terre-Neuve-et-Labrador,"   Bas salaire","Subsea 7 Canada Inc.","St. John's, NL A1E 3Y3","7612-Autres manoeuvres et aides de soutien de métiers",Corporation,1,3
Terre-Neuve-et-Labrador,"   Bas salaire","Terra Vista Ltd.","Glovertown, NL A0G 2L0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Inconnu,2,20
Terre-Neuve-et-Labrador,"   Bas salaire","TORBAY FUN FOODS LTD","ST. JOHN'S, NL A1A 5B2",6322-Cuisiniers,Inconnu,1,1
Terre-Neuve-et-Labrador,"  Agriculture primaire","J & C Sod Farm Ltd.","Bay Bulls, NL A0A 1C0","8431-Ouvriers agricoles",Inconnu,2,3
Terre-Neuve-et-Labrador,"  Agriculture primaire","New World Dairy Inc","St. David's, NL A0N 1X0","8431-Ouvriers agricoles",Inconnu,1,12
Terre-Neuve-et-Labrador,"  Agriculture primaire","Sunrise Dairy Ltd","Musgravetwon, NL A0C 1Z0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",Inconnu,1,3
Terre-Neuve-et-Labrador,"  Talent mondial","Bluedrop ISM Limited","St. John's, NL A1C 3S4","2173-Ingénieurs et concepteurs en logiciel",Corporation,1,1
Terre-Neuve-et-Labrador,"  Talent mondial","HeyOrca Inc.","St. John's, NL A1B 3P9","2174-Programmeurs et développeurs en médias interactifs",Corporation,1,1
Île-du-Prince-Édouard,"     Haut salaire","Belgo transport Inc","North Wiltshire, PE C0A 1Y0","7511-Conducteurs de camions de transport",Inconnu,1,1
Île-du-Prince-Édouard,"     Haut salaire","Bulk Carriers (P.E.I.) Limited","Clyde River, PE C0A 1H3","7511-Conducteurs de camions de transport",Inconnu,2,30
Île-du-Prince-Édouard,"     Haut salaire","Great Enlightenment Buddhist Institute Society","Murray River, PE C0A 1W0",7271-Charpentiers-menuisiers,Inconnu,1,9
Île-du-Prince-Édouard,"     Haut salaire","Great Enlightenment Buddhist Institute Society","Murray River, PE C0A 1W0","7291-Couvreurs et poseurs de bardeaux",Inconnu,1,9
Île-du-Prince-Édouard,"   Bas salaire","Atlantic Beef Products Inc.","Albany, PE C0B 1A0","9462-Bouchers industriels, dépeceurs-découpeurs de viande, préparateurs de volaille et personnel assimilé",Inconnu,1,1
Île-du-Prince-Édouard,"   Bas salaire","Belle River Enterprises Ltd","Belle River, PE C0A 1B0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,2,12
Île-du-Prince-Édouard,"   Bas salaire","By the Water Shellfish (2012) Inc","Borden Carleton, PE C0B 1X0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Inconnu,1,26
Île-du-Prince-Édouard,"   Bas salaire","Captain Cooke's Seafood Inc","Borden Carleton, PE C0B 1X0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,70
Île-du-Prince-Édouard,"   Bas salaire","Charlottetown Fresh Casual Restaurants Inc.","Charlottetown, PE C1A 4M9","6311-Superviseurs des services alimentaires",Inconnu,1,2
Île-du-Prince-Édouard,"   Bas salaire","Mr. Sushi Inc","Charlottetown, PE C1A 4K6","6513-Serveurs d'aliments et de boissons",Inconnu,1,1
Île-du-Prince-Édouard,"   Bas salaire","Royal Star Foods Ltd","Tignish, PE C0B 2B0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,85
Île-du-Prince-Édouard,"   Bas salaire","Seafood 2000 Ltd.","Georgetown, PE C0A 1L0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,2
Île-du-Prince-Édouard,"   Bas salaire","Stratford Pizza Corner","Stratford, PE C1B 1T6",6322-Cuisiniers,Inconnu,1,1
Île-du-Prince-Édouard,"   Bas salaire","Summerside Seafood Supreme Inc.","Summerside, PE C1N 2V5","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,25
Île-du-Prince-Édouard,"   Bas salaire","Tasty Indian Cuisine Inc.","Charlottetown, PE C1A 1N4","6311-Superviseurs des services alimentaires",Inconnu,1,1
Île-du-Prince-Édouard,"  Agriculture primaire","100556 P.E.I. INC. G W.& R Visser Farms","Vernon Bridge, PE C0A 2E0","8431-Ouvriers agricoles",Inconnu,1,4
Île-du-Prince-Édouard,"  Agriculture primaire","101497 PEI Inc","Cherry Valley, PE C0A 2E0","8431-Ouvriers agricoles",Inconnu,1,12
Île-du-Prince-Édouard,"  Agriculture primaire","Arlington Orchards Inc","arlington, PE C0B 1Y0","8431-Ouvriers agricoles",Inconnu,1,4
Île-du-Prince-Édouard,"  Agriculture primaire","Atlantic Grown Organics Inc","Spring Valley, PE C0B 1M0","8432-Ouvriers de pépinières et de serres",Inconnu,1,4
Île-du-Prince-Édouard,"  Agriculture primaire","Birch Farms Ltd.","Summerside, PE C1N 4J9","8431-Ouvriers agricoles",Inconnu,2,9
Île-du-Prince-Édouard,"  Agriculture primaire","Birkentree Holsteins inc","Hunter River, PE C0A 1N0","8431-Ouvriers agricoles",Inconnu,1,2
Île-du-Prince-Édouard,"  Agriculture primaire","Brookfield Gardens Inc","Brookfield, PE C0A 1Y0","8431-Ouvriers agricoles",Inconnu,2,13
Île-du-Prince-Édouard,"  Agriculture primaire","BUNNY BURROW VEGETABLE CO. LTD","Kinkora, PE C0B 1N0","8431-Ouvriers agricoles",Inconnu,2,6
Île-du-Prince-Édouard,"  Agriculture primaire","Carruthers Farms Ltd","Hamilton, PE C0B 1M0","8431-Ouvriers agricoles",Inconnu,1,3
Île-du-Prince-Édouard,"  Agriculture primaire","Eastern Exporters Limited","Souris, PE C0A 2B0","8431-Ouvriers agricoles",Inconnu,3,3
Île-du-Prince-Édouard,"  Agriculture primaire","Eastern Farms Ltd.","Pownal, PE C1B 3S5","8431-Ouvriers agricoles",Inconnu,1,5
Île-du-Prince-Édouard,"  Agriculture primaire","Havenlee Farms Inc.","Summerside, PE C1N 4J9","8431-Ouvriers agricoles",Inconnu,1,2
Île-du-Prince-Édouard,"  Agriculture primaire","HILLTOP PRODUCE LTD","Kinkora, PE C0B 1N0","8431-Ouvriers agricoles",Inconnu,1,4
Île-du-Prince-Édouard,"  Agriculture primaire","Jewell's of Prince Edward Island Inc.","York RR, PE C0A 1P0","8431-Ouvriers agricoles",Corporation,1,9
Île-du-Prince-Édouard,"  Agriculture primaire","Kouwenberg Farm Inc.","Millview, PE C0A 2E0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",Inconnu,1,2
Île-du-Prince-Édouard,"  Agriculture primaire","MGS Holdings & Distribution Ltd.","Alberton, PE C0B 1B0","8431-Ouvriers agricoles",Inconnu,3,50
Île-du-Prince-Édouard,"  Agriculture primaire","Middleton Farms Ltd","Kinkora, PE C0B 1N0","8431-Ouvriers agricoles",Inconnu,1,2
Île-du-Prince-Édouard,"  Agriculture primaire","Mol Farms Inc.","Kinkora, PE C0B 1N0","8431-Ouvriers agricoles",Inconnu,1,4
Île-du-Prince-Édouard,"  Agriculture primaire","Newland Farms Inc.","Hunter River, PE C0A 1N0","8431-Ouvriers agricoles",Inconnu,1,3
Île-du-Prince-Édouard,"  Agriculture primaire","Power Line Pork Inc.","Albany, PE C0B 1A0","8431-Ouvriers agricoles",Inconnu,1,3
Île-du-Prince-Édouard,"  Agriculture primaire","Verdant LLC","Cardigan, PE C0A 1G0","8431-Ouvriers agricoles",Inconnu,1,19
Île-du-Prince-Édouard,"  Agriculture primaire","Victoria Potato Farm Inc.","Crapaud, PE C0A 1J0","8431-Ouvriers agricoles",Inconnu,2,2
Île-du-Prince-Édouard,"  Agriculture primaire","Winterbay Farm Inc.","Millcove, PE C0A 1T0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","3091914 NS LTD","HALIFAX, NS B3K 1H8","6315-Surveillants des services de nettoyage",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","3274876 Nova Scotia Ltd","Clarks Harbour, NS B0W 1P0","0113-Directeurs des achats",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","Acadian Seaplants Limited","Cornwallis, NS B0S 1H0","0122-Directeurs de banque, du crédit et d'autres services de placements",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","Bruce Ford Sales Ltd.","Middleton, NS B0S 1P0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",Corporation,1,1
Nouvelle-Écosse,"     Haut salaire","BTTC (Canada) Incorporated","Halifax, NS B3J 3R7","0711-Directeurs de la construction",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","Cha Baa Thai Restaurant Ltd.","Halifax, NS B3J 2J6",6322-Cuisiniers,Inconnu,1,12
Nouvelle-Écosse,"     Haut salaire","CONNORS TRANSFER LIMITED","Stellarton, NS B0K 1S0","7511-Conducteurs de camions de transport",Inconnu,1,8
Nouvelle-Écosse,"     Haut salaire","Dameng Internet Ltd","Bedford, NS B4A 1E6","2172-Analystes de bases de données et administrateurs de données",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","Dmflix Ltd.","Dartmouth, NS B2W 4J6","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,2
Nouvelle-Écosse,"     Haut salaire","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",Inconnu,2,2
Nouvelle-Écosse,"     Haut salaire","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0111-Directeurs financiers",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","0211-Directeurs des services de génie",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","Irving Shipbuilding Inc","Halifax, NS B3K 5M7","1122-Professionnels des services-conseils en gestion aux entreprises",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","MacDonell’s Small Jobs Ltd","Georgefield, NS B0N 2L0","7237-Soudeurs et opérateurs de machines à souder et à braser",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","MacDonell’s Small Jobs Ltd","Georgefield, NS B0N 2L0",7271-Charpentiers-menuisiers,Inconnu,1,6
Nouvelle-Écosse,"     Haut salaire","PRECISION CONCRETE SERVICES LIMITED","Bedford, NS B4B 1H1","7282-Finisseurs de béton",Inconnu,1,12
Nouvelle-Écosse,"     Haut salaire","Scotia Structures Incorporated","Halifax, NS B3K 5C4",7271-Charpentiers-menuisiers,Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","STAT CARE HEALTH SERVICES INC.","Halifax, NS B3L 1K9","1241-Adjoints administratifs",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","TC Winslade OD Inc","Wolfville, NS B4P 2A6",3121-Optométristes,Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","3099794 Nova Scotia Ltd.","Enfield, NS B2T 1C8",6322-Cuisiniers,Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","3293656 Nova Scotia Limited","Halifax, NS B3L 1A5","6311-Superviseurs des services alimentaires",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","3293656 Nova Scotia Limited","Halifax, NS B3L 1A5",6322-Cuisiniers,Inconnu,2,2
Nouvelle-Écosse,"   Bas salaire","3310955 Nova Scotia Ltd.","Halifax, NS B3J 2G8","6311-Superviseurs des services alimentaires",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","3313382 NOVA SCOTIA LTD.","Bridgewater, NS B4V 2V6","6311-Superviseurs des services alimentaires",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","3313382 NOVA SCOTIA LTD.","Bridgewater, NS B4V 2V6",6322-Cuisiniers,Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","3324608 novascotia limited","halifax, NS B3K 1Z7",6322-Cuisiniers,Inconnu,1,3
Nouvelle-Écosse,"   Bas salaire","9+nine Chinese cuisine","Halifax, NS B3S 1P9",6322-Cuisiniers,Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","Adcor Marketing Limited","yarmouth, NS B5A 2T6","6311-Superviseurs des services alimentaires",Inconnu,1,2
Nouvelle-Écosse,"   Bas salaire","Birch Street Seafoods Ltd.","Digby, NS B0V 1A0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,2,5
Nouvelle-Écosse,"   Bas salaire","Cheelin Restaurant","Halifax, NS B3J 1R9",6322-Cuisiniers,Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","Chrismaria Family Restaurant LTD","New Minas, NS B4N 3C9",6322-Cuisiniers,Inconnu,1,2
Nouvelle-Écosse,"   Bas salaire","Clarks Harbour Seafood Ltd","Clarks Harbour, NS B0W 1P0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,30
Nouvelle-Écosse,"   Bas salaire","Dexter Construction Company Ltd.","Bedford, NS B4A 3Z2","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,20
Nouvelle-Écosse,"   Bas salaire","Double Dragon Restaurant Inc.","New Minas, NS B4N 3E2",6322-Cuisiniers,Inconnu,2,3
Nouvelle-Écosse,"   Bas salaire","East Coast Wild Blueberry Limited","Great Village, NS B0M 1L0","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",Inconnu,1,16
Nouvelle-Écosse,"   Bas salaire","Evan's Fresh Seafoods Ltd","Lower West Pubnico, NS B0W 2C0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Inconnu,1,4
Nouvelle-Écosse,"   Bas salaire","Fisherman's Market International Incorporated","Halifax, NS B3M 2L6","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,14
Nouvelle-Écosse,"   Bas salaire","Huawei Trading Limited","dartmouth, NS B2Y 2N5","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","It Takes a Village Inc.","Halifax, NS B3S 1P9","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","JE Bembridge Enterprise Ltd","amherst, NS B4H 3E4",6322-Cuisiniers,Inconnu,1,2
Nouvelle-Écosse,"   Bas salaire","John Ross & Sons Ltd.","Halifax, NS B3S 1B3",7452-Manutentionnaires,Inconnu,2,18
Nouvelle-Écosse,"   Bas salaire","Kabayan Foodmart Inc","Dartmouth, NS B3A 1M6","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","K-BEAUTY SALON INC","Halifax, NS B3L 1A4","6341-Coiffeurs et barbiers",Inconnu,1,2
Nouvelle-Écosse,"   Bas salaire","L.J. Robicheau & Son Fisheries Limited","Middleton, NS B0S 1P0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,2,40
Nouvelle-Écosse,"   Bas salaire","Louisbourg Seafoods Limited","Louisbourg, NS B1C 1B5","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,25
Nouvelle-Écosse,"   Bas salaire","M.J.N.J Investments Ltd","Lunenburg, NS B0J 2C0","6311-Superviseurs des services alimentaires",Inconnu,1,2
Nouvelle-Écosse,"   Bas salaire","Mandox Inc.","Annapolis Royal, NS B0S 1A0",6322-Cuisiniers,Inconnu,1,2
Nouvelle-Écosse,"   Bas salaire","Merex Incorporated","Halifax, NS B3H 4N4","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,4
Nouvelle-Écosse,"   Bas salaire","Mirchi Tandoor Inc.","halifax, NS B3J 1J7",6322-Cuisiniers,Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","MOTHERS PIZZA","HALIFAX, NS B3K 4L5",6322-Cuisiniers,Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","Mr González Mexican Cuisine","Yarmouth, NS B5A 1H8","6311-Superviseurs des services alimentaires",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","Noblemay Catering Services Limited","Halifax, NS B3J 2A4",6322-Cuisiniers,Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","North Street Pizzeria Limited.","Halifax, NS B3K 1N2","0631-Directeurs de la restauration et des services alimentaires",Corporation,1,1
Nouvelle-Écosse,"   Bas salaire","Palladium Family Restaurant","Dartmouth, NS B2V 1E6",6322-Cuisiniers,Inconnu,1,2
Nouvelle-Écosse,"   Bas salaire","Petit de Grat Packers Ltd.","Petit de Grat, NS B0E 2L0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,40
Nouvelle-Écosse,"   Bas salaire","Popeyes Louisiana Kitchen","HALIFAX, NS B3J 0J2","6311-Superviseurs des services alimentaires",Inconnu,1,8
Nouvelle-Écosse,"   Bas salaire","Quality Seafoods Limited","Yarmouth, NS B5A 4B3","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Inconnu,1,5
Nouvelle-Écosse,"   Bas salaire","Schooner Seafoods Limited","Lower Wedgeport, NS B0W 3P0","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",Inconnu,1,8
Nouvelle-Écosse,"   Bas salaire","Sea Crest Fisheries Ltd","Comeauville, NS B0W 2Z0","9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer",Inconnu,1,75
Nouvelle-Écosse,"   Bas salaire","Secrets Spa & Hair Design","Port Hawkesbury, NS B9A 2S3","6341-Coiffeurs et barbiers",Inconnu,2,2
Nouvelle-Écosse,"   Bas salaire","Secrets Spa & Hair Design","Port Hawkesbury, NS B9A 2S3","6562-Esthéticiens, électrolystes et personnel assimilé",Inconnu,1,2
Nouvelle-Écosse,"   Bas salaire","seven restaurants LTD","Halifax, NS B3S 1C9",6322-Cuisiniers,Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","Sydney Fresh Casual Restaurants Inc.","Sydney, NS B1P 5S8","6311-Superviseurs des services alimentaires",Inconnu,1,2
Nouvelle-Écosse,"  Agriculture primaire","Allen Farms Limited","Billtown, NS B0P 1J0","8431-Ouvriers agricoles",Inconnu,2,11
Nouvelle-Écosse,"  Agriculture primaire","Apple Lane Farm Inc","Berwick, NS B0P 1E0","8431-Ouvriers agricoles",Inconnu,1,12
Nouvelle-Écosse,"  Agriculture primaire","Archibald Dairy Inc","NewTown, Guysborough County, NS B2H 5C8","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",Inconnu,1,2
Nouvelle-Écosse,"  Agriculture primaire","Atlantic Poultry Incorporated","Port Williams, NS B0P 1T0","8431-Ouvriers agricoles",Corporation,1,4
Nouvelle-Écosse,"  Agriculture primaire","Barteaux Farms Ltd","Moschelle, NS B0S 1A0","8431-Ouvriers agricoles",Corporation,1,8
Nouvelle-Écosse,"  Agriculture primaire","Best Farms Ltd","Woodville, NS B0P 1V0","8431-Ouvriers agricoles",Partenariat,1,4
Nouvelle-Écosse,"  Agriculture primaire","Birchleigh Farms LTD.","Berwick, NS B0P 1E0","8431-Ouvriers agricoles",Inconnu,1,4
Nouvelle-Écosse,"  Agriculture primaire","CAP Farms Inc","Grafton, NS B0P 1V0","8431-Ouvriers agricoles",Inconnu,1,4
Nouvelle-Écosse,"  Agriculture primaire","Charles Keddy Farms Limited","Lakeville, NS B4N 3V7","8431-Ouvriers agricoles",Inconnu,2,36
Nouvelle-Écosse,"  Agriculture primaire","Craig Nichols Farms Limited","Aylesford, NS B0P 1C0","8431-Ouvriers agricoles",Inconnu,1,20
Nouvelle-Écosse,"  Agriculture primaire","DeLong Farm Products Limited","New Germany, NS B0R 1E0","8431-Ouvriers agricoles",Inconnu,1,15
Nouvelle-Écosse,"  Agriculture primaire","Eisses Farms Ltd","Northville, NS B0P 1J0","8431-Ouvriers agricoles",Inconnu,1,18
Nouvelle-Écosse,"  Agriculture primaire","Elite Balsam Products Incorporated","St. Andrew's, NS B0H 1X0","8432-Ouvriers de pépinières et de serres",Inconnu,1,7
Nouvelle-Écosse,"  Agriculture primaire","Ellslea Farms Limited","Canning, NS B0P 1H0","8431-Ouvriers agricoles",Inconnu,1,1
Nouvelle-Écosse,"  Agriculture primaire","Elmridge Farm Ltd","RR2 Centreville, NS B0P 1J0","8431-Ouvriers agricoles",Inconnu,1,4
Nouvelle-Écosse,"  Agriculture primaire","Forest Hills Farms Ltd","Great Village, NS B0M 1L0","8431-Ouvriers agricoles",Inconnu,1,18
Nouvelle-Écosse,"  Agriculture primaire","Fuller Brothers Farms Inc.","Avonport, NS B0P 1B0","8431-Ouvriers agricoles",Corporation,1,2
Nouvelle-Écosse,"  Agriculture primaire","G & C Hughes Enterprises Limited","New Ross, NS B0J 2M0","8432-Ouvriers de pépinières et de serres",Inconnu,1,35
Nouvelle-Écosse,"  Agriculture primaire","G.A.R. Tree Farms Ltd","Barss Corner, NS B0R 1A0","8432-Ouvriers de pépinières et de serres",Inconnu,1,20
Nouvelle-Écosse,"  Agriculture primaire","Gouchers Farm And Market Limited","Kingston, NS B0P 1R0","8431-Ouvriers agricoles",Inconnu,1,12
Nouvelle-Écosse,"  Agriculture primaire","High Point Orchards LTD.","Kentville, NS B4N 3V7","8431-Ouvriers agricoles",Inconnu,2,25
Nouvelle-Écosse,"  Agriculture primaire","Hilly Acres Farm Ltd.","Millville, NS B1Y 2E1","8431-Ouvriers agricoles",Inconnu,1,2
Nouvelle-Écosse,"  Agriculture primaire","J & B Millen Farms Limited","Great Village, NS B0M 1L0","8431-Ouvriers agricoles",Inconnu,1,6
