Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés
,,Saint Mary's University,"Halifax, NS B3H 3C3",4011-Professeurs et chargés de cours au niveau universitaire,1
,,Scotia Suzuki School of Music Inc.,"HALIFAX, NS B3L 1K6",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
,,"SHIL Technologies, Inc.","Halifax, NS B3J 3N2",2171-Analystes et consultants en informatique,2
,,St. Francis Xavier University,"ANTIGONISH, NS B2G 2W5",4011-Professeurs et chargés de cours au niveau universitaire,1
,,TwinThread Canada Inc.,"BEDFORD, NS B4A 3Y4",2174-Programmeurs et développeurs en médias interactifs,1
,,Waterford Energy Services Inc.,"Halifax, NS B3J 1Z4",8222-Entrepreneurs et surveillants du forage et des services reliés à l'extraction de pétrole et de gaz,1
,   Bas salaire,3263797 Nova Scotia Limited,"HALIFAX, NS B3M 0A8",6211-Superviseurs des ventes - commerce de détail,2
,,Allegro Child Care Centre Limited,"HALIFAX, NS B3H 4K5",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,Arisu Table BBQ and Sushi Bar Limited,"HALIFAX, NS B3J 1X3",6322-Cuisiniers,1
,,Balodis Incorporated,"Westville, NS B0K 2A0",7511-Conducteurs de camions de transport,2
,,Care & Fun Childcare Limited,"HALIFAX, NS B3M 3V3",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,I.L. MacIsaac Ivestments Inc.,"BRIDGEWATER, NS B4V 2S7",6332-Boulangers-pâtissiers,2
,,Les Enterprises Samson Enterprises Ltee,"Arichat, NS B0E 1A0",9531-Monteurs de bateaux et contrôleurs de montage de bateaux,4
,,Mic Mac Beverage Room (2006) Ltd.,"Dartmouth, NS B2X 2C3",6322-Cuisiniers,4
,,Naru Japanese Restaurant (NS) Ltd.,"Sydney, NS B1P 1G8",6311-Superviseurs des services alimentaires,1
,,,,6322-Cuisiniers,2
,,Pizza Delight (C&M Veenhuis Pizzaria),"New Glasgow, NS B2H 5C5",6322-Cuisiniers,1
,,Salt Shaker Deli Ltd.,"Lunenburg, NS B0J 2C0",6311-Superviseurs des services alimentaires,1
,,Slumber Inns Ltd.,"NEW MINAS, NS B4N 3K8",1241-Adjoints administratifs,1
,  Agriculture primaire,3226198 Nova Scotia Ltd/Vital Berry Farms,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,18
,,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,25
,,Bezanson & Chase Cranberry Company Inc.,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,3
,,Birchleigh Farms Ltd,"Berwick, NS B0P 1E0",8611-Manoeuvres à la récolte,4
,,Blue Ridge Farm,"Grafton, NS B0P 1V0",8431-Ouvriers agricoles,3
,,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-Ouvriers agricoles,10
,,Charles Keddy Farms Limited,"Lakeville, NS B4N 3V7",8431-Ouvriers agricoles,44
,,Craig Nichols Farms Ltd,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,5
,,den Haan Enterprises Ltd,"LAWRENCETOWN, NS B0S 1M0",8432-Ouvriers de pépinières et de serres,18
,,Eisses Farms Ltd,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,4
,,Elmridge Farm (2003) Ltd,"Centreville, NS B0P 1J0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,,,8431-Ouvriers agricoles,1
,,G & C Hughes Enterprises Ltd,"New Ross, NS B0J 2M0",8432-Ouvriers de pépinières et de serres,12
,,G.A.R. Tree Farms Ltd.,"Barss Corner, NS B0R 1A0",8432-Ouvriers de pépinières et de serres,2
,,J & B Millen Farms Limited,"Great Village, NS B0M 1L0",8431-Ouvriers agricoles,1
,,McConnell-Gordon Estates Ltd.,"Gaspereau, NS B4P 2R1",8431-Ouvriers agricoles,2
,,Millen Farms Limited,"Great Village, NS B0M 1L0",8431-Ouvriers agricoles,20
,,Noggins Corner Farm II Ltd,"Greenwich, NS B4P 2R2",8431-Ouvriers agricoles,14
,,Power Farms Inc,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,11
,,Sarsfield Farms Inc,"KENTVILLE, NS B4N 3V7",8431-Ouvriers agricoles,12
,,Town Plot Orchards Ltd,"Port Williams, NS B0P 1T0",8431-Ouvriers agricoles,9
,,Traditional Evergreen Tree Farms Ltd,"Bridgewater, NS B4V 2W6",8432-Ouvriers de pépinières et de serres,6
,,Van Meekeren Farms Ltd,"Lakeville, NS B4N 3V7",8431-Ouvriers agricoles,9
,,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,10
,,Wohlgemuth Farms Ltd,"Aylesford, NS B0P 1C0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
, Talent mondial,MOBIA Technology Innovations,"Dartmouth, NS B3B 0B3",2173-Ingénieurs et concepteurs en logiciel,1
,,Peer Ledger Inc.,"Halifax, NS B3H 4P3",2173-Ingénieurs et concepteurs en logiciel,2
,,Sustainable Fish Farming (Canada) Ltd,"Centre Burlington, NS B0N 1E0",0213-Gestionnaires des systèmes informatiques,1
Nouveau-Brunswick,    Haut salaire,AYR Motor Express Inc.,"Woodstock, NB E7M 4G2",7511-Conducteurs de camions de transport,10
,,BVE Transport Inc.,"WOODSTOCK, NB E7M 1P4",7511-Conducteurs de camions de transport,1
,,"DP World Saint John, Inc.","SAINT JOHN, NB E2M 7Y5",0731-Directeurs des transports,1
,,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",0631-Directeurs de la restauration et des services alimentaires,1
,,"J.D. Irving, Limited","SAINT JOHN, NB E2L 4M3",2171-Analystes et consultants en informatique,1
,,"Jolly Farmer Transport ,Inc.","Northhampton, NB E7N 1R6",7511-Conducteurs de camions de transport,1
,,JPS Trucking Ltd.,"Bloomfield, NB E7K 1C8",7511-Conducteurs de camions de transport,2
,,Lucky Freight Inc.,"Woodstock, NB E7M 1G2",7511-Conducteurs de camions de transport,2
,,Murray Enterprises Ltd,"Sussex Corner, NB E4E 2Y5",7511-Conducteurs de camions de transport,2
,,Regional Health Authority B,"FREDERICTON, NB E3B 5N5",3111-Médecins spécialistes,1
,,Tomotachi Sushi Inc.,"FREDERICTON, NB E3B 3H5",6322-Cuisiniers,2
,,Zoa Mansu BBQ Inc.,"Dieppe, NB E1A 1G1",6322-Cuisiniers,1
,   Bas salaire,057033 N.B. INC o/a Manoir Pascal Poirier,"SHEDIAC, NB E4P 2K9",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,3
,,618479 NB Inc.,"MONCTON, NB E1G 3S6",6311-Superviseurs des services alimentaires,1
,,658579 NB Ltd,"FREDERICTON, NB E3C 1A2",6322-Cuisiniers,2
,,701381 NB Inc.,"ST. JOHN, NB E2L 2J2",1241-Adjoints administratifs,1
,,"Botsford Fisheries Ltd., Les Pêcheries Botsford ltée","Cap-Pele, NB E4N 3B3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,43
,,Carpe Diem Food Inc.,"MONCTON, NB E1E 4H8",6322-Cuisiniers,1
,,Ocean Pier Inc.,"Scoudouc, NB E4P 3R4",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,15
,,Phillip Ouellette & Sons Ltd,"Petit Quai, NB E4N 2E8",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,16
,,SOUTH SHORE TRADING CO.LTD,"PORT ELGIN, NB E4M 3Y9",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,10
,,Vito's Pizzeria Food Production Ltd.,"Moncton, NB E1C 2P8",6322-Cuisiniers,1
,  Agriculture primaire,Jolly Farmer Products Inc,"Northampton, NB E7N 1R6",8432-Ouvriers de pépinières et de serres,28
,,Slocum's Farm Fresh Produce Ltd,"Waterborough, NB E4C 2Y3",8431-Ouvriers agricoles,2
,,Verger Belliveau Orchard,"MEMRAMCOOK, NB E1A 9H9",8431-Ouvriers agricoles,14
, Talent mondial,D.E. Consulting and Research Inc.,"SAINT JOHN, NB E2L 4V1",0213-Gestionnaires des systèmes informatiques,1
Québec,    Haut salaire,4175174 Canada Inc.,"Montréal, QC H3J 1S6",6321-Chefs,1
,,4385403 Canada Inc.,"ROUYN-NORANDA, QC J9X 3Y8",7312-Mécaniciens d'équipement lourd,3
,,6450113 Canada Inc.,"Montréal, QC H4A 3J3",6322-Cuisiniers,1
,,6933602 CANADA INC.,"Cote St-Luc, QC H4V 2V7",1223-Agents des ressources humaines et de recrutement,1
,,7261969 Canada inc.,"St-Mathieu de Beloeil, QC J3G 0H1",6322-Cuisiniers,1
,,8678537 Canada inc.,"Laval, QC H7L 5B7",2241-Technologues et techniciens en génie électronique et électrique,1
,,9014-5590 Québec Inc,"MONTRÉAL, QC H1E 2L7","7334-Mécaniciens de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé",1
,,9018-6560 Québec Inc.,"Montreal, QC H2Y 2E1","5232-Autres artistes de spectacle, n.c.a.",1
,,9063-7547 Québec Inc.,"ROUYN-NORANDA, QC J9X 7B8",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
,,9065-5911 QUEBEC INC,"MONTRÉAL, QC H4N 1M5",5244-Artisans,1
,,9069-4654 Québec Inc.,"LÉVIS, QC G7A 1B1",7237-Soudeurs et opérateurs de machines à souder et à braser,3
,,,,7333-Électromécaniciens,1
,,9104-0857 Quebec Inc.,"POINTE-CLAIRE, QC H9R 5N8",2282-Agents de soutien aux utilisateurs,1
,,9104-4289 Québec Inc,"CHICOUTIMI, QC G7K 1J5",7237-Soudeurs et opérateurs de machines à souder et à braser,4
,,9137-0619 Québec Inc.,"St-Lambert-de-Lauzon, QC G0S 2W0",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,9167200 Canada Inc,"MONTREAL, QC H2J 2H1","5232-Autres artistes de spectacle, n.c.a.",1
,,9216-1942 Quebec inc,"LAVAL, QC H7W 1C5","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
,,9219-1568 Québec Inc.,"Montreal, QC H4P 2H2",2173-Ingénieurs et concepteurs en logiciel,1
,,,,5241-Designers graphiques et illustrateurs,1
,,9235-3804 QUÉBEC INC.,"Montréal, QC H1Y 1X6",6321-Chefs,1
,,9264-7502 Quebec Inc.,"ST-AMBROISE-DE-KILDARE, QC J0K 1C0",7333-Électromécaniciens,1
,,9288-5821 Québec Inc,"POINT-CLAIRE, QC H9R 4T2",1121-Professionnels en ressources humaines,1
,,9310-9577 Québec inc.,"LÉVIS, QC G6W 8A8",6321-Chefs,1
,,,,6322-Cuisiniers,1
,,9322-8666 Québec Inc,"MONTRÉAL, QC H2V 0A1",6321-Chefs,1
,,9332-5298 Québec inc.,"QUÉBEC, QC G6S 0K4","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,9333-2575 Québec inc,"Laval, QC H7K 2E1",5134-Danseurs,1
,,9336-9379 Quebec Inc,"MIRABEL, QC J7J 2K1",7202-Entrepreneurs et contremaîtres en électricité et en télécommunications,1
,,9341-3375 Québec Inc,"VENISE-EN-QUÉBEC, QC J0J 2K0",6322-Cuisiniers,5
,,9342-6476 Québec Inc,"Montréal, QC H3H 1M6",6322-Cuisiniers,2
,,9344-2697 Québec Inc,"MONTRÉAL, QC H3B 2N2",2171-Analystes et consultants en informatique,1
,,9347-8105 Québec Inc.,"MONTREAL, QC H2T 1W7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,9357-4408 Québec Inc,"Montréal, QC H2J 2L9",1222-Adjoints de direction,1
,,9358-3409 Quebec Inc.,"MONTREAL, QC H2T 1S4",6321-Chefs,2
,,9360-9030 Québec inc.,"LÉVIS, QC G6W 8A8",6321-Chefs,1
,,9369-2895 Québec inc,"MONTREAL, QC H2S 3C9",1241-Adjoints administratifs,1
,,9376-2342 Québec Inc,"WESTMOUNT, QC H3Z 2P9",2234-Estimateurs en construction,1
,,AAA Canada inc.,"SAINTE-THÉRÈSE, QC J7E 3H7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,,,7315-Mécaniciens et contrôleurs d'aéronefs,1
,,ACIER MARQUIS INC.,"St-Celestin, QC J0C 1G0",7237-Soudeurs et opérateurs de machines à souder et à braser,2
,,Adnm International Inc.,"Laval, QC H7P 0J1",2174-Programmeurs et développeurs en médias interactifs,1
,,Adux Strategies inc,"St-Ferdinand, QC G0N 1N0",2175-Concepteurs et développeurs Web,1
,,AgileDSS Inc.,"Montréal, QC H2Y 2G3",2171-Analystes et consultants en informatique,1
,,ALTITUDE AEROSPACE INC.,"Montréal, QC H4S 1T2",2146-Ingénieurs en aérospatiale,1
,,Andy Transport Inc.,"Salaberry de Valleyfield, QC J6S 6J2",7511-Conducteurs de camions de transport,19
,,Armatures D.N.S. 2000 Inc.,"MONTREAL (NORD), QC H1G 4S7",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,Artistes Folks inc,"Montréal, QC H3H 1E8",5241-Designers graphiques et illustrateurs,1
,,ARTITALIA GROUP INC,"Montreal, QC H1E 7J8",7311-Mécaniciens de chantier et mécaniciens industriels,1
,,Association régionale de soccer de Québec (ARSQ),"Lévis, QC G6X 1L3","0513-Directeurs de programmes et de services de sports, de loisirs et de conditionnement physique",1
,,Atelier d'usinage Mégatech AQ inc.,"Québec, QC G1P 4M9",7231-Machinistes et vérificateurs d'usinage et d'outillage,3
,,Atomic Fiction Canada Inc.,"Montréal, QC H3A 2J5",5241-Designers graphiques et illustrateurs,3
,,Aurel Harvey & Fils Inc.,"La Malbaie, QC G5A 1C5",7237-Soudeurs et opérateurs de machines à souder et à braser,3
,,Autodesk Canada Co.,"Montreal, QC H3C 2L7",2173-Ingénieurs et concepteurs en logiciel,2
,,Bateaux Princecraft Inc,"PRINCEVILLE, QC G6L 5C2",7237-Soudeurs et opérateurs de machines à souder et à braser,8
,,Bio V Pharma Inc.,"Dollard-des-Ormeaux, QC H9B 3J1",2232-Technologues et techniciens en génie mécanique,1
,,Bisco inc.,"Warwick, QC J0A 1M0",7237-Soudeurs et opérateurs de machines à souder et à braser,9
,,Bistro L'Interprète Inc.,"REPENTIGNY, QC J6A 2R8",6321-Chefs,1
,,BISTRO-BAR L'ATELIER INC,"Québec, QC G1R 2K5",6322-Cuisiniers,1
,,BOULANGERIE ST-METHODE Inc.,"ADSTOCK, QC G0N 1S0",7311-Mécaniciens de chantier et mécaniciens industriels,1
,,Busbud Inc.,"Montréal, QC H2T 1X6",2175-Concepteurs et développeurs Web,1
,,C.A.T. INC.,"COTEAU-DU-LAC, QC J0P 1B0",7511-Conducteurs de camions de transport,6
,,CAVALIA Inc,"MONTRÉAL, QC H2H 2L5","5232-Autres artistes de spectacle, n.c.a.",1
,,Centre de Santé et de Services Sociaux de Laval,"Laval, QC H7V 3Y7",3112-Omnipraticiens et médecins en médecine familiale,1
,,Centre hospitalier de l'Université de Montréal,"Montréal, QC H2X 0A9",2111-Physiciens et astronomes,1
,,,,3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,14
,,CENTRE INTÉGRÉ DE SANTÉ ET DE SERVICES SOCIAUX DE LA GASPÉSIE,"Sainte-Anne-des-Monts, QC G4V 2C4",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,1
,,Chez Carl pizza & vin inc. (9154-0922 Quebec Inc.),"VERDUN, QC H3E 1T9",6321-Chefs,1
,,CHU Sainte-Justine,"Montréal, QC H3T 1C5",3111-Médecins spécialistes,1
,,Cinesite Inc.,"MONTRÉAL, QC H2Y 0A3",2173-Ingénieurs et concepteurs en logiciel,1
,,,,5241-Designers graphiques et illustrateurs,2
,,Circuit Karting Mont-Tremblant Inc.,"Mont-Tremblant, QC J8E 1G7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,Cirque du Soleil Canada Inc,"Montreal, QC H1Z 4M6",5252-Entraîneurs,1
,,CISSS de la Montérégie-Centre,"Greenfield Park, QC J4V 2H1",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,4
,,CISSS de la Montérégie-Est,"St-Hyancynthe, QC J2S 4Y8",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,4
,,CISSS de la Montérégie-Ouest,"Châteauguay, QC J6K 4W8",3111-Médecins spécialistes,2
,,CISSS de l'Outaouais,"GATINEAU, QC J8T 4J3",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,2
,,CIUSSS de l'Est-de l'Ile-de Montréal,"Montréal, QC H1T 2M4",3112-Omnipraticiens et médecins en médecine familiale,2
,,Clermond Hamel Ltée,"SAINT-EPHREM-DE-BEAUCE, QC G0M 1R0",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,,,7311-Mécaniciens de chantier et mécaniciens industriels,3
,,Cluster Systems,"MONTREAL, QC H4T 1K2",2174-Programmeurs et développeurs en médias interactifs,1
,,Cofomo Développement Inc.,"Montréal, QC H3B 4W5",2174-Programmeurs et développeurs en médias interactifs,1
,,Collectif 08,"Rouyn-Noranda, QC J9X 4N5",1241-Adjoints administratifs,1
,,Collège des médecins du Québec,"Montréal, QC H3B 0G2",3111-Médecins spécialistes,2
,,Commission Scolaire Kativik,"MONTRÉAL, QC H2Y 2Y3","4169-Autres professionnels des sciences sociales, n.c.a.",1
,,Communauté Hellénique du Grand Montréal,"Montréal, QC H3S 2V7",4032-Enseignants aux niveaux primaire et préscolaire,3
,,Communication Visuelle,"Laval, QC H7K 3N1","5232-Autres artistes de spectacle, n.c.a.",2
,,Concordia University,"Montréal, QC H3G 1M8",4011-Professeurs et chargés de cours au niveau universitaire,5
,,Conférence internationale des arts de la scéne,"MONTRÉAL, QC H2X 1X2",1226-Planificateurs de congrès et d'événements,1
,,Consat Canada Inc.,"LAVAL, QC H7M 3Y2",0213-Gestionnaires des systèmes informatiques,1
,,Conteneurs S.E.A. Inc.,"MONTRÉAL, QC H4C 3K4",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,Corporation Interactive EIDOS,"MONTRÉAL, QC H3A 1L4",2174-Programmeurs et développeurs en médias interactifs,1
,,,,"5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,,,5241-Designers graphiques et illustrateurs,1
,,Covalence média inc.,"MONTRÉAL, QC H3A 2G4","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,CRI Communication inc,"MONTRÉAL, QC H2Y 3V4",2171-Analystes et consultants en informatique,1
,,DAO BE INC,"MONTRÉAL, QC H4C 2Z6",2232-Technologues et techniciens en génie mécanique,1
,,Demeter Services Vétérinaires Inc.,"Lévis, QC G7A 3S8",3213-Technologues en santé animale et techniciens vétérinaires,1
,,Développement Gameloft Live Inc.,"Montréal, QC H2R 2Z5",2174-Programmeurs et développeurs en médias interactifs,1
,,,,2175-Concepteurs et développeurs Web,1
,,Divertissements Gameloft Inc.,"Montréal, QC H2R 2Z5",2281-Techniciens de réseau informatique,1
,,DW Décarie Automobile inc,"Montréal, QC H4P 2M1","7334-Mécaniciens de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé",1
,,E2M - ÉQUIPEMENT MÉDICAL MOBILE INC.,"MONTRÉAL, QC H3G 2T3",6221-Spécialistes des ventes techniques - commerce de gros,1
,,EBI Electric Inc.,"SAINT-GEORGES, QC G5Y 7J7",2174-Programmeurs et développeurs en médias interactifs,1
,,,,2241-Technologues et techniciens en génie électronique et électrique,1
,,École de danse contemporaine de Montréal,"MONTREAL, QC H3A 2H7",5134-Danseurs,1
,,École de Gymnastique Artistique du Haut-Richelieu,"SAINT-JEAN-SUR RICHELIEU, QC J2W 1N1",5252-Entraîneurs,1
,,Ecole Polytechnique de Montréal,"Montréal, QC H3C 3A7",4011-Professeurs et chargés de cours au niveau universitaire,1
,,Elisen & Associés inc.,"Montreal, QC H8T 1A3",2146-Ingénieurs en aérospatiale,1
,,Emballage Cadeau Noble Inc.,"MONTRÉAL, QC H2Y 1Y1",1222-Adjoints de direction,1
,,Énergie CWP Inc.,"Montréal, QC H2Y 2G3",1112-Analystes financiers et analystes en placements,1
,,Equipements Smartbox inc.,"Westmount, QC H3Z 1P7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Explorance inc.,"Montreal, QC H3A 1T1",2171-Analystes et consultants en informatique,1
,,Fablab inc.,"MONTRÉAL, QC H2G 1Y9",2173-Ingénieurs et concepteurs en logiciel,1
,,Fabrication SBL Inc.,"SAINT-BENOIT-LABRE, QC G0M 1P0",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,Fahey et Associés Inc.,"MONTREAL, QC H3C 3X6",2253-Technologues et techniciens en dessin,1
,,Fednav Limitee,"Montreal, QC H3B 4W5",4112-Avocats (partout au Canada) et notaires (au Québec),1
,,Fire Without Smoke Inc.,"MONTRÉAL, QC H2T 2T3","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,,,2174-Programmeurs et développeurs en médias interactifs,1
,,Fundry Inc.,"Candiac, QC J5R 3Z4",1222-Adjoints de direction,1
,,Future Electronics Inc.,"Pointe-Claire, QC H9R 5C7",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Gamash Strategy Inc.,"MONTRÉAL, QC H1W 2C4","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Gearbox Studio Québec Inc.,"Québec, QC G1K 8G3",5241-Designers graphiques et illustrateurs,1
,,Gebo Cermex Canada Inc,"Laval, QC H7W 4V3",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Geometry GlobalLTD/Geometrie Globale Ltée,"MOntréal, QC H2Y 1M6","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,GFDD Windows Inc.,"MONTREAL, QC H3B 2N2","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,Global Mind Inc.,"MONTRÉAL, QC H2S 3C8",5241-Designers graphiques et illustrateurs,1
,,Groupe Atallah inc.,"Montréal, QC H2N 2E7","5232-Autres artistes de spectacle, n.c.a.",6
,,Groupe conseil PM SCADA inc,"Montreal, QC H2Y 1M6",2171-Analystes et consultants en informatique,1
,,Groupe Domisa Inc.,"SAINT-JEAN-SUR-RICHELIEU, QC J3B 8J4","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,Groupe Holding Connexion Inc.,"Joliette, QC J6E 0L8",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,,Groupe In-RGY Consultation Inc,"Montréal, QC H2Y 1Y3",2171-Analystes et consultants en informatique,2
,,Groupe Nexio Inc.,"Montréal, QC H3A 2J5",2171-Analystes et consultants en informatique,1
,,,,2174-Programmeurs et développeurs en médias interactifs,1
,,,,2175-Concepteurs et développeurs Web,1
,,HEC Montréal,"Montréal, QC H3T 2A7",4011-Professeurs et chargés de cours au niveau universitaire,2
