Province/Territoire,Volet du programme,Employeur,Adresse,Profession,Postes demandes
Québec,   Bas salaire,9747869 Canada Incorporated,"Montréal, H2X3A4",6332-Boulangers-pâtissiers,1
Québec,   Bas salaire,Aliments Asta Inc.,"St-Alexandre, G0L2G0",8421-Opérateurs de scies à chaîne et d'engins de débardage,1
Québec,   Bas salaire,Altispa Inc,"NOTRE-DAME-DE-L'ÎLE-PERRÔT, J7V9C5","6562-Esthéticiens, électrolystes et personnel assimilé",1
Québec,   Bas salaire,Aménagement paysager Artifex Inc,"LONGUEUIL, J4G1T2",8612-Manoeuvres en aménagement paysager et en entretien des terrains,1
Québec,   Bas salaire,Association de Planification Fiscale et Financière du Québec,"MONTRÉAL, H3A1X6",8421-Opérateurs de scies à chaîne et d'engins de débardage,1
Québec,   Bas salaire,Ball Advanced Aluminum Technologies Holding Canada Inc,"Sherbrooke, J1K1B8",9611-Manoeuvres dans le traitement des métaux et des minerais,1
Québec,   Bas salaire,CALÉ TRANSMISSION INC.,"Québec, G1M1R8",7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles,1
Québec,   Bas salaire,DIALLO INC,"Montreal, H1Z2L8",7514-Chauffeurs-livreurs - services de livraison et de messagerie,2
Québec,   Bas salaire,ECOSTONE INC.,"Montreal, H8T2V4","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",1
Québec,   Bas salaire,Gestion Jackson & Philippin Inc,"Québec, G1X4M4",8241-Conducteurs de machines d'abattage d'arbres,1
Québec,   Bas salaire,Heyseller Inc,"MONTRÉAL, H1P1A5","1123-Professionnels en publicité, en marketing et en relations publiques",1
Québec,   Bas salaire,La Maison Smith Inc,"Québec, G1L2V7",6321-Chefs,1
Québec,   Bas salaire,LES CARRIERES DUCHARME INC.,"HAVELOCK, J0S2C0",8421-Opérateurs de scies à chaîne et d'engins de débardage,1
Québec,   Bas salaire,Les Résidences Chanoine-Scott inc.,"Québec, G1V3N5","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,   Bas salaire,Proventus Bioscience Inc.,"St.Laurent, H4M2Z2",8241-Conducteurs de machines d'abattage d'arbres,1
Québec,   Bas salaire,Rotisserie Beau Coq B.B.Q. Ltée,"AMOS, J9T1T7",8241-Conducteurs de machines d'abattage d'arbres,1
Québec,   Bas salaire,Transport Matte Ltée,"DONNACONA, G3M1W6",7511-Conducteurs de camions de transport,2
Québec,  Agriculture primaire,9225-2766 Québec inc.,"Saint-Théodore-d'Acton, J0H1Z0",8241-Conducteurs de machines d'abattage d'arbres,1
Québec,  Agriculture primaire,Amanda-Joe Plantations,"SAWYERVILLE (COOKSHIRE-EATON), J0B3A0",8421-Opérateurs de scies à chaîne et d'engins de débardage,14
Québec,  Agriculture primaire,Black Bay Farm Inc.,"THURSO, J0X3B0",8431-Ouvriers agricoles,1
Québec,  Agriculture primaire,Domaine Vincent Inc.,"Saint-Joseph-du-Lac, J0N1M0",8241-Conducteurs de machines d'abattage d'arbres,35
Québec,  Agriculture primaire,Domaine Vincent Inc.,"Saint-Joseph-du-Lac, J0N1M0",8431-Ouvriers agricoles,55
Québec,  Agriculture primaire,Entreprise Keurentjes inc.,"HENRYVILLE, J0J1E0",8431-Ouvriers agricoles,1
Québec,  Agriculture primaire,ESPACE RICARDO INC.,"SAINT-LAMBERT, J4R1K5",8431-Ouvriers agricoles,1
Québec,  Agriculture primaire,Ferme Laliluc Inc.,"SAINT-JULES, G0N1R0",8241-Conducteurs de machines d'abattage d'arbres,1
Québec,  Agriculture primaire,Ferme Noël Maheux et Fils Inc.,"Sainte-Marie, G6E0N1",8421-Opérateurs de scies à chaîne et d'engins de débardage,2
Québec,  Agriculture primaire,Ferme Vertulait 2006 Inc.,"Warwick, J0A1M0",8241-Conducteurs de machines d'abattage d'arbres,1
Québec,  Agriculture primaire,Fermili (2010) Inc.,"NICOLET, J3T1G8",8431-Ouvriers agricoles,2
Québec,  Agriculture primaire,J.P.L. Maraîcher Inc.,"SAINT-ANSELME, G0R2N0","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",3
Québec,  Agriculture primaire,Les Bleuetières 2000 Inc.,"Saint-Bruno, G0W2L0",8421-Opérateurs de scies à chaîne et d'engins de débardage,3
Québec,  Agriculture primaire,Les Fermes R.R. & fils inc.,"SAINT-MICHEL, J0L2J0",8421-Opérateurs de scies à chaîne et d'engins de débardage,8
Québec,  Agriculture primaire,Les Jardins Agripro Inc.,"SAINT-EUSTACHE, J7R4K3",8431-Ouvriers agricoles,4
Québec,  Agriculture primaire,P.M. Guinois Inc.,"Saint-Jacques-le-Mineur, J0J1Z0",0012-Cadres supérieurs - administration publique,6
Québec,  Agriculture primaire,Robert Douglas Kyle Inc.,"Saint-Patrice-De-Sherrington, J0L2N0",8431-Ouvriers agricoles,2
Québec,  Agriculture primaire,SERVICE D'AUTO V.S.M (1987 ) Inc.,"SAINTE-MARIE, G6E1M4",8431-Ouvriers agricoles,1
Québec,  Agriculture primaire,Verger Gibouleau Inc.,"Laval, H7J1A3",8431-Ouvriers agricoles,1
Québec,  Talent mondial,Agence du revenu du Québec,"Québec, G1X4A5",8241-Conducteurs de machines d'abattage d'arbres,3
Québec,  Talent mondial,Productions Double Negative Montreal Ltee,"Montreal, H2Y1A6",5241-Designers graphiques et illustrateurs,1
Ontario,     Haut salaire,002478111 Ontario Inc.,"Brampton, L6R3Y5",1241-Adjoints administratifs,1
Ontario,     Haut salaire,1 FOR 1 PIZZA LIMITED,"Ottawa, K1B5M1",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,10292290 Canada Corp,"Richmond Hill, L4E5B5",1122-Professionnels des services-conseils en gestion aux entreprises,1
Ontario,     Haut salaire,11348833 Canada Ltd.,"TORONTO, M9B1K7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,11371193 CANADA INC.,"Brampton, L6X4N2","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,11515918 Canada Inc,"Brampton, L6Y4X9","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",2
Ontario,     Haut salaire,11637622 Canada Inc.,"BEAMSVILLE, L0R1B2","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,11697862 Canada Inc.,"Brampton, L6Y3S8","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Ontario,     Haut salaire,11699644 Canada Inc.,"Brampton, L7A4A3",0125-Directeurs d'autres services aux entreprises,1
Ontario,     Haut salaire,11707493 Canada Inc.,"Brampton, L6Y4Z9","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,11716611 CANADA INC.,"Cambridge, N3H0B5",0311-Directeurs des soins de santé,1
Ontario,     Haut salaire,11754190 Canada Ltd,"TORONTO, M9B1K7","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,11890646 Canada Ltd.,"Toronto, M2N6K8","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,1227239 Ontario Inc.,"Scarborough, M1S1T8",1311-Techniciens en comptabilité et teneurs de livres,1
Ontario,     Haut salaire,1238843 B.C. Ltd.,"Burlington, L7L7E1","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,1240069 B.C. Ltd.,"Mississauga, L5N8C3","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,1542766 Ontario Inc.,"Mississauga, L5T1E6",7301-Entrepreneurs et contremaîtres en mécanique,1
Ontario,     Haut salaire,1579901 ONTARIO INC,"Brampton, L6S5N8",7511-Conducteurs de camions de transport,15
Ontario,     Haut salaire,1585908 ONTARIO INC.,"Toronto, M4P1J4",1243-Adjoints administratifs médicaux,1
Ontario,     Haut salaire,1792129 ONTARIO INC.,"Toronto, M6E1C2",6321-Chefs,1
Ontario,     Haut salaire,1873408 ONTARIO INC.,"North York, M9L1N9",1241-Adjoints administratifs,1
Ontario,     Haut salaire,1898879 Ontario Inc.,"Mississauga, L5E1E1",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Ontario,     Haut salaire,1987874 ONTARIO LTD.,"Newmarket, L3Y5L8",1122-Professionnels des services-conseils en gestion aux entreprises,1
Ontario,     Haut salaire,2085919 ONT INC,"MISSISSAUGA, L5R3N4",7511-Conducteurs de camions de transport,3
Ontario,     Haut salaire,2126113 Ontario Ltd,"Pickering, L1V1B5",7295-Poseurs de revêtements d'intérieur,1
Ontario,     Haut salaire,2130751 ontario inc,"Mississauga, L5C1W4",1241-Adjoints administratifs,1
Ontario,     Haut salaire,2197036 Ontario Inc.,"BRAMPTON, L6P4A5",7511-Conducteurs de camions de transport,6
Ontario,     Haut salaire,2216418 ONTARIO INC.,"Etobicoke, M9W4K9","1123-Professionnels en publicité, en marketing et en relations publiques",1
Ontario,     Haut salaire,2232665 ONTARIO INC,"MISSISSAUGA, L5S1N6",7511-Conducteurs de camions de transport,5
Ontario,     Haut salaire,2271511 Ontario Ltd,"Concord, L4K2G4",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Ontario,     Haut salaire,2283516 ONTARIO INC,"MISSISSAUGA, L4T3X2","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,2293891 Ontario Inc.,"North York, M3N1H6",1241-Adjoints administratifs,1
Ontario,     Haut salaire,22G Auto Sales Ltd.,"Brampton, L6V1B1",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,2302190 Ontario Inc.,"Brampton, L7A0X1",1241-Adjoints administratifs,1
Ontario,     Haut salaire,2307403 ONTARIO INC,"CAMBRIDGE, N1T2H8",2282-Agents de soutien aux utilisateurs,1
Ontario,     Haut salaire,2322948 Ontario Inc,"Brampton, L6W1K5","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,     Haut salaire,2375885 Ontario Inc.,"Markham, L3R3P9",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,2410879 Ontario Ltd.,"Toronto, M2R1N9",7251-Plombiers,1
Ontario,     Haut salaire,2473927 Ontario Inc,"Mississauga, L5K2R5","1123-Professionnels en publicité, en marketing et en relations publiques",1
Ontario,     Haut salaire,2512275 ONTARIO LTD,"Mississauga, L4T0A4",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
Ontario,     Haut salaire,2517271 ONTARIO INC,"Toronto, M1P3J2","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,2522927 ontario inc.,"HUNTSVILLE, P1H1G4",1431-Commis à la comptabilité et personnel assimilé,1
Ontario,     Haut salaire,2549090 ONTARIO INC.,"WINDSOR, N9A4M7",6321-Chefs,1
Ontario,     Haut salaire,2559574 Ontario Inc.,"Hamilton, L8E1H8",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,2582144 ONTARIO LTD.,"MISSISSAUGA, L5T1G1",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,2583695 Ontario Inc.,"Brampton, L6T4L6",7332-Réparateurs et préposés à l'entretien d'appareils,2
Ontario,     Haut salaire,2702354 ON Inc.,"Brampton, L6W2B5","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,2715367 Ontario Inc. dba Basil,"Barrie, L4N5J4",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,6510515 CANADA INC.,"LITTLE CURRENT, P0P1K0","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
Ontario,     Haut salaire,6798837 Canada Inc.,"Thornhill, L3T1L6","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
Ontario,     Haut salaire,7928394 CANADA INC.,"Oakville, L6H7L3",5242-Designers d'intérieur et décorateurs d'intérieur,1
Ontario,     Haut salaire,7982216 CANADA INCORPORATED,"Mississauga, L5R3N1",2171-Analystes et consultants en informatique,1
Ontario,     Haut salaire,8291322 Canada Ltd.,"Toronto, M6A3B4",7246-Installateurs et réparateurs de matériel de télécommunications,1
Ontario,     Haut salaire,8618097 Canada Inc.,"Brampton, L6Y3Y1",2171-Analystes et consultants en informatique,1
Ontario,     Haut salaire,8777691 CANADA INC.,"MISSISSAUGA, L4T1Z7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,88 WEBSTUDIO INC.,"Etobicoke, M9B6M1",1221-Agents d'administration,1
Ontario,     Haut salaire,A & Z Foods Inc,"Brampton, L6W2C2",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,aarti impex inc,"brampton, L6P3W4",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,Acrossor Ltd.,"Richmond Hill, L4B3L8",2174-Programmeurs et développeurs en médias interactifs,1
Ontario,     Haut salaire,AcuityAds Inc,"Toronto, M5J2T3","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,     Haut salaire,ADM DAIRY INC.,"MISSISSAUGA, L4W2Z6",6315-Surveillants des services de nettoyage,1
Ontario,     Haut salaire,Advance Solution Corp.,"Burlington, L7M2Z9",0711-Directeurs de la construction,1
Ontario,     Haut salaire,Alliance Insurance Brokers Ltd.,"Toronto, M2J4R4",6231-Agents et courtiers d'assurance,1
Ontario,     Haut salaire,ALNICO SECURITY TECHNOLOGY INC,"Scarborough, M1V4T5",2283-Évaluateurs de systèmes informatiques,1
Ontario,     Haut salaire,Amberson Education Group Inc.,"Toronto, M1W2S7",2175-Concepteurs et développeurs Web,1
Ontario,     Haut salaire,Animals Inc.,"TORONTO, M6J2R9","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,     Haut salaire,Argcon Group Inc.,"Scarborough, M1R3C2","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
Ontario,     Haut salaire,Argo Drywall Inc,"Brampton, L6S5X8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Ontario,     Haut salaire,Arya-Vista Construction Corp.,"Toronto, M5B2L7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,Autobahn Freight Lines Ltd.,"Brampton, L6S5N8",7511-Conducteurs de camions de transport,1
Ontario,     Haut salaire,autotronic services inc.,"toronto, M1R4Z8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Ontario,     Haut salaire,Benchmark Media Marketing Inc.,"Toronto, M3J3J4","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,BILT RITE WOODWORKING INC,"Etobicoke, M9W1G3",7271-Charpentiers-menuisiers,1
Ontario,     Haut salaire,BIM MEE AEC DESIGN INC,"London, N6B2K6",2251-Technologues et techniciens en architecture,1
Ontario,     Haut salaire,Bock North America Ltd.,"Cambridge, N3H4R7",9422-Opérateurs de machines de traitement des matières plastiques,1
Ontario,     Haut salaire,BroFin Investment and Consulting Inc.,"TORONTO, M9C1Z7","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,Canadian Institute of  Telecommunications Inc.,"Mississauga, L4T2T7",2171-Analystes et consultants en informatique,1
Ontario,     Haut salaire,Canamex-Carbra Transportation Services Inc.,"Mississauga, L4T1G8",1311-Techniciens en comptabilité et teneurs de livres,1
Ontario,     Haut salaire,Cheung & Associates CPAs Professional Corporation,"Toronto, M3B3H9",1212-Superviseurs de commis de finance et d'assurance,2
Ontario,     Haut salaire,CNC Vision Holding Inc,"Markham, L3R7P3",3231-Opticiens d'ordonnances,1
Ontario,     Haut salaire,Columbia Building Maintenance Co. Ltd.,"Toronto, M9V5C3",6315-Surveillants des services de nettoyage,1
Ontario,     Haut salaire,CRD Pharmaceuticals Inc.,"Ottawa, K2E8A5","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Ontario,     Haut salaire,CREATIVE GLASS (2010) INC.,"Mississauga, L5N7X9",1221-Agents d'administration,1
Ontario,     Haut salaire,Dibdaa Ltd,"Toronto, M5B2L2","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,DiPaolo Machine Tools Ltd,"Mississauga, L5S1K6",0911-Directeurs de la fabrication,1
Ontario,     Haut salaire,Doctors Urgent Care Clinic Inc.,"Scarborough, M1B0A7",3112-Omnipraticiens et médecins en médecine familiale,1
Ontario,     Haut salaire,DR JASPAL BHANDAL PROF CORP,"BRAMPTON, L7A0N9",1243-Adjoints administratifs médicaux,1
Ontario,     Haut salaire,Einbau Ltd,"Whitby, L1N7T8",7271-Charpentiers-menuisiers,1
Ontario,     Haut salaire,Electro Mechanical Truck Repair Inc.,"Mississauga, L4W1N8",1221-Agents d'administration,1
Ontario,     Haut salaire,Elite Digital Inc.,"Toronto, M9L1S7","1123-Professionnels en publicité, en marketing et en relations publiques",1
Ontario,     Haut salaire,Faatih & Co. Ltd,"Kitchener, N2P2A4",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,FALCON XPRESS TRANSPORTATION GROUP INC.,"Brampton, L7C3B7",7511-Conducteurs de camions de transport,5
Ontario,     Haut salaire,FIRST REFRIGERATION ENGINEERING LTD,"Scarborough, M1V5J9",6552-Autres préposés aux services d'information et aux services à la clientèle,1
Ontario,     Haut salaire,Fit and Glow Canada Inc.,"TORONTO, M6K3P6","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,     Haut salaire,FIXTRONIKS INC,"Vaughn, L4K0G7","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,Focal Healthcare Inc.,"Toronto, M6R2J1","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
Ontario,     Haut salaire,Fonex Technologies,"Vaughn, L4H3A4","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,Freecan Inc.,"North York, M2M2V2","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,Gigg Express Inc,"Mississauga, L4W5L5",7511-Conducteurs de camions de transport,5
Ontario,     Haut salaire,Healthwinds Spas Inc,"Toronto, M4S2N5",3236-Massothérapeutes,1
Ontario,     Haut salaire,Himalya Express Inc.,"Brampton, L6W1T4",7511-Conducteurs de camions de transport,5
Ontario,     Haut salaire,Home Plus Life Inc.,"Markham, L3R1E4",7313-Mécaniciens en réfrigération et en climatisation,1
Ontario,     Haut salaire,HR STAFF LTD,"BRAMPTON, L7A2T2",0125-Directeurs d'autres services aux entreprises,1
Ontario,     Haut salaire,"Hua Men Trading Co., Ltd.","Scarborough, M1B4Z7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,Ideal Mattress Factory Ltd.,"Mississauga, L4W1G4",1221-Agents d'administration,1
Ontario,     Haut salaire,ILLUSTRATE INC,"TORONTO, M9B6H7",1221-Agents d'administration,1
Ontario,     Haut salaire,International Language Academy of Canada,"Toronto, M4W3C7",1221-Agents d'administration,1
Ontario,     Haut salaire,ISHINA DISTINGUISHED INDIAN CUISINE INC.,"NEPEAN, K2H8W2",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,iTi Building Permit Designer Inc.,"Oakville, L6J6G6",2253-Technologues et techniciens en dessin,1
Ontario,     Haut salaire,J & Sons Transport Ltd.,"Brampton, L6T0G6",2282-Agents de soutien aux utilisateurs,1
Ontario,     Haut salaire,JVC Precision Ltd.,"Oro-Medonte, L3V0R4",2252-Designers industriels,1
Ontario,     Haut salaire,Kristofoam Industries Inc.,"concord, L4K2C7",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
Ontario,     Haut salaire,LAKELAND LONG TERM CARE SERVICES CORPORATION,"Parry Sound, P2A3A4",0311-Directeurs des soins de santé,1
Ontario,     Haut salaire,Legno Custom Millwork Inc.,"Concord, L4K2B9",1225-Agents aux achats,1
Ontario,     Haut salaire,Locomotive Investments Inc.,"Toronto, M5V1E3","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,     Haut salaire,Luso Star Construction Inc,"North York, M3K1K3",2281-Techniciens de réseau informatique,1
Ontario,     Haut salaire,Magcrete Logistics Corporation,"King City, L7B1C4",7511-Conducteurs de camions de transport,5
Ontario,     Haut salaire,Main Safety Solutions Inc,"Woodstock, N4T1C3",1221-Agents d'administration,1
Ontario,     Haut salaire,Marcus LTD,"Toronto, M3H0B9","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
Ontario,     Haut salaire,Master's Trust Realty Inc.,"Markham, L3R1G9",1222-Adjoints de direction,1
Ontario,     Haut salaire,MH PRO PLUMBING SERVICES LTD,"Newmarket, L3Y5A4",7251-Plombiers,1
Ontario,     Haut salaire,MJMG HOldings Inc.,"Etobicoke, M9W4Z4",2221-Technologues et techniciens en biologie,1
Ontario,     Haut salaire,MJR Contractors Ltd.,"Mississauga, L4Z1C2",7271-Charpentiers-menuisiers,1
Ontario,     Haut salaire,Moneta Porcupine Mines Inc,"Timmins, P4N1C2",2113-Géoscientifiques et océanographes,1
Ontario,     Haut salaire,Moss and Lam Inc.,"Toronto, M8Z2H1",5241-Designers graphiques et illustrateurs,1
Ontario,     Haut salaire,Nursing Without Borders Incorporated,"Ancaster, L9K0H4",1311-Techniciens en comptabilité et teneurs de livres,1
