Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés
Nouvelle-Écosse,   Bas salaire,Buta Ramen Inc.,"Halifax, NS B3J 1B3",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,Fisher Direct LTD,"Shelburne County, NS B0W 3B0",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,9
Nouvelle-Écosse,   Bas salaire,It Takes a Village Inc.,"Halifax, NS B3S 1P9",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Nouvelle-Écosse,   Bas salaire,JACMAR restaurants Ltd o/a McDonalds,"BROOKLYN, NS B5A 4T4",6311-Superviseurs des services alimentaires,1
Nouvelle-Écosse,   Bas salaire,Jay`s Convenience Barn Inc. o/a Jay's Convenience,"Halifax, NS B3K 5K6",6211-Superviseurs des ventes - commerce de détail,1
Nouvelle-Écosse,   Bas salaire,John Ross & Sons Ltd.,"Halifax, NS B3S 1B3",7452-Manutentionnaires,13
Nouvelle-Écosse,   Bas salaire,Lin’s Take Out Restaurant Limited,"Westville, NS B0K 2A0",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,Naji Fine Foods Ltd.,"Halifax, NS B3S 1P9",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,Pizza Delight,"Antigonish, NS B2G 2C5",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,Quality Seafoods Limited,"Yarmouth, NS B5A 4B3",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,6
Nouvelle-Écosse,   Bas salaire,Randy's Pizza,"Halifax, NS B3K 4B6",6322-Cuisiniers,2
Nouvelle-Écosse,  Agriculture primaire,3115695 Nova Scotia Limited,"Rr#2 Centreville, NS B0P 1J0",8431-Ouvriers agricoles,6
Nouvelle-Écosse,  Agriculture primaire,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,63
Nouvelle-Écosse,  Agriculture primaire,Apple Lane Farm Inc,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,11
Nouvelle-Écosse,  Agriculture primaire,Archibald Dairy Inc,"NewTown, Guysborough County, NS B2H 5C8","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
Nouvelle-Écosse,  Agriculture primaire,Birchleigh Farms LTD.,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,9
Nouvelle-Écosse,  Agriculture primaire,Boundary Lane Farms Ltd.,"Shubenacadie, NS B0N 2H0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Nouvelle-Écosse,  Agriculture primaire,Canard Orchards Ltd,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,16
Nouvelle-Écosse,  Agriculture primaire,Craig Nichols Farms Limited,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,7
Nouvelle-Écosse,  Agriculture primaire,Crisp Growers Incorporated,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,20
Nouvelle-Écosse,  Agriculture primaire,D & M Lightfoot Farms Ltd,"Wolfvllle, NS B4P  2S",8431-Ouvriers agricoles,6
Nouvelle-Écosse,  Agriculture primaire,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8431-Ouvriers agricoles,16
Nouvelle-Écosse,  Agriculture primaire,Elite Balsam Products Incorporated,"St. Andrew's, NS B0H 1X0",8432-Ouvriers de pépinières et de serres,6
Nouvelle-Écosse,  Agriculture primaire,Ellslea Farms Limited,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0",8431-Ouvriers agricoles,22
Nouvelle-Écosse,  Agriculture primaire,Eyking Brothers Farm Ltd,"Millville, NS B1Y 2E2",8431-Ouvriers agricoles,18
Nouvelle-Écosse,  Agriculture primaire,G & C Hughes Enterprises Limited,"New Ross, NS B0J 2M0",8432-Ouvriers de pépinières et de serres,23
Nouvelle-Écosse,  Agriculture primaire,J & B Millen Farms Limited,"Great Village, NS B0M 1L0",8431-Ouvriers agricoles,68
Nouvelle-Écosse,  Agriculture primaire,JOST VINEYARDS LIMITED,"Malagash, NS B0K 1E0",8431-Ouvriers agricoles,8
Nouvelle-Écosse,  Agriculture primaire,Luckett Farms Ltd.,"Wolfville, NS B4P 2R3",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,LUTZ FAMILY FARM LTD,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,8
Nouvelle-Écosse,  Agriculture primaire,M. KEDDY FARM & FOREST LTD.,"New Ross, NS B0J 2M0",8432-Ouvriers de pépinières et de serres,5
Nouvelle-Écosse,  Agriculture primaire,Millen Farms Ltd,"Great Village, NS B0M 1L0",8431-Ouvriers agricoles,209
Nouvelle-Écosse,  Agriculture primaire,Randsland Farms Inc,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,20
Nouvelle-Écosse,  Agriculture primaire,Reimer Gardens Inc.,"Waterville, NS B0P 1V0",8431-Ouvriers agricoles,14
Nouvelle-Écosse,  Agriculture primaire,Scothorn Farms Ltd,"Hardwood Lands, NS B0N 1Y0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouvelle-Écosse,  Agriculture primaire,Spurr Brothers Farms Ltd,"Melvern Square, NS B0P 1R0",8431-Ouvriers agricoles,7
Nouvelle-Écosse,  Agriculture primaire,Stirling Fruit Farms (2000) Ltd,"Greenwich, NS B4P 2R2",8431-Ouvriers agricoles,34
Nouvelle-Écosse,  Agriculture primaire,Stirlings Mountainside Farms 2017 Ltd,"Centreville, NS B0P 1J0",8431-Ouvriers agricoles,24
Nouvelle-Écosse,  Agriculture primaire,TapRoot Farms Inc.,"Port Williams, NS B0P 1T0",8431-Ouvriers agricoles,14
Nouvelle-Écosse,  Agriculture primaire,Town Plot Orchards Ltd.,"Port Williams, NS B0P 1T0",8431-Ouvriers agricoles,1
Nouvelle-Écosse,  Agriculture primaire,Vermeuland Farms Ltd.,"Milford Station, NS B0N 1Y0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouvelle-Écosse,  Agriculture primaire,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8431-Ouvriers agricoles,26
Nouvelle-Écosse,  Agriculture primaire,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8611-Manoeuvres à la récolte,36
Nouvelle-Écosse,  Agriculture primaire,Walsh Farms Inc.,"Rockland, NS B0P 1E0",8431-Ouvriers agricoles,4
Nouvelle-Écosse,  Agriculture primaire,Wohlgemuth Farms Ltd.,"Aylesford, NS B0P 1C0",8431-Ouvriers agricoles,16
Nouvelle-Écosse,  Talent mondial,AtlantiCann Medical Inc.,"Halifax, NS B3N 0C6","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Nouvelle-Écosse,  Talent mondial,Butterfield Support Services (Halifax) Limited,"Halifax, NS B3J 3M8",0213-Gestionnaires des systèmes informatiques,1
Nouvelle-Écosse,  Talent mondial,Lixar IT Inc,"Halifax, NS B3K 2Z8",2174-Programmeurs et développeurs en médias interactifs,1
Nouvelle-Écosse,  Talent mondial,Mindsea Development Incorporated,"Halifax, NS B3J 3M8",2175-Concepteurs et développeurs Web,1
Nouvelle-Écosse,  Talent mondial,REDspace Inc.,"Bedford, NS B4A 3Y4",2174-Programmeurs et développeurs en médias interactifs,1
Nouvelle-Écosse,  Talent mondial,Salient Energy Inc,"DARTMOUTH, NS B2Y 4M9",2211-Technologues et techniciens en chimie,1
Nouveau-Brunswick,     Haut salaire,10993018 Canada Corporation,"Moncton, NB E1G 0E6",7511-Conducteurs de camions de transport,1
Nouveau-Brunswick,     Haut salaire,682364 NB INC,"Fredericton, NB E3B 8P4",6316-Surveillants des autres services,1
Nouveau-Brunswick,     Haut salaire,700827 NB Inc.,"Fredericton, NB E3B 1B2",6322-Cuisiniers,1
Nouveau-Brunswick,     Haut salaire,Amal Transport Inc,"Woodstock, NB E7M 2M1",7511-Conducteurs de camions de transport,3
Nouveau-Brunswick,     Haut salaire,AYR Motor Express Inc,"Woodstock, NB E7M 4G2",7511-Conducteurs de camions de transport,10
Nouveau-Brunswick,     Haut salaire,BALAJI HOSPITALITY MANAGEMENT INC.,"Miramichi, NB E1V 1L2",6315-Surveillants des services de nettoyage,1
Nouveau-Brunswick,     Haut salaire,DONNELLY FARMS LTD,"Lansdowne, NB E7L 4K4",7511-Conducteurs de camions de transport,1
Nouveau-Brunswick,     Haut salaire,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",0631-Directeurs de la restauration et des services alimentaires,1
Nouveau-Brunswick,     Haut salaire,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",6311-Superviseurs des services alimentaires,8
Nouveau-Brunswick,     Haut salaire,FMI National Inc,"Woodstock, NB E7M 5G5",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,     Haut salaire,Freight Chain Inc,"ST-HILAIRE, NB E3V 4W7",7511-Conducteurs de camions de transport,1
Nouveau-Brunswick,     Haut salaire,"Irving Consumer Products, Limited","Dieppe, NB E1A 6X4",0911-Directeurs de la fabrication,1
Nouveau-Brunswick,     Haut salaire,ISRALIFE LTD.,"SAINT JOHN, NB E2J 3W9",6211-Superviseurs des ventes - commerce de détail,2
Nouveau-Brunswick,     Haut salaire,Jeramand Trucking Ltd.,"Irishtown, NB E1H 2L3",7511-Conducteurs de camions de transport,1
Nouveau-Brunswick,     Haut salaire,Moosehorn trucking Ltd.,"Penobsquis, NB E4G 2A5",7511-Conducteurs de camions de transport,1
Nouveau-Brunswick,     Haut salaire,Murray Enterprises Ltd.,"sussex corner, NB E4E 2Y5",7511-Conducteurs de camions de transport,2
Nouveau-Brunswick,     Haut salaire,Pit Stop Motel Service Ltd,"Berry Mills, NB E1G 3Z3",0632-Directeurs des services d'hébergement,1
Nouveau-Brunswick,     Haut salaire,Quality Transportation services NB ltd,"Jacksonville, NB E7M 3S1",7511-Conducteurs de camions de transport,5
Nouveau-Brunswick,     Haut salaire,Rogers Communications Canada Inc,"Moncton, NB E1C 0G1","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Nouveau-Brunswick,     Haut salaire,SEJIN TOKYO RAMEN INC,"Fredericton, NB E3B 4K4",6322-Cuisiniers,1
Nouveau-Brunswick,     Haut salaire,World Wide Atlantic Freight Inc,"Scoudouc, NB E4P 3N6","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Nouveau-Brunswick,   Bas salaire,622735 NB INC,"Lake George, NB E6K 3P9",6322-Cuisiniers,2
Nouveau-Brunswick,   Bas salaire,645527 NB Inc.,"Edmundston, NB E3V 2S7",6322-Cuisiniers,2
Nouveau-Brunswick,   Bas salaire,658711 NB LTD.,"Miramichi, NB E1V 1X4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,669950 N.B LTD,"Fredericton, NB E3B 1B9",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,684373 NB Inc,"quispamsis, NB E2E 4J8",6322-Cuisiniers,2
Nouveau-Brunswick,   Bas salaire,684422 NB Inc.,"Moncton, NB E1C 2S3",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,690045 NB INC.,"SAINT JOHN, NB E2L 2H8",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Atlantic Star Uniforms 2009 Inc.,"Edmundston, NB E3V 4H4",9446-Opérateurs de machines à coudre industrielles,2
Nouveau-Brunswick,   Bas salaire,Bouctouche Bay Inn Inc.,"Lincoln, NB E3B 9J1",6322-Cuisiniers,2
Nouveau-Brunswick,   Bas salaire,Canada's Best Value Inn,"Woodstock, NB E7M 6B5",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Captain Dan's Inc.,"Richibouctou-Village, NB E4W 1C9",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,45
Nouveau-Brunswick,   Bas salaire,CARPE DIEM FOOD INC.,"MONCTON, NB E1E 4H8",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Corey Craig Ltd,"Moncton, NB, NB E1C 1E3",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,Diamond House Restaurant Ltd.,"Oromocto, NB E2V 2G9",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Dimitri's Souvlaki INC,"Fredericton, NB E3B 1E4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,DOWON BROTHERS INC.,"MONCTON, NB E1C 5C4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Elphege & Norbert Leblanc Ltd,"Petit Cap, NB E4N 2E8",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,19
Nouveau-Brunswick,   Bas salaire,Jack's Pizza,"Fredericton, NB E3B 1E4",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Keenan Construction Inc.,"bedell, NB E7M 4M7",7271-Charpentiers-menuisiers,1
Nouveau-Brunswick,   Bas salaire,KIM'S MART CORPORATION,"MONCTON, NB E1C 2R5",6211-Superviseurs des ventes - commerce de détail,1
Nouveau-Brunswick,   Bas salaire,KIM'S MART CORPORATION,"MONCTON, NB E1C 2R5",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Mitton's Food Service Inc.,"Riverview, NB E1B 3J2",6311-Superviseurs des services alimentaires,2
Nouveau-Brunswick,   Bas salaire,Quispamsis Jungle Foods inc,"miramichi, NB E1V 5Z5",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Restaurant la Sagouine,"Bouctouche, NB E4S 3E7",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Shediac Lobster Shop Ltd.,"Shediac, NB E4P 2A6",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,66
Nouveau-Brunswick,   Bas salaire,Shediac Lobster Shop Ltd.,"Shediac, NB E4P 2A6",9618-Manoeuvres dans la transformation du poisson et des fruits de mer,53
Nouveau-Brunswick,   Bas salaire,Shippagan Pizza Inc.,"Shippagan, NB E8S 1N6",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Tracadie Pizza Inc.,"Tracadie-Sheila,, NB E1X 1G5",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,Utrade Inc,"Moncton, NB E1C 5W1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Nouveau-Brunswick,  Agriculture primaire,624888 N.-B. ltée,"St-Quentin, NB E8A 1N9",8431-Ouvriers agricoles,2
Nouveau-Brunswick,  Agriculture primaire,Ferme Bancourt ltée,"St-Quentin, NB E8A 2L3","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouveau-Brunswick,  Agriculture primaire,Hanscome Farms Ltd,"Perth-Andover, NB E7H 4K4",8431-Ouvriers agricoles,12
Nouveau-Brunswick,  Agriculture primaire,Irishview Estate Ltd.,"Moncton, NB E1E 0J1",8431-Ouvriers agricoles,6
Nouveau-Brunswick,  Agriculture primaire,"Jolly Farmer Products, Inc.","Northampton, NB E7N 1R6",8432-Ouvriers de pépinières et de serres,6
Nouveau-Brunswick,  Agriculture primaire,Royal Gardens 2012 Ltd.,"Penobsquis, NB E4G 2C5",8432-Ouvriers de pépinières et de serres,18
Nouveau-Brunswick,  Agriculture primaire,Schenkels Farms Inc,"Whitney, NB E1V 4K4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Nouveau-Brunswick,  Agriculture primaire,Verger Belliveau Orchard ltd.,"Memramcook, NB E4K 2S6",8611-Manoeuvres à la récolte,1
Nouveau-Brunswick,  Agriculture primaire,W.A.Farm Ltd.,"Salisbury West, NB E4J 3G9","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
Nouveau-Brunswick,  Talent mondial,Rogers Communications Canada Inc,"Moncton, NB E1C 0G1",0213-Gestionnaires des systèmes informatiques,2
Nouveau-Brunswick,  Talent mondial,Rogers Communications Canada Inc,"Moncton, NB E1C 0G1",2171-Analystes et consultants en informatique,1
Nouveau-Brunswick,  Talent mondial,Rogers Communications Canada Inc,"Moncton, NB E1C 0G1",2175-Concepteurs et développeurs Web,1
Québec,     Haut salaire, 9101-5594 Québec inc.,"CAUSAPSCAL, QC G0J 1J0",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,10036099 Canada Inc.,"Montréal, QC H3B 2E3",1223-Agents des ressources humaines et de recrutement,1
Québec,     Haut salaire,10560995 Canada Inc.,"MONTRÉAL, QC H3B 4G7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Québec,     Haut salaire,135607 Canada Ltee,"LAVAL, QC H7L 5B8",7332-Réparateurs et préposés à l'entretien d'appareils,2
Québec,     Haut salaire,163972 Canada Inc.,"MONTREAL, QC H2N  2E","5232-Autres artistes de spectacle, n.c.a.",1
Québec,     Haut salaire,2629-0387 QC. Restaurant Le Tournesol,"RIVIÈRE-DU-LOUP, QC G5R  2Y",6322-Cuisiniers,2
Québec,     Haut salaire,3894207 Canada Inc. (Barbies Resto Bar Grill),"BROSSARD, QC J4Y 0G5",6322-Cuisiniers,1
Québec,     Haut salaire,6011217  Canada Inc. (Pizza Plateau),"GATINEAU, QC J9A 3K7",0631-Directeurs de la restauration et des services alimentaires,1
Québec,     Haut salaire,7106106 Canada Inc.,"Hull, Gatineau, QC J8Y 3Y7",6322-Cuisiniers,2
Québec,     Haut salaire,9011-1139 Québec Inc.,"SAINT-LÉONARD, QC H1R 2J5",6311-Superviseurs des services alimentaires,1
Québec,     Haut salaire,9012656 Canada Inc.,"Longueuil, QC J4K 2W5",7511-Conducteurs de camions de transport,2
Québec,     Haut salaire,9018-6560 Québec Inc. (Folio Montréal),"MONTRÉAL, QC H2Y 2E1","5232-Autres artistes de spectacle, n.c.a.",1
Québec,     Haut salaire,9035-2303 Québec Inc.,"SAGUENAY, QC G7H 2A2",6322-Cuisiniers,2
Québec,     Haut salaire,9043-4721 Québec,"SAGUENAY, QC G7H 2A2",6322-Cuisiniers,2
Québec,     Haut salaire,9087-9586 Québec Inc,"Sept-Iles, QC G4R 1W8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,     Haut salaire,9093451 Canada inc,"Dorval, QC H9P 1A7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,     Haut salaire,9099-7768 QUÉBEC INC.,"Saint-Augustin-de-Demaures, QC G3A 1V9",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,9102-6146 Quebec Inc.,"MONTRÉAL, QC H1J 1G3",6321-Chefs,1
Québec,     Haut salaire,9105-0724 quebec inc,"Mont-Tremblant, QC J8E 1K4",6322-Cuisiniers,2
Québec,     Haut salaire,9108-1471 Québec Inc,"DRUMMONDVILLE, QC J2C 2B9",6322-Cuisiniers,1
Québec,     Haut salaire,9110-5221 Québec inc.,"Sherbrooke, QC J1G 1E4",7322-Débosseleurs et réparateurs de carrosserie,2
Québec,     Haut salaire,9116-1521 Québec inc,"QUÉBEC, QC G1N 2E6",0631-Directeurs de la restauration et des services alimentaires,1
Québec,     Haut salaire,9123-1233 Québec Inc.,"ROXBORO, QC H8Y 3C1",7233-Tôliers,1
Québec,     Haut salaire,9123-1233 Québec Inc.,"ROXBORO, QC H8Y 3C1",7322-Débosseleurs et réparateurs de carrosserie,1
Québec,     Haut salaire,9135-0736 Québec Inc.,"MONTRÉAL, QC H3G 0B9",6321-Chefs,1
Québec,     Haut salaire,9137-0619 QUÉBEC INC.,"Saint-Lambert-de-Lauzon, QC G0S 2W0",7237-Soudeurs et opérateurs de machines à souder et à braser,3
Québec,     Haut salaire,9148-6886 Québec Inc.,"SAINT-JÉRÔME, QC J7Y 5K8",0631-Directeurs de la restauration et des services alimentaires,1
Québec,     Haut salaire,9149-0698 Quebec Inc,"Saint-Laurent, QC H4L 3L7",6321-Chefs,1
Québec,     Haut salaire,9150-2468 QUÉBEC INC.,"ROUYN-NORANDA, QC J9X 6M6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
Québec,     Haut salaire,9151-5973 QUÉBEC INC.,"Laval, QC H7M 1R1",7322-Débosseleurs et réparateurs de carrosserie,1
