Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Requested LMIAs,Requested Positions,Postal Code,Latitude,Longitude
Quebec ,High Wage ,11782711 Canada Inc.,"Montréal, QC H1G 3P",13110-Administrative assistants,Corporation,1,2,,,
Quebec ,High Wage ,8344795 CANADA INC,"Vaudreuil-Dorion, QC J7V 8P2",73300-Transport truck drivers,Unknown,1,5,J7V 8P2,45.3557615,-74.0304927
Quebec ,High Wage ,90890229 Québec Inc.,"Montréal, QC H1G 1P3",12200-Accounting technicians and bookkeepers,Unknown,1,1,H1G 1P3,45.6193545,-73.6208673
Quebec ,High Wage ,9305-7701 QUEBEC INC,"Brossard, QC J4Z 2P6","72411-Auto body collision, refinishing and glass technicians and damage repair estimators",Unknown,1,1,J4Z 2P6,45.4632576,-73.4524768
Quebec ,High Wage ,9323-7717 Quebec Inc.,"Longueuil, QC J4L 1N9","54100-Program leaders and instructors in recreation, sport and fitness",Unknown,1,3,J4L 1N9,45.5128522,-73.4412401
Quebec ,High Wage ,9385-4776 Quebec inc,"montréal, QC H2P 1Z1","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,H2P 1Z1,45.5468686,-73.6274256
Quebec ,High Wage ,9389-5449 Quebec Inc.,"Montréal, QC H3C 2J8",22220-Computer network and web technicians,Unknown,1,1,H3C 2J8,45.4944773,-73.55768119999999
Quebec ,High Wage ,9396-1209 QUEBEC INC.,"Repentigny, QC J7Z 4G2",62024-Cleaning supervisors,Partnership,1,1,J7Z 4G2,45.78288560000001,-73.9943301
Quebec ,High Wage ,9409-0263 Quebec Inc,"Saint Laurent, QC H4M 1P1","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,H4M 1P1,45.5011584,-73.6813274
Quebec ,High Wage ,9424-2062 Québec Inc,"Montréal-Nord, QC H1G 2N4",13110-Administrative assistants,Corporation,1,1,H1G 2N4,45.60589969999999,-73.6252111
Quebec ,High Wage ,9425-5668 Quebec Inc.,"Brossard, QC J4X 2T4",13110-Administrative assistants,Unknown,1,1,J4X 2T4,45.4442434,-73.47351119999999
Quebec ,High Wage ,9434-1427 Québec inc.,"Montréal, QC H1S 1H2",63200-Cooks,Unknown,1,1,H1S 1H2,45.5728142,-73.5902631
Quebec ,High Wage ,94608296 Quebec Inc,"Brossard, QC J4V 2H9",72205-Telecommunications equipment installation and cable television service technicians,Unknown,1,1,J4V 2H9,45.4861036,-73.46940699999999
Quebec ,High Wage ,9482-3317 Québec inc.,"Terrebonne, QC J6V 0B6",14401-Storekeepers and partspersons,Unknown,1,1,J6V 0B6,45.71458270000001,-73.49850359999999
Quebec ,High Wage ,9492-6367 Québec inc,"Saint-Césaire, QC J0L 1T0",21221-Business system specialists,Unknown,1,1,J0L 1T0,45.39850819999999,-72.9824364
Quebec ,High Wage ,Abitibi Géophysique,"Val-d'Or, QC J9P 4N7",22310-Electrical and electronics engineering technologists and technicians,Partnership,1,1,J9P 4N7,48.1067202,-77.9615556
Quebec ,High Wage ,Ayming Canada,"Montréal, QC H3A 2Z6",60010-Corporate sales managers,Corporation,1,1,H3A 2Z6,45.5022217,-73.5738965
Quebec ,High Wage ,Bio Vie Cosmétique INC.,"Montréal, QC H2R 2N5",63210-Hairstylists and barbers,Unknown,1,1,H2R 2N5,45.54283,-73.61744569999999
Quebec ,High Wage ,CENTRE ACADEMIQUE MILLENNIUM INC.,"Montreal, QC H1H 2G3",41210-College and other vocational instructors,Unknown,1,4,H1H 2G3,45.5892754,-73.6342463
Quebec ,High Wage ,CENTRE ACADEMIQUE MILLENNIUM INC.,"Montreal, QC H1H 2G3",65310-Light duty cleaners,Unknown,1,2,H1H 2G3,45.5892754,-73.6342463
Quebec ,High Wage ,DÉLICES KMER,"Montréal, QC H4J 1H6",63200-Cooks,Unknown,1,1,H4J 1H6,45.5330856,-73.70579429999999
Quebec ,High Wage ,Entreprise Vaco Montréal,"Montréal, QC H2Y 2G3",21233-Web designers,Corporation,1,1,H2Y 2G3,45.5003831,-73.5572308
Quebec ,High Wage ,Fives Solios inc.,"Montréal, QC H3A 1K2",70010-Construction managers,Unknown,1,1,H3A 1K2,45.5050794,-73.57241399999999
Quebec ,High Wage ,Force Zazo Inc,"Mont Royal, QC H4P 1M2","54100-Program leaders and instructors in recreation, sport and fitness",Unknown,1,1,H4P 1M2,45.4938808,-73.66156459999999
Quebec ,High Wage ,GARDERIE BAHIJA BOUTARFAS,"MONTRÉAL, QC H4J 1B1",42202-Early childhood educators and assistants,Unknown,1,1,H4J 1B1,45.5321291,-73.7220258
Quebec ,High Wage ,Groupe SOVIBES S.E.N.C,"Longueuil, QC J4L 3T1",21232-Software developers and programmers,Unknown,1,1,J4L 3T1,45.5121981,-73.4587343
Quebec ,High Wage ,HOVIE CONSULTING INC,"Verdun, QC H4G 1C2",12101-Human resources and recruitment officers,Unknown,1,5,H4G 1C2,45.4641398,-73.5758934
Quebec ,High Wage ,Intelcom Courrier Canada,"Montréal, QC H3C 1R5",70021-Postal and courier services managers,Unknown,1,1,H3C 1R5,45.4908164,-73.56361
Quebec ,High Wage ,Kleton,"Senneville, QC H9X 3L","94213-Industrial painters, coaters and metal finishing process operators",Corporation,1,1,,,
Quebec ,High Wage ,Les bambichous Garderie inc,"Montreal, QC H2G 1H4",13100-Administrative officers,Unknown,1,1,H2G 1H4,45.544282,-73.6003075
Quebec ,High Wage ,LIVRAISON QALINLEH INC.,"Gatineau, QC J8Z 2A7",75201-Delivery service drivers and door-to-door distributors,Unknown,1,1,J8Z 2A7,45.4720497,-75.74212009999999
Quebec ,High Wage ,ma petite ecole beaubien inc,"Montreal, QC H1M 1A9",42202-Early childhood educators and assistants,Unknown,1,1,H1M 1A9,45.5872492,-73.56077359999999
Quebec ,High Wage ,Ma Santé Inc.,"Montréal, QC H1N 2A5",31301-Registered nurses and registered psychiatric nurses,Unknown,2,3,H1N 2A5,45.57136819999999,-73.53374099999999
Quebec ,High Wage ,Meilleur E-Tuteur Inc.,"L'Île-Bizard, QC H9C 3B1","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1,H9C 3B1,45.5118488,-73.8701272
Quebec ,High Wage ,Progesys Inc.,"Laval, QC H7L 5Z6",21320-Chemical engineers,Unknown,1,1,H7L 5Z6,45.5971023,-73.7550878
Quebec ,High Wage ,Sailor Productions Inc,"MONTREAL, QC H2S 2L9","51120-Producers, directors, choreographers and related occupations",Unknown,1,1,H2S 2L9,45.5356247,-73.6013722
Quebec ,High Wage ,Services TEGHOUO INC.,"Québec, QC G3E 1E2","65312-Janitors, caretakers and heavy-duty cleaners",Unknown,1,1,G3E 1E2,46.8685115,-71.32915899999999
Quebec ,High Wage ,Société de Chaudières Indeck,"Saint-Hyacinthe, QC J2S 8A",72106-Welders and related machine operators,Corporation,1,1,,,
Quebec ,High Wage ,SOS Hub Canada,"Montréal, QC H1Z 2K4","12010-Supervisors, general office and administrative support workers",Corporation,1,1,H1Z 2K4,45.5671532,-73.60323989999999
Quebec ,High Wage ,Studio Gearbox Québec,"Québec, QC G1K 9C5",52120-Graphic designers and illustrators,Corporation,1,1,G1K 9C5,46.81213959999999,-71.2240125
Quebec ,High Wage ,TIIKA CONSTRUCTION INC.,"MONTREAL, QC H1M 1E4","73102-Plasterers, drywall installers and finishers and lathers",Unknown,1,1,H1M 1E4,45.5860097,-73.5569929
Quebec ,High Wage ,Tundra Technical Solutions Inc.,"MONTRÉAL, QC H3B 1A7",11201-Professional occupations in business management consulting,Corporation,1,1,H3B 1A7,45.5050388,-73.56777939999999
Quebec ,High Wage ,Tundra Technical Solutions Inc.,"MONTRÉAL, QC H3B 1A7","12010-Supervisors, general office and administrative support workers",Corporation,1,1,H3B 1A7,45.5050388,-73.56777939999999
Quebec ,High Wage ,ZAGORA CASA MENAGE SERVICES INC.,"Montréal, QC H8Z 3H2",13110-Administrative assistants,Unknown,1,1,H8Z 3H2,45.5158744,-73.8300871
Quebec ,High Wage ,ZOOP,"Montréal, QC H2V 4G9",21232-Software developers and programmers,Corporation,1,4,H2V 4G9,45.521176,-73.59930439999999
Quebec ,Low Wage ,11601148 CANADA INC,"Mont-Royal, QC H4P 1J3",22220-Computer network and web technicians,Unknown,1,1,H4P 1J3,45.4965625,-73.66542509999999
Quebec ,Low Wage ,11601148 CANADA INC,"Mont-Royal, QC H4P 1J3",75201-Delivery service drivers and door-to-door distributors,Unknown,1,1,H4P 1J3,45.4965625,-73.66542509999999
Quebec ,Low Wage ,13807622 CANADA INC,"Mont-Royal, QC H4P 1J3",12200-Accounting technicians and bookkeepers,Unknown,1,1,H4P 1J3,45.4965625,-73.66542509999999
Quebec ,Low Wage ,13807622 CANADA INC,"Mont-Royal, QC H4P 1J3",75200-Taxi and limousine drivers and chauffeurs,Unknown,1,1,H4P 1J3,45.4965625,-73.66542509999999
Quebec ,Low Wage ,2701545 CANADA INC,"Lachine, QC H8R 1H3",13110-Administrative assistants,Unknown,1,1,H8R 1H3,45.44382909999999,-73.641644
Quebec ,Low Wage ,9026-7139 Quebec Inc.,"Lachenaie, QC J6V 1N9",62020-Food service supervisors,Unknown,1,10,J6V 1N9,45.7184855,-73.50947359999999
Quebec ,Low Wage ,9161-4578 QUÉBEC INC.,"Blainville, QC J7B 1Z6",13110-Administrative assistants,Unknown,1,1,J7B 1Z6,45.6707001,-73.8236027
Quebec ,Low Wage ,9203-9445 Québec Inc,"Saint-Félix-de-Valois, QC J0K 2M0",65100-Cashiers,Unknown,1,1,J0K 2M0,46.18033,-73.4484483
Quebec ,Low Wage ,9229 9064 Québec.inc,"Laval, QC H7T 0E1","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Corporation,1,1,H7T 0E1,45.56287469999999,-73.7539221
Quebec ,Low Wage ,9254-7769 Québec INC.,"Brossard, QC J4Y 2H8",13110-Administrative assistants,Unknown,1,1,J4Y 2H8,45.4457861,-73.462019
Quebec ,Low Wage ,92621770 quebec inc,"montreal, QC H4K 2E7","65312-Janitors, caretakers and heavy-duty cleaners",Unknown,1,1,H4K 2E7,45.5249555,-73.71587509999999
Quebec ,Low Wage ,9268-1584 Quebec inc.,"Blainville, QC J7C 5A9",65200-Food and beverage servers,Unknown,1,1,J7C 5A9,45.7043708,-73.9012118
Quebec ,Low Wage ,9290-4481 qc inc,"st eustache, QC J7P 2V2","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,J7P 2V2,45.5721601,-73.87212769999999
Quebec ,Low Wage ,9290-4903 Quebec inc,"Val-David, QC J0T 2N0",63200-Cooks,Unknown,1,1,J0T 2N0,46.0433075,-74.1923743
Quebec ,Low Wage ,9309-3409 Québec INC,"st-janvier de joly, QC G0S 1M0",65310-Light duty cleaners,Unknown,1,1,G0S 1M0,46.5036996,-71.66734660000002
Quebec ,Low Wage ,9312-5805 Québec Inc.,"Varennes, QC J3X 1P7","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2,J3X 1P7,45.6600572,-73.39827880000001
Quebec ,Low Wage ,9313-7024 Québec inc.,"québec, QC G1C 3W1",13110-Administrative assistants,Unknown,1,1,G1C 3W1,46.8553338,-71.23405769999999
Quebec ,Low Wage ,9321-0052 QUÉBEC INC,"MONTREAL, QC H4K 1N5",63202-Bakers,Unknown,1,1,H4K 1N5,45.529536,-73.72239139999999
Quebec ,Low Wage ,9332-5736 Québec inc.,"Montreal, QC H1A 3R7",14401-Storekeepers and partspersons,Unknown,1,1,H1A 3R7,45.656381,-73.5114966
Quebec ,Low Wage ,9344-1319 Quebec inc,"Dolbeau-Mistassani, QC G8L 0H7",62020-Food service supervisors,Unknown,1,2,G8L 0H7,48.880803,-72.2340179
Quebec ,Low Wage ,9344-9213 QUÉBÉC INC.,"MONTRÉAL, QC H1Z 3N6","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,H1Z 3N6,45.5660707,-73.6056585
Quebec ,Low Wage ,9346-6308 Quebec Inc.,"Montreal, QC H1S 1K7","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,H1S 1K7,45.5769538,-73.5828958
Quebec ,Low Wage ,9349-0597 Quebec Inc.,"Montreal, QC H3N 1P9","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,H3N 1P9,45.529428,-73.62302269999999
Quebec ,Low Wage ,9352-5590qc.inc,"alma, QC G8B 2V8","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,2,2,G8B 2V8,48.5361133,-71.6486833
Quebec ,Low Wage ,9361-1598 QUEBEC INC.,"Montréal, QC H2N 1G1",32104-Animal health technologists and veterinary technicians,Corporation,1,1,H2N 1G1,45.5413406,-73.6526504
Quebec ,Low Wage ,9363-2891 Québec inc,"Lachine, QC H8T 1A4",13110-Administrative assistants,Unknown,1,1,H8T 1A4,45.46376919999999,-73.72010379999999
Quebec ,Low Wage ,9387-1598 Québec inc,"Québec, QC G3K 0N1",14403-Purchasing and inventory control workers,Corporation,1,1,G3K 0N1,46.8431254,-71.40554
Quebec ,Low Wage ,9397-2859 Québec Inc,"Terrebonne, QC J6W 0C3",42203-Instructors of persons with disabilities,Unknown,1,1,J6W 0C3,45.71787570000001,-73.60419659999999
Quebec ,Low Wage ,9402-8156 Québec inc.,"Laval, QC H7T 0H8","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,2,H7T 0H8,45.5656188,-73.76653279999999
Quebec ,Low Wage ,9403-4832 Québec inc.,"LAVAL, QC H7R 4Y4",65310-Light duty cleaners,Unknown,1,1,H7R 4Y4,45.5707185,-73.8375982
Quebec ,Low Wage ,9408-9281 QUÉBÉC INC.,"Terrebonne, QC J6W 6A4",73300-Transport truck drivers,Unknown,1,4,J6W 6A4,45.7049974,-73.6152462
Quebec ,Low Wage ,9409-4414 QUÉBEC INC.,"Beauharnois, QC J6N 0C8",13110-Administrative assistants,Unknown,1,1,J6N 0C8,45.31595950000001,-73.8527423
Quebec ,Low Wage ,9409-4414 QUÉBEC INC.,"Beauharnois, QC J6N 0C8",14404-Dispatchers,Unknown,1,2,J6N 0C8,45.31595950000001,-73.8527423
Quebec ,Low Wage ,9411-1507 Quebec Inc.,"Montreal, QC H2A 2X6",75201-Delivery service drivers and door-to-door distributors,Unknown,1,1,H2A 2X6,45.56105789999999,-73.59833999999999
Quebec ,Low Wage ,9415-4572 Québec inc.,"Drummondville, QC J2C 1W6","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,J2C 1W6,45.8931082,-72.5098656
Quebec ,Low Wage ,9416-7244 QUEBEC INC,"Boisbriand, QC J7H 1H9",60030-Restaurant and food service managers,Unknown,1,1,J7H 1H9,45.623279,-73.8529774
Quebec ,Low Wage ,9421-1091 Québec inc,"Montréal, QC H2X 1C6",13100-Administrative officers,Unknown,1,1,H2X 1C6,45.5138362,-73.56923809999999
Quebec ,Low Wage ,9424-7723 Québec inc.,"Laval, QC H7S 1J8",13110-Administrative assistants,Unknown,1,1,H7S 1J8,45.5692762,-73.7345103
Quebec ,Low Wage ,9427-5575 QUÉBEC INC.,"LONGUEUIL, QC J4J 2E2","33102-Nurse aides, orderlies and patient service associates",Unknown,1,1,J4J 2E2,45.53597569999999,-73.4797713
Quebec ,Low Wage ,9428-0930 Québec Inc,"MONTRÉAL, QC H2R 2N2",13110-Administrative assistants,Unknown,1,1,H2R 2N2,45.5412601,-73.61397149999999
Quebec ,Low Wage ,9436-3785 Quebec inc.,"Montréal, QC H3A 2L1",63200-Cooks,Unknown,1,1,H3A 2L1,45.5047174,-73.5725228
Quebec ,Low Wage ,9469-4312 Québec inc,"laval, QC H7R 6K2",13110-Administrative assistants,Unknown,1,1,H7R 6K2,45.5689864,-73.8475753
Quebec ,Low Wage ,9473-3094 Québec Inc,"Québec, QC G1P 2X5",13110-Administrative assistants,Unknown,1,1,G1P 2X5,46.8117686,-71.2993142
Quebec ,Low Wage ,9474-4760 QUEBEC INC,"SAINT-LEONARD, QC H1S 2P3","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,H1S 2P3,45.5740452,-73.591425
Quebec ,Low Wage ,9481-4514 Québec inc.,"Québec, QC G2K 0K8",13110-Administrative assistants,Unknown,1,1,G2K 0K8,46.8408086,-71.3117317
Quebec ,Low Wage ,9482-7623 Québec inc.,"Terrebonne, QC J6X 2E4",62020-Food service supervisors,Unknown,1,1,J6X 2E4,45.71872339999999,-73.6580719
Quebec ,Low Wage ,9482-7623 Québec inc.,"Terrebonne, QC J6X 2E4","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,3,J6X 2E4,45.71872339999999,-73.6580719
Quebec ,Low Wage ,9483-9503 Quebec Inc.,"Quebec, QC G1X 4A1",62024-Cleaning supervisors,Unknown,1,1,G1X 4A1,46.76410389999999,-71.3308258
Quebec ,Low Wage ,9490-1881 Québec Inc.,"LONGUEUIL, QC J4L 1N8",62020-Food service supervisors,Unknown,1,1,J4L 1N8,45.5117422,-73.442425
Quebec ,Low Wage ,9498-5660 Quebec Inc.,"Brossard, QC J4W 1Z8",63200-Cooks,Unknown,1,1,J4W 1Z8,45.47496,-73.4686859
Quebec ,Low Wage ,9501-2944 QUEBEC INC,"Val-d'Or, QC J9P 1M6","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1,J9P 1M6,48.1068895,-77.81341569999999
Quebec ,Low Wage ,9507-2237 Quebec Inc.,"Quebec, QC G3E 0K8",65310-Light duty cleaners,Unknown,1,1,G3E 0K8,46.8837486,-71.3349097
Quebec ,Low Wage ,9511-3288 Québec Inc,"Québec, QC G1G 3X4",63200-Cooks,Unknown,1,1,G1G 3X4,46.8711785,-71.278561
Quebec ,Low Wage ,9516-0958 QUEBEC INC,"MONTREAL, QC H1W 1R7",62020-Food service supervisors,Unknown,1,5,H1W 1R7,45.5451182,-73.54411639999999
Quebec ,Low Wage ,9516-7094 Québec Inc.,"Saint-Jérôme, QC J7Z 2B6",63201-Butchers - retail and wholesale,Unknown,1,1,J7Z 2B6,45.7759428,-74.0039111
Quebec ,Low Wage ,9520-7536 Québec inc,"Av des Hôtels, QC G1W 4W7",62020-Food service supervisors,Unknown,1,13,G1W 4W7,46.7631295,-71.2944677
Quebec ,Low Wage ,AD MULTI-SERVICES Inc.,"Sainte-Thérèse, QC J7E 5J9",14101-Receptionists,Unknown,1,1,J7E 5J9,45.6420068,-73.81493829999999
Quebec ,Low Wage ,ALIMENTS AKAGNI INC,"MONTREAL, QC H3L 2P2",14403-Purchasing and inventory control workers,Unknown,1,1,H3L 2P2,45.5485046,-73.665398
Quebec ,Low Wage ,Bienvenue à l'encre,"Longueuil, QC J4L 1M8",13110-Administrative assistants,Unknown,1,1,J4L 1M8,45.5222956,-73.4605011
Quebec ,Low Wage ,Boucherie Beirut inc.,"Laval, QC H7V 3X1",63201-Butchers - retail and wholesale,Unknown,1,1,H7V 3X1,45.5451715,-73.73833519999999
Quebec ,Low Wage ,BUANDERIE ECO SQUARE INC.,"Montréal, QC H1J 1N2",12200-Accounting technicians and bookkeepers,Unknown,1,1,H1J 1N2,45.6126101,-73.5621804
Quebec ,Low Wage ,BUANDERIE ECO SQUARE INC.,"Montréal, QC H1J 1N2",14101-Receptionists,Unknown,1,1,H1J 1N2,45.6126101,-73.5621804
Quebec ,Low Wage ,Canadawide Fruit Wholesalers Inc,"Montreal, QC H4N 1J5",75101-Material handlers,Unknown,2,9,H4N 1J5,45.5293188,-73.6516491
Quebec ,Low Wage ,Canadel inc.,"Louiseville, QC J5V 3A4","94210-Furniture and fixture assemblers, finishers, refinishers and inspectors",Unknown,2,2,J5V 3A4,46.2625991,-72.95644059999999
Quebec ,Low Wage ,Château Des Petits Trésors de Repentigny,"Repentigny, QC J6A 2T",42202-Early childhood educators and assistants,Corporation,1,2,,,
Quebec ,Low Wage ,Clinique de denturologie Solutions Sourire inc.,"Laval, QC H7V 2S7",33100-Dental assistants and dental laboratory assistants,Unknown,1,1,H7V 2S7,45.5382243,-73.7365913
Quebec ,Low Wage ,Confetti Inc,"Terrebonne, QC J7M 0A1",13110-Administrative assistants,Unknown,1,1,J7M 0A1,45.7555096,-73.71379259999999
Quebec ,Low Wage ,Consultation informatique Wilwel Inc.,"Mercier, QC J6R 2R7",21233-Web designers,Unknown,1,1,J6R 2R7,45.3410405,-73.7419912
Quebec ,Low Wage ,COURTIER RIDITO IMPORT-EXPORT,"Longueuil, QC J4L 1H6",75201-Delivery service drivers and door-to-door distributors,Unknown,1,1,J4L 1H6,45.5251894,-73.4590968
Quebec ,Low Wage ,CPE LA VOIE LACTÉE,"St-Hubert, QC J3Y 8Y9",42202-Early childhood educators and assistants,Unknown,1,1,J3Y 8Y9,45.51716709999999,-73.40769659999999
Quebec ,Low Wage ,D.Djobs,"Saint-Eustache, QC J7R 6P7",42202-Early childhood educators and assistants,Unknown,1,3,J7R 6P7,45.568425,-73.934316
Quebec ,Low Wage ,Dollarama L.P./S.E.C.,"Mont-Royal, QC H4P 0A1",62010-Retail sales supervisors,Unknown,1,1,H4P 0A1,45.4913368,-73.6730841
Quebec ,Low Wage ,EBENISTERIE CONCEPT ALPHA INC.,"laval, QC H7G 1P3",72311-Cabinetmakers,Unknown,1,2,H7G 1P3,45.5673189,-73.6874382
Quebec ,Low Wage ,EKOTEX TRADING CORP.,"St-Laurent, QC H4M 1V2","94133-Inspectors and graders, textile, fabric, fur and leather products manufacturing",Unknown,1,1,H4M 1V2,45.4981374,-73.6741133
Quebec ,Low Wage ,Entretien Siako inc.,"Blainville, QC J7C 1E6",11201-Professional occupations in business management consulting,Unknown,1,1,J7C 1E6,45.6527991,-73.8517648
Quebec ,Low Wage ,Entretien Siako inc.,"Blainville, QC J7C 1E6","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,2,J7C 1E6,45.6527991,-73.8517648
Quebec ,Low Wage ,Gaetan Riendeau Inc.,"Saint-Hyacinthe, QC J2T 1K7",60020-Retail and wholesale trade managers,Corporation,1,1,J2T 1K7,45.63361210000001,-72.9253097
Quebec ,Low Wage ,GARAGE AUTO EXCEL INC,"LACHINE, QC H8S 2R1","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,H8S 2R1,45.4417408,-73.6562272
Quebec ,Low Wage ,Garage KFE INC.,"Levis, QC G6V 8P4","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,G6V 8P4,46.7869973,-71.1670733
Quebec ,Low Wage ,Garderie les Roseaux INC,"Gatineau, QC J9A 1A8",42202-Early childhood educators and assistants,Unknown,1,1,J9A 1A8,45.422075,-75.74734719999999
Quebec ,Low Wage ,Gestion 1030 inc,"Trois-Rivières, QC G9B 6G4","65312-Janitors, caretakers and heavy-duty cleaners",Unknown,1,1,G9B 6G4,46.3127939,-72.64761159999999
Quebec ,Low Wage ,GESTION SEDZ INC.,"Montréal, QC H1N 2Z7",62020-Food service supervisors,Unknown,1,1,H1N 2Z7,45.5810763,-73.5410162
Quebec ,Low Wage ,Groupe Chenail INc.,"SAINT-RÉMI, QC J0L 2L0",73300-Transport truck drivers,Unknown,1,2,J0L 2L0,45.2637551,-73.6138756
Quebec ,Low Wage ,GROUPE GERMAIN INC,"Québec, QC G1S 0B1",65200-Food and beverage servers,Unknown,1,2,G1S 0B1,46.7971431,-71.25034389999999
