"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2024",b,c,d,e,f,g,h
Newfoundland and Labrador,Low Wage,People's Food Inc.,"ST.JOHN'S, NL A1B 0A2",6322-Cooks,Unknown,1,1
Newfoundland and Labrador,Low Wage,Quinlan Brothers Ltd.,"Bay de Verde, NL A0A 1E0",9463-Fish and seafood plant workers,Unknown,1,45
Newfoundland and Labrador,Low Wage,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL A0B 3B0",1414-Receptionists,Unknown,1,1
Newfoundland and Labrador,Low Wage,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL A0B 3B0",9463-Fish and seafood plant workers,Unknown,1,167
Newfoundland and Labrador,Low Wage,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL A0B 3B0","9465-Testers and graders, food, beverage and associated products processing",Unknown,1,1
Newfoundland and Labrador,Low Wage,St. Mary's Bay Fisheries Inc.,"St. Mary's, NL A0B 3B0",9618-Labourers in fish and seafood processing,Unknown,1,30
Newfoundland and Labrador,Low Wage,TTSJ Holdings Ltd,"Lethbridge, NL A0C 1V0",6332-Bakers,Unknown,1,1
Newfoundland and Labrador,Primary Agriculture,Cornerstone Farm Ltd.,"Cormack, NL A8A 2P8",8431-General farm workers,Unknown,1,4
Newfoundland and Labrador,Primary Agriculture,J & C Sod Farm Ltd.,"Bay Bulls, NL A0A 1C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,1
Newfoundland and Labrador,Primary Agriculture,J & C Sod Farm Ltd.,"Bay Bulls, NL A0A 1C0",8431-General farm workers,Unknown,1,1
Newfoundland and Labrador,Primary Agriculture,Lester's Farm Market,"St. John's, NL A1E 6J4",8431-General farm workers,Unknown,2,18
Newfoundland and Labrador,Primary Agriculture,Lone Pine Farm,"Bishop's Falls, NL A0H 1C0",8431-General farm workers,Unknown,1,4
Newfoundland and Labrador,Primary Agriculture,Pinedale Farms Ltd.,"Terra Nova, NL A0C 1L0",8431-General farm workers,Unknown,1,3
Newfoundland and Labrador,Primary Agriculture,Rolling Acres Farm,"Bishop's Falls, NL A0H 1C0",8431-General farm workers,Unknown,1,4
Newfoundland and Labrador,Primary Agriculture,Sunrise Dairy Ltd,"Musgravetwon, NL A0C 1Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,2
Prince Edward Island,High Wage,Malpeque Bay Oyster Farms Ltd,"Ellerslie-Bideford, PE C0B 1J0",8613-Aquaculture and marine harvest labourers,Unknown,1,2
Prince Edward Island,Low Wage,ACADIAN SUPREME INC.,"Wellington, PE C0B 2E0",9463-Fish and seafood plant workers,Unknown,1,25
Prince Edward Island,Low Wage,Asia Food Stock Inc,"Summerside, PE C1N 5P1",6211-Retail sales supervisors,Unknown,1,2
Prince Edward Island,Low Wage,Atlantic Aqua Farms Ltd,"Orwell Cove, PE C0A 2E0",8613-Aquaculture and marine harvest labourers,Unknown,1,25
Prince Edward Island,Low Wage,Atlantic Beef Products Inc.,"Albany, PE C0B 1A0","9462-Industrial butchers and meat cutters, poultry preparers and related workers",Unknown,1,15
Prince Edward Island,Low Wage,Bill and Stanley Oyster Company Inc.,"Orwell Cove, PE C0A 2E0",9618-Labourers in fish and seafood processing,Unknown,1,10
Prince Edward Island,Low Wage,Charlottetown Fresh Casual Restaurants Inc.,"Charlottetown, PE C1A 4M9",6311-Food service supervisors,Unknown,1,2
Prince Edward Island,Low Wage,Dynasty Restaurant Inc.,"Montague, PE C0A 1R0",6322-Cooks,Unknown,1,2
Prince Edward Island,Low Wage,Five Star Shellfish Inc.,"ELLERSLIE, PE C0B 1J0",9463-Fish and seafood plant workers,Unknown,1,2
Prince Edward Island,Low Wage,L&S Marketing (2006) Ltd.,"Tignish, PE C0B 2B0",9618-Labourers in fish and seafood processing,Unknown,1,6
Prince Edward Island,Low Wage,Malpeque Bay Oyster Farms Ltd,"Ellerslie-Bideford, PE C0B 1J0",8613-Aquaculture and marine harvest labourers,Unknown,1,3
Prince Edward Island,Low Wage,Maritime Select Lobster Inc.,"Alberton, PE C0B 1B0",9618-Labourers in fish and seafood processing,Unknown,1,8
Prince Edward Island,Low Wage,North Lake Fisheries (2013) Inc.,"Elmira, PE C0A 1K0",9463-Fish and seafood plant workers,Unknown,3,120
Prince Edward Island,Low Wage,Piccottcare Familia Services Inc.,"Charlottetown, PE C1A 0E3",6322-Cooks,Unknown,1,1
Prince Edward Island,Low Wage,PRINCESS NAILS,"CHARLOTTETOWN, PE C1A 8K3","6562-Estheticians, electrologists and related occupations",Unknown,1,1
Prince Edward Island,Low Wage,Punjabi Bites Restaurant,"Charlottetown, PE C1A 4L1",6311-Food service supervisors,Unknown,1,1
Prince Edward Island,Low Wage,RWL Holdings,"New Annan, PE C0B 1M0",7452-Material handlers,Unknown,1,8
Prince Edward Island,Primary Agriculture,101497 PEI Inc,"Cherry Valley, PE C0A 2E0",8431-General farm workers,Unknown,1,10
Prince Edward Island,Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",0822-Managers in horticulture,Unknown,1,1
Prince Edward Island,Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",8431-General farm workers,Unknown,1,1
Prince Edward Island,Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",8432-Nursery and greenhouse workers,Unknown,1,5
Prince Edward Island,Primary Agriculture,Birch Farms Ltd.,"Summerside, PE C1N 4J9",8431-General farm workers,Unknown,2,8
Prince Edward Island,Primary Agriculture,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",8431-General farm workers,Unknown,1,13
Prince Edward Island,Primary Agriculture,BUNNY BURROW VEGETABLE CO. LTD,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,2,2
Prince Edward Island,Primary Agriculture,Dalmeny Farms,"Montague, PE C0A 1R0",8431-General farm workers,Unknown,1,2
Prince Edward Island,Primary Agriculture,Eastern Exporters Limited,"Souris, PE C0A 2B0",8431-General farm workers,Unknown,1,1
Prince Edward Island,Primary Agriculture,Eastern Exporters Limited,"Souris, PE C0A 2B0",8611-Harvesting labourers,Unknown,1,1
Prince Edward Island,Primary Agriculture,Eastern Farms Ltd,"Pownal, PE C1B 3S5",8431-General farm workers,Unknown,1,1
Prince Edward Island,Primary Agriculture,HILLTOP PRODUCE LTD,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,1,1
Prince Edward Island,Primary Agriculture,Hy-Croft Farms Inc.,"Summerside, PE C1N 4V4",8431-General farm workers,Unknown,1,1
Prince Edward Island,Primary Agriculture,Indian River Farms,"Indian River, PE C0B 1M0",8431-General farm workers,Unknown,2,4
Prince Edward Island,Primary Agriculture,Island Seed Farm Inc.,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,1,1
Prince Edward Island,Primary Agriculture,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",8431-General farm workers,Unknown,1,11
Prince Edward Island,Primary Agriculture,Kyle Murray Farms,"Albany, PE C0B 1A0",8431-General farm workers,Sole Proprietorship,1,2
Prince Edward Island,Primary Agriculture,Matos Winery Inc.,"St. Catherines, PE C0A 1H1",8431-General farm workers,Unknown,1,1
Prince Edward Island,Primary Agriculture,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",8431-General farm workers,Unknown,4,54
Prince Edward Island,Primary Agriculture,Mol Farms Inc.,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,2,2
Prince Edward Island,Primary Agriculture,Pure Pork Genetics Ltd.,"Montague, PE C0A 1R0",8431-General farm workers,Unknown,1,4
Prince Edward Island,Primary Agriculture,Smith Farms Ltd.,"Kinkora, PE C0B 1N0",8431-General farm workers,Unknown,1,2
Prince Edward Island,Primary Agriculture,URBAINVILLE FARMS,"Wellington, PE C0B 2E0",8431-General farm workers,Unknown,1,2
Prince Edward Island,Primary Agriculture,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-General farm workers,Unknown,4,145
Prince Edward Island,Primary Agriculture,Verdant LLC,"Cardigan, PE C0A 1G0",8431-General farm workers,Unknown,1,7
Prince Edward Island,Primary Agriculture,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",8431-General farm workers,Unknown,1,3
Prince Edward Island,Primary Agriculture,Weeksdale Holstein INC,"Breadalbane, PE C0A 1E0",8431-General farm workers,Unknown,1,2
Nova Scotia,Global Talent Stream,REDspace Inc.,"Bedford, NS B4A 3Y4",2174-Computer programmers and interactive media developers,Corporation,1,1
Nova Scotia,High Wage,3059308 Nova Scotia Ltd. o/a HI Dartmouth,"Dartmouth, NS B2Y 1N3","6313-Accommodation, travel, tourism and related services supervisors",Unknown,1,1
Nova Scotia,High Wage,3284316 Nova Scotia Limited,"Boularderie East, NS B1X 1J6","6313-Accommodation, travel, tourism and related services supervisors",Unknown,1,1
Nova Scotia,High Wage,3289828 NS LTD,"SACKVILLE, NS B4C 2N1",7322-Motor vehicle body repairers,Unknown,1,1
Nova Scotia,High Wage,4325445 NOVA SCOTIA LIMITED,"NEW MINAS, NS B4N 0E4",0631-Restaurant and food service managers,Unknown,1,2
Nova Scotia,High Wage,Anytime Freight Service Inc.,"Truro, NS B2N 1G3",7511-Transport truck drivers,Unknown,1,3
Nova Scotia,High Wage,Boomeralert Inc.,"Porters Lake, NS B3E 1L8",1241-Administrative assistants,Unknown,1,1
Nova Scotia,High Wage,Cabot Links,"Inverness, NS B0E 1N0","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",Unknown,1,1
Nova Scotia,High Wage,Cambridge Financial Corporation Ltd,"Halifax, NS B3N 2T1",1311-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia,High Wage,COLLABORATE IT SOLUTIONS INC,"Halifax, NS B3J 3N2",2174-Computer programmers and interactive media developers,Unknown,1,1
Nova Scotia,High Wage,Dexter Construction Company Ltd.,"Bedford, NS B4A 3Z2",7521-Heavy equipment operators (except crane),Unknown,1,10
Nova Scotia,High Wage,Dmflix Ltd.,"Dartmouth, NS B2W 1B9",6211-Retail sales supervisors,Unknown,1,2
Nova Scotia,High Wage,EXPERT CRACK & CONCRETE REPAIRS LIMITED,"Dartmouth, NS B2V 1Z1",7282-Concrete finishers,Unknown,1,3
Nova Scotia,High Wage,Fantasy beauty Studio inc,"Halifax, NS B3H 2P6",1241-Administrative assistants,Unknown,1,1
Nova Scotia,High Wage,Five Star Metals Inc.,"Upper Sackville, NS B4E 3C6",7611-Construction trades helpers and labourers,Unknown,1,3
Nova Scotia,High Wage,Grind Contracting LTD,"East Lawerencetown, NS B2Z 1P1",7291-Roofers and shinglers,Unknown,1,1
Nova Scotia,High Wage,LALA JI THE BARBER LIMITED,"Halifax, NS B3K 2K9",1311-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia,High Wage,LALA JI THE BARBER LIMITED,"Halifax, NS B3K 2K9",6341-Hairstylists and barbers,Unknown,1,2
Nova Scotia,High Wage,M.P GROUP OF COMPANIES INC.,"EASTERN PASSAGE, NS B3G 1P4",1221-Administrative officers,Unknown,1,1
Nova Scotia,High Wage,M.P GROUP OF COMPANIES INC.,"EASTERN PASSAGE, NS B3G 1P4",1525-Dispatchers,Unknown,1,1
Nova Scotia,High Wage,Mélange Medical Services Incorporated,"Dartmouth, NS B2W 0M6",3111-Specialist physicians,Unknown,1,1
Nova Scotia,High Wage,REDspace Inc.,"Bedford, NS B4A 3Y4",2174-Computer programmers and interactive media developers,Corporation,1,1
Nova Scotia,High Wage,RISE EAST INVESTMENTS LIMITED,"Dartmouth, NS B2W 3E6","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Nova Scotia,High Wage,Saint Mary's University,"Halifax, NS B3H 3C3",4011-University professors and lecturers,Unknown,1,1
Nova Scotia,High Wage,Taylor Ford Amherst Ltd.,"Amherst, NS B4H 4R7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2
Nova Scotia,High Wage,Tidal Coast Construction Limited,"Bedford, NS B3M 2L4",7271-Carpenters,Unknown,1,1
Nova Scotia,High Wage,Université Sainte-Anne,"Pointe-de-l'Église, NS B0W 1M0",4011-University professors and lecturers,Unknown,1,1
Nova Scotia,Low Wage,12914158 Canada,"Dartmouth, NS B3B 1E5",7511-Transport truck drivers,Unknown,1,1
Nova Scotia,Low Wage,3026236 nova scotia ltd,"Halifax, NS B3K 4C4",6731-Light duty cleaners,Unknown,1,1
Nova Scotia,Low Wage,3085496 NOVA SCOTIA LIMITED,"Halifax, NS B3K 3V2",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,3225780 Nova Scotia Limited,"Dartmouth, NS B2V 1E6",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,3231974 Nova Scotia Limited,"Eastern Passage, NS B3G 1M4",9463-Fish and seafood plant workers,Unknown,1,4
Nova Scotia,Low Wage,3255915 NS Ltd,"Windsor, NS B0N 2T0",6322-Cooks,Unknown,2,7
Nova Scotia,Low Wage,3274876 Nova Scotia Ltd,"Clarks Harbour, NS B0W 1P0",9463-Fish and seafood plant workers,Unknown,1,30
Nova Scotia,Low Wage,3279061 Nova Scotia Limited,"Halifax, NS B3J 1E5","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia,Low Wage,3280608 Nova Scotia Limited,"Bedford, NS B4B 0H1","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia,Low Wage,3317019 Nova Scotia limited,"Bridgewater, NS B4V 3T2",6311-Food service supervisors,Unknown,1,1
Nova Scotia,Low Wage,3317552 Nova Scotia Limited,"Beaver Bank, NS B4G 1E5",6421-Retail salespersons,Unknown,1,1
Nova Scotia,Low Wage,3326240 ns ltd,"Canning, NS B0P 1H0",6211-Retail sales supervisors,Unknown,1,1
Nova Scotia,Low Wage,3339910 NOVA SCOTIA LIMITED,"Halifax, NS B3N 2R8",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,3339960 Nova Scotia Limited,"Dartmouth, NS B2Y 4B1",6311-Food service supervisors,Unknown,1,1
Nova Scotia,Low Wage,3343574 Nova Scotia Limited,"Halifax, NS B3K 4C1",6311-Food service supervisors,Unknown,1,1
Nova Scotia,Low Wage,3343574 Nova Scotia Limited,"Halifax, NS B3K 4C1",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,4343432 Nova Scotia Limited,"Amherst, NS B4H 2V5",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,4348577 NOVA SCOTIA LIMITED,"Dartmouth, NS B2Y 1K8","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,2,2
Nova Scotia,Low Wage,4361757 NOVA SCOTIA LIMITED,"AMHERST, NS B4H 2V7",6611-Cashiers,Unknown,1,1
Nova Scotia,Low Wage,4393017 Nova Scotia Limited,"LOWER SACKVILL, NS B4C 2R8","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia,Low Wage,4445465 Nova Scotia Ltd,"Greenwood, NS B0P 1N0",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,4507939 NOVA SCOTIA LIMITED,"Currys Corner, NS B0N 2T0",6611-Cashiers,Unknown,1,2
Nova Scotia,Low Wage,4510121 NOVA SCOTIA LIMITED,"Greenwood, NS B0P 1N0",6322-Cooks,Unknown,1,2
Nova Scotia,Low Wage,Adcor Marketing Limited,"yarmouth, NS B5A 2T6",6311-Food service supervisors,Unknown,1,1
Nova Scotia,Low Wage,beaver bank station,"beaver bank, NS B4G 0A7",6513-Food and beverage servers,Unknown,1,1
Nova Scotia,Low Wage,beaver bank station,"beaver bank, NS B4G 0A7","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Nova Scotia,Low Wage,BMC Seafoods Limited,"Meteghan, NS B0W 2J0",9618-Labourers in fish and seafood processing,Unknown,1,10
Nova Scotia,Low Wage,BRIDGEWATER RETIREMENT CENTRE INC.,"Bridgewater, NS B4V 2T3",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,Brothers Meat Ltd,"Halifax, NS B3K 4C7","9617-Labourers in food, beverage and associated products processing",Unknown,1,2
Nova Scotia,Low Wage,Buta Ramen Inc.,"Halifax, NS B3J 1B3",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,Can - Evro Inc.,"Halifax, NS B3J 2K4",6322-Cooks,Unknown,1,2
Nova Scotia,Low Wage,Clark's Harbour Seafood Limited,"Clarks Harbour, NS B0W 1P0",9618-Labourers in fish and seafood processing,Unknown,1,60
Nova Scotia,Low Wage,Dakota Holdings,"Coldbrook, NS B4R 1A2","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Nova Scotia,Low Wage,Deep Cove Aqua Farms Limited,"Blandford, NS B0J 1T0",9463-Fish and seafood plant workers,Unknown,1,12
Nova Scotia,Low Wage,Duncan's Lounge Ltd,"Amherst, NS B4H 1X4",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,East Foodies Chinese Restaurant,"Lakeside, NS B3T 1B3",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,Fox Harb'r Development,"Fox Harbour, NS B0K 1Y0",6322-Cooks,Unknown,1,4
Nova Scotia,Low Wage,Fox Harb'r Development,"Fox Harbour, NS B0K 1Y0",6513-Food and beverage servers,Unknown,1,3
Nova Scotia,Low Wage,Fox Harb'r Development,"Fox Harbour, NS B0K 1Y0","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,4
Nova Scotia,Low Wage,Fox Harb'r Development,"Fox Harbour, NS B0K 1Y0",6731-Light duty cleaners,Unknown,1,6
Nova Scotia,Low Wage,Fox Harb'r Development,"Fox Harbour, NS B0K 1Y0",8612-Landscaping and grounds maintenance labourers,Unknown,1,6
Nova Scotia,Low Wage,Good Air Ventilation Systems Inc,"Halifax, NS B3N 1K7",9612-Labourers in metal fabrication,Unknown,1,3
Nova Scotia,Low Wage,HARVEST BAYERS LAKE DRP INC.,"Halifax, NS B3S 1C7",6311-Food service supervisors,Unknown,1,1
Nova Scotia,Low Wage,Hop Sing Restaurant(1987) Limited,"Halifax, NS B3R 1V4","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia,Low Wage,J.M.P Sayles Holdings Inc.,"Windsor, NS B0N 2T0",6311-Food service supervisors,Unknown,2,2
Nova Scotia,Low Wage,J.M.P Sayles Holdings Inc.,"Windsor, NS B0N 2T0","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,6
Nova Scotia,Low Wage,Jcubed Ltd,"Lunenburg, NS B0J 2C0",0631-Restaurant and food service managers,Unknown,1,1
Nova Scotia,Low Wage,JE Bembridge Enterprise Ltd,"amherst, NS B4H 3E4",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,John Ross & Sons Ltd.,"Halifax, NS B3S 1B3",7452-Material handlers,Unknown,1,16
Nova Scotia,Low Wage,K-BEAUTY SALON INC,"Halifax, NS B3L 1A4",6341-Hairstylists and barbers,Unknown,1,1
Nova Scotia,Low Wage,Kianman Hospitality Inc.,"Bridgewater, NS B4V 2V7",6315-Cleaning supervisors,Unknown,1,1
Nova Scotia,Low Wage,Let’s Ko Restaurant Inc,"BEDFORD, NS B4A 0C1",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,Louisbourg Seafoods Limited,"Louisbourg, NS B1C 1B5",9463-Fish and seafood plant workers,Unknown,1,20
Nova Scotia,Low Wage,M.J.N.J Investments Ltd,"Lunenburg, NS B0J 2C0",6311-Food service supervisors,Unknown,1,1
Nova Scotia,Low Wage,M.P GROUP OF COMPANIES INC.,"EASTERN PASSAGE, NS B3G 1P4","1513-Couriers, messengers and door-to-door distributors",Unknown,1,5
Nova Scotia,Low Wage,MARUTI BRIDGEWATER NS INC,"BRIDGEWATER, NS B4V 3A2",6611-Cashiers,Unknown,1,2
Nova Scotia,Low Wage,MARUTI GREENWOOD NS INC,"Greenwood, NS B0P 1N0",6322-Cooks,Unknown,1,2
Nova Scotia,Low Wage,MARUTI GREENWOOD NS INC,"Greenwood, NS B0P 1N0","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Nova Scotia,Low Wage,MELDAMAR INC,"Halifax, NS B3M 3S6",6731-Light duty cleaners,Unknown,1,1
Nova Scotia,Low Wage,Naru Japanese Restaurant (NS) Ltd.,"Sydney, NS B1P 1G8",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,New Indian Bazaar Inc,"Halifax, NS B3S 1B3","6622-Store shelf stockers, clerks and order fillers",Unknown,1,1
Nova Scotia,Low Wage,North Nova Seafoods,"Pictou, NS B0K 1H0",9463-Fish and seafood plant workers,Unknown,2,92
Nova Scotia,Low Wage,NS KT Foods Inc.,"Halifax, NS B3L 2H8","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,2,2
Nova Scotia,Low Wage,QUEEN AND CABLE LIMITED PARTNERSHIP,"Halifax, NS B3J 0J2",6322-Cooks,Unknown,1,5
Nova Scotia,Low Wage,R&G MacDonald Enterprises Ltd.,"Port Hawkesbury, NS B9A 2M4",6311-Food service supervisors,Unknown,2,4
Nova Scotia,Low Wage,RIGHT SOURCE GROUP LIMITED,"BEDFORD, NS B4B 1J7",9463-Fish and seafood plant workers,Unknown,1,3
Nova Scotia,Low Wage,Sea Crest Fisheries Ltd,"Comeauville, NS B0W 2Z0",9463-Fish and seafood plant workers,Unknown,1,112
Nova Scotia,Low Wage,Sea Crest Fisheries Ltd,"Comeauville, NS B0W 2Z0",9618-Labourers in fish and seafood processing,Unknown,1,13
Nova Scotia,Low Wage,Seemaaria & Co. Inc.,"Dartmouth, NS B2W 6A4",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,Sherlock Clothing Limited,"Halifax, NS B3S 0G4",7452-Material handlers,Unknown,1,3
Nova Scotia,Low Wage,Shreeji Villa Inc.,"Halifax, NS B3P 0H4",6322-Cooks,Unknown,1,1
Nova Scotia,Low Wage,Shreeji Villa Inc.,"Halifax, NS B3P 0H4","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia,Low Wage,Sobeys Capital Incorporée,"Stellarton, NS B0K 1S0",6211-Retail sales supervisors,Unknown,1,1
Nova Scotia,Low Wage,The Prince George Hotel,"Halfiax, NS B3J 3N9",6731-Light duty cleaners,Unknown,1,1
Nova Scotia,Low Wage,Turkuaz Restaurant Limited,"Halifax, NS B4A 0J1",6322-Cooks,Unknown,1,3
Nova Scotia,Low Wage,UNNATI INC.,"Halifax, NS B4A 1C8",6322-Cooks,Unknown,1,2
Nova Scotia,Low Wage,UNNATI INC.,"Halifax, NS B4A 1C8","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia,Low Wage,WOW! Food Systems Incorporated,"Truro, NS B2N 6M5",6322-Cooks,Unknown,1,1
Nova Scotia,Primary Agriculture,Barteaux Farms Ltd,"MOSCHELLE, NS B0S 1A0",8431-General farm workers,Corporation,1,30
Nova Scotia,Primary Agriculture,Birchleigh Farms LTD.,"Berwick, NS B0P 1E0",8431-General farm workers,Unknown,1,5
Nova Scotia,Primary Agriculture,Black Avon Farms Ltd,"Antigonish, NS B0H 1R0",8431-General farm workers,Unknown,1,3
Nova Scotia,Primary Agriculture,Blue Ridge Farm,"Grafton, NS B0P 1V0",8431-General farm workers,Unknown,1,6
Nova Scotia,Primary Agriculture,Bragg Lumber Company,"Collingwood, NS B0M 1P0",8431-General farm workers,Unknown,4,19
Nova Scotia,Primary Agriculture,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-General farm workers,Unknown,1,5
Nova Scotia,Primary Agriculture,Charles Keddy Farms Limited,"Lakeville, NS B4N 3V7",8431-General farm workers,Unknown,1,18
Nova Scotia,Primary Agriculture,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8432-Nursery and greenhouse workers,Unknown,1,60
Nova Scotia,Primary Agriculture,Elite Balsam Products Incorporated,"St. Andrew's, NS B0H 1X0",8432-Nursery and greenhouse workers,Unknown,1,6
