"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (October-December)",b,c,d,e,f
Nova Scotia,    High Wage,GTL Transportation Inc,"Dartmouth, NS B3B 1V6",7511-Transport truck drivers,4
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",3
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0911-Manufacturing managers,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",2171-Information systems analysts and consultants,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",7235-Structural metal and platework fabricators and fitters,1
Nova Scotia,    High Wage,Nova Scotia Health Authority,"Halifax, NS B3S 0H6",3112-General practitioners and family physicians,1
Nova Scotia,    High Wage,Sobeys Inc.,"Stellarton, NS B0K 0A2",6211-Retail sales supervisors,3
Nova Scotia,    High Wage,Sobeys Inc.,"Stellarton, NS B0K 0A2","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Nova Scotia,   Low Wage,10973106 Canada Limited,"BEDFORD, NS B4A 3Y4",6322-Cooks,1
Nova Scotia,   Low Wage,12020378 Canada Incorporated,"Halifax, NS B3K 0G2",6322-Cooks,2
Nova Scotia,   Low Wage,3222926 Nova Scotia Ltd.,"Wellington, NS B2T 1J4",6311-Food service supervisors,1
Nova Scotia,   Low Wage,3311267 Nova Scotia Ltd.,"Aberdeen, NS B0E 3M0","6313-Accommodation, travel, tourism and related services supervisors",1
Nova Scotia,   Low Wage,B&G Innkeepers Ltd,"Halifax, NS B3K 2R9",6322-Cooks,1
Nova Scotia,   Low Wage,Blue Elephant Thai Restaurant,"Bedford, NS B3M 0G2",6322-Cooks,1
Nova Scotia,   Low Wage,BMC Seafoods Limited,"Meteghan, NS B0W 2J0",9618-Labourers in fish and seafood processing,6
Nova Scotia,   Low Wage,East Avenue Restaurant,"New Glasgow, NS B2H 5L6",6322-Cooks,1
Nova Scotia,   Low Wage,Fisher Direct LTD,"Shelburne County, NS B0W 3B0",9618-Labourers in fish and seafood processing,11
Nova Scotia,   Low Wage,Fisherman's Market International Incorporated,"Halifax, NS B3M 2L6",9463-Fish and seafood plant workers,10
Nova Scotia,   Low Wage,Granville Gates and Sons Ltd,"Blandford, NS B0J 1C0","9617-Labourers in food, beverage and associated products processing",1
Nova Scotia,   Low Wage,Independent Fisheries Limited,"Sable River, NS B0T 1V0",9618-Labourers in fish and seafood processing,6
Nova Scotia,   Low Wage,K-BEAUTY SALON INC,"Halifax, NS B3L 1A4",6341-Hairstylists and barbers,2
Nova Scotia,   Low Wage,NS KT Foods Inc.,"Halifax, NS B3L 4H8",6311-Food service supervisors,2
Nova Scotia,   Low Wage,Pecheries Cheticamp Fisheries Intl. (2016) Ltd,"Cheticamp, NS B0E 1H0",9463-Fish and seafood plant workers,65
Nova Scotia,   Low Wage,Quality Seafoods Limited,"Yarmouth, NS B5A 4B3",9618-Labourers in fish and seafood processing,5
Nova Scotia,   Low Wage,Randy's Pizza,"Halifax, NS B3K 4B6",6322-Cooks,2
Nova Scotia,   Low Wage,Wedgeport Lobsters Limited,"Lower Wedgeport, NS B0W 2B0",9618-Labourers in fish and seafood processing,4
Nova Scotia,  Primary Agriculture,3115695 Nova Scotia Limited,"Rr#2 Centreville, NS B0P 1J0",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Allen Farms Limited,"Centreville, NS B0P 1J0",8431-General farm workers,53
Nova Scotia,  Primary Agriculture,Apple Lane Farm Inc,"Berwick, NS B0P 1E0",8431-General farm workers,11
Nova Scotia,  Primary Agriculture,Atlantic Poultry Incorporated,"Port Williams, NS B0P 1T0",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Balamore Farm Ltd,"Great Village, NS B0M 1L0",8431-General farm workers,130
Nova Scotia,  Primary Agriculture,Birchleigh Farms LTD.,"Berwick, NS B0P 1E0",8431-General farm workers,14
Nova Scotia,  Primary Agriculture,Canard Orchards Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,16
Nova Scotia,  Primary Agriculture,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Craig Nichols Farms Limited,"Aylesford, NS B0P 1C0",8431-General farm workers,41
Nova Scotia,  Primary Agriculture,Craig Nichols Farms Limited,"Aylesford, NS B0P 1C0",8611-Harvesting labourers,20
Nova Scotia,  Primary Agriculture,D & M Lightfoot Farms Ltd,"Wolfvllle, NS B4P  2S",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Elite Balsam Products Incorporated,"St. Andrew's, NS B0H 1X0",8432-Nursery and greenhouse workers,6
Nova Scotia,  Primary Agriculture,Ellslea Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Nova Scotia,  Primary Agriculture,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0",8431-General farm workers,29
Nova Scotia,  Primary Agriculture,Eyking Brothers Farm Ltd,"Millville, NS B1Y 2E2",8431-General farm workers,18
Nova Scotia,  Primary Agriculture,G.A.R. Tree Farms Ltd,"Barss Corner, NS B0R 1A0",8432-Nursery and greenhouse workers,2
Nova Scotia,  Primary Agriculture,J & B Millen Farms Limited,"Great Village, NS B0M 1L0",8431-General farm workers,45
Nova Scotia,  Primary Agriculture,Luckett Farms Ltd.,"Wolfville, NS B4P 2R3",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,M. KEDDY FARM & FOREST LTD.,"NEW ROSS, NS B0J 2M0",8432-Nursery and greenhouse workers,4
Nova Scotia,  Primary Agriculture,Noggins Corner Farm II Ltd.,"Greenwich, NS B4P 2R2",8431-General farm workers,37
Nova Scotia,  Primary Agriculture,Perfect Berries Ltd.,"Berwick, NS B0P 1E0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Randsland Farms Inc,"Canning, NS B0P 1H0",8431-General farm workers,25
Nova Scotia,  Primary Agriculture,Reimer Gardens Inc.,"Waterville, NS B0P 1V0",8431-General farm workers,14
Nova Scotia,  Primary Agriculture,Sarsfield Farms Incorporated,"Kentville, NS B4N 3V7",8431-General farm workers,12
Nova Scotia,  Primary Agriculture,Scothorn Farms Ltd,"Hardwood Lands, NS B0N 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
Nova Scotia,  Primary Agriculture,Skips General Maintenance,"Wolfville, NS B4P 2R3",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Spurr Brothers Farms Ltd,"Melvern Square, NS B0P 1R0",8431-General farm workers,16
Nova Scotia,  Primary Agriculture,Stirling Fruit Farms (2000) Ltd,"Greenwich, NS B4P 2R2",8431-General farm workers,32
Nova Scotia,  Primary Agriculture,Stirling Fruit Farms (2000) Ltd,"Greenwich, NS B4P 2R2",8611-Harvesting labourers,14
Nova Scotia,  Primary Agriculture,TapRoot Farms Inc.,"Port Williams, NS B0P 1T0",8431-General farm workers,14
Nova Scotia,  Primary Agriculture,Thiessen Farm Ltd.,"Grafton, NS B0P 1V0",8431-General farm workers,3
Nova Scotia,  Primary Agriculture,Town Plot Orchards Ltd.,"Port Williams, NS B0P 1T0",8431-General farm workers,4
Nova Scotia,  Primary Agriculture,Van Meekeren Farms Ltd.,"Lakeville, NS B4N 3V7",8431-General farm workers,7
Nova Scotia,  Primary Agriculture,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,36
Nova Scotia,  Primary Agriculture,Wohlgemuth Farms Ltd.,"Aylesford, NS B0P 1C0",8431-General farm workers,16
Nova Scotia, Global Talent Stream,Dalhousie University,"Halifax, NS B3H 4H2",4011-University professors and lecturers,1
Nova Scotia, Global Talent Stream,Mindsea Development Incorporated,"Halifax, NS B3J 3M8",0213-Computer and information systems managers,1
Nova Scotia, Global Talent Stream,Nova Scotia Tennis Association,"Halifax, NS B3J 1G6","0014-Senior managers - health, education, social and community services and membership organizations",1
Nova Scotia, Global Talent Stream,REDspace Inc.,"BEDFORD, NS B4A 3Y4",2171-Information systems analysts and consultants,1
New Brunswick,    High Wage,700827 NB Inc o/a J's Asian Kitchen-Main Street,"Fredericton, NB E3A 1C8",6322-Cooks,1
New Brunswick,    High Wage,700827 NB Inc.,"Fredericton, NB E3B 1B2",6322-Cooks,1
New Brunswick,    High Wage,AYR Motor Express Inc,"Woodstock, NB E7M 4G2",7511-Transport truck drivers,10
New Brunswick,    High Wage,Erb Builders Ltd.,"Saint John, NB E2J 4K3",1221-Administrative officers,1
New Brunswick,    High Wage,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",0631-Restaurant and food service managers,1
New Brunswick,    High Wage,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",6311-Food service supervisors,9
New Brunswick,    High Wage,FMI National Inc,"Woodstock, NB E7M 5G5",6311-Food service supervisors,1
New Brunswick,    High Wage,Greenhaven Management Inc.,"Moncton, NB E1G 2K2",1311-Accounting technicians and bookkeepers,1
New Brunswick,    High Wage,"Jolly Farmer Transport, Inc.","Northampton, NB E7N 1R6",7511-Transport truck drivers,2
New Brunswick,    High Wage,Kabaia Foods Inc.,"saint John, NB E2L 2B5","0016-Senior managers - construction, transportation, production and utilities",1
New Brunswick,    High Wage,M&R BEAUTY INC,"Fredericton, NB E3B 6M1",1241-Administrative assistants,1
New Brunswick,    High Wage,Millfield Management Ltd.,"Rothesay, NB E2E 2H3","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
New Brunswick,    High Wage,Murray Enterprises Ltd.,"sussex corner, NB E4E 2Y5",7511-Transport truck drivers,1
New Brunswick,    High Wage,Premium Express Inc.,"Lower Woodstock, NB E7M 4B2",7511-Transport truck drivers,1
New Brunswick,    High Wage,PRIMELEGEND ENTERPRISE LTD,"Fredericton, NB E3B 4J9",0731-Managers in transportation,1
New Brunswick,    High Wage,Sunbury Transport Limited,"SAINT JOHN, NB E2L 4H8",7511-Transport truck drivers,20
New Brunswick,    High Wage,Villa Providence Shediac Inc.,"shediac, NB E4P 2B9","3413-Nurse aides, orderlies and patient service associates",7
New Brunswick,    High Wage,WHITE ROCK FREIGHT SERVICES INC,"Moncton, NB E1C 6L9",7511-Transport truck drivers,3
New Brunswick,   Low Wage,611179 NB Inc.,"Moncton, NB E1G 2W5",6322-Cooks,1
New Brunswick,   Low Wage,658711 NB LTD.,"Miramichi, NB E1V 1X4",6322-Cooks,1
New Brunswick,   Low Wage,669950 N.B LTD,"Fredericton, NB E3B 1B9",6322-Cooks,1
New Brunswick,   Low Wage,684373 NB Inc,"quispamsis, NB E2E 4J8",6322-Cooks,1
New Brunswick,   Low Wage,706764 NB Ltd.,"St. Stephen, NB E3L 1G9",6211-Retail sales supervisors,2
New Brunswick,   Low Wage,711326 NB Ltd.,"Moncton, NB E1C 5C4",6321-Chefs,1
New Brunswick,   Low Wage,B.A.Richard Ltée,"Sainte-Anne-de-Kent, NB E4S 1M6",9463-Fish and seafood plant workers,26
New Brunswick,   Low Wage,Birch Hill Construction Ltd.,"Moncton, NB E1G 0C6",7511-Transport truck drivers,7
New Brunswick,   Low Wage,Birch Hill Construction Ltd.,"Moncton, NB E1G 0C6",7611-Construction trades helpers and labourers,3
New Brunswick,   Low Wage,Cape Bald Packers Ltd,"Cap-Pelé, NB E4N 1E3",9463-Fish and seafood plant workers,227
New Brunswick,   Low Wage,Captain Dan's Inc.,"Richibouctou-Village, NB E4W 1C9",9463-Fish and seafood plant workers,128
New Brunswick,   Low Wage,DJ Marine Supplies Ltee,"Pointe-Sapin, NB E9A 1T4","9535-Plastic products assemblers, finishers and inspectors",3
New Brunswick,   Low Wage,Edmond Gagnon Ltd,"Grand-Barachois, NB E4P 8A4",9463-Fish and seafood plant workers,110
New Brunswick,   Low Wage,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",6311-Food service supervisors,1
New Brunswick,   Low Wage,G.L. Sawmill Ltd.,"Haute-Aboujagane, NB E4P 5P4",9533-Other wood products assemblers and inspectors,5
New Brunswick,   Low Wage,Global Windows Solution Inc,"Richibucto, NB E4W 4A4",9615-Labourers in rubber and plastic products manufacturing,8
New Brunswick,   Low Wage,Nam & Rim Inc.,"St. George, NB E5C 1A9",6322-Cooks,1
New Brunswick,   Low Wage,OM SHIV SHAKTI INC.,"SAINT JOHN, NB E2J 2C6",6311-Food service supervisors,1
New Brunswick,   Low Wage,Philip Ouellette & Son Ltd,"Petit Cap, NB E4N 2E9",9618-Labourers in fish and seafood processing,4
New Brunswick,   Low Wage,R&D Enterprises Limited,"Campbellton, NB E3N 3A9",6322-Cooks,1
New Brunswick,   Low Wage,Restaurant la Sagouine,"Bouctouche, NB E4S 3E7",6322-Cooks,2
New Brunswick,   Low Wage,ROLAND RIOUX LTEE,"CARAQUET, NB E1W 1B6","6711-Food counter attendants, kitchen helpers and related support occupations",3
New Brunswick,   Low Wage,ROLAND RIOUX LTEE,"PAQUETVILLE, NB E8R 1J6","6711-Food counter attendants, kitchen helpers and related support occupations",2
New Brunswick,   Low Wage,SAI KRISHNA FOOD SERVICES CORPORATION,"Dieppe, NB E1A 7V4",6322-Cooks,1
New Brunswick,   Low Wage,Shediac Lobster Shop Ltd.,"Shediac, NB E4P 2A6",9463-Fish and seafood plant workers,130
New Brunswick,   Low Wage,Suncoast Seafood Inc,"Grande-Digue, NB E4R 4H7",9463-Fish and seafood plant workers,130
New Brunswick,   Low Wage,True North Salmon Limited Partnership,"Blacks Harbour, NB E5H 1K1",9463-Fish and seafood plant workers,40
New Brunswick,   Low Wage,Westmorland Fisheries Ltd,"Cap-Pele, NB E4N 1V3",9463-Fish and seafood plant workers,200
New Brunswick,  Primary Agriculture,B. McGrath & Son's Ltd,"LWR KNOXFORD, NB E7K 2R2",8431-General farm workers,5
New Brunswick,  Primary Agriculture,Canadian Organic Maple Co. Ltd.,"BEECHWOOD, NB E7J 1X5",8431-General farm workers,6
New Brunswick,  Primary Agriculture,Cavendish Farms Corporation,"Dieppe, NB E1A 6X4",8431-General farm workers,22
New Brunswick,  Primary Agriculture,Hanscome Farms Ltd,"Perth-Andover, NB E7H 4K4",8431-General farm workers,36
New Brunswick,  Primary Agriculture,"Jolly Farmer Products, Inc.","Northampton, NB E7N 1R6",8432-Nursery and greenhouse workers,5
New Brunswick,  Primary Agriculture,M&S Wild Blueberry Farms Ltd.,"Kouchibouguac, NB E4X 1L7",8431-General farm workers,10
New Brunswick,  Primary Agriculture,Royal Gardens 2012 Ltd.,"Penobsquis, NB E4G 2C5",8432-Nursery and greenhouse workers,20
New Brunswick,  Primary Agriculture,Waldow Farms Ltd.,"Cornhill, NB E4Z 1M5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
New Brunswick, Global Talent Stream,Accutor Ltd,"Fredricton, NB E3B 6Z3",2171-Information systems analysts and consultants,1
Quebec,    High Wage, restaurant Charros,"montreal, QC H2S 2M9",6322-Cooks,1
Quebec,    High Wage, Restaurant Crazy Wok Inc.,"Mont-Tremblant, QC J8E 1E2",6322-Cooks,3
Quebec,    High Wage,11103253 CANADA INC.,"Montréal, QC H2K 2Z8",1224-Property administrators,1
Quebec,    High Wage,11616978 CANADA INC.,"Granby, QC J2G 4W5",0111-Financial managers,1
Quebec,    High Wage,137269 CANADA LTEE ENTREPRISES L L DESLAURIERS,"Gatineau, QC J8T 0B6",2242-Electronic service technicians (household and business equipment),1
Quebec,    High Wage,142525 Canada Inc.,"Montréal, QC H2R 2N6",6322-Cooks,1
Quebec,    High Wage,173569 Canada Inc.,"Gatineau, QC J8T 5R3",6322-Cooks,2
Quebec,    High Wage,2334-6828 QUÉBEC INC RESTAURANT MIKES ENR,"Amos, QC J9T 1H2",6322-Cooks,2
Quebec,    High Wage,2434-8203 Québec Inc.,"Saint-Lin-Laurentides, QC J5M 2A1",7295-Floor covering installers,1
Quebec,    High Wage,2543-9985 Québec Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,2
Quebec,    High Wage,2633-8467 Québec inc,"QUÉBEC, QC G2K 1M1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,    High Wage,2683881 Canada Inc.,"Montréal, QC H2K 4P1","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,    High Wage,2728834 Canada Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,2
Quebec,    High Wage,2751-5212 Québec inc.,"Sept-Ïles, QC G4R 2Z8",6322-Cooks,1
Quebec,    High Wage,2853-5185 Québec Inc,"Amos, QC J9T 4L6",7322-Motor vehicle body repairers,2
Quebec,    High Wage,2856-7170 Québec inc,"Chicoutimi, QC G7J 0G6",7271-Carpenters,1
Quebec,    High Wage,2861-4089 Québec.,"Québec, QC G2L 2V5",6322-Cooks,4
Quebec,    High Wage,2950-0519 Québec inc.,"Rouyn-Noranda, QC J9X 6T3",7237-Welders and related machine operators,1
Quebec,    High Wage,2950-0519 Québec inc.,"Rouyn-Noranda, QC J9X 6T3","7252-Steamfitters, pipefitters and sprinkler system installers",2
Quebec,    High Wage,2950-0519 Québec inc.,"Rouyn-Noranda, QC J9X 6T3",7312-Heavy-duty equipment mechanics,6
Quebec,    High Wage,2950-0519 Québec inc.,"Rouyn-Noranda, QC J9X 6T3",7333-Electrical mechanics,1
Quebec,    High Wage,2957-8325 Québec Inc.,"Saint-Sauveur, QC J0R 1R6",6322-Cooks,2
Quebec,    High Wage,2972-6924 Québec Inc,"Québec, QC G1N 4L2",7237-Welders and related machine operators,1
Quebec,    High Wage,2972-6924 Québec Inc,"Québec, QC G1N 4L2",9416-Metalworking and forging machine operators,2
Quebec,    High Wage,3038947 Canada inc. (CASA GRECQUE-DRUMMONDVILLE),"Drummondville, QC J2C 2B5",6322-Cooks,1
Quebec,    High Wage,3089554 Nova Scotia ULC,"Québec, QC G1N 2C9",0211-Engineering managers,1
Quebec,    High Wage,3091-3206 Québec Inc. (Équipements DRL Inc),"Dorval, QC H9P 2R8",7312-Heavy-duty equipment mechanics,1
Quebec,    High Wage,3091-3206 Québec Inc. (Équipements DRL Inc),"Dorval, QC H9P 2R8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,3099-9247 Québec Inc,"Boucherville, QC J4B 5L2",6322-Cooks,6
Quebec,    High Wage,3100-8436 Québec Inc.,"Granby, QC J2J 0M3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,3111326 Canada Inc.,"Saguenay, QC G7H 4C3",6322-Cooks,2
Quebec,    High Wage,3470148 Canada inc.,"Terrebonne, QC J6Y 2A5",7237-Welders and related machine operators,1
Quebec,    High Wage,3595650 Canada inc.,"Gatineau, QC J8Z 1W8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,    High Wage,3887952 CANADA INC.,"Sept-îles, QC G4R 4X6",7237-Welders and related machine operators,1
Quebec,    High Wage,3903281 Canada Inc.,"MONTRÉAL, QC H3B 2S2",6322-Cooks,2
Quebec,    High Wage,4303407 Canada Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,2
Quebec,    High Wage,4317572 Canada Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,4
Quebec,    High Wage,432870 Canada Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,3
Quebec,    High Wage,6143521 Canada Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,4
Quebec,    High Wage,6144527 CANADA INC.,"VAUDREUIL-DORION, QC J7V 9H5","0016-Senior managers - construction, transportation, production and utilities",1
Quebec,    High Wage,6155260 Canada Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,2
Quebec,    High Wage,6187676 Canada Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,2
Quebec,    High Wage,6308104 Canada inc,"Brossard, QC J4W 1Z3",6321-Chefs,1
Quebec,    High Wage,6318703 Canada inc.,"Matane, QC G4W 3M6",7237-Welders and related machine operators,1
Quebec,    High Wage,6450113 Canada Inc,"Montreal, QC H4A 3J3",6322-Cooks,1
Quebec,    High Wage,6482066 Canada Inc.,"Labaie, QC G7B 3N8",2232-Mechanical engineering technologists and technicians,1
Quebec,    High Wage,6482066 Canada Inc.,"Labaie, QC G7B 3N8",7231-Machinists and machining and tooling inspectors,2
Quebec,    High Wage,6838693 Canada Inc (Élite Mazda),"Gatineau, QC J8T 8P2",1311-Accounting technicians and bookkeepers,1
Quebec,    High Wage,6963633 CANADA INC.,"Montreal, QC H2R 1W9","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
Quebec,    High Wage,7657978 Canada Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,4
Quebec,    High Wage,7814640 Canada Inc,"Amos, QC J9T 3A3",7322-Motor vehicle body repairers,2
Quebec,    High Wage,7850298 Canada Inc,"Boucherville, QC J4B 5L2",6322-Cooks,1
Quebec,    High Wage,8340773 canada inc,"Laval, QC H7R 0B1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,8604983 Canada Inc.,"Gatineau, QC J8R 1N2",6311-Food service supervisors,3
Quebec,    High Wage,9002-8614 Québec Inc.,"Shawinigan, QC G9T 5K5",7312-Heavy-duty equipment mechanics,1
Quebec,    High Wage,9011-4240 Québec inc.,"Pointe-Claire, QC H9R 5J1",6322-Cooks,1
Quebec,    High Wage,9018-7980 Quebec Inc,"Montreal, QC H1C 1G7",7237-Welders and related machine operators,1
Quebec,    High Wage,9021-7597 Québec inc,"Montréal, QC H2S 1A1","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,    High Wage,9030-5814 Qc inc,"Trois-Rivières, QC G9A 2W5",7237-Welders and related machine operators,2
