"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2021 and Business Location, July to September 2024",b,c,d,e,f,g,h
Newfoundland and Labrador                                                  ,Low Wage            ,Height of Land Hotel Inc.,"CHURCHILL FALLS, NL A0R 1A0",63200-Cooks,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,Height of Land Hotel Inc.,"CHURCHILL FALLS, NL A0R 1A0",65310-Light duty cleaners,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,I.C. Pizza House Inc.,"PARADISE, NL A1L 1S6",63200-Cooks,Unknown,2,4
Newfoundland and Labrador                                                  ,Low Wage            ,Icewater Seafoods,"Arnold's Cove, NL A0B 1A0",94142-Fish and seafood plant workers,Unknown,1,27
Newfoundland and Labrador                                                  ,Low Wage            ,Maruti Galway NL Inc.,"St. John's, NL A1H 0N4","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage            ,Megha Holdings Limited,"Corner Brook, NL A2H 6B9","44101-Home support workers, caregivers and related occupations",Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage            ,MiKe Davis Signs Ltd.,"Mount Pearl, NL A1N 5E8",74203-Automotive and heavy truck and equipment parts installers and servicers,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,Osauhing TS Shipping,"St. John's, NL A1E 2E3",63200-Cooks,Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage            ,Osauhing TS Shipping,"St. John's, NL A1E 2E3",65200-Food and beverage servers,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,Osauhing TS Shipping,"St. John's, NL A1E 2E3",72405-Machine fitters,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,Osauhing TS Shipping,"St. John's, NL A1E 2E3",74201-Water transport deck and engine room crew,Unknown,3,7
Newfoundland and Labrador                                                  ,Low Wage            ,Powell's Supermarket Ltd.,"Bay Roberts, NL A0A 1G0",63202-Bakers,Unknown,1,3
Newfoundland and Labrador                                                  ,Low Wage            ,ROM Group LTD,"Torbay, NL A1K 1K9",62200-Chefs,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,ROM Group LTD,"Torbay, NL A1K 1K9",63200-Cooks,Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage            ,TORBAY FUN FOODS LTD,"ST. JOHN'S, NL A1A 5B2",65200-Food and beverage servers,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,WLB Services Limited,"Mount Pearl, NL A1N 4M1",63210-Hairstylists and barbers,Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage            ,YES BY PHONE REPAIRS LTD,"PARADISE, NL A1L 2P4",64100-Retail salespersons and visual merchandisers,Unknown,1,1
Newfoundland and Labrador                                                  ,Low Wage            ,YUE GOURMET RESTAURANT,"CONCEPTION BAY SOUTH, NL A1X 7T7","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Newfoundland and Labrador                                                  ,Low Wage            ,ZP Foods,"St. John's, NL A1B 4N1","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Newfoundland and Labrador                                                  ,Primary Agriculture  ,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",82030-Agricultural service contractors and farm supervisors,Unknown,2,7
Newfoundland and Labrador                                                  ,Primary Agriculture  ,Lone Pine Farm,"Bishop's Falls, NL A0H 1C0",85101-Harvesting labourers,Unknown,1,1
Newfoundland and Labrador                                                  ,Primary Agriculture  ,Rolling Acres Farm,"Bishop's Falls, NL A0H 1C0",85101-Harvesting labourers,Unknown,1,1
Newfoundland and Labrador                                                  ,Primary Agriculture  ,Triple E farms ltd.,"Comfort Cove, NL A0G 3K0",85101-Harvesting labourers,Unknown,1,4
Prince Edward Island                                                       ,Global Talent Stream  ,Pivot Drive Inc.,"Charlottetown, PE C1A 0C9",20012-Computer and information systems managers,Unknown,1,1
Prince Edward Island                                                       ,High Wage          ,14834569 Canada inc.,"Summerside, PE C1N 3L2",75110-Construction trades helpers and labourers,Unknown,1,4
Prince Edward Island                                                       ,High Wage          ,Advance Plus Tech Solutions Inc.,"Charlottetown, PE C1E 2B4",72205-Telecommunications equipment installation and cable television service technicians,Unknown,1,1
Prince Edward Island                                                       ,High Wage          ,Bulk Carriers (P.E.I.) Limited,"Clyde River, PE C0A 1H3",73300-Transport truck drivers,Unknown,1,10
Prince Edward Island                                                       ,High Wage          ,Business Porters Inc.,"Charlottetown, PE C1E 0E4",73300-Transport truck drivers,Unknown,1,5
Prince Edward Island                                                       ,High Wage          ,Grand Clouds Inc,"Charlottetown, PE C1A 1K3","10022-Advertising, marketing and public relations managers",Unknown,1,1
Prince Edward Island                                                       ,High Wage          ,Health PEI,"Charlottetown, PE C1A 7N8",31100-Specialists in clinical and laboratory medicine,Unknown,1,1
Prince Edward Island                                                       ,High Wage          ,Health PEI,"Charlottetown, PE C1A 7N8",31101-Specialists in surgery,Unknown,1,1
Prince Edward Island                                                       ,High Wage          ,House of spice restaurant incorporated,"Summerside, PE C1N 1K8",63200-Cooks,Unknown,1,1
Prince Edward Island                                                       ,High Wage          ,KILDARE FISHERIES LTD,"Alberton, PE C0B 1B0",62024-Cleaning supervisors,Unknown,1,7
Prince Edward Island                                                       ,Low Wage            ,Alambe Group Corporation,"Charlottetown, PE C1A 9C7",62020-Food service supervisors,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,Alambe Group Corporation,"Charlottetown, PE C1A 9C7",63200-Cooks,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,Cedar Foods (2010) Limited,"Charlottetown, PE C1A 4L1",63200-Cooks,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,D.P. Murphy Group of Companies,"Charlottetown, PE C1A 6Y9",62020-Food service supervisors,Unknown,13,46
Prince Edward Island                                                       ,Low Wage            ,Lockharts Auto Service Ltd.,"Summerside, PE C1N 4J8",62010-Retail sales supervisors,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,Maid in PEI Cleaning Services,"Fort Augustus, PE C1B 2Z4",65310-Light duty cleaners,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,MSM Restaurants,"Charlottetown, PE C1A 4N7",62020-Food service supervisors,Unknown,1,1
Prince Edward Island                                                       ,Low Wage            ,NK QUALITY RESTORATION INC.,"Summerside, PE C1N 4J1",72310-Carpenters,Unknown,1,3
Prince Edward Island                                                       ,Low Wage            ,NK QUALITY RESTORATION INC.,"Summerside, PE C1N 4J1",73112-Painters and decorators (except interior decorators),Unknown,1,2
Prince Edward Island                                                       ,Low Wage            ,P.E.I. Mussel King (1994),"Morell, PE C0A 1S0",94142-Fish and seafood plant workers,Unknown,1,12
Prince Edward Island                                                       ,Low Wage            ,Rashed Enterprises Ltd,"Cornwall, PE C0A 1H0",63200-Cooks,Unknown,2,3
Prince Edward Island                                                       ,Low Wage            ,Stratford Pizza Corner Ltd.,"Stratford, PE C1B 1T6",63200-Cooks,Unknown,1,2
Prince Edward Island                                                       ,Low Wage            ,Surindra Mediterranean Foods Inc.,"Charlottetown, PE C1E 1J2","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Prince Edward Island                                                       ,Low Wage            ,VN HOLDINGS INC.,"Charlottetown, PE C1A 9P2",62029-Other services supervisors,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,101497 PEI Inc,"Cherry Valley, PE C0A 2E0",85101-Harvesting labourers,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,103285P.E.I.INC.,"Cardigan, PE C0A 1R0",85101-Harvesting labourers,Unknown,1,5
Prince Edward Island                                                       ,Primary Agriculture  ,6219128 Canada Inc,"Montague, PE C0A 1R0",82030-Agricultural service contractors and farm supervisors,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,6219128 Canada Inc,"Montague, PE C0A 1R0",85100-Livestock labourers,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",85101-Harvesting labourers,Unknown,1,7
Prince Edward Island                                                       ,Primary Agriculture  ,Birch Farms Ltd.,"Summerside, PE C1N 4J9",85101-Harvesting labourers,Unknown,2,9
Prince Edward Island                                                       ,Primary Agriculture  ,BUNNY BURROW VEGETABLE CO. LTD,"Kinkora, PE C0B 1N0",85101-Harvesting labourers,Unknown,1,8
Prince Edward Island                                                       ,Primary Agriculture  ,Carruthers Farms Ltd,"Hamilton, PE C0B 1M0",85100-Livestock labourers,Unknown,1,3
Prince Edward Island                                                       ,Primary Agriculture  ,Eastern Exporters Limited,"SOURIS, PE C0A 2B0",85101-Harvesting labourers,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,FORTUNE BRIDGE FARMS,"SOURIS, PE C0A 2B0",85101-Harvesting labourers,Unknown,1,3
Prince Edward Island                                                       ,Primary Agriculture  ,G Visser & Sons Inc.,"Vernon Bridge, PE C0A 2E0",82030-Agricultural service contractors and farm supervisors,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,HILLTOP PRODUCE LTD,"Kinkora, PE C0B 1N0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,3
Prince Edward Island                                                       ,Primary Agriculture  ,Kyle Murray Farms,"Albany, PE C0B 1A0",85101-Harvesting labourers,Sole Proprietorship,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,Mackenzie Produce,"Stratford, PE C1B 2R7",85101-Harvesting labourers,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",85101-Harvesting labourers,Unknown,1,3
Prince Edward Island                                                       ,Primary Agriculture  ,Middleton Farms Ltd,"Kinkora, PE C0B 1N0",85101-Harvesting labourers,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture  ,Mol Farms Inc.,"Kinkora, PE C0B 1N0",80020-Managers in agriculture,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,Mol Farms Inc.,"Kinkora, PE C0B 1N0",85101-Harvesting labourers,Unknown,3,5
Prince Edward Island                                                       ,Primary Agriculture  ,Oliver Farms Ltd,"Alberton, PE C0B 1B0",85100-Livestock labourers,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,Port Hill Farm Inc,"Tyne Valley RR#1, PE C0B 2C0",85100-Livestock labourers,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,Rollo Bay Holdings Ltd.,"SOURIS, PE C0A 2B0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture  ,Smith Farms Ltd.,"Kinkora, PE C0B 1N0",85101-Harvesting labourers,Unknown,1,6
Prince Edward Island                                                       ,Primary Agriculture  ,Steijn Potato Farms,"York, PE C0A 1P0",85101-Harvesting labourers,Unknown,2,6
Prince Edward Island                                                       ,Primary Agriculture  ,Valley Grove Enterprises Ltd,"Kensington, PE C0B 1M0",85101-Harvesting labourers,Unknown,2,2
Prince Edward Island                                                       ,Primary Agriculture  ,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",85101-Harvesting labourers,Unknown,3,61
Prince Edward Island                                                       ,Primary Agriculture  ,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",85101-Harvesting labourers,Unknown,2,9
Nova Scotia                                                                ,Global Talent Stream  ,Aeon Blue Inc.,"Sydney, NS B1M 1A2",20011-Architecture and science managers,Unknown,1,1
Nova Scotia                                                                ,Global Talent Stream  ,Rayleigh Solar Tech,"Dartmouth, NS B2Y 4M9",21109-Other professional occupations in physical sciences,Corporation,1,1
Nova Scotia                                                                ,Global Talent Stream  ,REDspace Inc.,"Bedford, NS B4A 3Y4",20012-Computer and information systems managers,Corporation,1,1
Nova Scotia                                                                ,Global Talent Stream  ,"TAKE-TWO INTERACTIVE CANADA, INC.","Halifax, NS B3L 2C2","51120-Producers, directors, choreographers and related occupations",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,10094277 Canada Inc,"Halifax, NS B3J 2T9",21223-Database analysts and data administrators,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,10094277 Canada Inc,"Halifax, NS B3J 2T9",21234-Web developers and programmers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,10094277 Canada Inc,"Halifax, NS B3J 2T9",22222-Information systems testing technicians,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,15263433 Canada Inc.,"Halifax, NS B3K 1H6",72310-Carpenters,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,15263433 Canada Inc.,"Halifax, NS B3K 1H6",75110-Construction trades helpers and labourers,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,3312739 Nova Scotia Limited,"Halifax, NS B3M 3B4",73110-Roofers and shinglers,Unknown,1,4
Nova Scotia                                                                ,High Wage          ,3332848 NOVA SCOTIA LIMITED,"HALIFAX, NS B3K 4L5",62020-Food service supervisors,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,3332848 NOVA SCOTIA LIMITED,"HALIFAX, NS B3K 4L5",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,3335367 Nova Scotia Limited,"Bedford, NS B4A 1C1","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,3335367 Nova Scotia Limited,"Bedford, NS B4A 1C1",41402-Business development officers and market researchers and analysts,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,3335649 Nova Scotia Limited,"Lower Sackville, NS B4C 2N1",21233-Web designers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,3344150 Nova Scotia Limited,"Halifax, NS B3J 3Z4",64301-Bartenders,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,4202687 Nova Scotia Limited,"Halifax, NS B3M 3M4",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,4558665 Nova Scotia Limited,"LOWER SACKVILLE, NS B4C 3P7",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,9591699 CANADA INC.,"Bedford, NS B4B 2E6",73300-Transport truck drivers,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,ADVANCE TRAVEL INC.,"Bedford, NS B4B 2M8",62023-Customer and information services supervisors,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Alhassan Construction Inc.,"Bedford, NS B4B 1S8","73102-Plasterers, drywall installers and finishers and lathers",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Avondale Construction Limited,"Halifax, NS B3S 0E4",70010-Construction managers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Canadian College of Acupuncture & Traditional Chinese Medicine Ltd.,"Bedford, NS B4A 1C8",41320-Educational counsellors,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Captain Atlantic International Trade Co. Ltd.,"Shag Harbour,, NS B0W 3B0",12200-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Care and Fun Childcare limited,"Halifax, NS B3M 3V3",42202-Early childhood educators and assistants,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Clearwater Seafoods LP,"Bedford, NS B4A 3Z7",90010-Manufacturing managers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Conrad's Transport Limited,"Dartmouth, NS B2W 3Y2",70020-Managers in transportation,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Cumberland Appraisals,"Port Philip, NS B0K 1L0",75110-Construction trades helpers and labourers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,DIESEL & AUTO ELECTRIC LIMITED,"Dartmouth, NS B3B 1N7",22221-User support technicians,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Eastwater Professional Roofing Services Ltd,"Yarmouth, NS B5A 5H8",72310-Carpenters,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,FH Development  Group,"Lower Sackville, NS B4C 2N4","73102-Plasterers, drywall installers and finishers and lathers",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Friends Transport Ltd.,"Dartmouth, NS B3B 1H7",13110-Administrative assistants,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,Friends Transport Ltd.,"Dartmouth, NS B3B 1H7",75201-Delivery service drivers and door-to-door distributors,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,GEP Liars Inc,"Dartmouth, NS B3B 1M4",51111-Authors and writers (except technical),Corporation,1,1
Nova Scotia                                                                ,High Wage          ,Governors St Francis Xavier University,"Antigonish, NS B2G 2W5",41200-University professors and lecturers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Hotel N.S. Ownership Limited Partnership,"Halifax, NS B3H 2P6",62200-Chefs,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Howard E. Little Excavating Ltd,"Cambridge, NS B0P 1G0",75110-Construction trades helpers and labourers,Unknown,1,6
Nova Scotia                                                                ,High Wage          ,J.P.Sun Developements Ltd,"Lower Sackville, NS B4C 2R3",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Joyplus Immigration Consulting Inc.,"Halifax, NS B3M 1M4","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Ledwidge Lumber Company Ltd.,"Enfield, NS B2T 1C6",75119-Other trades helpers and labourers,Unknown,1,4
Nova Scotia                                                                ,High Wage          ,Limitless Paradise Traders Inc.,"Halifax, NS B3R 1V5",12200-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Maritime Drywall & Acoustical Limited,"Dartmouth, NS B3B 1W2","73102-Plasterers, drywall installers and finishers and lathers",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,MING'S PHOTOGRAPHY LTD.,"bedford, NS B4B 0P1",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,MO HANDMADE INC.,"Halifax, NS B3J 1K8",12102-Procurement and purchasing agents and officers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,MOSSAH Foods Corp.,"Kingston, NS B0P 1R0",62020-Food service supervisors,Unknown,1,3
Nova Scotia                                                                ,High Wage          ,Mount Saint Vincent University Students Union,"Halifax, NS B3M 2J6",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Nani's Esthetics and Laser Center Inc.,"Port Hawkesbury, NS B9A 2B8",32201-Massage therapists,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,NOSPEL ROOFING & WATERPROOFING LTD.,"Mount Uniacke, NS B0N 1Z0",75110-Construction trades helpers and labourers,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,R. N. Apex Solutions Ltd,"Dartmouth, NS B3B 1L1","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,R. N. Apex Solutions Ltd,"Dartmouth, NS B3B 1L1",75201-Delivery service drivers and door-to-door distributors,Unknown,1,3
Nova Scotia                                                                ,High Wage          ,Richmond Housing Corporation,"St Peters, NS B0E 3B0",31301-Registered nurses and registered psychiatric nurses,Unknown,1,2
Nova Scotia                                                                ,High Wage          ,Sackville Trenching Limited,"MIDDLE SACKVILLE, NS B4E 3A9",75110-Construction trades helpers and labourers,Unknown,1,4
Nova Scotia                                                                ,High Wage          ,SAWLUTIONS INC.,"Dartmouth, NS B3B 1Z1",94106-Machining tool operators,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Space-Time-Beyond Immigration Services Inc.,"Halifax, NS B3J 3M7",62023-Customer and information services supervisors,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Superior Foundations Limited,"Dartmouth, NS B2Z 1B4",75110-Construction trades helpers and labourers,Unknown,1,4
Nova Scotia                                                                ,High Wage          ,SUPREME TRADING,"Sydney, NS B1P 1C5",64101-Sales and account representatives - wholesale trade (non-technical),Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Tabrizi Marketing Ltd,"Bedford, NS B4A 1C1",12102-Procurement and purchasing agents and officers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,The Church Brewing Company LTD.,"Wolfville, NS B4P 1C4",12200-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,The Pureland Health Ltd.,"Halifax, NS B3M 2K7",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Top Point Auto Limited,"Dartmouth, NS B3A 1H8","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Very M Fashion Studio Ltd.,"Halifax, NS B3J 3Z2","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Viking Ventures Ltd.,"Berwick, NS B0P 1E0","72021-Contractors and supervisors, heavy equipment operator crews",Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Xeneration Inc,"Middle Sackville, NS B4E 0T4",11200-Human resources professionals,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Xeneration Inc,"Middle Sackville, NS B4E 0T4",12200-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Xeneration Inc,"Middle Sackville, NS B4E 0T4",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage          ,Xeneration Inc,"Middle Sackville, NS B4E 0T4",21222-Information systems specialists,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,102081814 Saskatchewan Ltd.,"Liverpool, NS B0T 1K0",72310-Carpenters,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,11497235 Canada Inc.,"Sydney, NS B1S 1A8",65310-Light duty cleaners,Unknown,1,2
Nova Scotia                                                                ,Low Wage            ,15022312 CANADA INC.,"Middle Sackville, NS B4E 1S2",13110-Administrative assistants,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,15684421 Canada Inc,"Dartmouth, NS B2Y 4B1",65200-Food and beverage servers,Unknown,1,3
Nova Scotia                                                                ,Low Wage            ,3262006 Nova Scotia Limited,"Halifax, NS B3L 4N9",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,3272946 NOVA SCOTIA LIMITED,"Lower Sackville, NS B4C 2S2",60030-Restaurant and food service managers,Unknown,1,1
Nova Scotia                                                                ,Low Wage            ,3282541 Nova Scotia Limited,"Dartmouth, NS B2W 6C4",62010-Retail sales supervisors,Unknown,1,1
