"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, October to December 2021",b,c,d,e,f,g,h
Nova Scotia,   Low Wage,Brycon Construction Limited,"Dartmouth, NS B2Y 4P4",7611-Construction trades helpers and labourers,Unknown,1,5
Nova Scotia,   Low Wage,Caissieco Enterprises,"Cole Harbour, NS B2W 6E4",6211-Retail sales supervisors,Unknown,1,6
Nova Scotia,   Low Wage,Care and Fun Childcare limited,"Halifax, NS B3M 3V3",4214-Early childhood educators and assistants,Unknown,1,1
Nova Scotia,   Low Wage,Fishermen's Premium Atlantic Lobster Inc.,"North East Point, NS B0W 2P0",9618-Labourers in fish and seafood processing,Unknown,1,8
Nova Scotia,   Low Wage,Frank and Gino's Grill and Pasta House,"Truro, NS B2N 1L3",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,Genji Sushi,"FALL RIVER, NS B2T 1W8",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,JE Bembridge Enterprise Ltd,"amherst, NS B4H 3E4",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,Les Entreprises Samson Enterprises Ltee,"Petit De Grat, NS B0E 2L0","9535-Plastic products assemblers, finishers and inspectors",Unknown,1,8
Nova Scotia,   Low Wage,M.J.N.J Investments Ltd,"Lunenburg, NS B0J 2C0",6311-Food service supervisors,Unknown,2,3
Nova Scotia,   Low Wage,Merex Incorporated,"Halifax, NS B3H 4N4",9463-Fish and seafood plant workers,Unknown,1,1
Nova Scotia,   Low Wage,New Vision Special Care Homes Ltd,"Berwick, NS B0P 1E0","3413-Nurse aides, orderlies and patient service associates",Unknown,1,1
Nova Scotia,   Low Wage,Pecheries Cheticamp Fisheries Intl. (2016) Ltd,"Cheticamp, NS B0E 1H0",9463-Fish and seafood plant workers,Unknown,2,76
Nova Scotia,   Low Wage,Quality Seafoods Limited,"Yarmouth, NS B5A 4B3",9618-Labourers in fish and seafood processing,Unknown,1,6
Nova Scotia,   Low Wage,Randy's Pizza,"Halifax, NS B3K 4B6",6322-Cooks,Unknown,1,2
Nova Scotia,   Low Wage,Riverside Lobster International Inc,"Meteghan River, NS B0W 2L0",9463-Fish and seafood plant workers,Unknown,2,163
Nova Scotia,   Low Wage,Sydney Fresh Casual Restaurants Inc.,"Sydney, NS B1P 5S8",6322-Cooks,Unknown,1,2
Nova Scotia,   Low Wage,Victoria Co-operative Fisheries Ltd.,"Neil's Harbour, NS B0C 1N0",9463-Fish and seafood plant workers,Unknown,1,24
Nova Scotia,   Low Wage,Wedgeport Lobsters Limited,"Lower Wedgeport, NS B0W 2B0",9618-Labourers in fish and seafood processing,Unknown,1,1
Nova Scotia,   Low Wage,White Point Holdings Ltd,"White Point, NS B0T 1G0",6322-Cooks,Unknown,1,1
Nova Scotia,  Primary Agriculture,3115695 Nova Scotia Limited,"Rr#2 Centreville, NS B0P 1J0",8431-General farm workers,Unknown,1,6
Nova Scotia,  Primary Agriculture,Allen Farms Limited,"Billtown, NS B0P 1J0",8431-General farm workers,Unknown,2,54
Nova Scotia,  Primary Agriculture,Atlantic Poultry Incorporated,"Port Williams, NS B0P 1T0",8431-General farm workers,Corporation,2,12
Nova Scotia,  Primary Agriculture,Balamore Farm Ltd,"Great Village, NS B0M 1L0",8431-General farm workers,Unknown,2,160
Nova Scotia,  Primary Agriculture,Best Farms Ltd,"Woodville, NS B0P 1V0",8431-General farm workers,Partnership,1,1
Nova Scotia,  Primary Agriculture,Birchleigh Farms LTD.,"Berwick, NS B0P 1E0",8431-General farm workers,Unknown,1,14
Nova Scotia,  Primary Agriculture,Canard Orchards Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,Unknown,1,18
Nova Scotia,  Primary Agriculture,Charles Keddy Farms Limited,"Lakeville, NS B4N 3V7",8431-General farm workers,Unknown,4,40
Nova Scotia,  Primary Agriculture,Crisp Growers Incorporated,"Berwick, NS B0P 1E0",8431-General farm workers,Unknown,1,20
Nova Scotia,  Primary Agriculture,D&M Lightfoot Farms,"Wolfvllle, NS B4P  2S",8431-General farm workers,Corporation,1,8
Nova Scotia,  Primary Agriculture,DeLong Farm Products Limited,"New Germany, NS B0R 1E0",8431-General farm workers,Unknown,1,22
Nova Scotia,  Primary Agriculture,Ellslea Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,Unknown,1,4
Nova Scotia,  Primary Agriculture,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,1
Nova Scotia,  Primary Agriculture,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0",8431-General farm workers,Unknown,2,18
Nova Scotia,  Primary Agriculture,Evangeline Orchards Limited,"Port Williams, NS B0P 1T0",8431-General farm workers,Unknown,1,2
Nova Scotia,  Primary Agriculture,Eyking Brothers Farm Ltd,"Millville, NS B1Y 2E2",8431-General farm workers,Unknown,2,23
Nova Scotia,  Primary Agriculture,G.A.R. Tree Farms Ltd,"Barss Corner, NS B0R 1A0",8431-General farm workers,Unknown,1,1
Nova Scotia,  Primary Agriculture,Grant Holdings Limited,"Hardwood lands, NS B0N 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,2
Nova Scotia,  Primary Agriculture,J & B Millen Farms Limited,"Great Village, NS B0M 1L0",8431-General farm workers,Unknown,1,44
Nova Scotia,  Primary Agriculture,JOST VINEYARDS LIMITED,"Malagash, NS B0K 1E0",8431-General farm workers,Unknown,1,9
Nova Scotia,  Primary Agriculture,Luckett Farms Ltd.,"Wolfville, NS B4P 2R3",8431-General farm workers,Unknown,1,4
Nova Scotia,  Primary Agriculture,LUTZ FAMILY FARM LTD,"Berwick, NS B0P 1E0",8431-General farm workers,Unknown,1,14
Nova Scotia,  Primary Agriculture,MacGregor Dairy Farm Ltd.,"Churchville, NS B0K 1B0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,3
Nova Scotia,  Primary Agriculture,McConnell-Gordon Estates Ltd.,"Wolfville, NS B4P 2R1",8431-General farm workers,Unknown,3,10
Nova Scotia,  Primary Agriculture,Merks Poultry Farm Limited,"Avonport, NS B0P 1B0",8431-General farm workers,Corporation,1,4
Nova Scotia,  Primary Agriculture,Noggins Corner Farm II Ltd.,"Greenwich, NS B4P 2R2",8431-General farm workers,Unknown,1,33
Nova Scotia,  Primary Agriculture,Randsland Farms Inc,"Canning, NS B0P 1H0",8431-General farm workers,Unknown,4,45
Nova Scotia,  Primary Agriculture,Rivermac Farms Limited,"Antigonish, NS B2G 2K8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,1
Nova Scotia,  Primary Agriculture,Sarsfield Farms Incorporated,"Kentville, NS B4N 3V7",8431-General farm workers,Unknown,1,15
Nova Scotia,  Primary Agriculture,Skips General Maintenance,"Wolfville, NS B4P 2R3",8432-Nursery and greenhouse workers,Unknown,1,4
Nova Scotia,  Primary Agriculture,Spurr Brothers Farms Ltd,"Melvern Square, NS B0P 1R0",8431-General farm workers,Unknown,2,11
Nova Scotia,  Primary Agriculture,Stirling Fruit Farms (2000) Ltd,"Greenwich, NS B4P 2R2",8431-General farm workers,Unknown,4,68
Nova Scotia,  Primary Agriculture,Stokdijk Greenhouses Ltd,"Beaver Brook, NS B6L 1H3",8431-General farm workers,Unknown,1,10
Nova Scotia,  Primary Agriculture,Stokdijk Greenhouses Ltd,"Beaver Brook, NS B6L 1H3",8432-Nursery and greenhouse workers,Unknown,1,6
Nova Scotia,  Primary Agriculture,T.K. Palmer & Sons Contracting Inc.,"Kentville, NS B0P 1C0",8431-General farm workers,Unknown,3,4
Nova Scotia,  Primary Agriculture,TapRoot Farms Inc.,"Port Williams, NS B0P 1T0",8431-General farm workers,Unknown,1,20
Nova Scotia,  Primary Agriculture,Thiessen Farm Ltd.,"Grafton, NS B0P 1V0",8431-General farm workers,Unknown,2,7
Nova Scotia,  Primary Agriculture,Town Plot Orchards Ltd.,"Port Williams, NS B0P 1T0",8431-General farm workers,Corporation,2,4
Nova Scotia,  Primary Agriculture,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,Unknown,1,46
Nova Scotia,  Primary Agriculture,Walsh Farms Inc.,"Rockland, NS B0P 1E0",8431-General farm workers,Corporation,1,12
Nova Scotia,  Primary Agriculture,Wohlgemuth Farms Ltd.,"Aylesford, NS B0P 1C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,2
Nova Scotia,  Primary Agriculture,Wohlgemuth Farms Ltd.,"Aylesford, NS B0P 1C0",8431-General farm workers,Unknown,1,20
Nova Scotia, Global Talent Stream,3rDi Laboratory Inc.,"Wolfville, NS B4P 3R6",2175-Web designers and developers,Corporation,1,1
Nova Scotia, Global Talent Stream,Axis Specialty Canada Services ULC,"Halifax, NS B3J 0E8",2173-Software engineers and designers,Corporation,3,3
Nova Scotia, Global Talent Stream,CloudKettle Inc.,"Halifax, NS B3J 3J8",2171-Information systems analysts and consultants,Unknown,1,1
Nova Scotia, Global Talent Stream,Fundy Drinks Ltd.,"Halifax, NS B3J 3J8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Corporation,1,1
Nova Scotia, Global Talent Stream,Global Spatial Technology Solutions Inc.,"Dartmouth, NS B2Y 4M9",2171-Information systems analysts and consultants,Corporation,1,1
Nova Scotia, Global Talent Stream,Kangaroo Solutions Inc.,"Halifax, NS B3J 1M5",2174-Computer programmers and interactive media developers,Corporation,1,2
Nova Scotia, Global Talent Stream,Kinduct Technologies Inc.,"Halifax, NS B3J 3R7",0125-Other business services managers,Corporation,1,1
Nova Scotia, Global Talent Stream,Kinduct Technologies Inc.,"Halifax, NS B3J 3R7",0213-Computer and information systems managers,Corporation,1,1
Nova Scotia, Global Talent Stream,Kinduct Technologies Inc.,"Halifax, NS B3J 3R7",2173-Software engineers and designers,Corporation,3,3
Nova Scotia, Global Talent Stream,Proposify Inc.,"Halifax, NS B3J 1W5",2173-Software engineers and designers,Unknown,1,1
Nova Scotia, Global Talent Stream,REDspace Inc.,"Bedford, NS B4A 3Y4",2173-Software engineers and designers,Corporation,1,1
Nova Scotia, Global Talent Stream,REDspace Inc.,"Bedford, NS B4A 3Y4",2174-Computer programmers and interactive media developers,Corporation,1,1
Nova Scotia, Global Talent Stream,The Verschuren Centre Inc.,"Sydney, NS B1M 1A2",0212-Architecture and science managers,Non-Profit Organization,1,1
Nova Scotia, Global Talent Stream,Ubisoft Entertainment Inc.,"Halifax, NS B3J 3R5",2174-Computer programmers and interactive media developers,Unknown,1,1
New Brunswick,    High Wage,662053 NB Inc.,"Saint John, NB E2P 1K2",6211-Retail sales supervisors,Unknown,1,1
New Brunswick,    High Wage,682364 NB INC,"Fredericton, NB E3B 8P4",6421-Retail salespersons,Unknown,1,1
New Brunswick,    High Wage,696239 NB INC.,"WAASIS, NB E3B 0G9","6313-Accommodation, travel, tourism and related services supervisors",Unknown,1,1
New Brunswick,    High Wage,AYR Motor Express Inc,"Woodstock, NB E7M 4G2",7511-Transport truck drivers,Unknown,1,10
New Brunswick,    High Wage,CanCo Logistics Inc.,"Woodstock, NB E7M 5G5",7511-Transport truck drivers,Unknown,1,1
New Brunswick,    High Wage,DJ Marine Supplies Ltee,"Pointe-Sapin, NB E9A 1T4",9531-Boat assemblers and inspectors,Unknown,1,8
New Brunswick,    High Wage,ELEPHANT TRANSPORT INC,"Scoudouc, NB E4P 1A9",7511-Transport truck drivers,Unknown,1,2
New Brunswick,    High Wage,Greenhaven Management Inc.,"Moncton, NB E1G 2K2",7511-Transport truck drivers,Unknown,1,6
New Brunswick,    High Wage,"J.D. Irving, Limited - Woodlands Division","Saint John, NB E2L 4Z2",8241-Logging machinery operators,Unknown,2,16
New Brunswick,    High Wage,Midland Transport Limited,"Dieppe, NB E1A 6X4",7511-Transport truck drivers,Unknown,1,15
New Brunswick,    High Wage,Murray Enterprises Ltd.,"Sussex Corner, NB E4E 2Y5",7511-Transport truck drivers,Unknown,1,2
New Brunswick,    High Wage,PETER LAI PROFESSIONAL SERVICES INC.,"SAINT JOHN, NB E2K 4J4",1311-Accounting technicians and bookkeepers,Unknown,1,1
New Brunswick,    High Wage,Professional Carriers Inc,"Hartland, NB E7P 3K4",7511-Transport truck drivers,Unknown,1,2
New Brunswick,    High Wage,Quality Transportation services NB ltd,"Jacksonville, NB E7M 3S1",7511-Transport truck drivers,Unknown,1,1
New Brunswick,    High Wage,RITE-LINE TRANSPORTATION INC.,"FLORENCEVILLE-BRISTOL, NB E7L 3K6",7511-Transport truck drivers,Unknown,1,1
New Brunswick,    High Wage,STEFANO'S INC.,"Saint John, NB E2L 3N5",7511-Transport truck drivers,Unknown,1,2
New Brunswick,    High Wage,The Royal Barbershop Inc,"Fredericton, NB E3B 1B9",6341-Hairstylists and barbers,Unknown,1,1
New Brunswick,    High Wage,WOOD MULCHING GUYS LTD,"Sainte-Anne-de-Kent, NB E4S 1A9",8421-Chain saw and skidder operators,Unknown,1,2
New Brunswick,   Low Wage,057033 NB Inc,"Shediac, NB E4P 2K9","3413-Nurse aides, orderlies and patient service associates",Unknown,1,3
New Brunswick,   Low Wage,11656520 Canada Inc.,"Pointe Sapin, NB E9A 1V1",9463-Fish and seafood plant workers,Unknown,2,241
New Brunswick,   Low Wage,611179 NB Inc.,"Moncton, NB E1G 2W5",6322-Cooks,Unknown,1,1
New Brunswick,   Low Wage,622735 NB INC,"Lake George, NB E6K 3P9",6322-Cooks,Unknown,1,1
New Brunswick,   Low Wage,622735 NB INC,"Lake George, NB E6K 3P9",6332-Bakers,Unknown,1,1
New Brunswick,   Low Wage,687735 NB Inc,"Beresford, NB E8K 1A1",6312-Executive housekeepers,Unknown,1,1
New Brunswick,   Low Wage,687735 NB Inc,"Beresford, NB E8K 1A1",6322-Cooks,Unknown,1,1
New Brunswick,   Low Wage,697131 NB INC.,"MONCTON, NB E1A 8R5",6322-Cooks,Unknown,1,1
New Brunswick,   Low Wage,701664 NB Inc,"Dieppe, NB E1A 1P2",6322-Cooks,Unknown,1,2
New Brunswick,   Low Wage,711326 NB Ltd.,"Moncton, NB E1C 5C4",6322-Cooks,Unknown,1,1
New Brunswick,   Low Wage,877 Coverdale road limited,"Moncton, NB E1E 1C2",6211-Retail sales supervisors,Unknown,1,2
New Brunswick,   Low Wage,AJN INVESTMENT & DEVELOPMENT 2008 LTD,"BELLEDUNE, NB E8G 2M4",1221-Administrative officers,Unknown,1,1
New Brunswick,   Low Wage,AL-Pack enterprises Ltd.,"Moncton, NB E1H 0A5",9422-Plastics processing machine operators,Unknown,1,1
New Brunswick,   Low Wage,B.A.Richard Ltée,"Sainte-Anne-de-Kent, NB E4S 1M6",9463-Fish and seafood plant workers,Unknown,2,51
New Brunswick,   Low Wage,BOLERO Shellfish Processing Inc.,"St.-Simon, NB E8P 2B2",9463-Fish and seafood plant workers,Unknown,1,25
New Brunswick,   Low Wage,Cap Pele Bait Inc,"Cap-Pele, NB E4N 1Z7",9463-Fish and seafood plant workers,Unknown,1,3
New Brunswick,   Low Wage,Captain Dan's Inc.,"Richibouctou-Village, NB E4W 1C9",9463-Fish and seafood plant workers,Unknown,1,100
New Brunswick,   Low Wage,Dimitri's Souvlaki INC,"Fredericton, NB E3B 1E4",6322-Cooks,Unknown,1,1
New Brunswick,   Low Wage,Edmond Gagnon Ltd,"Grand-Barachois, NB E4P 8A4",9463-Fish and seafood plant workers,Unknown,2,130
New Brunswick,   Low Wage,Fancy Pokket Corporation,"Moncton, NB E1E 4K7","9461-Process control and machine operators, food, beverage and associated products processing",Unknown,1,1
New Brunswick,   Low Wage,FMI National Inc,"Woodstock, NB E7M 5G5",6311-Food service supervisors,Unknown,2,2
New Brunswick,   Low Wage,Gaston's Catering (2008) Inc.,"Moncton, NB E1E 4C6",6322-Cooks,Unknown,2,2
New Brunswick,   Low Wage,Global Windows Solution Inc,"Richibucto, NB E4W 4A4",9615-Labourers in rubber and plastic products manufacturing,Unknown,2,30
New Brunswick,   Low Wage,Jiffy Products (N.B.) Ltd.,"Pokemouche, NB E8P 2M4","9619-Other labourers in processing, manufacturing and utilities",Corporation,1,18
New Brunswick,   Low Wage,KWONG'S TAKE OUT (2004) Ltd.,"Riverview, NB E1B 3J7",6322-Cooks,Unknown,1,1
New Brunswick,   Low Wage,L&L Concrete Foundation Ltd,"Grand-Barachois, NB E4P 9E4",7611-Construction trades helpers and labourers,Unknown,1,12
New Brunswick,   Low Wage,L`ASSOCIATION COOPÉRATIVE DES PECHEURS DE L`ILE LTEE - ISLAND FISHERMEN'S COOPERATIVE ASSOCIATION LT,"LAMEQUE, NB E8T 1M8",9463-Fish and seafood plant workers,Unknown,2,80
New Brunswick,   Low Wage,LEU'S MARKET INC.,"ST. GEORGE, NB E5C 3H9",6332-Bakers,Unknown,1,1
New Brunswick,   Low Wage,Maple Leaf Homes Inc,"Fredericton, NB E3B 7K3",9533-Other wood products assemblers and inspectors,Unknown,1,33
New Brunswick,   Low Wage,Michel & Charles LeBlanc Fisheries Ltd,"Cap-Pele, NB E4N 1V2",9463-Fish and seafood plant workers,Unknown,2,10
New Brunswick,   Low Wage,Moncton Fresh Casual Restaurants Inc.,"Moncton, NB E1G 1A8",6322-Cooks,Unknown,1,2
New Brunswick,   Low Wage,Nam & Rim Inc.,"St. George, NB E5C 1A9",6322-Cooks,Unknown,2,3
New Brunswick,   Low Wage,"OPC Canada, Inc.","Centreville, NB E7K 2M4","9619-Other labourers in processing, manufacturing and utilities",Unknown,1,4
New Brunswick,   Low Wage,Pizza Delight Bouctouche,"Bouctouche, NB E4S 3L4",6311-Food service supervisors,Unknown,1,1
New Brunswick,   Low Wage,Pizza Delight Shediac,"Shediac, NB E4P 2G9",6311-Food service supervisors,Unknown,1,2
