"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2021 and Business Location, October to December 2024",b,c,d,e,f,g,h
Prince Edward Island                                                       ,High Wage,J & C Ventures Inc,"CHARLOTTETOWN, PE C1C 0E5",73300-Transport truck drivers,Unknown,2,4
Prince Edward Island                                                       ,High Wage,Majhail Construction Ltd.,"Charlottetown, PE C1A 4B4",75110-Construction trades helpers and labourers,Unknown,1,1
Prince Edward Island                                                       ,High Wage,Shergill Developments Inc.,"Cornwall, PE C0A 1H8",75110-Construction trades helpers and labourers,Unknown,1,2
Prince Edward Island                                                       ,Low Wage,12428971 Canada Inc.,"Summerside, PE C1N 1C1",75110-Construction trades helpers and labourers,Unknown,1,3
Prince Edward Island                                                       ,Low Wage,14225538 Canada Ltd.,"Summerside, PE C1N 1K8",62020-Food service supervisors,Unknown,1,1
Prince Edward Island                                                       ,Low Wage,Abbiocco Ristorante,"Charlottetown, PE C1A 1N9",60030-Restaurant and food service managers,Unknown,1,1
Prince Edward Island                                                       ,Low Wage,Atlantic Beef Products Inc.,"Albany, PE C0B 1A0","94141-Industrial butchers and meat cutters, poultry preparers and related workers",Unknown,1,2
Prince Edward Island                                                       ,Low Wage,BEACH POINT PROCESSING COMPANY,"Beach Point, PE C0A 1V0",94142-Fish and seafood plant workers,Unknown,1,173
Prince Edward Island                                                       ,Low Wage,Belle River Enterprises Ltd,"Belle River, PE C0A 1B0",94142-Fish and seafood plant workers,Unknown,1,12
Prince Edward Island                                                       ,Low Wage,Charlottetown Fresh Casual Restaurants Inc.,"Charlottetown, PE C1A 4M9",63200-Cooks,Unknown,1,2
Prince Edward Island                                                       ,Low Wage,Comfort Inn Charlottetown (InnVest Hotels LP),"Charlottetown, PE C1E 1E7",64314-Hotel front desk clerks,Unknown,1,1
Prince Edward Island                                                       ,Low Wage,D.P. Murphy Group of Companies,"Charlottetown, PE C1A 6Y9",62020-Food service supervisors,Unknown,1,4
Prince Edward Island                                                       ,Low Wage,EAST CAPE OYSTER COMPANY,"Charlottetown, PE C1E 2A1",95107-Labourers in fish and seafood processing,Unknown,1,4
Prince Edward Island                                                       ,Low Wage,Islandsand Holdings Incorporated,"Cornwall, PE C0A 1H0",62020-Food service supervisors,Unknown,1,1
Prince Edward Island                                                       ,Low Wage,Islandsand Holdings Incorporated,"Cornwall, PE C0A 1H0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Prince Edward Island                                                       ,Low Wage,KILDARE FISHERIES LTD,"Alberton, PE C0B 1B0",94142-Fish and seafood plant workers,Unknown,1,90
Prince Edward Island                                                       ,Low Wage,McKenna Bros. (1989) Limited,"Cardigan, PE C0A 1G0",95106-Labourers in food and beverage processing,Unknown,1,6
Prince Edward Island                                                       ,Low Wage,MSM Restaurants,"Charlottetown, PE C1A 4N7",62020-Food service supervisors,Unknown,7,18
Prince Edward Island                                                       ,Low Wage,Murphy Investments Ltd.,"Charlottetown, PE, PE C1E 2A1",63200-Cooks,Unknown,2,2
Prince Edward Island                                                       ,Low Wage,NORTH ATLANTIC ORGANICS LTD,"Tignish RR#4, PE C0B 2B0","95109-Other labourers in processing, manufacturing and utilities",Unknown,1,2
Prince Edward Island                                                       ,Low Wage,Rodd Management Ltd.,"Charlottetown, PE C1A 1M9",63200-Cooks,Unknown,2,4
Prince Edward Island                                                       ,Low Wage,Royal Star Foods Ltd,"Tignish, PE C0B 2B0",94142-Fish and seafood plant workers,Unknown,1,20
Prince Edward Island                                                       ,Low Wage,Seafood 2000 Ltd.,"Georgetown, PE C0A 1L0",94142-Fish and seafood plant workers,Unknown,1,90
Prince Edward Island                                                       ,Primary Agriculture,101497 PEI Inc,"Cherry Valley, PE C0A 2E0",85101-Harvesting labourers,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",85103-Nursery and greenhouse labourers,Unknown,1,3
Prince Edward Island                                                       ,Primary Agriculture,Blue Bay Farms Ltd.,"Rustico, PE C0A 1N0",85101-Harvesting labourers,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",85101-Harvesting labourers,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture,G Visser & Sons Inc.,"Vernon Bridge, PE C0A 2E0",85101-Harvesting labourers,Unknown,8,22
Prince Edward Island                                                       ,Primary Agriculture,HILLTOP PRODUCE LTD,"Kinkora, PE C0B 1N0",85101-Harvesting labourers,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture,Island Acres Produce Ltd.,"North Tryon, PE C0B 1A0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,4
Prince Edward Island                                                       ,Primary Agriculture,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",85101-Harvesting labourers,Unknown,1,11
Prince Edward Island                                                       ,Primary Agriculture,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0",82030-Agricultural service contractors and farm supervisors,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,2
Prince Edward Island                                                       ,Primary Agriculture,Mackenzie Produce,"Stratford, PE C1B 2R7",85101-Harvesting labourers,Unknown,1,8
Prince Edward Island                                                       ,Primary Agriculture,Middleton Farms Ltd,"Kinkora, PE C0B 1N0",85101-Harvesting labourers,Unknown,1,4
Prince Edward Island                                                       ,Primary Agriculture,Mol Farms Inc.,"Kinkora, PE C0B 1N0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,1
Prince Edward Island                                                       ,Primary Agriculture,Port Hill Farm Inc,"Tyne Valley RR#1, PE C0B 2C0",85100-Livestock labourers,Unknown,1,1
Nova Scotia                                                                ,High Wage,11735390 Canada Inc,"Dartmouth, NS B3B 1B8","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1
Nova Scotia                                                                ,High Wage,15022312 CANADA INC.,"Middle Sackville, NS B4E 1S2",12200-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia                                                                ,High Wage,15263433 Canada Inc.,"Halifax, NS B3K 1H6",13110-Administrative assistants,Unknown,1,1
Nova Scotia                                                                ,High Wage,3296776 Nova Scotia Limited,"HALIFAX, NS B3J 3K3",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage,3334964 Nova Scotia Limited,"Halifax, NS B3L 4W4","63211-Estheticians, electrologists and related occupations",Unknown,1,2
Nova Scotia                                                                ,High Wage,4393017 Nova Scotia Limited,"Lower Sackville, NS B4C 2R8",72421-Appliance servicers and repairers,Unknown,1,1
Nova Scotia                                                                ,High Wage,BTTC (Canada) Incorporated,"Halifax, NS B3J 3R7",11201-Professional occupations in business management consulting,Unknown,1,1
Nova Scotia                                                                ,High Wage,Cumberland Appraisals,"Port Philip, NS B0K 1L0",75110-Construction trades helpers and labourers,Unknown,1,1
Nova Scotia                                                                ,High Wage,Dalhousie University,"Halifax, NS B3H 4R2",41200-University professors and lecturers,Unknown,3,3
Nova Scotia                                                                ,High Wage,Folded Architectural Finishes Ltd.,"Mt Uniacke, NS B0N 1Z0",75110-Construction trades helpers and labourers,Unknown,1,1
Nova Scotia                                                                ,High Wage,Genpact Canada Services Company,"Halifax, NS B3J 3R7",21222-Information systems specialists,Corporation,1,1
Nova Scotia                                                                ,High Wage,Grind Contracting LTD,"East Lawerencetown, NS B2Z 1P1",73110-Roofers and shinglers,Unknown,1,1
Nova Scotia                                                                ,High Wage,HFX FOODHUB INC.,"Halifax, NS B3K 4T8",60030-Restaurant and food service managers,Unknown,1,1
Nova Scotia                                                                ,High Wage,HFX FOODHUB INC.,"Halifax, NS B3K 4T8",62020-Food service supervisors,Unknown,1,1
Nova Scotia                                                                ,High Wage,HostOften Inc,"Dartmouth, NS B2Y 1M5",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage,INDIAN GROCERIES INC.,"Halifax, NS B3K 4N5",62010-Retail sales supervisors,Unknown,1,1
Nova Scotia                                                                ,High Wage,JFJ Construction LTD,"Dartmouth, NS B3B 1T2",13110-Administrative assistants,Unknown,1,1
Nova Scotia                                                                ,High Wage,Keddy Quality Foundations,"Aylesford, NS B0P 1C0",73100-Concrete finishers,Unknown,1,2
Nova Scotia                                                                ,High Wage,LCK Consulting Group Limited,"Halifax, NS B3J  3N",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage,LEI FONG HONG GOODS DISTRIBUTOR INC.,"HALIFAX, NS B3J 3K3",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage,New Broadway Foods Inc.,"Sydney, NS B1N 1M9",62010-Retail sales supervisors,Unknown,1,1
Nova Scotia                                                                ,High Wage,Om Bayers Lake Inc.,"Halifax, NS B3S 1C8",60030-Restaurant and food service managers,Unknown,1,2
Nova Scotia                                                                ,High Wage,Pinnacle Construction Limited,"Dartmouth, NS B2Y 0E7",12102-Procurement and purchasing agents and officers,Unknown,1,1
Nova Scotia                                                                ,High Wage,Promising International Education Group,"Halifax, NS B3J 3T4",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage,R. N. Apex Solutions Ltd,"Dartmouth, NS B3B 1L1","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1
Nova Scotia                                                                ,High Wage,RIVERTON GUEST HOME CORPORATION,"RR 1 STELLARTON, NS B0K 1S0",31301-Registered nurses and registered psychiatric nurses,Unknown,1,1
Nova Scotia                                                                ,High Wage,Scotia Curry LTD.,"Hubbards, NS B0J 1T0",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,High Wage,Scotia Structures Incorporated,"Halifax, NS B3K 5C4",72310-Carpenters,Unknown,1,2
Nova Scotia                                                                ,High Wage,Seacoast Marine Electronics Ltd,"Halifax, NS B3S 1A7",22310-Electrical and electronics engineering technologists and technicians,Unknown,1,1
Nova Scotia                                                                ,High Wage,Sobeys Capital Incorporée,"Stellarton, NS B0K 1S0",73300-Transport truck drivers,Unknown,1,3
Nova Scotia                                                                ,High Wage,T&Z CONSULTING LIMITED,"Halifax, NS B3N 3J1",13110-Administrative assistants,Unknown,1,1
Nova Scotia                                                                ,High Wage,Tried & True Builders Ltd,"Kentville, NS B4N 2K5",72310-Carpenters,Unknown,1,1
Nova Scotia                                                                ,High Wage,V.SomasekaramDDS Incorporated,"Windsor, NS B0N 2T0",13100-Administrative officers,Unknown,1,1
Nova Scotia                                                                ,High Wage,V.SomasekaramDDS Incorporated,"Windsor, NS B0N 2T0",14101-Receptionists,Unknown,1,2
Nova Scotia                                                                ,High Wage,VC Courier Service Inc.,"Halifax, NS B3M 4V6",74102-Couriers and messengers,Unknown,1,2
Nova Scotia                                                                ,High Wage,Waterview Machine Works Limited,"Yarmouth, NS B5A 1M9",72106-Welders and related machine operators,Unknown,1,1
Nova Scotia                                                                ,Low Wage, WASABI HOUSE RESTAURANT LTD.,"Halifax, NS B3L 1A7","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia                                                                ,Low Wage,1213461 Ontario Limited,"Middleton, NS B0S 1P0",63200-Cooks,Unknown,1,2
Nova Scotia                                                                ,Low Wage,1431136 NOVA SCOTIA LIMITED,"Dartmouth, NS B3A 4N3",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage,1431136 NOVA SCOTIA LIMITED,"Dartmouth, NS B3A 4N3","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia                                                                ,Low Wage,2317302 NS Ltd,"Halifax, NS B3J 1W4",63200-Cooks,Unknown,1,2
Nova Scotia                                                                ,Low Wage,3110433 Nova Scotia Ltd.,"Halifax, NS B3J 3R4",63200-Cooks,Unknown,2,3
Nova Scotia                                                                ,Low Wage,3280608 Nova Scotia Limited,"Bedford, NS B4B 0H1",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage,3316491 Nova Scotia Limited,"Halifax, NS B3J 1Z4",13110-Administrative assistants,Unknown,1,1
Nova Scotia                                                                ,Low Wage,3344150 Nova Scotia Limited,"Halifax, NS B3J 3Z4",63200-Cooks,Unknown,2,2
Nova Scotia                                                                ,Low Wage,4201561 Nova Scotia Limited,"Fall River, NS B2T 1J5",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage,4418604 NS Ltd,"Chester Basin, NS B0J 1K0",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage,4430414 Nova Scotia Limited,"Glace Bay, NS B1A 5G7",64100-Retail salespersons and visual merchandisers,Unknown,1,1
Nova Scotia                                                                ,Low Wage,4530432 NOVA SCOTIA LIMITED,"Bedford, NS B4A 3Z5",63200-Cooks,Unknown,1,2
Nova Scotia                                                                ,Low Wage,4536760 NOVA SCOTIA LIMITED,"Bedford, NS B4A 3Z5",65329-Other service support occupations,Unknown,1,1
Nova Scotia                                                                ,Low Wage,4544086 NOVA SCOTIA LIMITED,"Barrington Passage, NS B0W 1G0",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage,4544086 NOVA SCOTIA LIMITED,"Barrington Passage, NS B0W 1G0",63202-Bakers,Unknown,1,1
Nova Scotia                                                                ,Low Wage,604 Drywall ltd.,"Halifax, NS B3M 2L8",75110-Construction trades helpers and labourers,Unknown,1,2
Nova Scotia                                                                ,Low Wage,631629 NB Inc,"Dartmouth, NS B3B 1X7","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia                                                                ,Low Wage,7109938 Canada Ltd.,"Bridgewater, NS B4V 3T2",63210-Hairstylists and barbers,Unknown,4,5
Nova Scotia                                                                ,Low Wage,Adam SG Bower Enterprises Limited,"Lunenburg, NS B0J 2C0",63200-Cooks,Unknown,1,3
Nova Scotia                                                                ,Low Wage,Aquashell Holdings Company,"Wallace, NS B0K 1Y0",94142-Fish and seafood plant workers,Unknown,1,60
Nova Scotia                                                                ,Low Wage,Arjenam foods ltd.,"Digby, NS B0V 1A0",62020-Food service supervisors,Unknown,3,5
Nova Scotia                                                                ,Low Wage,Arjenam foods ltd.,"Digby, NS B0V 1A0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,2,4
Nova Scotia                                                                ,Low Wage,BLUEMOUNT GROUP LIMITED,"Dartmouth, NS B3A 1M9",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage,Buta Ramen Inc.,"Halifax, NS B3J 1B3",63200-Cooks,Unknown,1,2
Nova Scotia                                                                ,Low Wage,Cameron Seafoods Company,"Centreville, NS B0P 1J0",94142-Fish and seafood plant workers,Unknown,1,7
Nova Scotia                                                                ,Low Wage,Captain's Choice Lobster Limited,"Lower West Pubnico, NS B0W 2C0",95107-Labourers in fish and seafood processing,Unknown,1,10
Nova Scotia                                                                ,Low Wage,Celine Nails,"New Glasgow, NS B2H 2J6","63211-Estheticians, electrologists and related occupations",Unknown,2,2
Nova Scotia                                                                ,Low Wage,Chef Abod Cafe and Catering,"halifax, NS B3K 4X2",62020-Food service supervisors,Unknown,1,1
Nova Scotia                                                                ,Low Wage,D2D Restaurant Inc,"Truro, NS B2N 1G7","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Nova Scotia                                                                ,Low Wage,Dakota Holdings,"Coldbrook, NS B4R 1A2",62020-Food service supervisors,Unknown,1,1
Nova Scotia                                                                ,Low Wage,Dakota Holdings,"Coldbrook, NS B4R 1A2","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,2,2
Nova Scotia                                                                ,Low Wage,Deep Cove Aqua Farms Limited,"Blandford, NS B0J 1T0",94142-Fish and seafood plant workers,Unknown,1,13
Nova Scotia                                                                ,Low Wage,Double C Truck Stop Ltd.,"Debert, NS B0M 1G0",63200-Cooks,Unknown,1,2
Nova Scotia                                                                ,Low Wage,East Coast Pizza Ltd,"Antigonish, NS B2G 2E3",62020-Food service supervisors,Unknown,1,1
Nova Scotia                                                                ,Low Wage,East Coast Pizza Ltd,"Antigonish, NS B2G 2E3",63200-Cooks,Unknown,2,5
Nova Scotia                                                                ,Low Wage,Fisherman's Market International Incorporated,"Halifax, NS B3M 2L6",95107-Labourers in fish and seafood processing,Unknown,2,14
Nova Scotia                                                                ,Low Wage,Georges Youssef Investment Ltd,"Port Hawkesbury, NS B9A 2R6",60030-Restaurant and food service managers,Unknown,1,2
Nova Scotia                                                                ,Low Wage,GTL Transportation Inc,"Dartmouth, NS B3B 1V6",73300-Transport truck drivers,Unknown,1,5
Nova Scotia                                                                ,Low Wage,HABANEROS MODERN TACO BAR LTD.,"Dartmouth, NS B3B 1B5",63200-Cooks,Unknown,3,5
Nova Scotia                                                                ,Low Wage,Halifax Tower Hotel Ltd.,"Halifax, NS B3S 1A2",62024-Cleaning supervisors,Unknown,1,1
Nova Scotia                                                                ,Low Wage,Halifax Tower Hotel Ltd.,"Halifax, NS B3S 1A2",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage,Halifax Tower Hotel Ltd.,"Halifax, NS B3S 1A2",65310-Light duty cleaners,Unknown,1,2
Nova Scotia                                                                ,Low Wage,HFX FOODHUB INC.,"Halifax, NS B3K 4T8","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Nova Scotia                                                                ,Low Wage,HRM Hemlock Holding Inc,"Bedford, NS B3M 0G2",63210-Hairstylists and barbers,Unknown,1,8
Nova Scotia                                                                ,Low Wage,HS Restaurant Holdings,"Dartmouth, NS B3B 0M9",63200-Cooks,Unknown,1,3
Nova Scotia                                                                ,Low Wage,J.M.P Sayles Holdings Inc.,"Windsor, NS B0N 2T0",62020-Food service supervisors,Unknown,2,4
Nova Scotia                                                                ,Low Wage,J-CAT Enterprises Limited,"Port Hawkesbury, NS B9A 2R6",63200-Cooks,Unknown,1,2
Nova Scotia                                                                ,Low Wage,JFJ Construction LTD,"Dartmouth, NS B3B 1T2",75110-Construction trades helpers and labourers,Unknown,1,1
Nova Scotia                                                                ,Low Wage,Jibro Enterprise Inc,"Halifax, NS B3J 3T1",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage,JRM 277 Investments Ltd.,"Truro, NS B2N 5A4","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,2,6
Nova Scotia                                                                ,Low Wage,K-BEAUTY SALON INC,"Halifax, NS B3L 1A4",63210-Hairstylists and barbers,Unknown,1,1
Nova Scotia                                                                ,Low Wage,Lealin Ltd,"Halifax, NS B3M 3P6",62020-Food service supervisors,Unknown,1,1
Nova Scotia                                                                ,Low Wage,Les Entreprises Samson Enterprises Ltee,"Pondville, NS B0E 1K0","94212-Plastic products assemblers, finishers and inspectors",Unknown,1,2
Nova Scotia                                                                ,Low Wage,Lismore Seafoods Company,"Lismore, NS B0K 1G0",94142-Fish and seafood plant workers,Unknown,1,52
Nova Scotia                                                                ,Low Wage,Liu&meng investment inc.,"Halifax, NS B3J 2H7",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage,Louisbourg Seafoods Limited,"Louisbourg, NS B1C 1B5",94142-Fish and seafood plant workers,Unknown,1,50
Nova Scotia                                                                ,Low Wage,Luxe Cleaning & Organizing Ltd.,"Halifax, NS B3M 0H3",65310-Light duty cleaners,Unknown,2,2
Nova Scotia                                                                ,Low Wage,NS KT Foods Inc.,"Halifax, NS B3L 2H8","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Nova Scotia                                                                ,Low Wage,panada pizza,"dartmouth, NS B3A 4T3","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,4
Nova Scotia                                                                ,Low Wage,Petit de Grat Packers Ltd.,"Petit de Grat, NS B0E 2L0",94142-Fish and seafood plant workers,Unknown,1,58
Nova Scotia                                                                ,Low Wage,PYC NOODLE SHOP LTD.,"Halifax, NS B3H 1J4",63200-Cooks,Unknown,1,1
Nova Scotia                                                                ,Low Wage,PYC NOODLE SHOP LTD.,"Halifax, NS B3H 1J4","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
