"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, April to June 2022",b,c,d,e,f,g,h
Newfoundland and Labrador,   Low Wage,I.C. Pizza House Inc.,"PARADISE, NL A1L 1S6",6322-Cooks,Unknown,2,4
Newfoundland and Labrador,   Low Wage,Jungle Jim's Restaurant,"St. John's, NL A1E 2E3",6322-Cooks,Unknown,1,2
Newfoundland and Labrador,   Low Wage,Lester Lube Inc.,"Mount Pearl, NL A1N 5E7",7535-Other automotive mechanical installers and servicers,Unknown,1,1
Newfoundland and Labrador,   Low Wage,Louis Gee's Pizza & Donairs,"CORNER BROOK, NL A2H 2Z3",6322-Cooks,Unknown,1,4
Newfoundland and Labrador,   Low Wage,MDH Enterprises Inc,"Gander, NL A1V 2E1",6322-Cooks,Unknown,1,1
Newfoundland and Labrador,   Low Wage,Nor-Lab Ltd,"Happy Valley-Goose Bay, NL A0P 1E0",6322-Cooks,Unknown,1,2
Newfoundland and Labrador,   Low Wage,S&J Investments Inc.,"Holyrood, NL A0A 2R0",6311-Food service supervisors,Unknown,1,1
Newfoundland and Labrador,  Primary Agriculture,New World Dairy Inc,"St. David's, NL A0N 1X0",8431-General farm workers,Unknown,1,8
Newfoundland and Labrador,  Primary Agriculture,Viking Fur Inc.,"Cavendish, NL A0B 1J0",8431-General farm workers,Unknown,1,6
Prince Edward Island,    High Wage,9483527 Canada Inc,"Charlottetown, PE C1E 3K2",1223-Human resources and recruitment officers,Unknown,1,2
Prince Edward Island,    High Wage,Business Porters Inc.,"Charlottetown, PE C1E 0E4",7511-Transport truck drivers,Unknown,1,5
Prince Edward Island,    High Wage,Seafood Express (PEI) Limited,"Charlottetown, PE C1E 3M9",7511-Transport truck drivers,Unknown,1,14
Prince Edward Island,    High Wage,Tasty Indian Cuisine Inc.,"Charlottetown, PE C1A 1N4",6322-Cooks,Unknown,1,1
Prince Edward Island,   Low Wage,101407 pei inc,"Summerside, PE C1N 1B2",6322-Cooks,Unknown,1,1
Prince Edward Island,   Low Wage,101775 PEI Inc.,"Charlottetown, PE C1A 4B1",6322-Cooks,Unknown,1,1
Prince Edward Island,   Low Wage,Atlantic Beef Products Inc.,"Albany, PE C0B 1A0","9462-Industrial butchers and meat cutters, poultry preparers and related workers",Unknown,1,10
Prince Edward Island,   Low Wage,Belle River Enterprises Ltd,"Belle River, PE C0A 1B0",9463-Fish and seafood plant workers,Unknown,1,5
Prince Edward Island,   Low Wage,Bombay Cuisine Inc,"Charlottetown, PE C1A 4M8",6322-Cooks,Unknown,1,1
Prince Edward Island,   Low Wage,By the Water Shellfish (2012) Inc,"Borden Carleton, PE C0B 1X0",9618-Labourers in fish and seafood processing,Unknown,1,26
Prince Edward Island,   Low Wage,Captain Cooke's Seafood Inc,"Borden Carleton, PE C0B 1X0",9463-Fish and seafood plant workers,Unknown,1,70
Prince Edward Island,   Low Wage,Chapman Bros. Construction Ltd.,"Souris, PE C0A 2B0",7611-Construction trades helpers and labourers,Unknown,2,4
Prince Edward Island,   Low Wage,D & D Brothers Investment Group Limited,"Cornwall, PE C0A 1H8",6311-Food service supervisors,Unknown,1,1
Prince Edward Island,   Low Wage,Island Retail Group Limited,"Charlottetown, PE C1A 8R8",6341-Hairstylists and barbers,Unknown,1,1
Prince Edward Island,   Low Wage,J.P. MacPhee & Co. Ltd.,"Souris, PE C0A 2B0",6332-Bakers,Unknown,1,1
Prince Edward Island,   Low Wage,Maritime Select Lobster Inc.,"Alberton, PE C0B 1B0",9618-Labourers in fish and seafood processing,Unknown,1,10
Prince Edward Island,   Low Wage,North Lake Fisheries (2013) Inc.,"Elmira, PE C0A 1K0",9463-Fish and seafood plant workers,Unknown,1,40
Prince Edward Island,   Low Wage,Perrys Construction Ltd.,"Tignish, PE C0B 2B0",7611-Construction trades helpers and labourers,Unknown,1,10
Prince Edward Island,   Low Wage,Royal Star Foods Ltd,"Tignish, PE C0B 2B0",9463-Fish and seafood plant workers,Unknown,1,85
Prince Edward Island,   Low Wage,Seafood 2000 Ltd.,"Georgetown, PE C0A 1L0",9463-Fish and seafood plant workers,Unknown,2,36
Prince Edward Island,   Low Wage,South Shore Seafoods Ltd.,"Bloomfield, PE C0B 1E0",9463-Fish and seafood plant workers,Unknown,2,147
Prince Edward Island,   Low Wage,TIGNISH CO-OPERATIVE ASSN LTD,"Tignish, PE C0B 2B0","6331-Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1,1
Prince Edward Island,   Low Wage,TIGNISH CO-OPERATIVE ASSN LTD,"Tignish, PE C0B 2B0",6332-Bakers,Unknown,1,1
Prince Edward Island,   Low Wage,Trout River Industries Inc.,"Coleman, PE C0B 1H0","9619-Other labourers in processing, manufacturing and utilities",Unknown,1,7
Prince Edward Island,  Primary Agriculture,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0",8431-General farm workers,Unknown,2,3
Prince Edward Island,  Primary Agriculture,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",8431-General farm workers,Unknown,1,1
Prince Edward Island,  Primary Agriculture,Bill and Stanley Oyster Company Inc.,"Orwell Cove, PE C0A 2E0",8431-General farm workers,Unknown,1,10
Prince Edward Island,  Primary Agriculture,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",8431-General farm workers,Unknown,1,2
Prince Edward Island,  Primary Agriculture,D & E Pork Inc.,"Albany, PE C0B 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,2
Prince Edward Island,  Primary Agriculture,Hakkers Produce Inc,"BELFAST, PE C0A 1A0",8431-General farm workers,Unknown,1,6
Prince Edward Island,  Primary Agriculture,Hy-Croft Farms Inc.,"Summerside, PE C1N 4V4",8431-General farm workers,Unknown,3,14
Prince Edward Island,  Primary Agriculture,Jai Estates Canada Incorporated,"Hazelbrook, PE C1B 3P3",8431-General farm workers,Unknown,1,4
Prince Edward Island,  Primary Agriculture,KINKORA HOLDINGS INC,"KINKORA, PE C0B 1N0",8611-Harvesting labourers,Unknown,1,2
Prince Edward Island,  Primary Agriculture,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",8611-Harvesting labourers,Unknown,1,15
Prince Edward Island,  Primary Agriculture,Mid Isle Farms Inc.,"Albany, PE C0B 1A0",8431-General farm workers,Unknown,1,8
Prince Edward Island,  Primary Agriculture,Pure Pork Farms Ltd.,"Mount Albion, PE C1B 4B3",8431-General farm workers,Unknown,1,6
Prince Edward Island,  Primary Agriculture,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",8431-General farm workers,Unknown,2,51
Prince Edward Island,  Primary Agriculture,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",8431-General farm workers,Unknown,2,5
Prince Edward Island,  Primary Agriculture,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",8431-General farm workers,Unknown,2,8
Prince Edward Island, Global Talent Stream,101603 PEI Inc.,"Charlottetown, PE C1A 4B6",2174-Computer programmers and interactive media developers,Unknown,1,1
Nova Scotia,    High Wage,2241507 ONTARIO INC,"Dartmouth, NS B3B 1R6",1241-Administrative assistants,Unknown,1,1
Nova Scotia,    High Wage,3297860 Nova Scotia Limited,"Halifax, NS B3L 1C4",1221-Administrative officers,Unknown,1,1
Nova Scotia,    High Wage,3299012 Nova Scotia Limited,"Hacketts Cove, NS B3Z 3J3",6322-Cooks,Unknown,1,1
Nova Scotia,    High Wage,3331090 Nova Scotia Limited,"Yarmouth, NS B5A 3H4",6311-Food service supervisors,Unknown,1,2
Nova Scotia,    High Wage,3331090 Nova Scotia Limited,"Yarmouth, NS B5A 3H4",6322-Cooks,Unknown,1,2
Nova Scotia,    High Wage,Aqua Production Systems Inc.,"Westville, NS B0K 2A0",7313-Refrigeration and air conditioning mechanics,Unknown,1,1
Nova Scotia,    High Wage,Atlantic Hardchrome Limited,"Dartmouth, NS B3B 1N2",9417-Machining tool operators,Unknown,1,1
Nova Scotia,    High Wage,BK KOREAN FOOD LTD.,"Halifax, NS B3J 2J2",1311-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia,    High Wage,Brycon Construction Limited,"Dartmouth, NS B2Y 4P4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2
Nova Scotia,    High Wage,CLUTCH CANADA INC.,"Bedford, NS B4A 2Z5",0621-Retail and wholesale trade managers,Unknown,1,1
Nova Scotia,    High Wage,COLLABORATE IT SOLUTIONS INC,"Halifax, NS B3J 3N2",2174-Computer programmers and interactive media developers,Unknown,1,1
Nova Scotia,    High Wage,Dalhousie University,"Halifax, NS B3H 4H2",4011-University professors and lecturers,Unknown,1,1
Nova Scotia,    High Wage,Dexter Construction Company Ltd.,"Bedford, NS B4A 3Z2",0211-Engineering managers,Unknown,1,1
Nova Scotia,    High Wage,Dexter Construction Company Ltd.,"Bedford, NS B4A 3Z2",7521-Heavy equipment operators (except crane),Unknown,1,1
Nova Scotia,    High Wage,Dundee Resort & Golf Club ULC,"West Bay, NS B0E 3K0",2281-Computer network technicians,Unknown,1,1
Nova Scotia,    High Wage,GPC Investments Limited cob Comfort Inn Halifax,"Halifax, NS B3M 2L8",1311-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia,    High Wage,Grico Transport Inc,"Bedford, NS B4B 0Y3",7511-Transport truck drivers,Unknown,1,2
Nova Scotia,    High Wage,Installed Glazing Ltd,"Elmsdale, NS B2S 1A4",7292-Glaziers,Unknown,1,4
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0113-Purchasing managers,Unknown,1,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0114-Other administrative services managers,Unknown,1,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0211-Engineering managers,Unknown,1,2
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0911-Manufacturing managers,Unknown,1,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",2141-Industrial and manufacturing engineers,Unknown,1,1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",7235-Structural metal and platework fabricators and fitters,Unknown,2,30
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",7237-Welders and related machine operators,Unknown,1,20
Nova Scotia,    High Wage,Jeramy's Small Boats Repair & Fishing Limited,"Tusket, NS B0W 3M0","9227-Supervisors, other products manufacturing and assembly",Unknown,1,1
Nova Scotia,    High Wage,Kabayan Foodmart Inc,"Dartmouth, NS B3A 1M6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1
Nova Scotia,    High Wage,Like Frozen Food Ltd.,"Dartmouth, NS B3B 1R9","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Nova Scotia,    High Wage,M & M Developments Ltd,"Enfield, NS B2T 1H9",1224-Property administrators,Unknown,1,1
Nova Scotia,    High Wage,Mico Tile and Concrete Inc.,"Halifax, NS B3M 1J9",7283-Tilesetters,Unknown,1,1
Nova Scotia,    High Wage,NORTHSTAR TRANSPORT INC,"Dartmouth, NS B3B 1W2",7511-Transport truck drivers,Unknown,1,5
Nova Scotia,    High Wage,"Planetary Technologies, Inc.","Dartmouth, NS B2Y 4W6",2112-Chemists,Unknown,1,1
Nova Scotia,    High Wage,Portland Custom Millwork Limited,"Dartmouth, NS B3B 1S3","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Nova Scotia,    High Wage,Sacred Heart School of Halifax,"Halifax, NS B3H 1X8",0422-School principals and administrators of elementary and secondary education,Unknown,1,1
Nova Scotia,    High Wage,Scotia Structures Incorporated,"Halifax, NS B3K 5C4",7271-Carpenters,Unknown,1,2
Nova Scotia,    High Wage,Sobeys Inc.,"Stellarton, NS B0K 0A2",6211-Retail sales supervisors,Unknown,2,2
Nova Scotia,    High Wage,Sobeys Inc.,"Stellarton, NS B0K 0A2","6331-Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,2,2
Nova Scotia,   Low Wage,12020378 Canada Incorporated,"Halifax, NS B3K 0G2",6322-Cooks,Corporation,1,1
Nova Scotia,   Low Wage,3099794 Nova Scotia Ltd.,"Enfield, NS B2T 1C8",6322-Cooks,Unknown,2,9
Nova Scotia,   Low Wage,3186255 Nova Scotia Limited,"Middle Sackville, NS B4E 2W8",6211-Retail sales supervisors,Unknown,1,1
Nova Scotia,   Low Wage,3253587 Nova Scotia Limited,"Bedford, NS B4A 1B5",6322-Cooks,Unknown,1,3
Nova Scotia,   Low Wage,3287786 NOVA SCOTIA LTD,"Halifax, NS B3M 2L8",0631-Restaurant and food service managers,Unknown,1,1
Nova Scotia,   Low Wage,3290188 NS limited,"Halifax, NS B3M 3Y7",1311-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia,   Low Wage,3296210 NOVA SCOTIA LIMITED,"TIMBERLEA, NS B3T 0J1",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,3300590 Nova Scotia Limited,"Halifax, NS B3J 1Y2",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,3311543 Nova Scotia Limited,"Halifax, NS B3L 1A4",6211-Retail sales supervisors,Unknown,1,1
Nova Scotia,   Low Wage,3343574 Nova Scotia Limited,"Halifax, NS B3K 4C1",6311-Food service supervisors,Unknown,1,1
Nova Scotia,   Low Wage,3343574 Nova Scotia Limited,"Halifax, NS B3K 4C1",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,631629 NB Inc,"Dartmouth, NS B3B 1X7",6731-Light duty cleaners,Unknown,1,5
Nova Scotia,   Low Wage,9496971 CANADA INC.,"Bedford, NS B4B 1J7",1311-Accounting technicians and bookkeepers,Unknown,1,1
Nova Scotia,   Low Wage,Acadian Fish Processors Ltd.,"Lower West Pubnico, NS B0W 2C0",9463-Fish and seafood plant workers,Unknown,1,6
Nova Scotia,   Low Wage,Adcor Marketing Limited,"yarmouth, NS B5A 2T6",6311-Food service supervisors,Unknown,1,2
Nova Scotia,   Low Wage,Adda Indian Eatery INC.,"Halifax, NS B3J 3M7",6321-Chefs,Unknown,1,1
Nova Scotia,   Low Wage,Amherst Pizza & Donair,"Amherst, NS B4X 2H2",6322-Cooks,Unknown,1,2
Nova Scotia,   Low Wage,Apple Valley Foods Inc,"Kentville, NS B4N 3V7","9617-Labourers in food, beverage and associated products processing",Unknown,1,45
Nova Scotia,   Low Wage,ATLANTIC QUALITY PAINTING AND MAINTENANCE SERVICES LTD.,"Halifax, NS B3T 1H1",7295-Floor covering installers,Unknown,1,3
Nova Scotia,   Low Wage,B&G Innkeepers Ltd,"Halifax, NS B3K 2R9",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,Benco Foods Limited,"Upper Tantallon, NS B3Z 1H3",6311-Food service supervisors,Unknown,1,1
Nova Scotia,   Low Wage,Best Star Restaurants Inc,"Truro, NS B2N 1H6",6311-Food service supervisors,Unknown,1,1
Nova Scotia,   Low Wage,BOMBAY BISTRO PIZZA & RESTAURANT,"HALIFAX, NS B3M 0N7",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,Brycon Construction Limited,"Dartmouth, NS B2Y 4P4",7611-Construction trades helpers and labourers,Unknown,1,5
Nova Scotia,   Low Wage,Cape d'Or Sustainable Seafoods Inc.,"Advocate Harbour, NS B0M 1A0",9463-Fish and seafood plant workers,Unknown,1,2
Nova Scotia,   Low Wage,chef abod cafe and catering,"halifax, NS B3K 4X2",6322-Cooks,Unknown,1,2
Nova Scotia,   Low Wage,Clarks Harbour Seafood Ltd,"Clarks Harbour, NS B0W 1P0",9463-Fish and seafood plant workers,Unknown,1,30
Nova Scotia,   Low Wage,DJAJ Property Ltd.,"Halifax, NS B3L 1L2",6322-Cooks,Unknown,1,2
Nova Scotia,   Low Wage,Doucet Fisheries Limited,"Comeauville, NS B0W 2Z0",9463-Fish and seafood plant workers,Unknown,1,4
Nova Scotia,   Low Wage,East Coast Wild Blueberry Limited,"Great Village, NS B0M 1L0","9619-Other labourers in processing, manufacturing and utilities",Unknown,1,16
Nova Scotia,   Low Wage,Fisher Direct LTD,"Shelburne County, NS B0W 3B0",9618-Labourers in fish and seafood processing,Unknown,1,24
Nova Scotia,   Low Wage,Gerret Enterprises Incorporated,"Clark's Harbour, NS B0W 1P0",9618-Labourers in fish and seafood processing,Unknown,1,8
Nova Scotia,   Low Wage,Granville Gates and Sons Ltd,"Blandford, NS B0J 1C0",9463-Fish and seafood plant workers,Unknown,1,4
Nova Scotia,   Low Wage,Hailmar Investments Ltd.,"Lockeport, NS B0T 1L0",9618-Labourers in fish and seafood processing,Unknown,1,8
Nova Scotia,   Low Wage,HRM Hemlock Holding Inc,"Bedford, NS B3M 0G2",6341-Hairstylists and barbers,Unknown,1,2
Nova Scotia,   Low Wage,Independent Fisheries Limited,"Sable River, NS B0T 1V0",9618-Labourers in fish and seafood processing,Unknown,1,6
Nova Scotia,   Low Wage,L.J. Robicheau & Son Fisheries Limited,"Middleton, NS B0S 1P0",9463-Fish and seafood plant workers,Unknown,2,50
Nova Scotia,   Low Wage,Lanire Holdings Incorporated,"Dartmouth, NS B3A 4N3",6341-Hairstylists and barbers,Unknown,1,2
Nova Scotia,   Low Wage,LIGHTHOUSE RESTAURANT LIMITED,"ANTIGONISH, NS B2G 2L4",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,Louisbourg Seafoods Limited,"Louisbourg, NS B1C 1B5",9463-Fish and seafood plant workers,Unknown,1,15
Nova Scotia,   Low Wage,M.J.N.J Investments Ltd,"Lunenburg, NS B0J 2C0",6311-Food service supervisors,Unknown,4,5
Nova Scotia,   Low Wage,MAKHANI INDIAN RESTAURANT INC.,"Bedford, NS B4A 3Y4",6311-Food service supervisors,Unknown,1,1
Nova Scotia,   Low Wage,MCLEAN'S SERVICE CENTER LIMITED,"Newport, NS B0N 2A0",6211-Retail sales supervisors,Unknown,2,4
Nova Scotia,   Low Wage,Middle Eats Lebanese Cuisine Ltd,"Lower Sackville, NS B4E 1S1",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,Naji Fine Foods Ltd.,"Halifax, NS B3S 1P9",6322-Cooks,Unknown,1,2
Nova Scotia,   Low Wage,Naru Japanese Restaurant (NS) Ltd.,"Sydney, NS B1P 1G8",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,North By Northeast foods Inc,"Blandford, NS B0J 1T0",9463-Fish and seafood plant workers,Unknown,1,20
Nova Scotia,   Low Wage,NOVA SCOTIA LIMITED,"LAWRENCE TOWN, NS B2Z 1V6",6311-Food service supervisors,Unknown,2,2
Nova Scotia,   Low Wage,Ocean Pride Fisheries Ltd.,"Lower Wedgeport, NS B0W 2B0",9618-Labourers in fish and seafood processing,Unknown,2,25
Nova Scotia,   Low Wage,OCEANS EDGE SEAFOODS LTD.,"SALMON RIVER, NS B0W 2Y0",9463-Fish and seafood plant workers,Unknown,1,4
Nova Scotia,   Low Wage,Palis Investments Limited,"Lower Sackville, NS B4C 2S4",6322-Cooks,Unknown,1,3
Nova Scotia,   Low Wage,Premiere Executive Suites/Atlantic Limited,"Halifax, NS B3J 3Z3",6312-Executive housekeepers,Unknown,1,1
Nova Scotia,   Low Wage,Quality Seafoods Limited,"Yarmouth, NS B5A 4B3",9618-Labourers in fish and seafood processing,Unknown,1,5
Nova Scotia,   Low Wage,Rumcache Forest Solutions Inc.,"Enfield, NS B2T 0S4",2225-Landscape and horticulture technicians and specialists,Unknown,1,1
Nova Scotia,   Low Wage,Scanway Catering Ltd,"Halifax, NS B3J 3K5",6321-Chefs,Unknown,1,1
Nova Scotia,   Low Wage,Scott and Stewart Forestry Consultants Ltd.,"St. Andrews, NS B0H 1X0",8432-Nursery and greenhouse workers,Unknown,1,8
Nova Scotia,   Low Wage,Sea Star Seafoods Limited,"Clarks Harbour, NS B0W 1P0",9463-Fish and seafood plant workers,Unknown,1,10
Nova Scotia,   Low Wage,Spice Hub Indian Kitchen inc,"Dartmouth, NS B2W 3V4",6322-Cooks,Unknown,1,1
Nova Scotia,   Low Wage,TAKO SUSHI & RAMEN RESTAURANT LIMITED,"Bedford, NS B4A 0B8",6322-Cooks,Unknown,1,2
Nova Scotia,   Low Wage,Tomcat Holdings Ltd.,"Upper Tantallon, NS B3Z 4R2",6311-Food service supervisors,Unknown,3,4
Nova Scotia,   Low Wage,Turkuaz Restaurant Limited,"Halifax, NS B4A 0J1",6322-Cooks,Unknown,1,2
Nova Scotia,   Low Wage,Van Dyk's Health Juice Products Ltd.,"Queens Co, NS B0T 1B0","9617-Labourers in food, beverage and associated products processing",Unknown,1,1
Nova Scotia,   Low Wage,WEARWELL GARMENTS LIMITED,"STELLARTON, NS B0K 1S0",9446-Industrial sewing machine operators,Unknown,1,2
Nova Scotia,   Low Wage,Williams Brothers (2013) Ltd,"Barneys River Station, NS B0K 1A0","9614-Labourers in wood, pulp and paper processing",Unknown,1,2
Nova Scotia,  Primary Agriculture,Beaver Creek Winnery Limited,"Lawrencetown, NS B0S 1M0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,5
Nova Scotia,  Primary Agriculture,Beaver Creek Winnery Limited,"Lawrencetown, NS B0S 1M0",8431-General farm workers,Unknown,1,25
Nova Scotia,  Primary Agriculture,Birchleigh Farms LTD.,"Berwick, NS B0P 1E0",8431-General farm workers,Unknown,1,6
Nova Scotia,  Primary Agriculture,CAP Farms Inc,"Grafton, NS B0P 1V0",8431-General farm workers,Unknown,2,16
Nova Scotia,  Primary Agriculture,Craig Nichols Farms Limited,"Aylesford, NS B0P 1C0",8431-General farm workers,Unknown,1,26
Nova Scotia,  Primary Agriculture,Crisp Growers Incorporated,"Berwick, NS B0P 1E0",8431-General farm workers,Unknown,1,36
Nova Scotia,  Primary Agriculture,Elmridge Farm Ltd,"RR2 Centreville, NS B0P 1J0",8431-General farm workers,Unknown,1,1
Nova Scotia,  Primary Agriculture,Evangeline Orchards Limited,"Port Williams, NS B0P 1T0",8431-General farm workers,Unknown,1,4
Nova Scotia,  Primary Agriculture,Fuller Brothers Farms Inc.,"Avonport, NS B0P 1B0",8431-General farm workers,Corporation,1,10
Nova Scotia,  Primary Agriculture,G & C Hughes Enterprises Limited,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,Unknown,1,5
Nova Scotia,  Primary Agriculture,G.A.R. Tree Farms Ltd,"Barss Corner, NS B0R 1A0",8432-Nursery and greenhouse workers,Unknown,2,23
Nova Scotia,  Primary Agriculture,High Point Orchards LTD.,"Kentville, NS B4N 3V7",8431-General farm workers,Unknown,1,21
Nova Scotia,  Primary Agriculture,LUTZ FAMILY FARM LTD,"Berwick, NS B0P 1E0",8611-Harvesting labourers,Unknown,1,6
Nova Scotia,  Primary Agriculture,Morning Light Farm Limited,"Wittenburg, NS B0N 2J0",8431-General farm workers,Unknown,1,1
Nova Scotia,  Primary Agriculture,Noggins Corner Farm II Ltd.,"Greenwich, NS B4P 2R2",8431-General farm workers,Unknown,1,2
Nova Scotia,  Primary Agriculture,Sarsfield Farms Incorporated,"Kentville, NS B4N 3V7",8431-General farm workers,Unknown,2,18
Nova Scotia,  Primary Agriculture,Sawler Gardens Ltd.,"Somerset, NS B0P 1E0",8431-General farm workers,Unknown,1,6
Nova Scotia,  Primary Agriculture,Spurr Brothers Farms Ltd,"Melvern Square, NS B0P 1R0",8431-General farm workers,Unknown,2,12
Nova Scotia,  Primary Agriculture,Town Plot Orchards Ltd.,"Port Williams, NS B0P 1T0",8611-Harvesting labourers,Corporation,2,14
Nova Scotia,  Primary Agriculture,Traditional Evergreen Tree Farms Ltd.,"Wileville, NS B4V 5J3",8432-Nursery and greenhouse workers,Unknown,1,3
Nova Scotia,  Primary Agriculture,Van Meekeren Farms Ltd.,"Lakeville, NS B4N 3V7",8611-Harvesting labourers,Unknown,1,2
Nova Scotia,  Primary Agriculture,Webster Farms Limited,"Cambridge, NS B0P 1G0",8431-General farm workers,Unknown,1,15
Nova Scotia,  Primary Agriculture,Wohlgemuth Farms Ltd.,"Aylesford, NS B0P 1C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,2
