"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2021",b,c,d,e,f
Prince Edward Island,  Primary Agriculture,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",8431-General farm workers,10
Nova Scotia,    High Wage,ATLANTIC QUALITY PAINTING AND MAINTENANCE SERVICES LTD.,"Halifax, NS B3M 1J1",7271-Carpenters,1
Nova Scotia,    High Wage,Best royal consulting ltd,"halifax, NS B3J 3M7",0125-Other business services managers,1
Nova Scotia,    High Wage,BTTC (Canada) Incorporated,"Halifax, NS B3J 3R7","0016-Senior managers - construction, transportation, production and utilities",1
Nova Scotia,    High Wage,Cha Baa Thai Restaurant Ltd.,"Halifax, NS B3J 2J6",6322-Cooks,12
Nova Scotia,    High Wage,CONNORS TRANSFER LIMITED,"Stellarton, NS B0K 1S0",7511-Transport truck drivers,15
Nova Scotia,    High Wage,Dalhousie University,"Halifax, NS B3H 4H2",4011-University professors and lecturers,1
Nova Scotia,    High Wage,Efty Dishes Ltd.,"Halifax, NS B3M 0G5",6322-Cooks,2
Nova Scotia,    High Wage,Governors St Francis Xavier University,"Antigonish, NS B2G 2W5",4011-University professors and lecturers,1
Nova Scotia,    High Wage,Halifax Harvest Limited,"Bedford, NS B4A 4L8","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7","0016-Senior managers - construction, transportation, production and utilities",2
Nova Scotia,    High Wage,Irving Shipbuilding Inc,"Halifax, NS B3K 5M7",0211-Engineering managers,1
Nova Scotia,    High Wage,JSH Fashion Inc.,"Halifax, NS B3J 3E5",0621-Retail and wholesale trade managers,1
Nova Scotia,    High Wage,Long Point Ventures Limited,"Aylesford, NS B0P 1C0",7511-Transport truck drivers,4
Nova Scotia,    High Wage,Nova Scotia Health Authority,"Halifax, NS B3S 0H6",3112-General practitioners and family physicians,1
Nova Scotia,    High Wage,Sobeys Inc.,"Stellarton, NS B0K 0A2","6331-Butchers, meat cutters and fishmongers - retail and wholesale",2
Nova Scotia,    High Wage,TOPAZ TRANSPORT INC.,"BEAVER BANK, NS B4E 3J4",7511-Transport truck drivers,3
Nova Scotia,   Low Wage,3287786 NOVA SCOTIA LTD,"Halifax, NS B3M 2L8",6211-Retail sales supervisors,1
Nova Scotia,   Low Wage,3311543 Nova Scotia Limited,"Halifax, NS B3L 1A4",6322-Cooks,1
Nova Scotia,   Low Wage,Adcor Marketing Limited,"yarmouth, NS B5A 2T6",6311-Food service supervisors,9
Nova Scotia,   Low Wage,CAPE JOHN CRABS & SEAFOODS LTD.,"RIVER JOHN, NS B0K 1N0",9463-Fish and seafood plant workers,1
Nova Scotia,   Low Wage,Indo Food Service Ltd.,"Halifax, NS B3J 3T1",6322-Cooks,1
Nova Scotia,   Low Wage,John Ross & Sons Ltd.,"Halifax, NS B3S 1B3",7452-Material handlers,13
Nova Scotia,   Low Wage,Ka'Le Bay Seafoods Limited,"Glace Bay, NS B1A 5V4",9463-Fish and seafood plant workers,10
Nova Scotia,   Low Wage,M.J.N.J Investments Ltd,"Lunenburg, NS B0J 2C0",6311-Food service supervisors,2
Nova Scotia,   Low Wage,Mandox Inc.,"Annapolis Royal, NS B0S 1A0",6322-Cooks,2
Nova Scotia,   Low Wage,MAV HALIFAX HAIR INC.,"Halifax, NS B3L 2H8",6341-Hairstylists and barbers,1
Nova Scotia,   Low Wage,Mirchi Tandoor Inc.,"halifax, NS B3J 1J7",6322-Cooks,1
Nova Scotia,   Low Wage,New Vision Special Care Homes Ltd,"Berwick, NS B0P 1E0",6322-Cooks,1
Nova Scotia,   Low Wage,Petit de Grat Packers Ltd.,"Petit de Grat, NS B0E 2L0",9618-Labourers in fish and seafood processing,40
Nova Scotia,   Low Wage,Riverside Lobster International Inc,"Meteghan River, NS B0W 2L0",9463-Fish and seafood plant workers,84
Nova Scotia,   Low Wage,Surrette Battery Company LTD,"Springhill, NS B0M 1X0","9527-Machine operators and inspectors, electrical apparatus manufacturing",6
Nova Scotia,   Low Wage,Victoria Co-operative Fisheries Ltd.,"Neil's Harbour, NS B0C 1N0",9463-Fish and seafood plant workers,12
Nova Scotia,  Primary Agriculture,Barteaux Farms Ltd,"Moschelle, NS B0S 1A0",8431-General farm workers,8
Nova Scotia,  Primary Agriculture,Best Farms Ltd,"Woodville, NS B0P 1V0",8431-General farm workers,2
Nova Scotia,  Primary Agriculture,Charles Keddy Farms Limited,"Lakeville, NS B4N 3V7",8431-General farm workers,32
Nova Scotia,  Primary Agriculture,Crisp Growers Incorporated,"Berwick, NS B0P 1E0",8431-General farm workers,50
Nova Scotia,  Primary Agriculture,Eisses Farms Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,18
Nova Scotia,  Primary Agriculture,Forest Hills Farms Ltd,"Great Village, NS B0M 1L0",8431-General farm workers,18
Nova Scotia,  Primary Agriculture,G & C Hughes Enterprises Limited,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,25
Nova Scotia,  Primary Agriculture,Gouchers Farm And Market Limited,"Kingston, NS B0P 1R0",8431-General farm workers,10
Nova Scotia,  Primary Agriculture,High Point Orchards LTD.,"Kentville, NS B4N 3V7",8431-General farm workers,24
Nova Scotia,  Primary Agriculture,J & B Millen Farms Limited,"Great Village, NS B0M 1L0",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,J & M Reeves Christmas Greens Limited,"New Ross, NS B0J 2M0",8432-Nursery and greenhouse workers,4
Nova Scotia,  Primary Agriculture,JOST VINEYARDS LIMITED,"Malagash, NS B0K 1E0",8431-General farm workers,8
Nova Scotia,  Primary Agriculture,Lucky Poultry Farm Ltd.,"Halifax, NS B3J 3E5",0821-Managers in agriculture,1
Nova Scotia,  Primary Agriculture,LUTZ FAMILY FARM LTD,"Berwick, NS B0P 1E0",8431-General farm workers,8
Nova Scotia,  Primary Agriculture,M. KEDDY FARM & FOREST LTD.,"New Ross, NS B0J 2M0",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Melvin Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,28
Nova Scotia,  Primary Agriculture,Millen Farms Ltd,"Great Village, NS B0M 1L0",8431-General farm workers,209
Nova Scotia,  Primary Agriculture,Nazinga Farms Ltd,"Aylesford, NS B0P 1C0",8431-General farm workers,16
Nova Scotia,  Primary Agriculture,North 45 Orchards Limited,"Elderbank, NS B0N 1K0",8431-General farm workers,8
Nova Scotia,  Primary Agriculture,Perfect Berries Ltd.,"Berwick, NS B0P 1E0",8431-General farm workers,16
Nova Scotia,  Primary Agriculture,Power Farms Inc.,"Canning, NS B0P 1H0",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Randsland Farms Inc,"Canning, NS B0P 1H0",8431-General farm workers,22
Nova Scotia,  Primary Agriculture,River Breeze Farm Limited,"Upper Onslow, NS B6L 6Y3",8431-General farm workers,11
Nova Scotia,  Primary Agriculture,Sarsfield Farms Incorporated,"Kentville, NS B4N 3V7",8431-General farm workers,19
Nova Scotia,  Primary Agriculture,Sawler Gardens Ltd.,"Somerset, NS B0P 1E0",8431-General farm workers,6
Nova Scotia,  Primary Agriculture,Stirlings Mountainside Farms 2017 Ltd,"Centreville, NS B0P 1J0",8431-General farm workers,24
Nova Scotia,  Primary Agriculture,T. E. Boyle Farm & Forestry Limited,"Antigonish County, NS B0H 1A0",8431-General farm workers,3
Nova Scotia,  Primary Agriculture,Vermeulen Farms Limited,"Canning, NS B0P 1H0",8431-General farm workers,26
Nova Scotia,  Primary Agriculture,Walsh Farms Inc.,"Rockland, NS B0P 1E0",8431-General farm workers,3
Nova Scotia,  Primary Agriculture,Webster Farms Limited,"Cambridge, NS B0P 1G0",8431-General farm workers,36
Nova Scotia,  Primary Agriculture,Wildroot Farm Limited,"Waterville, NS B0P 1V0",8431-General farm workers,3
Nova Scotia, Global Talent Stream,3343114 Nova Scotia Limited,"Yarmouth, NS B5A 1E9",0213-Computer and information systems managers,1
Nova Scotia, Global Talent Stream,3rDi Laboratory Inc.,"Wolfville, NS B4P 3R6",2175-Web designers and developers,1
Nova Scotia, Global Talent Stream,Iris Communications Inc,"Halifax, NS B3J  1K","0124-Advertising, marketing and public relations managers",1
Nova Scotia, Global Talent Stream,Mindsea Development Incorporated,"Halifax, NS B3J 3M8",2174-Computer programmers and interactive media developers,1
Nova Scotia, Global Talent Stream,Paraza Technologies Inc.,"Halifax, NS B3J 3K8","4165-Health policy researchers, consultants and program officers",1
Nova Scotia, Global Talent Stream,Proposify Inc.,"Halifax, NS B3J 1W5",2173-Software engineers and designers,3
New Brunswick,    High Wage,3R Accounting & Tax Limited,"Saint John, NB E2L 1K7",1241-Administrative assistants,1
New Brunswick,    High Wage,662524 N.B. LTD.,"Aldouane, NB E4W 5J8",2172-Database analysts and data administrators,1
New Brunswick,    High Wage,700827 NB Inc.,"Fredericton, NB E3B 1B2",6322-Cooks,1
New Brunswick,    High Wage,Amal Transport Inc,"Jacksonville, NB E7M 3G6",7511-Transport truck drivers,3
New Brunswick,    High Wage,AYR Motor Express Inc,"Woodstock, NB E7M 4G2",7511-Transport truck drivers,10
New Brunswick,    High Wage,Danube Trucking Inc.,"Woodstock, NB E7M 5G5",7511-Transport truck drivers,3
New Brunswick,    High Wage,Dr Jeremy G Fournier Pro Corp,"Florenceville-Bristol, NB E7L 2W9",3222-Dental hygienists and dental therapists,1
New Brunswick,    High Wage,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",0631-Restaurant and food service managers,2
New Brunswick,    High Wage,FMI Atlantic Inc.,"Woodstock, NB E7M 5G5",6311-Food service supervisors,5
New Brunswick,    High Wage,"Irving Consumer Products, Limited","Dieppe, NB E1A 6X4","0016-Senior managers - construction, transportation, production and utilities",1
New Brunswick,    High Wage,"J.D. Irving, Limited - Woodlands Division","Saint John, NB E2L 4Z2",8422-Silviculture and forestry workers,70
New Brunswick,    High Wage,McLay's Oak Bay Haven Inc.,"Oak Bay, NB E3L 4K2",1221-Administrative officers,1
New Brunswick,    High Wage,Milident East Coast Inc,"MONCTON, NB E1C 6C2","3223-Dental technologists, technicians and laboratory assistants",1
New Brunswick,    High Wage,Murray Enterprises Ltd.,"sussex corner, NB E4E 2Y5",7511-Transport truck drivers,2
New Brunswick,    High Wage,Redmans Trucking Inc.,"Fredericton, NB E3G 0C8",7511-Transport truck drivers,1
New Brunswick,    High Wage,Regional Health Authority B,"Moncton, NB E1C 6Z8",3111-Specialist physicians,1
New Brunswick,    High Wage,Saint John Taxi Ltd,"saint john, NB E2J 2C2",7513-Taxi and limousine drivers and chauffeurs,4
New Brunswick,    High Wage,Signature Landscape Ltd,"Moncton, NB E1A 3M2",7281-Bricklayers,1
New Brunswick,    High Wage,Sunbury Transport Limited,"SAINT JOHN, NB E2L 4H8",7511-Transport truck drivers,20
New Brunswick,    High Wage,WOOD MULCHING GUYS LTD,"Sainte-Anne-de-Kent, NB E4S 1A9",0711-Construction managers,1
New Brunswick,   Low Wage,056178 N.B. Inc,"Moncton, NB E1G 1A5",6322-Cooks,1
New Brunswick,   Low Wage,057033 NB Inc,"Shediac, NB E4P 2K9","3413-Nurse aides, orderlies and patient service associates",2
New Brunswick,   Low Wage,11656520 Canada Inc.,"Pointe-Sapin, NB E9A 1V1",9463-Fish and seafood plant workers,120
New Brunswick,   Low Wage,607204 NB Ltd.,"Edmonton, NB T5A 5J6","6313-Accommodation, travel, tourism and related services supervisors",1
New Brunswick,   Low Wage,623127 NB LTD.,"Dieppe, NB E1A 1G1",6311-Food service supervisors,1
New Brunswick,   Low Wage,658711 NB LTD.,"Miramichi, NB E1V 1X4",6322-Cooks,1
New Brunswick,   Low Wage,665606 NB Inc.,"MONCTON, NB E1A 5L1",6322-Cooks,1
New Brunswick,   Low Wage,671348 N.B. INC.,"MONCTON, NB E1C 1E3",6322-Cooks,1
New Brunswick,   Low Wage,682032 NB Limited,"Rothesay, NB E2E 2P5",6311-Food service supervisors,2
New Brunswick,   Low Wage,687735 NB Inc,"Beresford, NB E8K 1A1",6322-Cooks,1
New Brunswick,   Low Wage,695716 NB Ltd,"Oromocto, NB E2V 2H5",6322-Cooks,1
New Brunswick,   Low Wage,697131 NB INC.,"MONCTON, NB E1A 8R5",6322-Cooks,1
New Brunswick,   Low Wage,698075 NB Ltd.,"Shediac, NB E4P 2G1",6322-Cooks,1
New Brunswick,   Low Wage,699756 NB INC.,"Moncton, NB E1G 1A4",6322-Cooks,1
New Brunswick,   Low Wage,700827 NB Inc o/a J's Asian Kitchen-Main Street,"Fredericton, NB E3A 1C8",6311-Food service supervisors,1
New Brunswick,   Low Wage,701664 NB Inc,"Dieppe, NB E1A 1P2",6322-Cooks,1
New Brunswick,   Low Wage,707326 NB Inc.,"Moncton, NB E1G 1A5",6322-Cooks,2
New Brunswick,   Low Wage,Baie Ste Anne Seafoods (2014) Inc.,"Escuminac, NB E9A 1V6",9463-Fish and seafood plant workers,120
New Brunswick,   Low Wage,Botsford Fisheries Ltd.,"Petit-Cap, NB E4N 2J8",9463-Fish and seafood plant workers,22
New Brunswick,   Low Wage,C&A Toner Ltd,"Grand Falls, NB E3Z 2W1",6311-Food service supervisors,2
New Brunswick,   Low Wage,Camille Leger Limited,"Cormier-Village, NB E4P 5X2",7611-Construction trades helpers and labourers,2
New Brunswick,   Low Wage,Capital Foodservice Ltd.,"Moncton, NB E1H 3L9",7452-Material handlers,4
New Brunswick,   Low Wage,Caraquet Pizza Inc.,"Caraquet, NB E1W 1B8",6322-Cooks,1
New Brunswick,   Low Wage,Car-rizma Motorsports Limited,"SAINT JOHN, NB E2H 1X8",7535-Other automotive mechanical installers and servicers,1
New Brunswick,   Low Wage,Daeka care facilities inc,"Hampton, NB E5N 5R9","4412-Home support workers, housekeepers and related occupations",2
New Brunswick,   Low Wage,Elphege & Norbert Leblanc Ltd,"Petit Cap, NB E4N 2E8",9463-Fish and seafood plant workers,21
New Brunswick,   Low Wage,Global Windows Solution Inc,"Richibucto, NB E4W 4A4",9615-Labourers in rubber and plastic products manufacturing,5
New Brunswick,   Low Wage,KWONG'S TAKE OUT (2004) Ltd.,"Riverview, NB E1B 3J7",6322-Cooks,1
New Brunswick,   Low Wage,L&L Concrete Foundation Ltd,"Grand-Barachois, NB E4P 9E4",7611-Construction trades helpers and labourers,8
New Brunswick,   Low Wage,L`ASSOCIATION COOPÉRATIVE DES PECHEURS DE L`ILE LTEE - ISLAND FISHERMEN'S COOPERATIVE ASSOCIATION LT,"LAMEQUE, NB E8T 1M8",9463-Fish and seafood plant workers,25
New Brunswick,   Low Wage,Linn Chau Restaurant,"Saint John, NB E2J 1A5",6322-Cooks,1
New Brunswick,   Low Wage,Marian Restaurant Inc.,"Riverview, NB E1B 5M7",6322-Cooks,1
New Brunswick,   Low Wage,MDB Holdings Ltd.,"Richibucto, NB E4W 4C9",6311-Food service supervisors,1
New Brunswick,   Low Wage,Meca Holdings inc,"Rothesay, NB E2S 1A6",6322-Cooks,1
New Brunswick,   Low Wage,Mitton's Food Service Inc.,"Riverview, NB E1B 3J2",6311-Food service supervisors,1
New Brunswick,   Low Wage,Ocean Pier Inc,"Scoudouc, NB E4P 3R4",9463-Fish and seafood plant workers,45
New Brunswick,   Low Wage,Pêcheries Lebreton &Fils Ltee,"Grande-Anse, NB E8N 1G4",9463-Fish and seafood plant workers,45
New Brunswick,   Low Wage,Poissonnerie Arseneau Ltée,"Nigadoo, NB E8K 3S8",9463-Fish and seafood plant workers,20
New Brunswick,   Low Wage,Poissonnerie du Creek Ltée,"Pokemouche, NB E8P 1J8",9463-Fish and seafood plant workers,5
New Brunswick,   Low Wage,R&L CONVENIENCE INC.,"ROTHESAY, NB E2E 5X4",6322-Cooks,1
New Brunswick,   Low Wage,R&L CONVENIENCE INC.,"ROTHESAY, NB E2E 5X4",6332-Bakers,1
New Brunswick,   Low Wage,Raymond O'Neill & Son Fisheries Ltd,"Escuminac, NB E9A 1V6",9463-Fish and seafood plant workers,35
New Brunswick,   Low Wage,Roem enterprises inc.,"Saintjohn, NB E2L 2E5",6211-Retail sales supervisors,1
New Brunswick,   Low Wage,S & P Foods Inc,"Fredericton, NB E3A 2S4",6322-Cooks,2
New Brunswick,   Low Wage,S & P Foods Inc,"Fredericton, NB E3A 2S4","6711-Food counter attendants, kitchen helpers and related support occupations",1
New Brunswick,   Low Wage,St-Paul Fisheries (1989) Ltd Pêcheries St-Paul (1989) Ltée,"Caraquet, NB E1W 1B7",9463-Fish and seafood plant workers,30
New Brunswick,   Low Wage,Suncoast Seafood Inc,"Grande-Digue, NB E4R 4H7",9463-Fish and seafood plant workers,20
New Brunswick,   Low Wage,YH Holdings Corporation,"Shediac Bridge, NB E4R 1S5",6211-Retail sales supervisors,1
New Brunswick,  Primary Agriculture,Irishview Estate Ltd.,"Moncton, NB E1E 0J1",8431-General farm workers,4
New Brunswick,  Primary Agriculture,"J.D. Irving, Limited - Woodlands Division","Saint John, NB E2L 4Z2",8432-Nursery and greenhouse workers,8
New Brunswick,  Primary Agriculture,Les Petits Fruits de Pré-d'en-Haut Inc.,"Memramcook, NB E4K 1K8",8431-General farm workers,40
New Brunswick,  Primary Agriculture,MOXON'S COUNTRY PUMPKIN LTD,"Maugerville, NB E3A 8K8",8431-General farm workers,5
New Brunswick,  Primary Agriculture,Shadowave Holsteins Inc,"Second North River, NB E4J 2V9",8431-General farm workers,10
New Brunswick,  Primary Agriculture,Slocum's Farm Fresh Produce Ltd.,"Waterborough, NB E4C 2Y3",8431-General farm workers,5
New Brunswick,  Primary Agriculture,Toner Produce Ltd.,"Grand Falls, NB E3Z 1P9",8431-General farm workers,3
New Brunswick,  Primary Agriculture,Verger Belliveau Orchard ltd.,"Memramcook, NB E4K 2S6",8431-General farm workers,5
New Brunswick, Global Talent Stream,AV Group NB Inc.,"Nackawic, NB E6G 1W4",2171-Information systems analysts and consultants,1
New Brunswick, Global Talent Stream,Triangle Kitchen,"Dieppe, NB E1A 5M7","0013-Senior managers - financial, communications and other business services",1
Quebec,    High Wage,10476544 Canada Inc.,"Chelsea, QC J9B 1J3",6322-Cooks,4
Quebec,    High Wage,11471724 Canada Inc.,"Montréal, QC H4A 1G8","5254-Program leaders and instructors in recreation, sport and fitness",1
Quebec,    High Wage,2154-8623 Québec Inc.,"Rivière-Beaudette, QC J0P 1R0",1243-Medical administrative assistants,1
Quebec,    High Wage,2697602 CANADA Inc.,"Montreal, QC H1R 1A1",7381-Printing press operators,1
Quebec,    High Wage,2737-2846 Québec Inc.,"Drummondville, QC J2B 1T7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,    High Wage,2950-0519 Québec inc.,"Rouyn-Noranda, QC J9X 6T3",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,2950-0519 Québec inc.,"Rouyn-Noranda, QC J9X 6T3",7237-Welders and related machine operators,3
Quebec,    High Wage,3595650 Canada inc.,"Gatineau, QC J8Z 1W8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Quebec,    High Wage,3653099 Canada Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,5
Quebec,    High Wage,3903214 Canada Inc,"Montréal, QC H1C 2A2",7312-Heavy-duty equipment mechanics,1
Quebec,    High Wage,6144527 CANADA INC.,"VAUDREUIL-DORION, QC J7V 9H5",1221-Administrative officers,1
Quebec,    High Wage,6175015 Canada inc.,"Montréal, QC H4E 0A3",1241-Administrative assistants,1
Quebec,    High Wage,6450113 Canada Inc,"Montreal, QC H4A 3J3",6322-Cooks,1
Quebec,    High Wage,6960871 Canada Inc.,"Boucherville, QC J4B 5L2",6322-Cooks,4
Quebec,    High Wage,7012756 Canada Inc.,"Montreal, QC H1Z 1C7","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Quebec,    High Wage,7608187 Canada Inc.,"Gatineau, QC J8T 8N6","9213-Supervisors, food, beverage and associated products processing",1
Quebec,    High Wage,9005-1319 Québec inc.,"Berthierville, QC J0K 1A0",7322-Motor vehicle body repairers,1
Quebec,    High Wage,9015-3958 Québec Inc.,"Mirabel, QC J7J 0V8",6311-Food service supervisors,9
Quebec,    High Wage,9015-5938 Québec Inc,"Saguenay, QC G7H 1T5",6322-Cooks,2
Quebec,    High Wage,9018-7980 Quebec Inc,"Montreal, QC H1C 1G7",7312-Heavy-duty equipment mechanics,1
Quebec,    High Wage,9022-5814 Québec Inc.,"Laval, QC H7L 3S4",2174-Computer programmers and interactive media developers,1
Quebec,    High Wage,9045-4604 Québec Inc.,"Drummondville, QC J2C 5W4",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,9051-8127 Québec Inc.,"Normandin, QC G8M 5A6",7237-Welders and related machine operators,1
Quebec,    High Wage,9052-9470 Québec Inc,"St-Lazare,QC, QC J7T 2B8",7231-Machinists and machining and tooling inspectors,1
Quebec,    High Wage,9061-1633 Quebec Inc,"Ste-Julie, QC J3E 1Y8",6322-Cooks,3
Quebec,    High Wage,9065-1183 QUÉBEC INC.,"Mont-Tremblant, QC J8E 1B1",6322-Cooks,6
Quebec,    High Wage,9071-9220 Québec Inc.,"Val-d'Or, QC J9P 3X3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Quebec,    High Wage,9072-2653 Québec Inc.,"MONTRÉAL, QC H2T 1X6",5241-Graphic designers and illustrators,1
Quebec,    High Wage,90759630 QUEBEC INC,"St-Leonard, QC H1S 2J2",7511-Transport truck drivers,3
Quebec,    High Wage,9076-5124 Québec Inc.,"Montréal, QC H1T 1S6",6332-Bakers,1
